hsk_key	source_word	simplified	TR	example_TR	SW	example_SW	AZ	example_AZ	UZ	example_UZ
1004:安检	安检	安检	güvenlik kontrolü	İstasyona girmeden önce tüm yolcular güvenlik kontrolünden geçmelidir.	ukaguzi wa usalama	Kabla ya kuingia kituoni, abiria wote lazima wapitie ukaguzi wa usalama.	təhlükəsizlik yoxlaması	Stansiyaya girməzdən əvvəl bütün sərnişinlər təhlükəsizlik yoxlamasından keçməlidir.	xavfsizlik tekshiruvi	Bekatga kirishdan oldin barcha yo'lovchilar xavfsizlik tekshiruvidan o'tishi kerak.
1006:按	按	按	basmak; göre	Kapıyı açmak için lütfen yeşil düğmeye basın.	kubonyeza; kulingana na	Tafadhali bonyeza kitufe cha kijani ili kufungua mlango.	basmaq; üzrə	Qapını açmaq üçün zəhmət olmasa yaşıl düyməni basın.	bosmoq; bo'yicha	Eshikni ochish uchun iltimos, yashil tugmani bosing.
1009:白酒	白酒	白酒	baijiu; Çin içkisi	O baijiu içmez, sadece çay içer.	baijiu; pombe kali ya Kichina	Yeye hanywi baijiu, hunywa chai tu.	baijiu; Çin arağı	O, baijiu içmir, yalnız çay içir.	bayju; xitoy aroqi	U bayju ichmaydi, faqat choy ichadi.
1010:办公	办公	办公	çalışmak; ofis işi yapmak	O bugün evden çalışıyor.	kufanya kazi ya ofisi	Leo anafanya kazi nyumbani.	ofis işi görmək; işləmək	O bu gün evdə işləyir.	ofisda ishlamoq; ish qilmoq	U bugun uyda ishlayapti.
1012:办事	办事	办事	iş halletmek	Öğleden sonra bankaya iş halletmeye gideceğim.	kushughulikia jambo	Alasiri nitaenda benki kushughulikia jambo.	iş həll etmək; iş görmək	Günortadan sonra banka iş həll etməyə gedəcəyəm.	ish bitirmoq; ish bilan bormoq	Tushdan keyin bankka ish bitirgani boraman.
1017:报考	报考	报考	sınava başvurmak	O Çince sınavına başvurmaya hazırlanıyor.	kujiandikisha kwa mtihani	Anajiandaa kujiandikisha kwa mtihani wa Kichina.	imtahana qeydiyyatdan keçmək	O, Çin dili imtahanına qeydiyyatdan keçməyə hazırlaşır.	imtihonga ro'yxatdan o'tmoq	U xitoy tili imtihoniga ro'yxatdan o'tishga tayyorlanyapti.
1021:背包	背包	背包	sırt çantası	Sırt çantam kapının yanında.	mkoba wa mgongoni	Mkoba wangu wa mgongoni uko mlangoni.	bel çantası	Bel çantam qapının yanındadır.	ryukzak	Ryukzagim eshik yonida turibdi.
1022:北部	北部	北部	kuzey kısmı	Bu şehrin kuzeyinde bir dağ var.	sehemu ya kaskazini	Katika sehemu ya kaskazini ya mji huu kuna mlima.	şimal hissəsi	Bu şəhərin şimal hissəsində bir dağ var.	shimoliy qism	Bu shaharning shimoliy qismida bir tog' bor.
1028:笔试	笔试	笔试	yazılı sınav	Yarın sabah bir yazılı sınav var.	mtihani wa maandishi	Kesho asubuhi kuna mtihani wa maandishi.	yazılı imtahan	Sabah səhər bir yazılı imtahan var.	yozma imtihon	Ertaga ertalab yozma imtihon bor.
1030:毕业生	毕业生	毕业生	mezun	Birçok mezun iş arıyor.	mhitimu	Wahitimu wengi wanatafuta kazi.	məzun	Bir çox məzun iş axtarır.	bitiruvchi	Ko'p bitiruvchilar ish qidiryapti.
