hsk_key	source_word	simplified	SI	example_SI	TA	example_TA
2002:哎呀	哎呀	哎呀	අයියෝ; අපොයි	අයියෝ, මම යතුරු ගෙදර අමතක කරලා ආවා.	ஐயோ; அடடா	ஐயோ, நான் சாவிகளை வீட்டில் மறந்துவிட்டேன்.
2005:安	安	安	නිහඬ; සාමකාමී	ළමයා නිදාගත් පසු, නිවස එක්වරම නිහඬ විය.	அமைதியான; சமாதானமான	குழந்தை தூங்கிய பிறகு வீடு உடனே அமைதியானது.
2006:安全带	安全带	安全带	ආරක්ෂක පටිය	වාහනය පදවීමට පෙර කරුණාකර ආරක්ෂක පටිය පැළඳගන්න.	பாதுகாப்புப் பட்டை	கார் ஓட்டுவதற்கு முன் பாதுகாப்புப் பட்டையை கட்டுங்கள்.
2013:半夜	半夜	半夜	මධ්‍යම රාත්‍රිය; රෑ බොහෝ වෙලාව	මධ්‍යම රාත්‍රියේ කෙනෙක් ඔහුට දුරකථනයෙන් කතා කළේය.	நள்ளிரவு; இரவு நேரம்	நள்ளிரவில் ஒருவர் அவருக்கு தொலைபேசியில் அழைத்தார்.
2020:宝	宝	宝	නිධානය; ආදරණීය කෙනා	මේ පැරණි ජේඩ් කැබැල්ල පවුලේ නිධානයයි.	பொக்கிஷம்; அன்புக்குரியவர்	இந்த பழைய ஜேட் கல் குடும்பத்தின் பொக்கிஷம்.
2021:保	保	保	ආරක්ෂා කිරීම; රැක ගැනීම	අපි මේ වනාන්තර කොටස රැක ගත යුතුය.	பாதுகாத்தல்; காக்குதல்	இந்த காட்டு பகுதியை நாம் காக்க வேண்டும்.
2022:保安	保安	保安	ආරක්ෂක නිලධාරියා; ආරක්ෂාව	දොරටුව අසල ආරක්ෂක නිලධාරියා මගේ හැඳුනුම්පත පරීක්ෂා කළේය.	பாதுகாப்பு காவலர்; பாதுகாப்பு	நுழைவாயிலில் இருந்த பாதுகாப்பு காவலர் என் அடையாள அட்டையைச் சோதித்தார்.
2029:保质期	保质期	保质期	කල් ඉකුත් වන කාලය; භාණ්ඩයේ ගුණ කාලය	කිරි මිලදී ගැනීමට පෙර කල් ඉකුත් වන දිනය බලන්න.	காலாவதி காலம்; தரம் நீடிக்கும் காலம்	பால் வாங்குவதற்கு முன் காலாவதி தேதியைப் பாருங்கள்.
2034:暴雨	暴雨	暴雨	තද වැසි කුණාටුව	තද වැසි කුණාටුවෙන් පසු මාර්ගයේ බොහෝ ජලය එකතු විය.	கனமழை புயல்	கனமழைக்குப் பிறகு சாலையில் நிறைய தண்ணீர் தேங்கியது.
2037:背后	背后	背后	පසුපස; පසුබිම	සාර්ථකත්වය පිටුපස මහන්සි බොහෝය.	பின்னால்; பின்னணி	வெற்றியின் பின்னால் அதிக முயற்சி உள்ளது.
2041:本地	本地	本地	දේශීය; ප්‍රාදේශීය	මෙම වෙළඳසැල ප්‍රධාන වශයෙන් දේශීය පලතුරු විකුණයි.	உள்ளூர்	இந்த கடை பெரும்பாலும் உள்ளூர் பழங்களை விற்கிறது.
2046:比分	比分	比分	ලකුණු තත්ත්වය	තරගය අවසානයේ ලකුණු තත්ත්වය තුනට දෙකක් විය.	மதிப்பெண் நிலை	போட்டி முடிந்தபோது மதிப்பெண் நிலை மூன்றுக்கு இரண்டு.
2049:必	必	必	අනිවාර්යයෙන්; නිසැකවම	වැදගත් ලේඛන අදාළ පුද්ගලයා විසින්ම අත්සන් කළ යුතුය.	கண்டிப்பாக; நிச்சயம்	முக்கிய ஆவணங்களில் சம்பந்தப்பட்ட நபரே கையெழுத்திட வேண்டும்.
2052:闭幕式	闭幕式	闭幕式	අවසන් උත්සවය	ක්‍රීඩා උළෙලේ අවසන් උත්සවය රාත්‍රියේ පැවැත්වේ.	நிறைவு விழா	விளையாட்டு விழாவின் நிறைவு விழா இரவில் நடைபெறும்.
2054:必需	必需	必需	අත්‍යවශ්‍ය; අවශ්‍ය	ජලය සහ ආහාර සංචාරයකදී අත්‍යවශ්‍ය දේවල් වේ.	அத்தியாவசியம்; தேவையானது	பயணத்தின் போது தண்ணீர் மற்றும் உணவு அத்தியாவசியமானவை.
2057:变动	变动	变动	වෙනස; සංශෝධනය	මෙම මාසයේ වැඩ සැලැස්මේ වෙනස්කම් තිබේ.	மாற்றம்; திருத்தம்	இந்த மாத வேலை ஏற்பாட்டில் மாற்றங்கள் உள்ளன.
2059:便利店	便利店	便利店	පහසුකම් වෙළඳසැල	පහල මහලේ පහසුකම් වෙළඳසැල පැය විසි හතරම විවෘතය.	சௌகரியக் கடை	கீழ்மாடியில் உள்ள சௌகரியக் கடை இருபத்துநான்கு மணி நேரமும் திறந்திருக்கும்.
