source_headword	FI	example_FI
stranger	tuntematon	Tuntematon kysyi tietä.
strength	voima	Hänen voimansa auttoi joukkuetta.
string	naru	Sido laatikko narulla.
strongly	vahvasti	Olen vahvasti eri mieltä tuosta ajatuksesta.
studio	studio	Taiteilija työskentelee pienessä studiossa.
stuff	tavarat	Laita tavarasi hyllylle.
substance	aine	Poliisi löysi outoa ainetta.
successfully	onnistuneesti	He saivat projektin onnistuneesti päätökseen.
sudden	äkillinen	Äkillinen ääni herätti meidät.
suffer	kärsiä	Monet kasvit kärsivät kuivalla säällä.
suitable	sopiva	Tämä takki on sopiva kouluun.
summarize	tiivistää	Voitko tiivistää artikkelin?
summary	yhteenveto	Kirjoita lyhyt yhteenveto tänä iltana.
supply	jakelu	Kaupunki tarvitsee puhtaan vedenjakelun.
supporter	kannattaja	Jokainen kannattaja hurrasi äänekkäästi.
surely	varmasti	Varmasti voimme ratkaista tämän.
surface	pinta	Pinta tuntui kylmältä ja sileältä.
survive	selviytyä	Nämä eläimet selviytyvät kylmistä talvista.
switch	kytkeä	Kytke keittiön valo pois päältä.
symptom	oire	Yskä voi olla oire.
tail	häntä	Koiralla on pitkä häntä.
talent	lahjakkuus	Hänellä on lahjakkuutta musiikkiin.
talented	lahjakas	Hän on lahjakas nuori näyttelijä.
tape	teippi	Käytä teippiä laatikon sulkemiseen.
tax	vero	Kaikkien täytyy maksaa tämä vero.
technical	tekninen	Meillä oli tekninen ongelma.
technique	tekniikka	Tämä tekniikka säästää aikaa.
tend	olla taipumus	Lapsilla on taipumus oppia nopeasti.
tent	teltta	Nukuimme pienessä teltassa.
theirs	heidän	Siniset pyörät ovat heidän.
theme	teema	Juhlissa oli rantateema.
theory	teoria	Hänen teoriansa selittää ongelman.
therefore	siksi	Satoi, siksi pysyimme sisällä.
though	vaikka	Vaikka hän oli väsynyt, hän jatkoi työskentelyä.
throat	kurkku	Kurkkuuni sattuu tänä aamuna.
throughout	koko	Ihmiset tanssivat koko illan.
tight	tiukka	Nämä kengät tuntuvat liian tiukoilta.
till	kunnes	Odota tässä, kunnes palaan.
tin	säilykepurkki	Avaa papupurkki.
tiny	pikkuruinen	Pikkuruinen lintu laskeutui lähelle.
toe	varvas	Satutin varpaani eilen.
tongue	kieli	Hän poltti kielensä teeseen.
total	kokonais-	Kokonaiskustannus oli alhainen.
totally	täysin	Ymmärrän täysin huolesi.
trade	kauppa	Kansainvälinen kauppa luo työpaikkoja.
translate	kääntää	Käännä tämä lause, kiitos.
translation	käännös	Käännös kuulostaa luonnolliselta.
treat	kohdella	Kohtele kaikkia kunnioittavasti.
treatment	hoito	Potilas tarvitsee hoitoa tänään.
trend	trendi	Tämä trendi kasvaa maailmanlaajuisesti.
trick	temppu	Tuo korttitemppu yllätti minut.
truth	totuus	Kerro totuus, kiitos.
tube	tuubi	Purista tuubia varovasti.
typically	tyypillisesti	Opiskelijat saapuvat tyypillisesti ennen yhdeksää.
tyre	rengas	Auto tarvitsee uuden renkaan.
ugly	ruma	Tuo seinän väri näyttää rumalta.
unable	kykenemätön	Hän ei kyennyt vastaamaan.
uncomfortable	epämukava	Tämä tuoli on epämukava.
underwear	alusvaatteet	Pakkaa puhtaat alusvaatteet matkaa varten.
unemployed	työtön	Hän oli työtön kaksi kuukautta.
unemployment	työttömyys	Työttömyys kasvoi talven aikana.
unfair	epäreilu	Päätös vaikutti epäreilulta.
union	ammattiliitto	Ammattiliitto vaati turvallisempaa työtä.
unless	ellei	Älä lähde, ellen soita.
unlike	toisin kuin	Toisin kuin Tom, Ana rakastaa talvea.
unlikely	epätodennäköinen	Lumi on epätodennäköistä tällä viikolla.
unnecessary	tarpeeton	Ylimääräiset laukut ovat tarpeettomia.
unpleasant	epämiellyttävä	Huoneessa oli epämiellyttävä haju.
update	päivittää	Minun täytyy päivittää puhelimeni.
upon	kerran	Olipa kerran kuningas.
upset	järkyttynyt	Hän tunsi itsensä järkyttyneeksi puhelun jälkeen.
used1	käytetty	Tätä huonetta käytetään kokouksiin.
used2	tottunut	Olen tottunut aikaisiin aamuihin.
valuable	arvokas	Tämä kello on arvokas.
value	arvo	Talo menetti arvoaan viime vuonna.
various	useita	Kokeilimme useita paikallisia ruokia.
version	versio	Tämä versio toimii paremmin.
victim	uhri	Uhri soitti poliisille.
viewer	katsoja	Yksi katsoja esitti kysymyksen.
violent	väkivaltainen	Elokuva oli liian väkivaltainen.
volunteer	vapaaehtoinen	Olen vapaaehtoisena kirjastossa.
vote	äänestää	Muista äänestää huomenna.
warn	varoittaa	Yritin varoittaa häntä.
warning	varoitus	Varoitus ilmestyi näytölle.
waste	tuhlata	Älä tuhlaa puhdasta vettä.
weapon	ase	Veitsestä tuli ase.
weigh	punnita	Punnitse jauhot huolellisesti.
western	länsimainen	He katsoivat lännenelokuvan.
whatever	mitä tahansa	Valitse mitä tahansa haluat.
whenever	milloin tahansa	Soita milloin tahansa tarvitset apua.
whether	onko	En tiedä, onko hän samaa mieltä.
wing	siipi	Lintu satutti yhden siiven.
within	kuluessa	Vastaa kahden päivän kuluessa.
wonder	ihmetellä	Ihmettelen mitä tapahtui.
wool	villa	Tämä takki on tehty villasta.
worldwide	maailmanlaajuisesti	Kappaleesta tuli suosittu maailmanlaajuisesti.
worth	arvoinen	Tämä kirja on lukemisen arvoinen.
written	kirjallinen	Lähetä kirjalliset ohjeet.
yard	piha	Lapset leikkivät pihalla.
youth	nuoriso	Nuorisokerhot tukevat paikallisia teini-ikäisiä.
