simplified	DE	example_DE
挨	ertragen; durchstehen	Er hat die ganze Nacht durchgehalten und schließlich den Morgen erwartet.
癌症	Krebs	Frühe Erkennung von Krebs ist sehr wichtig.
暧昧	unklar; zweideutig	Seine Antwort war sehr zweideutig.
爱不释手	nicht aus der Hand legen wollen	Sie konnte dieses Buch nicht aus der Hand legen.
爱戴	lieben und respektieren	Dieser Lehrer wird von den Schülern sehr respektiert.
安宁	friedlich; ruhig	Die Nacht hier ist sehr friedlich.
安详	gelassen; friedlich	Der Gesichtsausdruck des alten Mannes war sehr gelassen.
安置	unterbringen; ansiedeln	Die Regierung hat die Katastrophenopfer untergebracht.
按摩	Massage	Ich habe eine Massage reserviert.
暗示	andeuten; Hinweis	Sie deutete mir an, nicht weiter zu fragen.
案件	Fall; Rechtsfall	Die Polizei untersucht diesen Fall.
案例	Fallbeispiel	Dieses Fallbeispiel ist sehr repräsentativ.
昂贵	teuer	Dieses Gerät ist sehr teuer.
凹凸	uneben	Diese Straßenoberfläche ist sehr uneben.
熬	aushalten; lange kochen	Er hielt drei Tage durch, bevor er den Bericht fertigstellte.
奥秘	Geheimnis	Wissenschaftler wollen dieses Geheimnis enthüllen.
巴不得	kaum erwarten können	Ich kann es kaum erwarten, sofort aufzubrechen.
巴结	sich einschmeicheln	Er will sich bei den Vorgesetzten nicht einschmeicheln.
扒	sich festklammern; graben	Das Kind klammerte sich an die Tür und schaute hinaus.
疤	Narbe	Auf seinem Arm ist eine Narbe.
拔苗助长	mit Übereifer schaden	Das Kind so zum Lernen zu zwingen, schadet nur durch Übereifer.
把关	prüfen; kontrollieren	Diesen Vertrag muss ein Anwalt prüfen.
把手	Griff	Der Griff der Tür ist kaputt.
罢工	Streik; streiken	Die Arbeiter beschlossen, morgen zu streiken.
霸道	herrisch; rücksichtslos	Er spricht zu herrisch.
掰	mit den Händen auseinanderbrechen	Sie brach das Brot in zwei Hälften.
摆脱	loswerden; sich befreien	Er wurde die schlechte Gewohnheit endlich los.
拜访	besuchen	Wir besuchen am Wochenende den Lehrer.
拜年	Neujahrsgrüße überbringen	Zum Frühlingsfest besuchen wir die Großeltern, um Neujahrsgrüße zu überbringen.
拜托	jemanden bitten; bitte	Ich bitte dich, diese Sache zu übernehmen.
败坏	ruinieren; verderben	Dieses Verhalten wird den Ruf der Firma ruinieren.
斑	Fleck; Streifen	Die Katze hat einen schwarzen Fleck.
颁布	erlassen; verkünden	Die neue Vorschrift wird nächste Woche erlassen.
颁发	ausstellen; verleihen	Die Schule verlieh den besten Schülern Urkunden.
版本	Version; Ausgabe	Diese Software hat eine neue Version.
伴侣	Partner; Gefährte	Sie betrachtet den Hund als ihren Gefährten.
伴随	begleiten	Erfolg wird oft von Druck begleitet.
半途而废	auf halbem Weg aufgeben	Bei Forschung darf man nicht auf halbem Weg aufgeben.
扮演	eine Rolle spielen	Er spielt im Film einen Arzt.
榜样	Vorbild	Eltern sind Vorbilder für ihre Kinder.
绑架	entführen	Die Polizei verhinderte einen Entführungsfall.
磅	Pfund	Diese Kiste wiegt zwanzig Pfund.
包庇	decken; beschützen	Niemand darf Verbrechen decken.
包袱	Bündel; Last	Er legte die Last ab und fühlte sich viel leichter.
包围	umzingeln; umgeben	Reporter umzingelten den Schauspieler.
包装	Verpackung	Die Verpackung dieses Geschenks ist sehr schön.
保管	aufbewahren; garantieren	Diese Dokumente bewahre ich auf.
保密	geheim halten	Der Inhalt der Sitzung muss geheim gehalten werden.
保姆	Kindermädchen; Haushaltshilfe	Sie haben ein Kindermädchen eingestellt.
保守	konservativ	Seine Ideen sind eher konservativ.
保卫	verteidigen; schützen	Die Soldaten verteidigen die Grenze.
保养	warten; pflegen	Dieses Auto muss regelmäßig gewartet werden.
保障	gewährleisten; absichern	Das Gesetz schützt die Rechte der Bürger.
保重	auf sich achten	Bitte achte auf dich, wenn du unterwegs bist.
饱和	Sättigung	Dieser Markt ist bereits fast gesättigt.
饱经沧桑	viel erlebt haben	Dieser alte Mann hat viel erlebt.
报酬	Vergütung; Lohn	Er erhielt eine angemessene Vergütung.
报仇	sich rächen	Er will sich nicht rächen, sondern neu anfangen.
报答	vergelten; sich erkenntlich zeigen	Ich werde mich mit Taten für deine Hilfe erkenntlich zeigen.
报复	Rache; vergelten	Rache vertieft nur den Konflikt.
报警	die Polizei rufen	Wenn man ein Feuer entdeckt, muss man sofort die Polizei rufen.
报销	erstatten; abrechnen	Die Reisekosten können erstattet werden.
抱负	Ehrgeiz; Ambition	Er hatte schon als Kind große Ambitionen.
暴力	Gewalt	Wir lehnen jede Form von Gewalt ab.
暴露	offenlegen; sichtbar werden	Dieses Problem wird allmählich sichtbar.
曝光	belichten; öffentlich machen	Nachdem dieses Foto veröffentlicht wurde, erregte es Aufmerksamkeit.
爆发	ausbrechen; explodieren	Der Vulkan brach plötzlich aus.
爆炸	Explosion; explodieren	Im Labor ereignete sich eine Explosion.
卑鄙	gemein; verachtenswert	Diese gemeine Methode macht die Menschen wütend.
悲哀	traurig	Als er die Nachricht hörte, war er sehr traurig.
悲惨	tragisch; elend	Das war eine tragische Zeit der Geschichte.
北极	Nordpol; Arktis	Wissenschaftler forschen in der Arktis.
备份	Sicherung	Bitte sichere zuerst die wichtigen Dateien.
备忘录	Notiz; Memorandum	Sie schrieb die wichtigsten Punkte in die Notiz.
背叛	verraten	Er konnte den Verrat seines Freundes nicht akzeptieren.
背诵	auswendig aufsagen	Die Schüler sagen gerade den Text auswendig auf.
被动	passiv	In den Verhandlungen dürfen wir nicht zu passiv sein.
被告	Angeklagter	Der Angeklagte bestritt alle Vorwürfe.
贝壳	Muschel	Das Kind sammelt Muscheln am Strand.
奔波	ständig unterwegs sein	Er ist wegen der Arbeit überall unterwegs.
奔驰	rasen; schnell fahren	Das Auto fährt schnell auf der Autobahn.
本能	Instinkt	Seine Kinder zu schützen ist ein Instinkt der Eltern.
本钱	Kapital; Startkapital	Für ein Geschäft braucht man Startkapital.
本人	ich persönlich; die betreffende Person	Ich persönlich bin bereit, die Verantwortung zu übernehmen.
本身	an sich; selbst	Der Plan selbst hat kein Problem.
本事	Fähigkeit; Können	Er hat viel Können.
笨拙	ungeschickt	Seine Bewegungen sind etwas ungeschickt.
崩溃	zusammenbrechen; abstürzen	Das System ist plötzlich abgestürzt.
甭	nicht nötig sein	Um diese Sache brauchst du dich nicht zu sorgen.
蹦	hüpfen; springen	Der kleine Hund hüpft auf der Wiese hin und her.
迸发	hervorbrechen; ausbrechen	Applaus brach aus der Menge hervor.
