source_headword	SL	example_SL
hunt	iskati	Jeseni iščejo gobe.
hurricane	orkan	Orkan je poškodoval veliko domov.
hurry	naglica	Danes ni nobene naglice.
identity	identiteta	Njena identiteta je ostala skrivnost.
ignore	ignorirati	Ne ignoriraj tega opozorila.
illegal	nezakonit	Tukaj je nezakonito parkirati.
imaginary	namišljen	Zgodba ima namišljen otok.
immediate	takojšen	Potrebujemo takojšen odgovor.
immigrant	priseljenec	Priseljenec se je hitro naučil angleščine.
impact	vpliv	Novica je imela močan vpliv.
import	uvažati	Država bo uvažala več riža.
importance	pomen	Razumela je pomen spanja.
impression	vtis	Njegov prvi vtis je bil pozitiven.
impressive	impresiven	Muzej ima impresiven vhod.
improvement	izboljšanje	Ta mesec je bilo jasno izboljšanje.
incredibly	neverjetno	Test je bil neverjetno težek.
indeed	resnično	To je bil resnično čuden dan.
indicate	pokazati	Znak bo pokazal izhod.
indirect	posreden	Dala je posreden odgovor.
indoor	notranji	Hotel ima notranji bazen.
indoors	notri	Med nevihto smo ostali notri.
influence	vpliv	Njegov učitelj je imel močan vpliv.
ingredient	sestavina	Moka je glavna sestavina.
injure	poškodovati	Ne poškoduj si hrbta.
injured	poškodovan	Poškodovani igralec je zapustil igrišče.
innocent	nedolžen	Otrok je bil videti popolnoma nedolžen.
intelligence	inteligenca	Pri pouku je pokazala veliko inteligenco.
intend	nameravati	Nameravam študirati v tujini.
intention	namen	Njegov namen je bil pomagati.
invest	vlagati	Vlagajo denar v izobraževanje.
investigate	preiskati	Policija bo preiskala nesrečo.
involved	vpleten	Vpletenih je bilo več učencev.
iron	železo	Vrata so narejena iz železa.
issue	težava	To je resna težava.
IT	informacijska tehnologija	Dela v informacijski tehnologiji.
journal	dnevnik	Piše v dnevnik.
judge	sodnik	Sodnik je pozorno poslušal.
keen	željan	Željna je učenja.
keyboard	tipkovnica	Moja tipkovnica je nehala delovati.
kick	brcniti	Nežno brcni žogo.
killing	umor	Umor je pretresel vas.
kind (caring)	prijazen	To je bila prijazna gesta.
kiss	poljub	Dojenčku je dala poljub.
label	etiketa	Pred uporabo preberi etiketo.
laboratory	laboratorij	Laboratorij je danes zaprt.
lack	pomanjkanje	Pomanjkanje spanja škoduje spominu.
latest	najnovejši	Si prebral najnovejše poročilo?
lay	položiti	Položi knjigo na mizo.
layer	plast	Dodaj še eno plast barve.
leading	vodilni	Je vodilna znanstvenica.
leaf	list	List je padel na moj plašč.
leather	usnje	Njegova torba je iz usnja.
legal	pravni	Potrebujemo pravni nasvet.
leisure	prosti čas	Branje je moja najljubša dejavnost v prostem času.
length	dolžina	Izmeri dolžino sobe.
lie2 (tell a lie)	lagati	Ne laži staršem.
limit	omejitev	Omejitev hitrosti je petdeset.
lip	ustnica	Ugriznila se je v ustnico.
liquid	tekočina	Voda je bistra tekočina.
literature	književnost	Študira francosko književnost.
live2	v živo	Skupina je sinoči igrala v živo.
living	živ	Žive rastline potrebujejo svetlobo.
locate	najti	Lahko najdeš datoteko?
located	nameščen	Pisarna je nameščena v središču.
location	lokacija	To je dobra lokacija.
lonely	osamljen	Po selitvi se je počutil osamljenega.
loss	izguba	Izguba je bila težka za vse.
luxury	razkošje	Hotel ponuja pravo razkošje.
mad	jezen	Bila je jezna zaradi zamude.
magic	čarovnija	Predstava je bila polna čarovnije.
mainly	večinoma	Skupino večinoma sestavljajo študenti.
mall	nakupovalno središče	Srečali smo se v nakupovalnem središču.
management	upravljanje	Dobro upravljanje prihrani čas.
marketing	trženje	Trženje pomaga prodati izdelek.
marriage	zakon	Njun zakon je trajal trideset let.
meanwhile	medtem	Medtem sem skuhal večerjo.
measure	izmeriti	Pazljivo izmeri mizo.
medium	srednji	Naročil sem srednjo pico.
mental	duševni	Stres vpliva na duševno zdravje.
mess	nered	Pospravi ta nered.
mild	blag	Juha ima blag okus.
mine (hole in the ground)	rudnik	Rudnik so lani zaprli.
mix	zmešati	Zmešaj jajca z mlekom.
mixture	mešanica	Mešanica je postala gosta.
mood	razpoloženje	Glasba ji je spremenila razpoloženje.
mud	blato	Njegovi čevlji so bili prekriti z blatom.
murder	umor	Umor se je zgodil ponoči.
muscle	mišica	Vadba gradi mišice.
mystery	skrivnost	Stara hiša je skrivnost.
nail	noht	Zlomil sem si noht.
narrative	pripoved	Roman ima jasno pripoved.
nation	narod	Ves narod je praznoval.
native	materni	Španščina je njen materni jezik.
naturally	naravno	Otroci se naravno učijo skozi igro.
necessarily	nujno	Draga hrana ni nujno boljša.
needle	igla	Igla je zelo ostra.
neighbourhood	soseska	Živijo v mirni soseski.
net	mreža	Ribič je popravil svojo mrežo.
nor	niti	Niti se ni nasmehnil niti spregovoril.
northern	severni	Obiskali so severno obalo.
nuclear	jedrski	Razprava je bila o jedrski energiji.
obvious	očiten	Odgovor je bil očiten.
obviously	očitno	Očitno potrebujemo več časa.
occasion	priložnost	To je posebna priložnost.
occur	zgoditi se	Nesreče se lahko zgodijo kjerkoli.
odd	čuden	To je bilo čudno vprašanje.
official	uradni	Uradni rezultat je prispel danes.
old-fashioned	staromoden	Njen telefon je videti staromoden.
operation	operacija	Operacija je trajala dve uri.
organized	organiziran	Njena miza je zelo organizirana.
organizer	organizator	Organizator je pozdravil goste.
originally	prvotno	Prvotno je prišla iz Kanade.
ought modal	moral bi	Moral bi počivati.
ours	naš	Ta miza je naša.
outdoor	zunanji	Kupili smo zunanje pohištvo.
outdoors	zunaj	Otroci bi se morali igrati zunaj.
package	paket	Paket je prispel danes zjutraj.
painful	boleč	Ureznina je bila boleča.
pale	bled	Njegov obraz je bil videti bled.
pan	ponev	Najprej segrej ponev.
participate	sodelovati	Vsak lahko sodeluje.
particularly	posebej	Posebej mi je všeč ta pesem.
passion	strast	Glasba je njena strast.
path	pot	Sledi poti skozi park.
payment	plačilo	Plačilo zapade jutri.
peaceful	miren	Vrt je miren.
percentage	odstotek	Majhen odstotek se je strinjal.
perfectly	popolnoma	Načrt je deloval popolnoma.
performance	nastop	Njen nastop je bil odličen.
personally	osebno	Osebno imam raje čaj.
persuade	prepričati	Ga lahko prepričaš, da se pridruži?
photographer	fotograf	Fotograf je posnel veliko fotografij.
photography	fotografija	Fotografija je njegov najljubši hobi.
pin	žebljiček	Daj žebljiček na zemljevid.
pipe	cev	Cev prenaša vodo.
planning	načrtovanje	Načrtovanje vzame čas.
pleasant	prijeten	Imeli smo prijeten večer.
pleasure	veselje	Bilo mi je v veselje, da sem te spoznal.
plenty	dovolj	Imamo dovolj časa.
plot	zaplet	Zaplet je bilo lahko slediti.
plus1	plus	Dve plus tri je pet.
poem	pesem	Napisala je kratko pesem.
poet	pesnik	Pesnik je bral na glas.
poetry	poezija	Rad ima sodobno poezijo.
poison	strup	Strup hrani stran od otrok.
poisonous	strupen	Nekatere gobe so strupene.
policy	politika	Podjetje je spremenilo svojo politiko.
political	političen	Govor je bil političen.
politician	politik	Politik je odgovarjal na vprašanja.
politics	politika	Politika je lahko zapletena.
port	pristanišče	Ladja je vplula v pristanišče.
portrait	portret	Portret visi v hodniku.
possibly	morda	Morda bo prispela pozno.
pot	lonec	Rastlina potrebuje večji lonec.
pour	naliti	Počasi nalij mleko.
poverty	revščina	Mnoge družine živijo v revščini.
powder	prah	Dodaj prah v vodo.
powerful	močan	Motor je močan.
practical	praktičen	To je praktična rešitev.
pray	moliti	Molijo vsako jutro.
prayer	molitev	Tiho je izrekla molitev.
prediction	napoved	Njegova napoved je bila pravilna.
prepared	pripravljen	Pripravljen sem na izpit.
presentation	predstavitev	Njena predstavitev je bila jasna.
press	pritisniti	Enkrat pritisni gumb.
pressure	pritisk	Pritisk lahko vpliva na tvoje zdravje.
pretend	pretvarjati se	Ne pretvarjaj se, da spiš.
previous	prejšnji	Prejšnja lekcija je bila lažja.
previously	prej	Prej smo živeli v Rimu.
priest	duhovnik	Duhovnik je govoril tiho.
primary	glavni	Zdravje je naša glavna skrb.
prince	princ	Princ je obiskal šolo.
princess	princesa	Princesa je nosila modro obleko.
