simplified	HY	example_HY
哎	է՜յ; այ	Է՜յ, դու ինչպե՞ս այստեղ եկար։
唉	վայ; ախ; հառաչանք	Ախ, ես նորից ուշացա։
爱护	խնամել; պահպանել; փայփայել	Մենք պետք է պահպանենք շրջակա միջավայրը։
爱惜	գնահատել; խնայել; փայփայել	Խնդրում եմ, գնահատիր քո ժամանակը։
爱心	կարեկցանք; հոգատարություն	Նա շատ հոգատար մարդ է։
安慰	մխիթարել; սփոփել	Ընկերս ինձ մխիթարեց։
安装	տեղադրել; մոնտաժել	Բանվորը տեղադրում է օդորակիչը։
岸	ափ; գետափ	Նավը դանդաղ մոտենում է ափին։
暗	մութ; խավար; թաքուն	Սենյակում շատ մութ է։
熬夜	ուշ քնել; գիշերը չքնել	Ուշ քնելը վնասակար է առողջությանը։
把握	վստահություն; բռնել; օգտվել առիթից	Ես վստահ չեմ, որ կարող եմ այս գործը լավ անել։
摆	դասավորել; դնել; ցուցադրել	Խնդրում եմ, աթոռները կոկիկ դասավորեք։
办理	կարգավորել; ձևակերպել; գործարք կատարել	Ես բանկ եմ գնում գործերը կարգավորելու։
傍晚	երեկոյան; մթնշաղին	Երեկոյան մենք զբոսնելու ենք։
包裹	փաթեթ; ծանրոց; փաթաթել	Ես մի ծանրոց ստացա։
包含	պարունակել; ներառել	Գինը ներառում է նախաճաշը։
包括	ներառել; ընդգրկել	Վճարը ներառում է ճաշը։
薄	բարակ; նոսր	Այս գիրքը շատ բարակ է։
保持	պահել; պահպանել	Խնդրում եմ, լռություն պահպանեք։
保存	պահպանել; պահել	Խնդրում եմ, պահպանեք այս ֆայլը։
保留	պահել; վերապահել; պահպանել	Խնդրում եմ, ինձ համար մի տեղ պահեք։
保险	ապահովագրություն; ապահովագրել; անվտանգ	Ես ճանապարհորդական ապահովագրություն գնեցի։
宝贝	գանձ; սիրելի; թանկ բան	Սա իմ գանձն է։
宝贵	արժեքավոր; թանկագին	Ժամանակը շատ թանկագին է։
报到	գրանցվել; ներկայանալ	Նոր ուսանողները այսօր դպրոց են գալիս գրանցվելու։
报道	լուր; հաղորդել; լուսաբանել	Լուրերը հաղորդեցին այս դեպքի մասին։
报告	զեկույց; զեկուցել; հայտնել	Նա հիմա զեկույց է ներկայացնում։
