simplified	MY	example_MY
爱	ချစ်သည်; ကြိုက်သည်	ကျွန်ုပ် အမေကို ချစ်သည်။
八	ရှစ်	ကျွန်ုပ်တွင် စာအုပ်ရှစ်အုပ် ရှိသည်။
爸爸	အဖေ; ဖခင်	အဖေ အိမ်တွင် ရှိသည်။
杯子	ခွက်; ဖန်ခွက်	ဤခွက်သည် ကြီးသည်။
北京	ပေကျင်း	ကျွန်ုပ် ပေကျင်းတွင် အလုပ်လုပ်သည်။
本	စာအုပ်ရေတွက်စကား; အုပ်	ကျွန်ုပ်တွင် စာအုပ်တစ်အုပ် ရှိသည်။
不	မ; မဟုတ်	ကျွန်ုပ် ထမင်းမစားပါ။
不客气	ရပါတယ်; ကိစ္စမရှိပါ	ကျေးဇူးတင်ပါတယ်။ ရပါတယ်။
菜	ဟင်း; ဟင်းသီးဟင်းရွက်; အစားအစာ	ဤဟင်းသည် အရသာရှိသည်။
茶	လက်ဖက်ရည်	ကျွန်ုပ် လက်ဖက်ရည် သောက်သည်။
吃	စားသည်	ကျွန်ုပ် ပန်းသီး စားသည်။
出租车	တက္ကစီ	ကျွန်ုပ် တက္ကစီစီးပြီး ကျောင်းသို့ သွားသည်။
打电话	ဖုန်းဆက်သည်	ကျွန်ုပ် ဖုန်းဆက်သည်။
大	ကြီးသည်	ဤကျောင်းသည် ကြီးသည်။
的	၏; ပိုင်ဆိုင်မှုအမှုန်	ဤသည် ကျွန်ုပ်၏ စာအုပ် ဖြစ်သည်။
点	နာရီ; အမှတ်; အနည်းငယ်	ယခု ရှစ်နာရီ ဖြစ်သည်။
电脑	ကွန်ပျူတာ	ကျွန်ုပ်၏ ကွန်ပျူတာသည် စားပွဲပေါ်တွင် ရှိသည်။
电视	ရုပ်မြင်သံကြား; တီဗီ	ကျွန်ုပ် တီဗီ ကြည့်သည်။
电影	ရုပ်ရှင်	ကျွန်ုပ် ရုပ်ရှင် ကြိုက်သည်။
东西	ပစ္စည်း; အရာ	ဤအရာသည် ဘာလဲ။
都	အားလုံး; နှစ်ခုစလုံး	ကျွန်ုပ်တို့ အားလုံး ကျောင်းသားများ ဖြစ်သည်။
读	ဖတ်သည်; လေ့လာသည်	ကျွန်ုပ် စာအုပ် ဖတ်သည်။
对不起	တောင်းပန်ပါတယ်; ခွင့်လွှတ်ပါ	တောင်းပန်ပါတယ်၊ ကျွန်ုပ် သင့်ကို မသိပါ။
多	များသည်; ပိုများသည်	ကျွန်ုပ်တွင် သူငယ်ချင်းများစွာ ရှိသည်။
多少	ဘယ်လောက်; ဘယ်နှခု	ဤခွက်သည် ဘယ်လောက် ကျသင့်သနည်း။
儿子	သား	ကျွန်ုပ်၏ သားသည် ကျောင်းသား ဖြစ်သည်။
二	နှစ်	ဖေဖော်ဝါရီလသည် အေးသည်။
饭馆	စားသောက်ဆိုင်	စားသောက်ဆိုင်သည် ကျောင်းရှေ့တွင် ရှိသည်။
飞机	လေယာဉ်	ကျွန်ုပ် လေယာဉ်စီးပြီး ပေကျင်းသို့ သွားသည်။
分钟	မိနစ်	ကျွန်ုပ် ငါးမိနစ်ကြာ လေ့လာသည်။
高兴	ပျော်သည်; ဝမ်းသာသည်	ယနေ့ ကျွန်ုပ် အလွန်ပျော်သည်။
个	အထွေထွေ ရေတွက်စကားလုံး	ကျွန်ုပ်တွင် သူငယ်ချင်းတစ်ယောက် ရှိသည်။
工作	အလုပ်လုပ်သည်; အလုပ်	ကျွန်ုပ် ပေကျင်းတွင် အလုပ်လုပ်သည်။
狗	ခွေး	ကျွန်ုပ် ခွေး ကြိုက်သည်။
汉语	တရုတ်ဘာသာ	ကျွန်ုပ် တရုတ်ဘာသာ လေ့လာသည်။
好	ကောင်းသည်	ယနေ့ ရာသီဥတု ကောင်းသည်။
喝	သောက်သည်	ကျွန်ုပ် ရေ သောက်သည်။
和	နှင့်; အတူ	ကျွန်ုပ် သူငယ်ချင်းနှင့် ကျောင်းသို့ သွားသည်။
很	အလွန်	သူမ အလွန်လှသည်။
后面	နောက်ဘက်; နောက်တွင်	ကျောင်းသည် စားသောက်ဆိုင်နောက်တွင် ရှိသည်။
回	ပြန်သည်; ပြန်လာသည်	ကျွန်ုပ် အိမ်ပြန်သည်။
会	တတ်သည်; နိုင်သည်	ကျွန်ုပ် တရုတ်ဘာသာ ပြောတတ်သည်။
火车站	ရထားဘူတာ	ရထားဘူတာသည် ကြီးသည်။
几	ဘယ်နှ; အချို့	သင့်တွင် သူငယ်ချင်း ဘယ်နှယောက် ရှိသနည်း။
家	အိမ်; မိသားစု	ကျွန်ုပ်၏ အိမ်သည် ပေကျင်းတွင် ရှိသည်။
叫	ခေါ်သည်; အမည်ဖြစ်သည်	သင့်အမည် ဘာလဲ။
今天	ယနေ့	ယနေ့ ပူသည်။
九	ကိုး	ယခု ကိုးနာရီ ဖြစ်သည်။
开	ဖွင့်သည်	ကျွန်ုပ် ကွန်ပျူတာ ဖွင့်သည်။
看	ကြည့်သည်; ဖတ်သည်	ကျွန်ုပ် စာအုပ် ဖတ်သည်။
看见	မြင်သည်	ကျွန်ုပ် ဆရာကို မြင်သည်။
块	အပိုင်း; ယွမ်	ဤစာအုပ်သည် ဆယ်ယွမ် ကျသည်။
来	လာသည်	သူ ကျောင်းသို့ လာသည်။
老师	ဆရာ; ဆရာမ	ဆရာသည် ကျောင်းတွင် ရှိသည်။
了	ပြီးဆုံးမှုအမှုန်	ကျွန်ုပ် ထမင်းစားပြီးပြီ။
冷	အေးသည်	ယနေ့ အေးသည်။
里	အတွင်း; ထဲမှာ	ခွက်ထဲတွင် ရေ ရှိသည်။
零	သုည	သုညသည် တစ် မဟုတ်ပါ။
六	ခြောက်	ယခု ခြောက်နာရီ ဖြစ်သည်။
妈妈	အမေ; မိခင်	အမေ လက်ဖက်ရည် သောက်သည်။
吗	ဟုတ်/မဟုတ် မေးခွန်းအမှုန်	သင် ကျောင်းသား ဖြစ်သလား။
买	ဝယ်သည်	ကျွန်ုပ် ပန်းသီး ဝယ်သည်။
猫	ကြောင်	ကြောင်သည် ကုလားထိုင်ပေါ်တွင် ရှိသည်။
没	မရှိ; မ...သေး	ကျွန်ုပ်တွင် ငွေ မရှိပါ။
没关系	ကိစ္စမရှိပါ; ရပါတယ်	ကိစ္စမရှိပါ။
