source_headword	FR	example_FR
hunt	chercher	Ils cherchent des champignons en automne.
hurricane	l'ouragan	L'ouragan a endommagé de nombreuses maisons.
hurry	l'urgence	Il n'y a pas d'urgence aujourd'hui.
identity	l'identité	Son identité est restée secrète.
ignore	ignorer	N'ignore pas cet avertissement.
illegal	illégal	Il est illégal de se garer ici.
imaginary	imaginaire	L'histoire contient une île imaginaire.
immediate	immédiat	Nous avons besoin d'une réponse immédiate.
immigrant	l'immigrant	L'immigrant a vite appris l'anglais.
impact	l'impact	La nouvelle a eu un fort impact.
import	importer	Le pays importera plus de riz.
importance	l'importance	Elle a compris l'importance du sommeil.
impression	l'impression	Sa première impression était positive.
impressive	impressionnant	Le musée a une entrée impressionnante.
improvement	l'amélioration	Il y a eu une nette amélioration ce mois-ci.
incredibly	incroyablement	Le test était incroyablement difficile.
indeed	en effet	C'était en effet une journée étrange.
indicate	indiquer	Le panneau indiquera la sortie.
indirect	indirect	Elle a donné une réponse indirecte.
indoor	intérieur	L'hôtel possède une piscine intérieure.
indoors	à l'intérieur	Nous sommes restés à l'intérieur pendant la tempête.
influence	l'influence	Son professeur a eu une grande influence.
ingredient	l'ingrédient	La farine est l'ingrédient principal.
injure	blesser	Ne te blesse pas le dos.
injured	blessé	Le joueur blessé a quitté le terrain.
innocent	innocent	L'enfant avait l'air complètement innocent.
intelligence	l'intelligence	Elle a montré une grande intelligence en classe.
intend	avoir l'intention	J'ai l'intention d'étudier à l'étranger.
intention	l'intention	Son intention était d'aider.
invest	investir	Ils investissent de l'argent dans l'éducation.
investigate	enquêter	La police enquêtera sur l'accident.
involved	impliqué	Plusieurs étudiants étaient impliqués.
iron	le fer	La grille est faite de fer.
issue	le problème	C'est un problème sérieux.
IT	l'informatique	Elle travaille dans l'informatique.
journal	le journal	Il écrit dans un journal.
judge	le juge	Le juge a écouté attentivement.
keen	motivé	Elle est motivée pour apprendre.
keyboard	le clavier	Mon clavier a cessé de fonctionner.
kick	donner un coup de pied	Donne un coup de pied doucement dans le ballon.
killing	le meurtre	Le meurtre a choqué le village.
kind (caring)	gentil	C'était un geste gentil.
kiss	le baiser	Elle a donné un baiser au bébé.
label	l'étiquette	Lis l'étiquette avant utilisation.
laboratory	le laboratoire	Le laboratoire est fermé aujourd'hui.
lack	le manque	Le manque de sommeil nuit à la mémoire.
latest	le dernier	As-tu lu le dernier rapport ?
lay	poser	Pose le livre sur la table.
layer	la couche	Ajoute une autre couche de peinture.
leading	de premier plan	Elle est une scientifique de premier plan.
leaf	la feuille	Une feuille est tombée sur mon manteau.
leather	le cuir	Son sac est en cuir.
legal	légal	Nous avons besoin de conseils juridiques.
leisure	le loisir	La lecture est mon loisir préféré.
length	la longueur	Mesure la longueur de la pièce.
lie2 (tell a lie)	mentir	Ne mens pas à tes parents.
limit	la limite	La limite de vitesse est cinquante.
lip	la lèvre	Elle s'est mordu la lèvre.
liquid	le liquide	L'eau est un liquide clair.
literature	la littérature	Elle étudie la littérature française.
live2	en direct	Le groupe a joué en direct hier soir.
living	vivant	Les plantes vivantes ont besoin de lumière.
locate	localiser	Peux-tu localiser le fichier ?
located	situé	Le bureau est situé au centre-ville.
location	l'emplacement	C'est un bon emplacement.
lonely	seul	Il s'est senti seul après son déménagement.
loss	la perte	La perte a été dure pour tout le monde.
luxury	le luxe	L'hôtel offre un vrai luxe.
mad	en colère	Elle était en colère à cause du retard.
magic	la magie	Le spectacle était plein de magie.
mainly	principalement	Le groupe est principalement composé d'étudiants.
mall	le centre commercial	Nous nous sommes retrouvés au centre commercial.
management	la gestion	Une bonne gestion fait gagner du temps.
marketing	le marketing	Le marketing aide à vendre le produit.
marriage	le mariage	Leur mariage a duré trente ans.
meanwhile	pendant ce temps	J'ai préparé le dîner pendant ce temps.
measure	mesurer	Mesure la table soigneusement.
medium	moyen	J'ai commandé une pizza moyenne.
mental	mental	Le stress affecte la santé mentale.
mess	le désordre	Nettoie ce désordre.
mild	doux	La soupe a un goût doux.
mine (hole in the ground)	la mine	La mine a fermé l'an dernier.
mix	mélanger	Mélange les œufs avec du lait.
mixture	le mélange	Le mélange est devenu épais.
mood	l'humeur	La musique a changé son humeur.
mud	la boue	Ses chaussures étaient couvertes de boue.
murder	le meurtre	Le meurtre a eu lieu la nuit.
muscle	le muscle	L'exercice développe les muscles.
mystery	le mystère	La vieille maison est un mystère.
nail	l'ongle	Je me suis cassé un ongle.
narrative	le récit	Le roman a un récit clair.
nation	la nation	Toute la nation a célébré.
native	natif	L'espagnol est sa langue native.
naturally	naturellement	Les enfants apprennent naturellement par le jeu.
necessarily	nécessairement	La nourriture chère n'est pas nécessairement meilleure.
needle	l'aiguille	L'aiguille est très pointue.
neighbourhood	le quartier	Ils vivent dans un quartier calme.
net	le filet	Le pêcheur a réparé son filet.
nor	ni	Il n'a ni souri ni parlé.
northern	du nord	Ils ont visité la côte du nord.
nuclear	nucléaire	Le débat portait sur l'énergie nucléaire.
obvious	évident	La réponse était évidente.
obviously	évidemment	Évidemment, nous avons besoin de plus de temps.
occasion	l'occasion	C'est une occasion spéciale.
occur	se produire	Des accidents peuvent se produire partout.
odd	étrange	C'était une question étrange.
official	officiel	Le résultat officiel est arrivé aujourd'hui.
old-fashioned	démodé	Son téléphone semble démodé.
operation	l'opération	L'opération a duré deux heures.
organized	organisé	Son bureau est très organisé.
organizer	l'organisateur	L'organisateur a accueilli les invités.
originally	à l'origine	Elle venait à l'origine du Canada.
ought modal	devrait	Tu devrais te reposer.
ours	le nôtre	Cette table est la nôtre.
outdoor	d'extérieur	Nous avons acheté des meubles d'extérieur.
outdoors	dehors	Les enfants devraient jouer dehors.
package	le colis	Le colis est arrivé ce matin.
painful	douloureux	La coupure était douloureuse.
pale	pâle	Son visage semblait pâle.
pan	la poêle	Chauffe d'abord la poêle.
participate	participer	Tout le monde peut participer.
particularly	particulièrement	J'aime particulièrement cette chanson.
passion	la passion	La musique est sa passion.
path	le sentier	Suis le sentier à travers le parc.
payment	le paiement	Le paiement est dû demain.
peaceful	paisible	Le jardin est paisible.
percentage	le pourcentage	Un petit pourcentage était d'accord.
perfectly	parfaitement	Le plan a fonctionné parfaitement.
performance	la performance	Sa performance était excellente.
personally	personnellement	Personnellement, je préfère le thé.
persuade	persuader	Peux-tu le persuader de nous rejoindre ?
photographer	le photographe	Le photographe a pris beaucoup de photos.
photography	la photographie	La photographie est son passe-temps préféré.
pin	l'épingle	Mets une épingle sur la carte.
pipe	le tuyau	Le tuyau transporte de l'eau.
planning	la planification	La planification prend du temps.
pleasant	agréable	Nous avons passé une soirée agréable.
pleasure	le plaisir	C'était un plaisir de te rencontrer.
plenty	beaucoup	Nous avons beaucoup de temps.
plot	l'intrigue	L'intrigue était facile à suivre.
plus1	plus	Deux plus trois font cinq.
poem	le poème	Elle a écrit un court poème.
poet	le poète	Le poète a lu à voix haute.
poetry	la poésie	Il aime la poésie moderne.
poison	le poison	Garde le poison loin des enfants.
poisonous	toxique	Certains champignons sont toxiques.
policy	la politique	L'entreprise a changé sa politique.
political	politique	Le discours était politique.
politician	le politicien	Le politicien a répondu aux questions.
politics	la politique	La politique peut être compliquée.
port	le port	Le navire est entré dans le port.
portrait	le portrait	Le portrait est accroché dans le hall.
possibly	peut-être	Elle arrivera peut-être en retard.
pot	le pot	La plante a besoin d'un pot plus grand.
pour	verser	Verse le lait lentement.
poverty	la pauvreté	Beaucoup de familles vivent dans la pauvreté.
powder	la poudre	Ajoute la poudre à l'eau.
powerful	puissant	Le moteur est puissant.
practical	pratique	C'est une solution pratique.
pray	prier	Ils prient chaque matin.
prayer	la prière	Elle a dit une prière silencieuse.
prediction	la prédiction	Sa prédiction était correcte.
prepared	préparé	Je suis préparé pour l'examen.
presentation	la présentation	Sa présentation était claire.
press	appuyer	Appuie une fois sur le bouton.
pressure	la pression	La pression peut affecter ta santé.
pretend	faire semblant	Ne fais pas semblant de dormir.
previous	précédent	La leçon précédente était plus facile.
previously	auparavant	Nous vivions auparavant à Rome.
priest	le prêtre	Le prêtre a parlé doucement.
primary	principal	La santé est notre préoccupation principale.
prince	le prince	Le prince a visité l'école.
princess	la princesse	La princesse portait une robe bleue.
printing	l'impression	L'impression du rapport a pris quelques minutes.
prisoner	le prisonnier	Le prisonnier s'est échappé la nuit.
private	privé	C'est une conversation privée.
producer	le producteur	Le producteur a aimé le film.
production	la production	La production commence la semaine prochaine.
profession	la profession	L'enseignement est une profession respectée.
profit	le bénéfice	Le magasin a réalisé un bénéfice.
promote	promouvoir	Ils promeuvent une alimentation saine.
proper	approprié	Porte des chaussures appropriées pour la randonnée.
properly	correctement	Ferme la porte correctement.
property	la propriété	Ils ont acheté une propriété près de la rivière.
protest	la manifestation	La manifestation s'est terminée paisiblement.
proud	fier	Elle était fière de son fils.
prove	prouver	Peux-tu prouver ta réponse ?
punish	punir	Le professeur ne l'a pas puni.
punishment	la punition	La punition semblait juste.
qualification	la qualification	Tu as besoin d'une qualification pour ce travail.
qualified	qualifié	Elle est une infirmière qualifiée.
qualify	se qualifier	Notre équipe peut se qualifier.
queue	la file	Nous avons attendu dans une longue file.
quit	arrêter	Il a décidé d'arrêter de fumer.
quotation	la citation	L'essai commence par une citation.
quote	citer	Puis-je citer tes paroles ?
race (people)	la race	Le formulaire pose une question sur la race.
racing	les courses	Les courses de chevaux sont populaires là-bas.
range	la gamme	Le magasin vend une large gamme.
rare	rare	Cet oiseau est rare.
rarely	rarement	Nous mangeons rarement dehors.
reaction	la réaction	Sa réaction m'a surpris.
reality	la réalité	La réalité était différente de son rêve.
receipt	le reçu	Garde le reçu.
recommendation	la recommandation	Merci pour la recommandation.
reference	la référence	Ajoute une référence à la fin.
reflect	refléter	Le miroir peut refléter la lumière.
regularly	régulièrement	Elle fait de l'exercice régulièrement.
reject	rejeter	Ils peuvent rejeter l'offre.
relate	se reconnaître	Je peux me reconnaître dans cette histoire.
related	lié	Les deux problèmes sont liés.
relation	la relation	Il y a une relation entre eux.
relative	relatif	La vitesse est relative.
relaxed	détendu	Il s'est senti détendu après le dîner.
relaxing	relaxant	La musique était relaxante.
release	sortir	Ils sortiront le film bientôt.
reliable	fiable	Ce bus est généralement fiable.
religion	la religion	La religion est importante pour elle.
religious	religieux	Ils ont visité un bâtiment religieux.
remain	rester	Veuillez rester calme.
remind	rappeler	Rappelle-le-moi demain.
remote	éloigné	Ils vivent dans un village éloigné.
rent	le loyer	Le loyer est dû aujourd'hui.
repeated	répété	Des erreurs répétées ont ralenti le travail.
represent	représenter	L'étoile représente l'espoir.
require	exiger	Ce travail exigera une formation.
reservation	la réservation	J'ai fait une réservation.
resource	la ressource	La bibliothèque est une ressource utile.
respect	le respect	Respecte tes camarades.
responsibility	la responsabilité	La garde d'enfants est une grande responsabilité.
responsible	responsable	Elle est responsable des billets.
retire	prendre sa retraite	Mon père prendra bientôt sa retraite.
retired	retraité	Il est un professeur retraité.
revise	réviser	Révise ton essai ce soir.
risk	le risque	Il y a un risque de pluie.
robot	le robot	Le robot a nettoyé le sol.
roll	faire rouler	Fais rouler le ballon vers moi.
romantic	romantique	Ils ont eu un dîner romantique.
rope	la corde	Attache la corde fermement.
