source_headword	DA	example_DA
hunt	lede efter	De leder efter svampe om efteråret.
hurricane	en orkan	Orkanen beskadigede mange hjem.
hurry	hast	Der er ingen hast i dag.
identity	en identitet	Hendes identitet forblev hemmelig.
ignore	ignorere	Ignorer ikke denne advarsel.
illegal	ulovlig	Det er ulovligt at parkere her.
imaginary	opdigtet	Historien har en opdigtet ø.
immediate	øjeblikkelig	Vi har brug for et øjeblikkeligt svar.
immigrant	en indvandrer	Indvandreren lærte hurtigt engelsk.
impact	en påvirkning	Nyheden havde en stærk påvirkning.
import	importere	Landet vil importere mere ris.
importance	betydningen	Hun forstod betydningen af søvn.
impression	et indtryk	Hans første indtryk var positivt.
impressive	imponerende	Museet har en imponerende indgang.
improvement	en forbedring	Der var en tydelig forbedring denne måned.
incredibly	utrolig	Prøven var utrolig svær.
indeed	virkelig	Det var virkelig en mærkelig dag.
indicate	vise	Skiltet vil vise udgangen.
indirect	indirekte	Hun gav et indirekte svar.
indoor	indendørs	Hotellet har en indendørs pool.
indoors	indendørs	Vi blev indendørs under stormen.
influence	indflydelse	Hans lærer havde stor indflydelse.
ingredient	en ingrediens	Mel er den vigtigste ingrediens.
injure	skade	Skad ikke din ryg.
injured	skadet	Den skadede spiller forlod banen.
innocent	uskyldig	Barnet så helt uskyldigt ud.
intelligence	intelligens	Hun viste stor intelligens i klassen.
intend	have til hensigt	Jeg har til hensigt at studere i udlandet.
intention	en hensigt	Hans hensigt var at hjælpe.
invest	investere	De investerer penge i uddannelse.
investigate	undersøge	Politiet vil undersøge ulykken.
involved	involveret	Flere studerende var involveret.
iron	jern	Porten er lavet af jern.
issue	et problem	Dette er et alvorligt problem.
IT	IT	Hun arbejder med IT.
journal	en dagbog	Han skriver i en dagbog.
judge	en dommer	Dommeren lyttede omhyggeligt.
keen	ivrig	Hun er ivrig efter at lære.
keyboard	et tastatur	Mit tastatur holdt op med at virke.
kick	sparke	Spark bolden forsigtigt.
killing	et drab	Drabet chokerede landsbyen.
kind (caring)	venlig	Det var venligt gjort.
kiss	et kys	Hun gav babyen et kys.
label	en etiket	Læs etiketten før brug.
laboratory	et laboratorium	Laboratoriet er lukket i dag.
lack	en mangel	Mangel på søvn skader hukommelsen.
latest	seneste	Har du læst den seneste rapport?
lay	lægge	Læg bogen på bordet.
layer	et lag	Tilføj et lag maling.
leading	førende	Hun er en førende forsker.
leaf	et blad	Et blad faldt på min jakke.
leather	læder	Hans taske er lavet af læder.
legal	juridisk	Vi har brug for juridisk rådgivning.
leisure	fritid	Læsning er min yndlingsaktivitet i fritiden.
length	længde	Mål rummets længde.
lie2 (tell a lie)	lyve	Lyv ikke for dine forældre.
limit	en grænse	Hastighedsgrænsen er halvtreds.
lip	en læbe	Hun bed sig i læben.
liquid	en væske	Vand er en klar væske.
literature	litteratur	Hun studerer fransk litteratur.
live2	live	Bandet spillede live i går aftes.
living	levende	Levende planter har brug for lys.
locate	finde	Kan du finde filen?
located	placeret	Kontoret er placeret i centrum.
location	et sted	Dette er et godt sted.
lonely	ensom	Han følte sig ensom efter flytningen.
loss	et tab	Tabet var svært for alle.
luxury	luksus	Hotellet tilbyder ægte luksus.
mad	vred	Hun var vred over forsinkelsen.
magic	magi	Showet var fuldt af magi.
mainly	hovedsageligt	Gruppen består hovedsageligt af studerende.
mall	et indkøbscenter	Vi mødtes i indkøbscentret.
management	ledelse	God ledelse sparer tid.
marketing	markedsføring	Markedsføring hjælper med at sælge produktet.
marriage	et ægteskab	Deres ægteskab varede tredive år.
meanwhile	imens	Jeg lavede aftensmad imens.
measure	måle	Mål bordet omhyggeligt.
medium	mellemstor	Jeg bestilte en mellemstor pizza.
mental	mental	Stress påvirker mental sundhed.
mess	rod	Ryd op i dette rod.
mild	mild	Suppen har en mild smag.
mine (hole in the ground)	en mine	Minen lukkede sidste år.
mix	blande	Bland æggene med mælk.
mixture	en blanding	Blandingen blev tyk.
mood	humør	Musik ændrede hendes humør.
mud	mudder	Hans sko var dækket af mudder.
murder	et mord	Mordet skete om natten.
muscle	en muskel	Motion opbygger muskler.
mystery	et mysterium	Det gamle hus er et mysterium.
nail	en negl	Jeg knækkede en negl.
narrative	en fortælling	Romanen har en tydelig fortælling.
nation	en nation	Hele nationen fejrede.
native	modersmål	Spansk er hendes modersmål.
naturally	naturligt	Børn lærer naturligt gennem leg.
necessarily	nødvendigvis	Dyr mad er ikke nødvendigvis bedre.
needle	en nål	Nålen er meget skarp.
neighbourhood	et nabolag	De bor i et roligt nabolag.
net	et net	Fiskeren reparerede sit net.
nor	heller ikke	Han hverken smilede eller talte.
northern	nordlig	De besøgte den nordlige kyst.
nuclear	nuklear	Debatten handlede om kernekraft.
obvious	åbenlys	Svaret var åbenlyst.
obviously	åbenlyst	Åbenlyst har vi brug for mere tid.
occasion	en anledning	Dette er en særlig anledning.
occur	ske	Ulykker kan ske hvor som helst.
odd	mærkelig	Det var et mærkeligt spørgsmål.
official	officiel	Det officielle resultat kom i dag.
old-fashioned	gammeldags	Hendes telefon ser gammeldags ud.
operation	en operation	Operationen varede to timer.
organized	organiseret	Hendes skrivebord er meget organiseret.
organizer	en arrangør	Arrangøren bød gæsterne velkommen.
originally	oprindeligt	Hun kom oprindeligt fra Canada.
ought modal	burde	Du burde hvile.
ours	vores	Dette bord er vores.
outdoor	udendørs	Vi købte udendørsmøbler.
outdoors	udendørs	Børn bør lege udendørs.
package	en pakke	Pakken ankom i morges.
painful	smertefuld	Snittet var smertefuldt.
pale	bleg	Hans ansigt så blegt ud.
pan	en pande	Varm panden først.
participate	deltage	Alle kan deltage.
particularly	især	Jeg kan især lide denne sang.
passion	en passion	Musik er hendes passion.
path	en sti	Følg stien gennem parken.
payment	en betaling	Betalingen forfalder i morgen.
peaceful	fredelig	Haven er fredelig.
percentage	en procentdel	En lille procentdel var enig.
perfectly	perfekt	Planen virkede perfekt.
performance	en præstation	Hendes præstation var fremragende.
personally	personligt	Jeg foretrækker personligt te.
persuade	overtale	Kan du overtale ham til at være med?
photographer	en fotograf	Fotografen tog mange billeder.
photography	fotografering	Fotografering er hans yndlingshobby.
pin	en nål	Sæt en nål på kortet.
pipe	et rør	Røret fører vand.
planning	planlægning	Planlægning tager tid.
pleasant	behagelig	Vi havde en behagelig aften.
