source_headword	FI	example_FI
strengthen	vahvistaa	Uusi käytäntö vahvistaa verkkoturvallisuutta.
strictly	tiukasti	Liput on tiukasti rajoitettu kahteen henkilöä kohden.
striking	silmiinpistävä	Maalauksessa on silmiinpistävät värit.
stroke	veto	Hän maalasi yhden vedon paperin poikki.
stunning	upea	Vuoristonäkymä oli upea.
subsequent	seuraava	Seuraava kokous vahvisti budjetin.
subsequently	sen jälkeen	Tie suljettiin; sen jälkeen liikenne sujui hitaasti.
suburb	lähiö	He asuvat rauhallisessa lähiössä.
suffering	kärsimys	Lääke vähensi hänen kärsimystään.
sufficient	riittävä	Joukkueella on riittävästi aikaa.
sufficiently	riittävästi	Huone on riittävän lämmin.
super	super	Uusi tabletti on supernopea.
surgeon	kirurgi	Kirurgi korjasi vahingoittuneen polven.
survival	selviytyminen	Puhdas vesi on välttämätöntä selviytymiselle.
survivor	eloonjäänyt	Eloonjäänyt kuvaili tulvaa.
suspend	keskeyttää	Koulu saattaa keskeyttää matkan.
sustainable	kestävä	Maatila käyttää kestäviä menetelmiä.
swallow	niellä	Niele tabletti veden kanssa.
sympathetic	myötätuntoinen	Johtaja oli myötätuntoinen hänen ongelmalleen.
tackle	tarttua	Meidän on tartuttava asuntongelmaan.
tag	lappu	Laukussa oli hintalappu.
tap	hana	Hän sulki hanan.
technological	teknologinen	Teknologinen muutos vaikuttaa jokaiseen työpaikkaan.
teens	teini	Monet teinit käyttävät sosiaalista mediaa päivittäin.
temple	temppeli	Temppeli seisoi joen lähellä.
temporarily	tilapäisesti	Toimisto on tilapäisesti suljettu.
tendency	taipumus	Hänellä on taipumus saapua myöhässä.
tension	jännitys	Jännite nousi keskustelun aikana.
terms	ehto	Sopimuksen ehdot olivat selvät.
terribly	kauheasti	Lapsi oli kauheasti järkyttynyt.
terrify	pelottaa	Kovat äänet pelottavat koiraa.
territory	alue	Kartta näyttää uuden alueen.
terror	kauhu	Kauhu levisi hyökkäyksen jälkeen.
terrorism	terrorismi	Terrorismi uhkaa yleistä turvallisuutta.
terrorist	terroristi	Poliisi pidätti terroristin eilen.
testing	testaus	Tuotetestaus alkaa maanantaina.
textbook	oppikirja	Hän unohti biologian oppikirjansa.
theft	varkaus	Varkaudet lisääntyivät alueella.
therapist	terapeutti	Terapeutti auttoi häntä hallitsemaan ahdistusta.
thesis	opinnäytetyö	Hänen opinnäytetyönsä tutkii verkko-oppimista.
thorough	perusteellinen	Perusteellinen tarkistus ei löytänyt virheitä.
thoroughly	perusteellisesti	Puhdista haava perusteellisesti.
thumb	peukalo	Hän nosti peukalonsa merkiksi hyväksynnästä.
timing	ajoitus	Puhelun ajoitus oli täydellinen.
tissue	pehmopaperi	Hän pyyhki lasin pehmopaperilla.
ton	tonni	Kuorma-auto kuljetti yhden tonnin hiekkaa.
tonne	tonni	Lähetys painoi yhden tonnin.
tournament	turnaus	Tennisturnaus alkaa huomenna.
trace	jäljittää	Tutkijat voivat jäljittää viruksen lähteen.
trading	kaupankäynti	Osakekauppa pysähtyi keskipäivällä.
tragedy	tragedia	Onnettomuus oli kauhea tragedia.
tragic	traaginen	Onnettomuudella oli traagiset seuraukset.
trait	piirre	Kärsivällisyys on hyödyllinen piirre.
transmit	levittää	Hyttyset voivat levittää tautia.
transportation	liikenne	Julkinen liikenne on tänään ruuhkaista.
trap	pyydystää	Laatikko voi pyydystää hyönteisiä turvallisesti.
treasure	aarre	Vanhassa arkussa oli aarre.
tribe	heimo	Heimo suojeli perinteitään.
trigger	laukaista	Savu voi laukaista hälytyksen.
trillion	biljoona	Velka saavutti biljoonan dollarin.
troop	joukko	Joukko eteni kohti rajaa.
tsunami	tsunami	Tsunami tuhosi rannikon koteja.
ultimate	perimmäinen	Perimmäinen tavoite on rauha.
unacceptable	ei-hyväksyttävä	Viivästys oli matkustajille ei-hyväksyttävä.
uncertainty	epävarmuus	Epävarmuus teki sijoittajista hermostuneita.
undergo	käydä läpi	Potilas käy läpi leikkauksen huomenna.
undertake	suorittaa	Tiimi suorittaa kyselyn.
unfold	kehittyä	Draama alkoi kehittyä hitaasti.
unfortunate	valitettava	Virhe oli valitettava mutta korjattavissa.
unite	yhdistää	Johtajat yrittivät yhdistää puolueen.
unity	yhtenäisyys	Puhe peräänkuulutti kansallista yhtenäisyyttä.
universal	universaali	Sovellus käyttää universaalia muotoilua.
urgent	kiireellinen	Sairaala vastaanotti kiireellisen puhelun.
usage	käyttö	Opas selittää oikean käytön.
useless	hyödytön	Rikkoutunut laturi on hyödytön.
valid	voimassa	Passisi on yhä voimassa.
variation	vaihtelu	Hinnoissa on laajaa vaihtelua.
vertical	pystysuora	Kaaviossa on pystysuora akseli.
viewpoint	näkökulma	Hänen näkökulmansa muuttui väittelyn jälkeen.
visa	viisumi	Hän haki opiskelijaviisumia.
visible	näkyvä	Kyltti on näkyvä täältä.
voluntary	vapaaehtoinen	Kurssi sisältää vapaaehtoisia työpajoja.
voting	äänestys	Ennakkoäänestys alkaa ensi viikolla.
wander	vaellella	Turistit vaeltelevat vanhan torin läpi.
