source_headword	HI	example_HI
heal	ठीक होना	आराम करने से शरीर को ठीक होने में मदद मिलती है।
healthcare	स्वास्थ्य सेवा	इस वर्ष स्वास्थ्य सेवा की लागत बढ़ गई।
helmet	हेलमेट	बाइक पर हेलमेट पहनें।
hence	इसलिए	इसलिए, हमने कार्यक्रम बदल दिया।
herb	जड़ी-बूटी	तुलसी एक उपयोगी जड़ी-बूटी है।
hidden	छिपा हुआ	चाबी मैट के नीचे छिपी हुई थी।
highway	राजमार्ग	बर्फबारी के बाद राजमार्ग बंद कर दिया गया था।
hilarious	बहुत मज़ेदार	फिल्म बहुत मज़ेदार थी।
hip	कूल्हा	अभ्यास के दौरान उसके कूल्हे में चोट लग गई।
historian	इतिहासकार	इतिहासकार ने पुराने पत्रों का अध्ययन किया।
homeless	बेघर	आश्रय बेघर परिवारों की मदद करता है।
honesty	ईमानदारी	ईमानदारी विश्वास बनाती है।
hook	खूंटी	कोट को खूंटी पर टांग दें।
hopefully	उम्मीद है	उम्मीद है, ट्रेन जल्द ही आएगी।
hunger	भूख	भूख एकाग्रता को प्रभावित कर सकती है।
hypothesis	परिकल्पना	प्रयोग ने परिकल्पना का परीक्षण किया।
icon	आइकन	ऐप आइकन आज बदल गया है।
ID	पहचान पत्र	रिसेप्शन पर अपना पहचान पत्र दिखाएं।
identical	एक जैसा	जुड़वा बच्चों ने एक जैसी जैकेट पहनी थी।
illusion	भ्रम	आईना भ्रम पैदा करता है।
immigration	आप्रवासन	आप्रवासन नीति पिछले साल बदल गई।
immune	प्रतिरक्षित	टीकाकरण लोगों को प्रतिरक्षित बना सकता है।
implement	लागू करना	स्कूल नीति को लागू करेगा।
implication	निहितार्थ	निहितार्थ स्पष्ट था।
incentive	प्रोत्साहन	बोनस ने श्रमिकों को प्रोत्साहन दिया।
incorporate	शामिल करना	भोजन में अधिक सब्जियों को शामिल करें।
incorrect	गलत	उत्तर गलत था।
independence	स्वतंत्रता	देश ने स्वतंत्रता का जश्न मनाया।
index	अनुक्रमणिका	विषय के लिए अनुक्रमणिका की जाँच करें।
indication	संकेत	मुस्कान राहत का संकेत थी।
inevitable	अपरिहार्य	कुछ देरी अपरिहार्य थी।
inevitably	अनिवार्य रूप से	अनिवार्य रूप से, कमी के बाद कीमतें बढ़ीं।
infer	अनुमान लगाना	हम संदर्भ से उत्तर का अनुमान लगा सकते हैं।
inflation	मुद्रास्फीति	मुद्रास्फीति ने भोजन की कीमतें बढ़ा दीं।
info	जानकारी	वेबसाइट उपयोगी जानकारी सूचीबद्ध करती है।
