source_headword	DE	example_DE
toss	werfen	Sie warf die Schlüssel auf den Tisch.
total	sich belaufen auf	Die Reparaturen belaufen sich auf mehr als erwartet.
toxic	giftig	Der giftige Rauch zwang alle nach draußen.
trademark	das Markenzeichen	Das Logo wurde zum Markenzeichen des Unternehmens.
trail	der Pfad	Der Weg führte durch den Wald.
trailer	der Trailer	Der Trailer zeigte das Ende des Films.
transaction	die Transaktion	Die Transaktion erschien auf meinem Kontoauszug.
transcript	das Transkript	Der Student beantragte ein offizielles Transkript.
transformation	die Transformation	Die Stadt erlebte eine große Transformation.
transit	der Transport	Das Paket wurde während des Transports beschädigt.
transmission	die Übertragung	Die Übertragung der Daten war sicher.
transparency	die Transparenz	Der Bericht forderte mehr Transparenz.
transparent	transparent	Der Prozess sollte für jeden transparent sein.
trauma	das Trauma	Der Unfall hinterließ ein tiefes Trauma.
treaty	der Vertrag	Die Länder unterzeichneten einen Friedensvertrag.
tremendous	enorm	Das Team machte enorme Fortschritte.
tribal	stammesgeschichtlich	Das Museum stellte Stammeskunst aus.
tribunal	das Tribunal	Das Tribunal hörte die ganze Woche Beweise.
tribute	die Hommage	Das Konzert war eine Hommage an sie.
trio	das Trio	Das Trio trat auf dem Festival auf.
triumph	der Triumph	Der Sieg war ein persönlicher Triumph.
trophy	die Trophäe	Der Kapitän hob stolz den Pokal.
troubled	in Schwierigkeiten	Das in Schwierigkeiten geratene Unternehmen brauchte eine neue Führung.
trustee	der Treuhänder	Der Treuhänder verwaltet den Stipendienfonds.
tuition	die Studiengebühren	Ihre Studiengebühren haben sich dieses Jahr erhöht.
turnout	die Wahlbeteiligung	Die Wahlbeteiligung war höher als erwartet.
turnover	die Fluktuation	Die Personalfluktuation sank nach den Änderungen.
twist	drehen	Sie drehte den Deckel auf.
undergraduate	der Student	Der Student nahm an einem Forschungsprojekt teil.
underlying	zugrunde liegend	Der Bericht erklärte die zugrunde liegenden Ursachen.
undermine	untergraben	Der Skandal untergrub das öffentliche Vertrauen.
undoubtedly	zweifellos	Sie ist zweifellos die beste Kandidatin.
unify	vereinen	Der Plan zielt darauf ab, die Teams zu vereinen.
unprecedented	beispiellos	Der Sturm verursachte beispiellose Schäden.
unveil	enthüllen	Das Unternehmen wird das Design morgen enthüllen.
upcoming	bevorstehend	Die bevorstehende Wahl zog die öffentliche Aufmerksamkeit auf sich.
upgrade	aktualisieren	Wir haben die Software letzte Nacht aktualisiert.
uphold	aufrechterhalten	Wir halten die ursprüngliche Entscheidung aufrecht.
utility	die Nebenkosten	Die Wohnung beinhaltet alle Nebenkosten.
utilize	nutzen	Das Team nutzte die verfügbaren Daten.
utterly	völlig	Die Erklärung war völlig verwirrend.
vacuum	das Vakuum	Das Vakuum in der Führung schuf Spannung.
vague	vage	Seine Antwort war vage und schwach.
validity	die Gültigkeit	Die Studie stellte die Gültigkeit des Tests in Frage.
vanish	verschwinden	Die Datei verschwand aus dem Ordner.
variable	die Variable	Der Preis ist eine wichtige Variable.
varied	abwechslungsreich	Der Kurs bietet abwechslungsreiche Aufgaben.
vein	die Vene	Die Krankenschwester fand schnell eine Vene.
venture	das Unternehmen	Das neue Unternehmen zog Investoren an.
verbal	mündlich	Sie trafen eine mündliche Vereinbarung.
verdict	das Urteil	Die Jury fällte ihr Urteil.
verify	verifizieren	Bitte verifizieren Sie Ihre E-Mail-Adresse.
verse	der Vers	Sie zitierte einen Vers aus dem Gedicht.
versus	gegen	Die Debatte lautete Privatsphäre gegen Sicherheit.
vessel	das Schiff	Das Schiff transportierte Getreide über das Meer.
veteran	der Veteran	Der Veteran schulte das neue Personal.
viable	machbar	Der Vorschlag ist finanziell tragfähig.
vibrant	lebendig	Die Stadt hat eine lebendige Kunstszene.
vice	das Laster	Gier war sein größtes Laster.
vicious	brutal	Der brutale Angriff schockierte die Stadt.
villager	der Dorfbewohner	Ein Dorfbewohner führte uns zum Fluss.
violate	verstoßen gegen	Das Unternehmen könnte gegen Sicherheitsregeln verstoßen.
violation	der Verstoß	Der Inspektor meldete einen schweren Verstoß.
virtue	die Tugend	Geduld ist eine wichtige Tugend.
vocal	lautstark	Sie äußerte sich lautstark zu der Entscheidung.
vow	schwören	Er gelobte, die Arbeit zu beenden.
vulnerability	die Schwachstelle	Die Prüfung ergab eine Sicherheitslücke.
vulnerable	anfällig	Kinder sind bei extremer Hitze anfällig.
ward	die Station	Der Patient wurde auf eine andere Station verlegt.
warehouse	das Lager	Das Lager lagert Ersatzteile.
warfare	die Kriegsführung	Moderne Kriegsführung verlässt sich auf Technologie.
warrant	der Durchsuchungsbeschluss	Die Polizei zeigte einen Durchsuchungsbeschluss.
warrior	der Krieger	Der Krieger beschützte das Dorf.
weaken	schwächen	Die Verletzung schwächte seinen Griff.
weave	flechten	Sie lernte, Körbe zu flechten.
weed	das Unkraut	Ein Unkraut wuchs zwischen den Steinen.
well	der Brunnen	Der Dorfbrunnen trocknete aus.
well-being	das Wohlbefinden	Schlaf ist lebenswichtig für das Wohlbefinden.
whatsoever	überhaupt	Er zeigte überhaupt kein Interesse.
whereby	wodurch	Das Gesetz schuf ein System, wodurch Familien Berufung einlegen konnten.
whilst	während	Sie arbeitete, während er sich ausruhte.
whip	peitschen	Der Wind kann die Flaggen peitschen.
wholly	völlig	Die Entscheidung war völlig unerwartet.
widen	verbreitern	Die Stadt plant, die Straße zu verbreitern.
widow	die Witwe	Die Witwe lebt in der Nähe der Schule.
width	die Breite	Messen Sie die Breite der Tür.
willingness	die Bereitschaft	Ihre Hilfsbereitschaft beeindruckte alle.
wipe	abwischen	Wischen Sie den Bildschirm mit einem Tuch ab.
wit	der Witz	Sein Witz machte die Rede lebendig.
withdrawal	der Rückzug	Die Rücknahme der Finanzierung verzögerte das Projekt.
workout	das Training	Das Training dauerte vierzig Minuten.
worship	der Gottesdienst	Die Menschen versammelten sich im Morgengrauen zum Gottesdienst.
worthwhile	lohnend	Die Reise war lohnenswert.
worthy	würdig	Die Wohltätigkeitsorganisation ist unterstützenswert.
yell	schreien	Schreien Sie das Personal nicht an.
yield	der Ertrag	Der Ertrag der Farm verbesserte sich in dieser Saison.
youngster	der Jugendliche	Der Junge stellte viele Fragen.
