source_headword	SK	example_SK
abolish	zrušiť	Zákon zruší starý poplatok.
abortion	potrat	Potrat zostáva citlivým medicínskym problémom.
absence	neprítomnosť	Jej neprítomnosť zdržala konečné rozhodnutie.
absent	neprítomný	Dvaja členovia boli z hodiny neprítomní.
absurd	absurdný	Tvrdenie znelo všetkým absurdne.
abundance	hojnosť	Údolie má hojnosť vody.
abuse	zneužívanie	Správa opisovala zneužívanie na pracovisku.
academy	akadémia	Akadémia školí mladých hudobníkov.
accelerate	urýchliť	Nové financovanie urýchli výskum.
acceptance	prijatie	Jeho prijatie kritiky na mňa urobilo dojem.
accessible	prístupný	Múzeum je prístupné vozičkárom.
accomplishment	úspech	Dokončenie knihy bol skutočný úspech.
accordance	súlad	Práca bola vykonaná v súlade s politikou.
accordingly	podľa toho	Dôkazy sa zmenili a my sme konali podľa toho.
accountability	zodpovednosť	Zásady zvyšujú zodpovednosť manažérov.
accountable	zodpovedný	Manažéri sú zodpovední za bezpečnosť.
accumulate	hromadiť sa	Za obrazovkou sa môže hromadiť prach.
accumulation	hromadenie	Hromadenie údajov trvalo mesiace.
accusation	obvinenie	Obvinenie šokovalo komisiu.
accused	obvinený	Obvinený sa dostavil na súd.
acquisition	akvizícia	Akvizícia spoločnosť rýchlo rozšírila.
acre	aker	Farma sa rozkladá na jednom akri.
activation	aktivácia	Aktivácia karty trvá niekoľko minút.
activist	aktivista	Aktivista prehovoril na zhromaždení.
acute	akútny	Po behu cítila akútnu bolesť.
adaptation	adaptácia	Adaptácia zmenila koniec románu.
adhere	dodržiavať	Zamestnanci musia dodržiavať bezpečnostné pravidlá.
adjacent	priľahlý	Hotel je priľahlý k stanici.
adjustment	úprava	Malá úprava problém vyriešila.
administer	podávať	Zdravotné sestry podávajú vakcínu opatrne.
administrative	administratívny	Administratívny personál vybavuje formuláre.
administrator	administrátor	Administrátor mi resetoval heslo.
admission	vstupné	Vstupné do múzea je zadarmo.
adolescent	dospievajúci	Dospievajúci potreboval mimoriadnu podporu.
adoption	adopcia	Adopcia poskytla dieťaťu stabilný domov.
adverse	nepriaznivý	Liek spôsobil nepriaznivé účinky.
advocate	zástanca	Zástanca obhajoval práva nájomníkov.
aesthetic	estetický	Miestnosť má pokojný estetický štýl.
affection	náklonnosť	Prejavila náklonnosť k svojej rodine.
aftermath	následky	Následky búrky boli ťažké.
aggression	agresia	Učiteľ si cez prestávku všimol agresiu.
agricultural	poľnohospodársky	Poľnohospodársky vývoz tento rok vzrástol.
aide	asistent	Asistent organizoval ministrov program.
albeit	hoci	Plán fungoval, hoci pomaly.
alert	upozorniť	Okamžite upozornite personál.
align	zarovnať	Šípky sú zarovnané s cestou.
alignment	nastavenie	Nastavenie kolies zlepšilo ovládateľnosť auta.
alike	rovnako	Dvojičky sa cez víkendy obliekajú rovnako.
allegation	tvrdenie	Tvrdenie sa objavilo v novinách.
allege	tvrdiť	Tvrdia, že sa stratili finančné prostriedky.
allegedly	údajne	Vodič údajne ignoroval varovanie.
alliance	aliancia	Strany vytvorili dočasnú alianciu.
allocate	prideliť	Mesto pridelí peniaze školám.
allocation	rozdelenie	Rozdelenie miest bolo nespravodlivé.
allowance	vreckové	Jej vreckové pokryje obed a dopravu.
ally	spojenec	Kanada sa stala blízkym spojencom.
aluminium	hliník	Rám je vyrobený z hliníka.
amateur	amatér	Fotku urobil amatérsky fotograf.
ambassador	veľvyslanec	Veľvyslanec sa stretol s miestnymi študentmi.
amend	zmeniť	Parlament odhlasoval zmenu zákona.
amendment	pozmeňujúci návrh	Pozmeňujúci návrh zmenil jeden odsek.
amid	uprostred	Prejav prišiel uprostred rastúceho napätia.
analogy	analógia	Učiteľ použil jednoduchú analógiu.
anchor	kotva	Loď spustila kotvu blízko ostrova.
angel	anjel	Dieťa malo na sebe kostým anjela.
