source_headword	TR	example_TR
machine	makine	Bu makine kahve yapar.
magazine	dergi	O bir müzik dergisi okur.
main	ana; temel	Bu ana kapı.
make	yapmak; hazırlamak	Evde öğle yemeği yaparım.
man	adam; erkek	Adam benim öğretmenim.
many	çok	Burada çok öğrenci var.
map	harita	Haritaya bak.
March	mart	Doğum günüm martta.
market	pazar; market	Pazardan meyve alırız.
married	evli	Kız kardeşim evli.
May	mayıs	Okul mayısta biter.
maybe	belki	Belki yağmur yağar.
me	beni; bana	Lütfen bana yardım et.
meal	yemek	Bu yemek sıcak.
mean	anlamına gelmek	Bu işaret ne anlama gelir?
meaning	anlam	Anlamı nedir?
meat	et	Akşam yemeğinde et yerim.
meet	buluşmak; tanışmak	Derslerden sonra buluşuruz.
meeting	toplantı	Toplantı şimdi başlar.
member	üye	O kulüp üyesi.
menu	menü	Lütfen menüyü oku.
message	mesaj	Kısa bir mesaj gönderirim.
metre	metre	Bir metre ileri yürü.
midnight	gece yarısı	Tren gece yarısı kalkar.
mile	mil	Bir mil yürürüz.
milk	süt	Kahvaltıda süt içerim.
million	milyon	Burada bir milyon insan yaşar.
minute1	dakika	Lütfen bir dakika bekle.
miss	özlemek	Eski okulumu özlüyorum.
mistake	hata	Bu cevapta hata var.
model	model	Bu küçük bir model.
modern	modern	Mutfak modern.
moment	an; dakika	Lütfen bir an bekle.
Monday	pazartesi	Pazartesi işe başlarız.
money	para	Biraz paraya ihtiyacım var.
month	ay	Haziran sıcak bir ay.
more	daha fazla	Daha fazla zamana ihtiyacım var.
morning	sabah	Sabah ders çalışırım.
most	çoğu	Çoğu öğrenci müziği sever.
mother	anne	Annem bugün çalışıyor.
mountain	dağ	Dağ yüksek.
mouse	fare	Fare sandalyenin altında.
mouth	ağız	Lütfen ağzını aç.
move	hareket etmek; taşımak	Sandalyeyi buraya taşı.
movie	film	Bu akşam film izleriz.
much	çok; ne kadar	Bu ne kadar?
mum	anne; anneciğim	Annem evde.
museum	müze	Müze onda açılır.
music	müzik	Müzik dinlerim.
must modal	-meli; zorunda	Burada durmalısın.
my	benim	Bu benim kitabım.
name	ad	Adını buraya yaz.
natural	doğal	Bu meyve suyu doğal.
near	yakın	Banka buraya yakın.
need	ihtiyaç duymak; gerek	Kaleme ihtiyacım var.
negative	olumsuz	Bu cevap olumsuz.
neighbour	komşu	Komşum arkadaş canlısı.
never	asla; hiç	Hiç kahve içmem.
new	yeni	Bu telefon yeni.
news	haber	Haberler bugün iyi.
newspaper	gazete	O gazete okur.
next	sonraki; gelecek	Sonraki otobüs geç kaldı.
next to	yanında	Yanıma otur.
nice	güzel; hoş	Oda hoş.
night	gece	Gece uyurum.
nine	dokuz	Burada dokuz öğrenci var.
nineteen	on dokuz	O on dokuz yaşında.
ninety	doksan	Dedem doksan yaşında.
no	hayır	Hayır, teşekkür ederim.
no one	hiç kimse	Odada hiç kimse yok.
