simplified	RU	example_RU
爱情	романтическая любовь; любовь	Это трогательная история любви.
安排	планировать; устраивать; план	Какие у тебя планы на эти выходные?
安全	безопасный; безопасность	Пожалуйста, будь осторожен.
按时	вовремя; в срок	Я выполнил задание вовремя.
按照	согласно; в соответствии с	Этот план очень хороший, просто действуй по нему.
百分之	процент	Восемьдесят процентов задания выполнено.
棒	отличный; замечательный	У тебя отличный почерк!
包子	баоцзы; паровой пирожок	Баоцзы в этом ресторане очень вкусные.
保护	защищать; охранять	Люди должны защищать окружающую среду.
保证	гарантировать; обещать; гарантия	Обещаю, я больше не опоздаю.
报名	записываться; регистрироваться	Какие материалы нужны для регистрации?
抱	обнимать; держать на руках	Он взял ребенка на руки.
抱歉	извиняться; сожалеть	Мне очень жаль, что заставил тебя так долго ждать.
倍	раз; вдвое; кратно	По сравнению с прошлым годом число иностранных студентов в нашей школе удвоилось.
本来	первоначально; вообще-то	Я собирался пойти на представление, но внезапно появились дела.
笨	глупый; несообразительный	Ты не глупый, тебе просто нужно больше стараться.
比如	например; к примеру	У меня много увлечений, например плавание и чтение.
毕业	окончить учебное заведение; выпуск	В этом году я на третьем курсе, а в следующем выпускаюсь.
遍	раз; один проход действия	Он повторил это дело еще раз.
标准	стандарт; норма; стандартный	У тебя очень стандартное произношение путунхуа.
表格	бланк; форма; таблица	Пожалуйста, впишите свое имя в бланк.
表示	выражать; показывать; означать	Пожалуйста, передай ему благодарность.
表演	выступление; представление; выступать	Какое представление ты собираешься показать?
表扬	хвалить; похвала	Директор часто его хвалит.
饼干	печенье; крекер	Я купил печенье, давай немного съедим.
并且	и к тому же; кроме того	Она очень умная и к тому же очень старается.
博士	доктор наук; кандидат наук	Позвольте представить: это доктор Ли.
不过	однако; всего лишь	Он отличный, однако не соответствует требованиям компании при найме.
不得不	быть вынужденным; приходится	На улице сильный дождь, поэтому мне приходится оставаться дома.
不管	независимо от; неважно	Неважно, какая погода, мне нужно подняться на гору.
不仅	не только	Я не только был в том городе, но и бывал там много раз.
部分	часть; раздел	Самая важная часть статьи - третий абзац.
擦	вытирать; стирать; тереть	Я уже вымыл окна.
猜	угадывать; предполагать	Угадай, какой подарок на день рождения я тебе приготовил?
材料	материал; данные	Какие материалы нужны для регистрации?
参观	посещать; осматривать	На выходных я хочу посетить Великую китайскую стену.
餐厅	ресторан; столовая	Рядом со школой открылся новый ресторан.
厕所	туалет	Мужской туалет находится на первом этаже.
差不多	почти; примерно; более или менее	Я каждый день встаю примерно в семь часов.
尝	пробовать на вкус	Подойди и попробуй блюда, которые я приготовил. Как вкус?
