source_headword	IT	example_IT
stranger	lo sconosciuto	Uno sconosciuto ha chiesto indicazioni.
strength	la forza	La sua forza ha aiutato la squadra.
string	lo spago	Lega la scatola con lo spago.
strongly	fortemente	Sono fortemente in disaccordo con quell'idea.
studio	lo studio	L'artista lavora in un piccolo studio.
stuff	la roba	Metti la tua roba sullo scaffale.
substance	la sostanza	La polizia ha trovato una strana sostanza.
successfully	con successo	Hanno finito il progetto con successo.
sudden	improvviso	Un rumore improvviso ci ha svegliato.
suffer	soffrire	Molte piante soffrono con il tempo secco.
suitable	adatto	Questa giacca è adatta per la scuola.
summarize	riassumere	Puoi riassumere l'articolo?
summary	il riassunto	Scrivi un breve riassunto stasera.
supply	la fornitura	La città ha bisogno di una fornitura di acqua pulita.
supporter	il tifoso	Ogni tifoso ha esultato ad alta voce.
surely	sicuramente	Sicuramente possiamo risolverlo.
surface	la superficie	La superficie sembrava fredda e liscia.
survive	sopravvivere	Questi animali sopravvivono agli inverni freddi.
switch	spegnere	Spegni la luce della cucina.
symptom	il sintomo	Una tosse può essere un sintomo.
tail	la coda	Il cane ha una coda lunga.
talent	il talento	Ha un talento per la musica.
talented	talentuoso	È un giovane attore talentuoso.
tape	il nastro adesivo	Usa del nastro adesivo per chiudere la scatola.
tax	la tassa	Tutti devono pagare questa tassa.
technical	tecnico	Abbiamo avuto un problema tecnico.
technique	la tecnica	Questa tecnica fa risparmiare tempo.
tend	tendere	I bambini tendono a imparare in fretta.
tent	la tenda	Abbiamo dormito in una piccola tenda.
theirs	il loro	Le bici blu sono le loro.
theme	il tema	La festa aveva un tema da spiaggia.
theory	la teoria	La sua teoria spiega il problema.
therefore	quindi	Ha piovuto, quindi siamo rimasti dentro.
though	sebbene	Sebbene stanca, ha continuato a lavorare.
throat	la gola	Mi fa male la gola stamattina.
throughout	per tutto	Le persone hanno ballato per tutta la serata.
tight	stretto	Queste scarpe sembrano troppo strette.
till	finché	Aspetta qui finché non torno.
tin	il barattolo	Apri un barattolo di fagioli.
tiny	minuscolo	Un uccellino minuscolo è atterrato vicino.
toe	il dito del piede	Mi sono fatto male al dito del piede ieri.
tongue	la lingua	Si è bruciata la lingua con il tè.
total	totale	Il costo totale era basso.
totally	totalmente	Capisco totalmente la tua preoccupazione.
trade	il commercio	Il commercio internazionale crea posti di lavoro.
translate	tradurre	Per favore traduci questa frase.
translation	la traduzione	La traduzione suona naturale.
treat	trattare	Tratta tutti con rispetto.
treatment	il trattamento	Il paziente ha bisogno di un trattamento oggi.
trend	la tendenza	Questa tendenza sta crescendo in tutto il mondo.
trick	il trucco	Quel trucco di carte mi ha sorpreso.
truth	la verità	Per favore di' la verità.
tube	il tubetto	Spremi il tubetto delicatamente.
typically	tipicamente	Gli studenti tipicamente arrivano prima delle nove.
tyre	la gomma	L'auto ha bisogno di una nuova gomma.
ugly	brutto	Quel colore del muro è brutto.
unable	incapace	Non è stato in grado di rispondere.
uncomfortable	scomodo	Questa sedia è scomoda.
underwear	la biancheria intima	Metti in valigia biancheria intima pulita per il viaggio.
unemployed	disoccupato	È stata disoccupata per due mesi.
unemployment	la disoccupazione	La disoccupazione è aumentata durante l'inverno.
unfair	ingiusto	La decisione sembrava ingiusta.
union	il sindacato	Il sindacato ha chiesto un lavoro più sicuro.
unless	a meno che	Non andartene a meno che non chiami io.
unlike	a differenza di	A differenza di Tom, Ana ama l'inverno.
unlikely	improbabile	La neve è improbabile questa settimana.
unnecessary	inutile	Le borse extra non sono necessarie.
unpleasant	spiacevole	La stanza aveva un odore spiacevole.
update	aggiornare	Devo aggiornare il mio telefono.
upon	su	C'era una volta un re.
upset	turbato	Si sentiva turbata dopo la chiamata.
used1	usato	Questa stanza è usata per le riunioni.
used2	abituato	Sono abituato alle mattine presto.
valuable	prezioso	Questo orologio è prezioso.
value	il valore	La casa ha perso valore l'anno scorso.
various	vari	Abbiamo provato vari piatti locali.
version	la versione	Questa versione funziona meglio.
victim	la vittima	La vittima ha chiamato la polizia.
viewer	lo spettatore	Uno spettatore ha fatto una domanda.
violent	violento	Il film era troppo violento.
volunteer	fare volontariato	Faccio volontariato in biblioteca.
vote	votare	Ricordati di votare domani.
warn	avvertire	Ho cercato di avvertirlo.
warning	l'avviso	L'avviso è apparso sullo schermo.
waste	sprecare	Non sprecare acqua pulita.
weapon	l'arma	Il coltello è diventato un'arma.
weigh	pesare	Pesa la farina con attenzione.
western	occidentale	Hanno guardato un film western.
whatever	qualsiasi cosa	Scegli qualsiasi cosa ti piaccia.
whenever	ogni volta che	Chiama ogni volta che hai bisogno di aiuto.
whether	se	Non so se lei è d'accordo.
wing	l'ala	L'uccello si è fatto male a un'ala.
within	entro	Si prega di rispondere entro due giorni.
wonder	chiedersi	Mi chiedo cosa sia successo.
wool	la lana	Questo cappotto è fatto di lana.
worldwide	in tutto il mondo	La canzone è diventata popolare in tutto il mondo.
worth	valere la pena	Vale la pena leggere questo libro.
written	scritto	Si prega di inviare istruzioni scritte.
yard	il cortile	I bambini giocavano nel cortile.
youth	la gioventù	I club giovanili supportano gli adolescenti locali.
