simplified	CS	example_CS
啊	částice souhlasu nebo potvrzení	Dobře, pojďme teď.
阿姨	teta; chůva; starší žena	Teta pracuje ve velkém obchodě.
矮	nízký; malý	Tento stůl je trochu nízký.
爱好	koníček; zájem	Mým koníčkem je poslouchat hudbu.
安静	tichý; klidný	V knihovně je velmi ticho.
把	držet; uchopit; předmětová částice	Prosím, zavřete dveře.
搬	stěhovat se; přenášet	Zítra se stěhujeme.
班	třída; skupina	V naší třídě je dvacet žáků.
办法	způsob; metoda; řešení	Tento způsob je velmi dobrý.
办公室	kancelář	Vedoucí je v kanceláři.
半	půl; polovina	Čekal jsem půl hodiny.
帮忙	pomáhat; podat pomoc	Můžete pomoct?
包	taška; balit; obalit	Koupila si novou tašku.
饱	sytý; najedený	Už jsem sytý.
北方	sever; severní část	Na severu je zima velmi chladná.
被	trpná částice; od	Moje kolo si půjčil kamarád.
鼻子	nos	Jeho nos je trochu červený.
比较	porovnávat; docela	Dnes je docela horko.
比赛	zápas; soutěž	Tento zápas je velmi důležitý.
笔记本	sešit; zápisník	Položil jsem sešit na stůl.
必须	muset; být nutné	Musíš se pečlivě připravit.
变化	změna; měnit se	Toto město se hodně změnilo.
别人	jiní lidé	Neber věci jiných lidí.
冰箱	lednice	Ovoce je v lednici.
不但…而且…	nejen... ale také...	Je nejen chytrý, ale také pracovitý.
菜单	jídelní lístek	Prosím, dejte mi jídelní lístek.
参加	účastnit se; zúčastnit se	Chci se zúčastnit této schůzky.
草	tráva	Štěně běhá po trávě.
层	patro; vrstva	Tato budova má tři patra.
差	špatný; lišit se; chybět	Dnes je špatné počasí.
超市	velký obchod; samoobsluha	Jdu do velkého obchodu koupit chleba.
衬衫	košile; halenka	Tato košile je velmi čistá.
城市	město	Peking je velké město.
成绩	výsledek; známka	Jeho známky z matematiky jsou velmi dobré.
迟到	přijít pozdě	Nepřijď pozdě na hodinu.
除了	kromě; mimo	Kromě kávy chci také čaj.
船	loď	Do toho města jedeme lodí.
春	jaro	Na jaře je mnoho květin.
词典	slovník	Tento slovník je velmi užitečný.
聪明	chytrý; inteligentní	Toto dítě je velmi chytré.
打扫	uklízet; zametat	O víkendu uklízím pokoj.
打算	plánovat; zamýšlet	Jaké máš plány na zítra?
带	přinést; vzít s sebou	Prosím, vezměte si pas.
担心	mít starost; obávat se	Neměj starost, pomůžu ti.
蛋糕	dort; koláč	Tento dort je velmi sladký.
当然	samozřejmě; jistě	Samozřejmě můžeš.
地	částice příslovečného určení; -ě	Usmál se šťastně.
灯	lampa; světlo	Prosím, rozsviťte světlo.
地方	místo; oblast	Toto místo je velmi klidné.
地铁	metro	Každý den jezdím do práce metrem.
地图	mapa	Hledám školu na mapě.
电梯	výtah	Výtah je vlevo.
电子邮件	elektronická pošta	Posílám učiteli zprávu elektronickou poštou.
东	východ	Slunce vychází na východě.
冬	zima	V zimě rád piju horký čaj.
动物	zvíře	Panda je v Číně známé zvíře.
短	krátký	Tyto kalhoty jsou příliš krátké.
段	odstavec; úsek	Prosím, přečtěte tento odstavec.
锻炼	cvičit; trénovat	Každé ráno cvičím.
多么	jak; jaký	Jak dobré je zdejší prostředí!
饿	hladový	Mám hlad a chci jíst chleba.
耳朵	ucho	Trochu mě bolí ucho.
发	posílat; vydávat	Večer posílám zprávy elektronickou poštou.
发烧	mít horečku	Má horečku a nemůže jít do školy.
发现	objevit; zjistit	Zjistil jsem, že tento způsob je dobrý.
方便	pohodlný; výhodný	Jízda metrem je pohodlná.
放	položit; dát; pustit	Prosím, položte knihu na stůl.
放心	být klidný; přestat se bát	Neboj se, přijdu včas.
分	dělit; rozdělit	Prosím, rozdělte dort mezi všechny.
复习	opakovat učivo; opakování	Před zkouškou musím opakovat učivo.
附近	poblíž; okolí	Poblíž je restaurace.
干净	čistý; uklizený	Tento pokoj je velmi čistý.
感冒	nachladit se; nachlazení	Jsem nachlazený a chci si odpočinout.
感兴趣	mít zájem	Mám velký zájem o čínštinu.
刚才	právě; před chvílí	Kdo ti před chvílí volal?
个子	výška; postava	Je vysoký.
