source_headword	UZ	example_UZ
stranger	begona	Bir begona yo'lni so'radi.
strength	kuch	Uning kuchi jamoaga yordam berdi.
string	ip	Qutini ip bilan bog'lang.
strongly	qat'iyan	Men bu fikrga qat'iyan qo'shilmayman.
studio	studiya	Rassom kichik studiyada ishlaydi.
stuff	narsa	Narsalaringizni javonga qo'ying.
substance	modda	Politsiya g'alati modda topdi.
successfully	muvaffaqiyatli	Ular loyihani muvaffaqiyatli yakunladilar.
sudden	to'satdan	To'satdan chiqqan shovqin bizni uyg'otdi.
suffer	aziyat chekmoq	Ko'pgina o'simliklar quruq havoda aziyat chekadi.
suitable	mos	Bu kurtka maktab uchun mos.
summarize	xulosa qilmoq	Maqolani qisqacha xulosa qilib bera olasizmi?
summary	xulosa	Bugun kechqurun qisqacha xulosa yozing.
supply	ta'minot	Shaharga toza suv ta'minoti kerak.
supporter	muxlis	Har bir muxlis baland ovozda qo'llab-quvvatladi.
surely	albatta	Albatta biz buni hal qila olamiz.
surface	yuza	Yuza sovuq va silliq edi.
survive	omon qolmoq	Bu hayvonlar sovuq qishda omon qoladi.
switch	o'chirib-yoqmoq	Oshxona chirog'ini o'chiring.
symptom	alomat	Yo'tal alomat bo'lishi mumkin.
tail	dum	Itning dumi uzun.
talent	iqtidor	Uning musiqaga iqtidori bor.
talented	iste'dodli	U iste'dodli yosh aktyor.
tape	skotch	Qutini yopish uchun skotchdan foydalaning.
tax	soliq	Hamma bu soliqni to'lashi kerak.
technical	texnik	Bizda texnik muammo yuzaga keldi.
technique	usul	Bu usul vaqtni tejaydi.
tend	moyil bo'lmoq	Bolalar tez o'rganishga moyil bo'ladilar.
tent	chodir	Biz kichik chodirda uxladik.
theirs	ularniki	Ko'k velosipedlar ularniki.
theme	mavzu	Ziyofat plyaj mavzusida edi.
theory	nazariya	Uning nazariyasi muammoni tushuntirib beradi.
therefore	shuning uchun	Yomg'ir yog'di, shuning uchun biz ichkarida qoldik.
though	-ga qaramay	Charchagan bo'lishiga qaramay, u ishlashda davom etdi.
throat	tomoq	Bugun ertalab tomog'im og'riyapti.
throughout	davomida	Odamlar butun oqshom davomida raqsga tushishdi.
tight	tor	Bu poyabzal juda tor.
till	gacha	Men qaytgunimcha shu yerda kuting.
tin	konserva	Loviya konservasini oching.
tiny	mitti	Yaqinimizga mitti qush qo'ndi.
toe	oyoq barmog'i	Kecha oyoq barmog'imni shikastlab oldim.
tongue	til	U choyga tilini kuydirib oldi.
total	umumiy	Umumiy xarajat past edi.
totally	to'liq	Sizning xavotiringizni to'liq tushunaman.
trade	savdo	Xalqaro savdo ish o'rinlarini yaratadi.
translate	tarjima qilmoq	Iltimos, ushbu gapni tarjima qiling.
translation	tarjima	Tarjima tabiiy eshitiladi.
treat	munosabatda bo'lmoq	Hammaga hurmat bilan munosabatda bo'ling.
treatment	davolash	Bemorga bugun muolaja kerak.
trend	trend	Bu trend butun dunyo bo'ylab o'smoqda.
trick	hiyla	U karta fokusi meni hayratda qoldirdi.
truth	haqiqat	Iltimos, haqiqatni ayting.
tube	tyubik	Tyubikni sekin siqing.
typically	odatda	Talabalar odatda soat to'qqizdan oldin kelishadi.
tyre	shina	Mashinaga yangi shina kerak.
ugly	xunuk	Devorning bu rangi xunuk ko'rinadi.
unable	qodir emas	U javob berishga qodir emas edi.
uncomfortable	noqulay	Bu stul noqulay.
underwear	ichki kiyim	Sayohat uchun toza ichki kiyimlarni joylang.
unemployed	ishsiz	U ikki oy davomida ishsiz edi.
unemployment	ishsizlik	Qish davomida ishsizlik oshdi.
unfair	adolatsiz	Qaror adolatsiz tuyuldi.
union	kasaba uyushmasi	Kasaba uyushmasi xavfsizroq ishlashni talab qildi.
