source_headword	LT	example_LT
strengthen	sustiprinti	Nauja politika sustiprins saugumą internete.
strictly	griežtai	Bilietų skaičius griežtai ribojamas iki dviejų vienam asmeniui.
striking	ryškus	Paveikslas pasižymi ryškiomis spalvomis.
stroke	potėpis	Ji perbraukė popierių vienu potėpiu.
stunning	stulbinantis	Kalnų vaizdas buvo stulbinantis.
subsequent	vėlesnis	Vėlesniame susitikime buvo patvirtintas biudžetas.
subsequently	vėliau	Kelias buvo uždarytas; vėliau eismas vyko lėtai.
suburb	priemiestis	Jie gyvena ramiame priemiestyje.
suffering	kančia	Vaistai sumažino jo kančias.
sufficient	pakankamas	Komanda turi pakankamai laiko.
sufficiently	pakankamai	Kambarys yra pakankamai šiltas.
super	super	Naujoji planšetė yra super greita.
surgeon	chirurgas	Chirurgas sutvarkė pažeistą kelį.
survival	išgyvenimas	Švarus vanduo yra būtinas išgyvenimui.
survivor	išgyvenusysis	Išgyvenusysis papasakojo apie potvynį.
suspend	sustabdyti	Mokykla gali sustabdyti išvyką.
sustainable	tvarus	Ferma naudoja tvarius metodus.
swallow	nuryti	Nurykite tabletę su vandeniu.
sympathetic	užjaučiantis	Vadovas buvo užjaučiantis dėl jos problemos.
tackle	imtis	Turime imtis būsto problemos.
tag	etiketė	Krepšys turėjo kainos etiketę.
tap	čiaupas	Ji užsuko čiaupą.
technological	technologinis	Technologiniai pokyčiai veikia kiekvieną darbo vietą.
teens	paaugliai	Daugelis paauglių kasdien naudoja socialinius tinklus.
temple	šventykla	Šventykla stovėjo netoli upės.
temporarily	laikinai	Biuras laikinai uždarytas.
tendency	polinkis	Jis turi polinkį vėluoti.
tension	įtampa	Diskusijos metu įtampa augo.
terms	sąlygos	Sutarties sąlygos buvo aiškios.
terribly	baisiai	Vaikas buvo baisiai nusiminęs.
terrify	gąsdinti	Garsūs garsai gąsdina šunį.
territory	teritorija	Žemėlapis rodo naują teritoriją.
terror	teroras	Po išpuolio pasklido teroras.
terrorism	terorizmas	Terorizmas kelia grėsmę visuomenės saugumui.
terrorist	teroristas	Policija vakar suėmė teroristą.
testing	testavimas	Produkto testavimas prasideda pirmadienį.
textbook	vadovėlis	Ji pamiršo savo biologijos vadovėlį.
theft	vagystė	Vagysčių skaičius rajone išaugo.
therapist	terapeutas	Terapeutas padėjo jam suvaldyti nerimą.
thesis	disertacija	Jos disertacija nagrinėja mokymąsi internete.
thorough	kruopštus	Kruopštus patikrinimas nerado jokių klaidų.
thoroughly	kruopščiai	Kruopščiai išvalykite žaizdą.
thumb	nykštys	Jis pakėlė nykštį pritardamas.
timing	laikas	Skambučio laikas buvo tobulas.
tissue	servetėlė	Ji nuvalė stiklinę servetėle.
ton	tona	Sunkvežimis vežė vieną toną smėlio.
tonne	tona	Siunta svėrė vieną toną.
tournament	turnyras	Teniso turnyras prasideda rytoj.
trace	atsekti	Mokslininkai gali atsekti viruso šaltinį.
trading	prekyba	Prekyba akcijomis sustojo vidurdienį.
tragedy	tragedija	Avarija buvo baisi tragedija.
tragic	tragiškas	Avarija turėjo tragiškų pasekmių.
trait	bruožas	Kantrybė yra naudingas bruožas.
transmit	pernešti	Uodai gali pernešti ligą.
transportation	transportas	Viešasis transportas šiandien perpildytas.
trap	pagauti	Dėžutė gali saugiai pagauti vabzdžius.
treasure	lobis	Senoje skrynioje buvo lobis.
tribe	gentis	Gentis saugojo savo tradicijas.
trigger	suaktyvinti	Dūmai gali suaktyvinti signalizaciją.
trillion	trilijonas	Skola pasiekė vieną trilijoną dolerių.
troop	būrys	Būrys judėjo link sienos.
tsunami	cunamis	Cunamis sunaikino pakrantės namus.
ultimate	galutinis	Galutinis tikslas yra taika.
unacceptable	nepriimtinas	Vėlavimas keleiviams buvo nepriimtinas.
uncertainty	neapibrėžtumas	Neapibrėžtumas vertė investuotojus nerimauti.
undergo	patirti	Rytoj pacientui bus atlikta operacija.
undertake	imtis	Komanda imsis apklausos.
unfold	klostytis	Drama pradėjo pamažu klostytis.
unfortunate	apgailėtinas	Klaida buvo apgailėtina, bet ištaisoma.
unite	suvienyti	Lyderiai bandė suvienyti partiją.
unity	vienybė	Kalba ragino siekti nacionalinės vienybės.
universal	universalus	Programėlė naudoja universalų dizainą.
urgent	skubus	Ligoninė sulaukė skubaus skambučio.
usage	vartojimas	Vadovas paaiškina teisingą vartojimą.
useless	nenaudingas	Sugedęs įkroviklis yra nenaudingas.
valid	galiojantis	Jūsų pasas vis dar galiojantis.
variation	svyravimas	Kainos labai svyruoja.
vertical	vertikalus	Grafikas turi vertikalią ašį.
viewpoint	požiūris	Po debatų jos požiūris pasikeitė.
visa	viza	Jis kreipėsi dėl studento vizos.
visible	matomas	Ženklas matomas iš čia.
voluntary	savanoriškas	Kursą sudaro savanoriški seminarai.
voting	balsavimas	Išankstinis balsavimas prasideda kitą savaitę.
wander	klaidžioti	Turistai klaidžioja po senąjį turgų.
warming	atšilimas	Globalinis atšilimas veikia jūros lygį.
weekly	kas savaitę	Komanda rengia kassavaitinį susitikimą.
weird	keistas	Triukšmas skambėjo keistai.
welfare	gerovė	Programa remia vaikų gerovę.
wheat	kviečiai	Ūkininkas augina kviečius.
whoever	kas tik	Kas atvyks pirmas, turėtų palaukti lauke.
widespread	platus	Audra padarė plačią žalą.
wisdom	išmintis	Jos močiutė pasidalino praktiška išmintimi.
withdraw	atsiimti	Jis nusprendė atsiimti savo paraišką.
workforce	darbo jėga	Darbo jėgai reikia naujų įgūdžių.
workplace	darbo vieta	Darbo vietoje galioja aiškios saugumo taisyklės.
workshop	seminaras	Seminaras prasideda dešimtą valandą.
worm	kirminas	Kirminas judėjo per dirvožemį.
wrist	riešas	Ji susižeidė riešą.
