source_headword	ZH	example_ZH
hunt	寻找；打猎	他们秋天寻找蘑菇。
hurricane	飓风	飓风损坏了许多房屋。
hurry	匆忙	今天不用着急。
identity	身份	她的身份一直保密。
ignore	忽视	不要忽视这个警告。
illegal	违法的	在这里停车是违法的。
imaginary	想象中的	故事里有一座想象中的岛。
immediate	立即的	我们需要立即答复。
immigrant	移民	那个移民很快学会了英语。
impact	影响	这条新闻产生了强烈影响。
import	进口	这个国家将进口更多大米。
importance	重要性	她明白睡眠的重要性。
impression	印象	他的第一印象是积极的。
impressive	令人印象深刻的	博物馆有一个令人印象深刻的入口。
improvement	改善	这个月有明显改善。
incredibly	难以置信地	这次考试难得难以置信。
indeed	确实	那确实是奇怪的一天。
indicate	指示	标志会指示出口。
indirect	间接的	她给了一个间接的回答。
indoor	室内的	这家酒店有室内游泳池。
indoors	在室内	暴风雨期间我们待在室内。
influence	影响	他的老师有很大影响。
ingredient	原料	面粉是主要原料。
injure	使受伤	不要伤到你的背。
injured	受伤的	受伤的球员离开了球场。
innocent	无辜的	那个孩子看起来完全无辜。
intelligence	智力	她在课堂上表现出很高智力。
intend	打算	我打算出国学习。
intention	意图	他的意图是帮忙。
invest	投资	他们把钱投资在教育上。
investigate	调查	警方将调查这起事故。
involved	参与的	几名学生参与其中。
iron	铁	大门是用铁做的。
issue	问题	这是一个严重问题。
IT	信息技术	她从事信息技术工作。
journal	日记	他写日记。
judge	法官	法官认真地听着。
keen	热衷的	她热衷于学习。
keyboard	键盘	我的键盘坏了。
kick	踢	轻轻踢球。
killing	杀害	这起杀害震惊了村庄。
kind (caring)	善良的	那是一件善良的事。
kiss	吻	她亲了宝宝一下。
label	标签	使用前请阅读标签。
laboratory	实验室	实验室今天关闭。
lack	缺乏	缺乏睡眠会伤害记忆。
latest	最新的	你读过最新报告了吗？
lay	放置	把书放在桌子上。
layer	层	再加一层油漆。
leading	领先的	她是一位领先的科学家。
leaf	叶子	一片叶子落在我的外套上。
leather	皮革	他的包是皮革做的。
legal	法律的	我们需要法律建议。
leisure	休闲	阅读是我最喜欢的休闲活动。
length	长度	测量房间的长度。
lie2 (tell a lie)	撒谎	不要对父母撒谎。
limit	限制	速度限制是五十。
lip	嘴唇	她咬了咬嘴唇。
liquid	液体	水是透明液体。
literature	文学	她学习法国文学。
live2	现场直播的	乐队昨晚现场演出。
living	活着的	活植物需要光。
locate	找到	你能找到文件吗？
located	位于	办公室位于市中心。
location	位置	这是一个好位置。
lonely	孤独的	搬家后他感到孤独。
loss	损失	这次损失让每个人都难过。
luxury	奢华	酒店提供真正的奢华。
mad	生气的	她因为延误而生气。
magic	魔法	表演充满了魔法。
mainly	主要地	这个小组主要是学生。
mall	购物中心	我们在购物中心见面。
management	管理	良好的管理节省时间。
marketing	营销	营销有助于销售产品。
marriage	婚姻	他们的婚姻持续了三十年。
meanwhile	同时	同时我做了晚饭。
measure	测量	仔细测量这张桌子。
medium	中等的	我点了一个中号披萨。
mental	心理的	压力影响心理健康。
mess	混乱	把这片混乱清理干净。
mild	温和的	这汤味道温和。
mine (hole in the ground)	矿井	这座矿井去年关闭了。
mix	混合	把鸡蛋和牛奶混合。
mixture	混合物	混合物变稠了。
mood	心情	音乐改变了她的心情。
mud	泥	他的鞋上沾满了泥。
murder	谋杀	谋杀发生在夜里。
muscle	肌肉	锻炼能增强肌肉。
mystery	谜	那座老房子是个谜。
nail	指甲	我弄断了一根指甲。
narrative	叙事	这部小说叙事清晰。
nation	国家	整个国家都在庆祝。
native	本土的	西班牙语是她的母语。
naturally	自然地	孩子通过玩耍自然学习。
necessarily	必然地	昂贵的食物不一定更好。
needle	针	这根针很尖。
neighbourhood	街区	他们住在安静的街区。
net	网	渔民修好了他的网。
nor	也不	他既没有笑也没有说话。
northern	北方的	他们参观了北部海岸。
nuclear	核的	辩论是关于核能的。
obvious	明显的	答案很明显。
obviously	显然	显然我们需要更多时间。
occasion	场合	这是一个特殊场合。
occur	发生	事故可能在任何地方发生。
odd	奇怪的	那是个奇怪的问题。
official	官方的	官方结果今天到了。
old-fashioned	过时的	她的手机看起来过时。
operation	手术	手术持续了两个小时。
organized	有条理的	她的书桌很有条理。
organizer	组织者	组织者欢迎了客人。
originally	原来	她原来来自加拿大。
ought modal	应该	你应该休息。
ours	我们的	这张桌子是我们的。
outdoor	户外的	我们买了户外家具。
outdoors	在户外	孩子们应该在户外玩。
package	包裹	包裹今天早上到了。
painful	疼痛的	伤口很疼。
pale	苍白的	他的脸看起来苍白。
pan	平底锅	先把平底锅加热。
participate	参加	每个人都可以参加。
particularly	特别地	我特别喜欢这首歌。
passion	热情	音乐是她的热情所在。
path	小路	沿着小路穿过公园。
payment	付款	付款明天到期。
peaceful	宁静的	花园很宁静。
percentage	百分比	一小部分人同意了。
perfectly	完美地	计划执行得很完美。
performance	表演	她的表演很出色。
personally	就个人而言	就个人而言我更喜欢茶。
persuade	说服	你能说服他加入吗？
photographer	摄影师	摄影师拍了许多照片。
photography	摄影	摄影是他最喜欢的爱好。
pin	大头针	在地图上放一枚大头针。
pipe	管道	管道输送水。
planning	规划	规划需要时间。
pleasant	愉快的	我们度过了一个愉快的晚上。
pleasure	高兴	很高兴认识你。
plenty	大量	我们有很多时间。
plot	情节	情节很容易理解。
plus1	加	二加三等于五。
poem	诗	她写了一首短诗。
poet	诗人	诗人大声朗读。
poetry	诗歌	他喜欢现代诗歌。
poison	毒药	把毒药放在儿童够不到的地方。
poisonous	有毒的	有些蘑菇有毒。
policy	政策	公司改变了政策。
political	政治的	这次演讲带有政治色彩。
politician	政治家	政治家回答了问题。
politics	政治	政治可能很复杂。
port	港口	船进入了港口。
portrait	肖像	肖像挂在大厅里。
possibly	可能	她可能会迟到。
pot	花盆	植物需要更大的花盆。
pour	倒	慢慢倒牛奶。
poverty	贫困	许多家庭生活在贫困中。
powder	粉末	把粉末加到水里。
powerful	强大的	发动机很强大。
practical	实用的	这是一个实用的解决办法。
pray	祈祷	他们每天早上祈祷。
prayer	祷告	她低声做了祷告。
prediction	预测	他的预测是正确的。
prepared	准备好的	我为考试准备好了。
presentation	演示	她的演示很清楚。
press	按	按一下按钮。
pressure	压力	压力会影响你的健康。
pretend	假装	不要假装睡着了。
previous	以前的	上一课更容易。
previously	以前	我们以前住在罗马。
priest	神父	神父轻声说话。
primary	主要的	健康是我们的主要关切。
prince	王子	王子参观了学校。
princess	公主	公主穿着蓝色连衣裙。
printing	打印	打印报告花了几分钟。
prisoner	囚犯	囚犯夜里逃跑了。
private	私人的	这是私人谈话。
producer	制片人	制片人喜欢这部电影。
production	生产	生产下周开始。
profession	职业	教学是受尊重的职业。
profit	利润	商店赚了利润。
promote	促进	他们促进健康饮食。
proper	合适的	远足要穿合适的鞋。
properly	正确地	把门正确关好。
property	房产	他们在河边买了房产。
protest	抗议	抗议和平结束了。
proud	骄傲的	她为儿子感到骄傲。
prove	证明	你能证明你的答案吗？
punish	惩罚	老师没有惩罚他。
punishment	惩罚	惩罚看起来公平。
qualification	资格	你需要资格才能做这份工作。
qualified	合格的	她是一名合格护士。
qualify	取得资格	我们队可能取得资格。
queue	队伍	我们排了很长的队。
quit	戒掉；退出	他决定戒烟。
quotation	引文	文章以一段引文开始。
quote	引用	我可以引用你的话吗？
race (people)	种族	表格询问种族。
racing	赛马	赛马在那里很受欢迎。
range	范围	商店出售各种各样的商品。
rare	稀有的	这种鸟很稀有。
rarely	很少	我们很少出去吃饭。
reaction	反应	她的反应让我惊讶。
reality	现实	现实和他的梦想不同。
receipt	收据	保留收据。
recommendation	推荐	谢谢你的推荐。
reference	参考	在末尾添加参考。
reflect	反射	镜子可以反射光。
regularly	定期地	她定期锻炼。
reject	拒绝	他们可能会拒绝这个提议。
relate	有共鸣	我能对那个故事产生共鸣。
related	相关的	这两个问题相关。
relation	关系	它们之间有关系。
relative	相对的	速度是相对的。
relaxed	放松的	晚饭后他感到放松。
relaxing	令人放松的	音乐令人放松。
release	发布	他们很快会发布这部电影。
reliable	可靠的	这辆公交车通常可靠。
religion	宗教	宗教对她很重要。
religious	宗教的	他们参观了一座宗教建筑。
remain	保持	请保持冷静。
remind	提醒	明天提醒我。
remote	偏远的	他们住在一个偏远村庄。
rent	租金	租金今天到期。
repeated	重复的	重复错误拖慢了工作。
represent	代表	星星代表希望。
require	需要	这份工作需要培训。
reservation	预订	我做了预订。
resource	资源	图书馆是有用资源。
respect	尊重	尊重你的同学。
responsibility	责任	照顾儿童是重大责任。
responsible	负责的	她负责门票。
retire	退休	我父亲很快会退休。
retired	退休的	他是一名退休教师。
revise	修改	今晚修改你的文章。
risk	风险	有下雨的风险。
robot	机器人	机器人清洁了地板。
roll	滚	把球滚给我。
romantic	浪漫的	他们吃了一顿浪漫晚餐。
rope	绳子	把绳子系紧。
rough	粗糙的	道路很粗糙。
row1	排	坐在前排。
royal	王室的	王室成员到了。
rugby	橄榄球	我们在电视上看橄榄球。
safety	安全	工作中的安全很重要。
sailor	水手	水手修好了船。
sample	样本	护士取了血液样本。
sand	沙子	沙子盖住了我的鞋。
scan	扫描	先扫描文件。
scientific	科学的	这是科学方法。
script	剧本	演员读了剧本。
sculpture	雕塑	雕塑立在外面。
secondary	次要的	这是次要问题。
security	安保	安保检查了我们的包。
seed	种子	把种子种进土里。
sensible	明智的	那是明智的想法。
seriously	认真地	认真对待这个问题。
servant	仆人	仆人打开了门。
set (put)	放置	把杯子放在桌上。
set (group)	一套	这一套包括六个杯子。
setting	背景	故事有城市背景。
sex	性别	表格询问年龄和性别。
sexual	性的	课堂讨论了性健康。
sharp	锋利的	这把刀很锋利。
shelf	架子	把书放在架子上。
shell	贝壳	贝壳是空的。
shift	班次	我的班次八点开始。
shine	发光	星星在夜里发光。
shiny	有光泽的	她的鞋很有光泽。
shoot	拍摄	摄影师将拍摄这个场景。
shy	害羞的	他对陌生人很害羞。
sight	景象	那座山是一道美丽景象。
signal	信号	信号很弱。
silent	安静的	房间变得安静。
silly	愚蠢的	那是个愚蠢的错误。
similarity	相似性	有明显相似性。
similarly	同样地	第二个计划同样有效。
simply	简单地	只需按这个按钮。
sink	下沉	重石头会很快下沉。
slice	片	我吃了一片蛋糕。
slightly	稍微	房间稍微暖和些。
smart	整洁的	她穿着整洁的夹克。
smooth	光滑的	道路很平坦。
software	软件	软件需要更新。
soil	土壤	土壤很干。
solid	坚固的	墙很坚固。
southern	南方的	他们住在南部海岸。
specifically	明确地	我明确要求要茶。
spending	支出	政府支出增加了。
spicy	辣的	这咖喱很辣。
spirit	精神	团队表现出强大精神。
spoken	口语的	英语口语通过练习提高。
spot	地点	这个地点很完美。
spread	涂抹	把黄油涂在面包上。
stadium	体育场	体育场坐满了人。
staff	员工	员工很乐于助人。
standard	标准	标准很高。
statistic	统计数字	这个统计数字令人惊讶。
statue	雕像	雕像立在广场上。
stick (push into/attach)	粘贴	把标签粘在盒子上。
stick (piece of wood)	木棍	他捡起一根木棍。
