source_headword	HY	example_HY
abandon	լքել	Նրանք երեկ հրաժարվեցին ծրագրից։
absolute	բացարձակ	Մեզ այստեղ բացարձակ ազնվություն է պետք։
acceptable	ընդունելի	Նրա պատասխանը ընդունելի էր։
accompany	ուղեկցել	Նրա եղբայրը ուղեկցեց նրան տուն։
accurate	ճշգրիտ	Զեկույցը ճշգրիտ է թվում։
accuse	մեղադրել	Նրանք մեղադրեցին նրան ստելու մեջ։
acknowledge	ընդունել	Խնդրում ենք ընդունել սխալը։
acquire	ձեռք բերել	Նա արագ նոր հմտություններ ձեռք բերեց։
actual	իրական	Իրական արժեքը ավելի ցածր էր։
adapt	հարմարվել	Մենք հարմարվեցինք փոփոխությանը։
additional	լրացուցիչ	Լրացուցիչ օգնությունն այսօր ժամանեց։
administration	ադմինիստրացիա	Ադմինիստրացիան փոխեց քաղաքականությունը։
adopt	որդեգրել	Նրանք նոր մեթոդ որդեգրեցին։
advance	առաջընթաց	Մենք փոքր առաջընթաց գրանցեցինք։
affair	գործ	Այս գործը վնասեց հանրային վստահությանը։
afterwards	հետո	Հետո բոլորը հանգստացան։
agency	գործակալություն	Գործակալությունը երեք թարգմանիչ ընդունեց աշխատանքի։
agenda	օրակարգ	Անվտանգությունը օրակարգում է։
aggressive	ագրեսիվ	Նրա տոնը ագրեսիվ էր հնչում։
aid	օգնություն	Բժշկական օգնությունը արագ հասավ։
aircraft	օդանավ	Օդանավը բարեհաջող վայրէջք կատարեց։
alter	փոխել	Մի փոխեք համաձայնագիրը։
anger	զայրույթ	Նրա զայրույթը զարմացրեց բոլորին։
angle	անկյուն	Փորձեք տեսախցիկի մեկ այլ անկյուն։
anniversary	տարեդարձ	Նրանց տարեդարձը վաղն է։
annual	ամենամյա	Ամենամյա հանդիպումը սկսվում է երկուշաբթի։
anxious	անհանգիստ	Նա վիրահատությունից առաջ անհանգիստ էր։
apparent	ակնհայտ	Նրա հիասթափությունը ակնհայտ էր։
apparently	ըստ երևույթին	Ըստ երևույթին, գնացքն ուշանում է։
appeal	բողոքարկում	Որոշումը կարող է բողոքարկվել։
approach	մոտեցում	Նրա մոտեցումը լուծեց խնդիրը։
appropriate	համապատասխան	Ընտրեք համապատասխան պատասխան։
approval	հաստատում	Նախագիծը հաստատման կարիք ունի։
approve	հաստատել	Խորհուրդը հաստատեց բյուջեն։
arise	առաջանալ	Խնդիրները կարող են ավելի ուշ առաջանալ։
armed	զինված	Զինված պահակները դրսում էին կանգնած։
arms	զենք	Նրանք վայր դրեցին իրենց զենքերը։
artificial	արհեստական	Ծաղիկները արհեստական էին թվում։
artistic	գեղարվեստական	Նա գեղարվեստական տաղանդ ունի։
ashamed	ամաչած	Նա հետո ամաչեց։
aspect	ասպեկտ	Ուշադիր քննարկեք յուրաքանչյուր ասպեկտ։
