source_headword	DE	example_DE
hunt	suchen	Sie suchen im Herbst nach Pilzen.
hurricane	der Hurrikan	Der Hurrikan beschädigte viele Häuser.
hurry	die Eile	Heute besteht keine Eile.
identity	die Identität	Ihre Identität blieb geheim.
ignore	ignorieren	Ignoriere diese Warnung nicht.
illegal	illegal	Es ist illegal, hier zu parken.
imaginary	imaginär	Die Geschichte hat eine imaginäre Insel.
immediate	sofortig	Wir brauchen eine sofortige Antwort.
immigrant	der Einwanderer	Der Einwanderer lernte schnell Englisch.
impact	die Auswirkung	Die Nachricht hatte eine starke Auswirkung.
import	importieren	Das Land wird mehr Reis importieren.
importance	die Bedeutung	Sie verstand die Bedeutung von Schlaf.
impression	der Eindruck	Sein erster Eindruck war positiv.
impressive	beeindruckend	Das Museum hat einen beeindruckenden Eingang.
improvement	die Verbesserung	Diesen Monat gab es eine klare Verbesserung.
incredibly	unglaublich	Der Test war unglaublich schwierig.
indeed	tatsächlich	Es war tatsächlich ein seltsamer Tag.
indicate	anzeigen	Das Schild wird den Ausgang anzeigen.
indirect	indirekt	Sie gab eine indirekte Antwort.
indoor	innen	Das Hotel hat ein Hallenbad.
indoors	drinnen	Wir blieben während des Sturms drinnen.
influence	der Einfluss	Sein Lehrer hatte einen starken Einfluss.
ingredient	die Zutat	Mehl ist die Hauptzutat.
injure	verletzen	Verletze deinen Rücken nicht.
injured	verletzt	Der verletzte Spieler verließ das Feld.
innocent	unschuldig	Das Kind sah völlig unschuldig aus.
intelligence	die Intelligenz	Sie zeigte große Intelligenz im Unterricht.
intend	beabsichtigen	Ich beabsichtige, im Ausland zu studieren.
intention	die Absicht	Seine Absicht war zu helfen.
invest	investieren	Sie investieren Geld in Bildung.
investigate	untersuchen	Die Polizei wird den Unfall untersuchen.
involved	beteiligt	Mehrere Schüler waren beteiligt.
iron	das Eisen	Das Tor ist aus Eisen.
issue	das Problem	Dies ist ein ernstes Problem.
IT	die IT	Sie arbeitet in der IT.
journal	das Tagebuch	Er schreibt in ein Tagebuch.
judge	der Richter	Der Richter hörte aufmerksam zu.
keen	begeistert	Sie ist begeistert davon zu lernen.
keyboard	die Tastatur	Meine Tastatur funktioniert nicht mehr.
kick	treten	Tritt den Ball vorsichtig.
killing	der Mord	Der Mord schockierte das Dorf.
kind (caring)	freundlich	Das war eine freundliche Geste.
kiss	der Kuss	Sie gab dem Baby einen Kuss.
label	das Etikett	Lies das Etikett vor der Benutzung.
laboratory	das Labor	Das Labor ist heute geschlossen.
lack	der Mangel	Schlafmangel schadet dem Gedächtnis.
latest	neueste	Hast du den neuesten Bericht gelesen?
lay	legen	Leg das Buch auf den Tisch.
layer	die Schicht	Füge eine weitere Farbschicht hinzu.
leading	führend	Sie ist eine führende Wissenschaftlerin.
leaf	das Blatt	Ein Blatt fiel auf meinen Mantel.
leather	das Leder	Seine Tasche ist aus Leder.
legal	rechtlich	Wir brauchen rechtlichen Rat.
leisure	die Freizeit	Lesen ist meine liebste Freizeitbeschäftigung.
length	die Länge	Miss die Länge des Zimmers.
lie2 (tell a lie)	lügen	Lüg deine Eltern nicht an.
limit	die Grenze	Die Geschwindigkeitsgrenze ist fünfzig.
lip	die Lippe	Sie biss sich auf die Lippe.
liquid	die Flüssigkeit	Wasser ist eine klare Flüssigkeit.
literature	die Literatur	Sie studiert französische Literatur.
live2	live	Die Band spielte gestern Abend live.
living	lebend	Lebende Pflanzen brauchen Licht.
locate	lokalisieren	Kannst du die Datei lokalisieren?
located	gelegen	Das Büro liegt in der Innenstadt.
location	der Standort	Das ist ein guter Standort.
lonely	einsam	Er fühlte sich nach dem Umzug einsam.
loss	der Verlust	Der Verlust war schwer für alle.
luxury	der Luxus	Das Hotel bietet echten Luxus.
mad	wütend	Sie war wegen der Verzögerung wütend.
magic	die Magie	Die Show war voller Magie.
mainly	hauptsächlich	Die Gruppe besteht hauptsächlich aus Studenten.
mall	das Einkaufszentrum	Wir trafen uns im Einkaufszentrum.
management	das Management	Gutes Management spart Zeit.
marketing	das Marketing	Marketing hilft, das Produkt zu verkaufen.
marriage	die Ehe	Ihre Ehe dauerte dreißig Jahre.
meanwhile	inzwischen	Ich kochte inzwischen das Abendessen.
measure	messen	Miss den Tisch sorgfältig.
medium	mittelgroß	Ich bestellte eine mittelgroße Pizza.
mental	mental	Stress beeinflusst die mentale Gesundheit.
mess	die Unordnung	Räum diese Unordnung auf.
mild	mild	Die Suppe hat einen milden Geschmack.
mine (hole in the ground)	das Bergwerk	Das Bergwerk wurde letztes Jahr geschlossen.
mix	mischen	Mische die Eier mit Milch.
mixture	die Mischung	Die Mischung wurde dick.
mood	die Stimmung	Musik veränderte ihre Stimmung.
mud	der Schlamm	Seine Schuhe waren mit Schlamm bedeckt.
murder	der Mord	Der Mord geschah nachts.
muscle	der Muskel	Sport baut Muskeln auf.
mystery	das Geheimnis	Das alte Haus ist ein Geheimnis.
nail	der Fingernagel	Ich habe mir einen Fingernagel abgebrochen.
narrative	die Erzählung	Der Roman hat eine klare Erzählung.
nation	die Nation	Die ganze Nation feierte.
native	muttersprachlich	Spanisch ist ihre Muttersprache.
naturally	natürlich	Kinder lernen natürlich durch Spielen.
necessarily	unbedingt	Teures Essen ist nicht unbedingt besser.
needle	die Nadel	Die Nadel ist sehr spitz.
neighbourhood	die Nachbarschaft	Sie wohnen in einer ruhigen Nachbarschaft.
net	das Netz	Der Fischer reparierte sein Netz.
nor	noch	Er lächelte weder, noch sprach er.
northern	nördlich	Sie besuchten die nördliche Küste.
nuclear	nuklear	Die Debatte ging um Kernenergie.
obvious	offensichtlich	Die Antwort war offensichtlich.
obviously	offensichtlich	Offensichtlich brauchen wir mehr Zeit.
occasion	der Anlass	Dies ist ein besonderer Anlass.
occur	geschehen	Unfälle können überall geschehen.
odd	seltsam	Das war eine seltsame Frage.
official	offiziell	Das offizielle Ergebnis kam heute an.
old-fashioned	altmodisch	Ihr Telefon sieht altmodisch aus.
operation	die Operation	Die Operation dauerte zwei Stunden.
organized	organisiert	Ihr Schreibtisch ist sehr organisiert.
organizer	der Organisator	Der Organisator begrüßte die Gäste.
originally	ursprünglich	Sie kam ursprünglich aus Kanada.
ought modal	sollte	Du solltest dich ausruhen.
ours	unser	Dieser Tisch gehört uns.
outdoor	draußen	Wir kauften Gartenmöbel.
outdoors	draußen	Kinder sollten draußen spielen.
package	das Paket	Das Paket kam heute Morgen an.
painful	schmerzhaft	Der Schnitt war schmerzhaft.
pale	blass	Sein Gesicht sah blass aus.
pan	die Pfanne	Erhitze zuerst die Pfanne.
participate	teilnehmen	Alle können teilnehmen.
particularly	besonders	Dieses Lied gefällt mir besonders.
passion	die Leidenschaft	Musik ist ihre Leidenschaft.
path	der Weg	Folge dem Weg durch den Park.
payment	die Zahlung	Die Zahlung ist morgen fällig.
peaceful	friedlich	Der Garten ist friedlich.
percentage	der Prozentsatz	Ein kleiner Prozentsatz stimmte zu.
perfectly	perfekt	Der Plan funktionierte perfekt.
performance	die Leistung	Ihre Leistung war ausgezeichnet.
personally	persönlich	Ich persönlich bevorzuge Tee.
persuade	überreden	Kannst du ihn überreden mitzumachen?
photographer	der Fotograf	Der Fotograf machte viele Fotos.
photography	die Fotografie	Fotografie ist sein Lieblingshobby.
pin	die Stecknadel	Steck eine Nadel auf die Karte.
pipe	das Rohr	Das Rohr transportiert Wasser.
planning	die Planung	Planung braucht Zeit.
pleasant	angenehm	Wir hatten einen angenehmen Abend.
pleasure	das Vergnügen	Es war ein Vergnügen, dich kennenzulernen.
plenty	viel	Wir haben viel Zeit.
plot	die Handlung	Die Handlung war leicht zu verfolgen.
plus1	plus	Zwei plus drei ist fünf.
poem	das Gedicht	Sie schrieb ein kurzes Gedicht.
poet	der Dichter	Der Dichter las laut vor.
poetry	die Poesie	Er mag moderne Poesie.
poison	das Gift	Halte das Gift von Kindern fern.
poisonous	giftig	Einige Pilze sind giftig.
policy	die Richtlinie	Das Unternehmen änderte seine Richtlinie.
political	politisch	Die Rede war politisch.
politician	der Politiker	Der Politiker beantwortete Fragen.
politics	die Politik	Politik kann kompliziert sein.
port	der Hafen	Das Schiff lief in den Hafen ein.
portrait	das Porträt	Das Porträt hängt in der Halle.
possibly	möglicherweise	Sie kommt möglicherweise spät an.
pot	der Topf	Die Pflanze braucht einen größeren Topf.
pour	gießen	Gieße die Milch langsam ein.
poverty	die Armut	Viele Familien leben in Armut.
powder	das Pulver	Gib das Pulver ins Wasser.
powerful	stark	Der Motor ist stark.
practical	praktisch	Das ist eine praktische Lösung.
pray	beten	Sie beten jeden Morgen.
prayer	das Gebet	Sie sprach ein leises Gebet.
prediction	die Vorhersage	Seine Vorhersage war richtig.
prepared	vorbereitet	Ich bin auf die Prüfung vorbereitet.
presentation	die Präsentation	Ihre Präsentation war klar.
press	drücken	Drücke den Knopf einmal.
pressure	der Druck	Druck kann deine Gesundheit beeinflussen.
pretend	so tun als ob	Tu nicht so, als würdest du schlafen.
previous	vorherig	Die vorherige Lektion war einfacher.
previously	früher	Wir lebten früher in Rom.
priest	der Priester	Der Priester sprach leise.
primary	hauptsächlich	Gesundheit ist unser Hauptanliegen.
prince	der Prinz	Der Prinz besuchte die Schule.
princess	die Prinzessin	Die Prinzessin trug ein blaues Kleid.
printing	das Drucken	Das Drucken des Berichts dauerte Minuten.
prisoner	der Gefangene	Der Gefangene entkam nachts.
private	privat	Dies ist ein privates Gespräch.
producer	der Produzent	Dem Produzenten gefiel der Film.
production	die Produktion	Die Produktion beginnt nächste Woche.
profession	der Beruf	Lehren ist ein angesehener Beruf.
profit	der Gewinn	Der Laden machte Gewinn.
promote	fördern	Sie fördern gesunde Ernährung.
proper	richtig	Trage richtige Schuhe zum Wandern.
properly	richtig	Schließe die Tür richtig.
