source_headword	CS	example_CS
rock (music)	rocková hudba	Miluji rockovou hudbu.
role	role	Její role je důležitá.
roof	střecha	Střecha potřebuje opravu.
round	kulatý	Stůl je kulatý.
route	trasa	Tato trasa je kratší.
rubbish	odpadky	Vynes odpadky ven.
rude	hrubý	Ten komentář byl hrubý.
runner	běžec	Běžec vypadá unaveně.
running	běh	Běh mě udržuje zdravého.
sadly	bohužel	Bohužel jsme zmeškali vlak.
safe	bezpečný	Tato ulice působí bezpečně.
sail	plout; plachtit	V sobotu budeme plachtit.
sailing	plachtění	Plachtění je zde populární.
salary	plat	Jeho plat je teď vyšší.
sale	výprodej	Výprodej začíná zítra.
sauce	omáčka	Přidej omáčku k rýži.
save	uložit	Ulož svou práci teď.
scared	vyděšený	Dítě je vyděšené.
scary	děsivý	Tento příběh je děsivý.
scene	scéna	Poslední scéna byla vtipná.
schedule	rozvrh; plán	Zkontroluj dnes rozvrh.
score	skóre; výsledek	Jaké je skóre?
screen	obrazovka	Opatrně vyčisti obrazovku.
search	hledat	Hledej obrázky na internetu.
season	roční období	Léto je rušné roční období.
seat	sedadlo	Vezmi si toto sedadlo, prosím.
second1 (next after the first)	za druhé	Za druhé, umyj si ruce.
secondly	za druhé	Za druhé, zkontroluj odpověď.
secret	tajemství	Udrž toto tajemství v bezpečí.
secretary	sekretář; sekretářka	Sekretářka dnes volala.
seem	zdát se	Vypadáš unaveně.
sense	smysl; význam	Tento plán dává smysl.
separate	oddělený	Drž papíry odděleně.
series	seriál; série	Tento seriál je populární.
serious	vážný	Tento problém je vážný.
serve	podávat	Podávají oběd v poledne.
service	služba	Služba byla rychlá.
several	několik	Několik studentů přišlo brzy.
shake	třást; zatřást	Nejprve zatřes lahví.
shall modal	mít	Máme začít teď?
shape	tvar	Nakresli čtvercový tvar.
sheet	prostěradlo	Polož prostěradlo na postel.
ship	loď	Loď dnes odplula.
shoulder	rameno	Bolí mě rameno.
shout	křičet	Nekřič ve třídě.
shut	zavřít	Zavři okno, prosím.
side	strana	Posaď se na tuto stranu.
sign	cedule	Přečti si ceduli pozorně.
silver	stříbro	Stříbro je světlý kov.
simple	jednoduchý	Toto cvičení je jednoduché.
since	od	Čekám od poledne.
singing	zpěv	Zpěv mi pomáhá relaxovat.
single	jeden; jednotlivý	Koupil jsem si jednu jízdenku.
sir	pane	Pane, vaše taška je připravena.
site	web; stránka	Tento web je bezpečný.
size	velikost	Jakou velikost potřebuješ?
ski	lyžovat	V zimě lyžujeme.
skiing	lyžování	Lyžování je v zimě zábavné.
skin	kůže	Její kůže je suchá.
sky	obloha	Obloha je jasná.
slowly	pomalu	Jdi po ledu pomalu.
smartphone	chytrý telefon	Můj chytrý telefon je nový.
smell	vůně; cítit	Polévka krásně voní.
smile	úsměv; usmát se	Usměj se do kamery.
smoke	kouř	Kouř naplnil místnost.
smoking	kouření	Kouření není povoleno.
soap	mýdlo	Použij mýdlo a vodu.
soccer	fotbal	Fotbal je zde populární.
social	společenský	Toto je společenská událost.
society	společnost	Společnost se časem mění.
sock	ponožka	Jedna ponožka chybí.
soft	měkký	Tato deka je měkká.
soldier	voják	Voják se vrátil domů.
solution	řešení	Našli jsme řešení.
solve	vyřešit	Vyřeš tuto hádanku.
somewhere	někde; někam	Dej to někam do bezpečí.
sort	druh; typ	Jaký druh chceš?
source	zdroj	Nejprve zkontroluj zdroj.
speaker	řečník; reproduktor	Řečník byl hlasitý.
specific	konkrétní	Potřebuji konkrétní odpověď.
speech	projev	Její projev byl krátký.
speed	rychlost	Zde sniž rychlost.
spider	pavouk	Na zdi je pavouk.
spoon	lžíce	Použij lžíci na polévku.
square	čtvercový	Nakresli čtvercovou krabici.
stage	pódium; fáze	Kapela je na pódiu.
stair	schod	Schod je rozbitý.
stamp	známka	Dej známku na dopis.
state	uvést	Uveď své jméno jasně.
steal	krást	Nekraď peníze.
step	krok	Udělej jeden krok dopředu.
stomach	žaludek; břicho	Bolí mě břicho.
stone	kámen	Kámen je těžký.
store	obchod	Obchod zavírá brzy.
storm	bouře	Přichází bouře.
straight	rovně	Jdi rovnou domů.
strange	divný	Ten zvuk je divný.
strategy	strategie	Potřebujeme strategii.
stress	stres	Práce může způsobit stres.
structure	struktura; stavba	Tato stavba je pevná.
stupid	hloupý	To byla hloupá chyba.
succeed	uspět	Tady můžeš uspět.
successful	úspěšný	Stala se úspěšnou.
such	takový	Taková pomoc je užitečná.
suddenly	najednou	Najednou pes utekl.
suggest	navrhnout	Navrhuji krátkou přestávku.
suggestion	návrh	Tvůj návrh je užitečný.
suit	oblek	Tento oblek je drahý.
support	podporovat; podpora	Podporujeme náš tým.
suppose	předpokládat	Předpokládám, že máš pravdu.
surprise	překvapení	Překvapení ji potěšilo.
surprised	překvapený	Dnes byla překvapená.
surprising	překvapivý	Výsledek byl překvapivý.
survey	průzkum	Vyplň prosím průzkum.
sweet	sladký	Tento čaj je sladký.
symbol	symbol	Tento symbol znamená nebezpečí.
system	systém	Systém funguje dobře.
tablet	tablet	Můj tablet je na stole.
target	cíl	Zasáhni cíl opatrně.
task	úkol	Tento úkol je snadný.
taste	chuť; ochutnat	Nejprve ochutnej polévku.
teaching	výuka	Výuka je těžká práce.
technology	technologie	Technologie se rychle mění.
teenage	dospívající	Můj dospívající bratr pilně studuje.
temperature	teplota	Teplota je nízká.
term	pololetí; semestr	Tento semestr brzy končí.
themselves	sami; sebe	Uvařili večeři sami.
thick	tlustý; silný	Tato kniha je tlustá.
thief	zloděj	Zloděj utekl.
thin	tenký	Papír je tenký.
thinking	přemýšlení	Přemýšlení vyžaduje čas.
thought	myšlenka	Měl jsem divnou myšlenku.
throw	hodit	Hoď míč jemně.
