source_headword	HI	example_HI
stranger	अजनबी	एक अजनबी ने रास्ता पूछा।
strength	ताक़त	उसकी ताक़त ने टीम की मदद की।
string	धागा	डिब्बे को धागे से बांध दें।
strongly	दृढ़ता से	मैं उस विचार से दृढ़ता से असहमत हूँ।
studio	स्टूडियो	कलाकार एक छोटे स्टूडियो में काम करता है।
stuff	सामान	अपना सामान शेल्फ़ पर रखें।
substance	पदार्थ	पुलिस को एक अजीब पदार्थ मिला।
successfully	सफलतापूर्वक	उन्होंने सफलतापूर्वक प्रोजेक्ट पूरा किया।
sudden	अचानक	एक अचानक हुई आवाज़ ने हमें जगा दिया।
suffer	नुकसान उठाना	सूखे मौसम में कई पौधों को नुकसान पहुँचता है।
suitable	उपयुक्त	यह जैकेट स्कूल के लिए उपयुक्त है।
summarize	सारांश देना	क्या आप लेख का सारांश दे सकते हैं?
summary	सारांश	आज रात एक छोटा सारांश लिखें।
supply	आपूर्ति	शहर को स्वच्छ जल की आपूर्ति की आवश्यकता है।
supporter	समर्थक	हर समर्थक ने ज़ोर से जयकार की।
surely	निश्चित रूप से	निश्चित रूप से हम इसे हल कर सकते हैं।
surface	सतह	सतह ठंडी और चिकनी लग रही थी।
survive	जीवित रहना	ये जानवर ठंडी सर्दियों में जीवित रहते हैं।
switch	चालू या बंद करना	रसोई की लाइट बंद कर दें।
symptom	लक्षण	खांसी एक लक्षण हो सकती है।
tail	पूंछ	कुत्ते की एक लंबी पूंछ है।
talent	प्रतिभा	उसमें संगीत के लिए प्रतिभा है।
talented	प्रतिभाशाली	वह एक प्रतिभाशाली युवा अभिनेता है।
tape	टेप	डिब्बे को बंद करने के लिए टेप का उपयोग करें।
tax	कर	हर किसी को यह कर चुकाना होगा।
technical	तकनीकी	हमें एक तकनीकी समस्या हुई।
technique	तकनीक	यह तकनीक समय बचाती है।
tend	प्रवृत्ति होना	बच्चों में जल्दी सीखने की प्रवृत्ति होती है।
tent	तंबू	हम एक छोटे तंबू में सोए।
theirs	उनका	नीली साइकिलें उनकी हैं।
theme	विषय	पार्टी की थीम समुद्र तट थी।
theory	सिद्धांत	उनका सिद्धांत समस्या को स्पष्ट करता है।
therefore	इसलिए	बारिश हुई, इसलिए हम अंदर ही रहे।
though	हालांकि	हालांकि वह थकी हुई थी, फिर भी वह काम करती रही।
throat	गला	आज सुबह मेरे गले में दर्द है।
throughout	पूरी	लोगों ने पूरी शाम नृत्य किया।
tight	तंग	ये जूते बहुत तंग लग रहे हैं।
till	तक	मेरे लौटने तक यहीं प्रतीक्षा करें।
tin	टिन	बीन्स का एक टिन खोलें।
tiny	बहुत छोटा	एक बहुत छोटा पक्षी पास में उतरा।
toe	पैर की उंगली	कल मेरे पैर की उंगली में चोट लग गई।
tongue	जीभ	चाय से उसकी जीभ जल गई।
total	कुल	कुल लागत कम थी।
totally	पूरी तरह से	मैं आपकी चिंता को पूरी तरह से समझता हूँ।
trade	व्यापार	अंतर्राष्ट्रीय व्यापार नौकरियाँ पैदा करता है।
translate	अनुवाद करना	कृपया इस वाक्य का अनुवाद करें।
translation	अनुवाद	अनुवाद स्वाभाविक लगता है।
treat	व्यवहार करना	सभी के साथ सम्मान से व्यवहार करें।
treatment	इलाज	मरीज को आज इलाज की जरूरत है।
trend	रुझान	यह रुझान दुनिया भर में बढ़ रहा है।
