source_headword	HU	example_HU
institute	intézet	Az intézet új kutatási programot indított.
institution	intézmény	Az intézmény megváltoztatta a felvételi szabályait.
insurance	biztosítás	A biztosítása fedezte a kórházi költségeket.
intended	tervezett	Az üzenet eljutott a tervezett közönségéhez.
intense	heves	A vita nagyon gyorsan hevessé vált.
internal	belső	A vállalat belső vizsgálatot indított.
interpret	értelmez	Kérem, óvatosan értelmezze az eredményeket.
interrupt	félbeszakít	Ne szakítsa félbe a beszélőt.
investigation	nyomozás	A nyomozás súlyos hibákat tárt fel.
investment	befektetés	A befektetés sok helyi munkahelyet teremtett.
joy	öröm	Sikerük nagy örömet hozott.
judgement	ítélőképesség	Ítélőképessége a tapasztalattal javult.
junior	junior	Junior elemzőként csatlakozott a csapathoz.
justice	igazságszolgáltatás	A család igazságot követelt a tárgyalás után.
justify	indokol	Világosan meg kell indokolnia ezt a döntést.
labour	munkaerő	A projekt szakképzett munkaerőt igényel.
landscape	táj	A táj megváltozott a vihar után.
largely	nagyrészt	A terv nagyrészt sikeres volt.
launch	piacra dob	Holnap dobják piacra a terméket.
leadership	vezetés	Az erős vezetés segített a csapatnak talpra állni.
league	liga	Klubunk csatlakozott egy regionális ligához.
lean	támaszkodik	Ne támaszkodjon a nedves falnak.
licence	engedély	Az engedély a jövő hónapban lejár.
limited	korlátozott	Ma korlátozott időnk van.
lively	élénk	Az értekezlet élénk lett ebéd után.
load	rakomány	A teherautó nehéz rakományt szállított.
loan	kölcsön	A bank jóváhagyta a kölcsönt.
logical	logikus	Érvelése világos és logikus volt.
long-term	hosszú távú	Ez egy hosszú távú megoldás.
loose	laza	A fogantyú lazának tűnik.
lord	úr	Az úr több falut is birtokolt.
lower	csökkent	Télen csökkentik az árakat.
lung	tüdő	A dohányzás károsíthatja a tüdőt.
maintain	fenntart	Rendszeres kapcsolatot tartunk fenn.
majority	többség	A többség támogatta a javaslatot.
mass	tömeg	Felhőtömeg borította be az eget.
massive	hatalmas	A földrengés hatalmas károkat okozott.
master	mester	A tárgyalások mesterévé vált.
matching	egymáshoz illő	Egymáshoz illő cipőt és övet viselt.
maximum	maximális	A terem elérte a maximális kapacitást.
means	eszköz	Az e-mail a fő kapcsolattartási eszközünk.
measurement	mérés	A mérés kissé pontatlan volt.
melt	elolvad	A hó délig elolvad.
military	katonai	A katonai bázis tavaly bezárt.
mineral	ásvány	A vas fontos ásvány.
minimum	minimális	A minimális életkor tizennyolc év.
minister	miniszter	A miniszter nehéz kérdésekre válaszolt.
minor	kisebb	A baleset kisebb károkat okozott.
minority	kisebbség	Egy kisebbség ellenezte az új szabályt.
mission	küldetés	Küldetésük biztonságosan véget ért.
mixed	vegyes	A hír vegyes fogadtatásban részesült.
modify	módosít	Később módosíthatjuk a tervet.
monitor	megfigyel	Az ápoló megfigyeli az állapotát.
moral	erkölcsi	A történetnek erkölcsi tanulsága van.
motor	motor	A motor figyelmeztetés nélkül leállt.
mount	felszerel	Kamerákat szerelnek fel a bejárat közelében.
multiple	több	Több tényező okozta a késést.
multiply	megszoroz	Szorozd meg a számot tízzel.
mysterious	rejtélyes	Egy rejtélyes fény jelent meg kint.
neat	rendezett	Az íróasztala mindig rendezett.
nerve	ideg	A sérülés károsított egy ideget.
nevertheless	mindazonáltal	A feladat nehéz volt, mindazonáltal befejeztük.
nightmare	rémálom	Az utazás rémálommá vált.
notion	elképzelés	Utasítsd el azt az elképzelést, hogy a változás lehetetlen.
numerous	számos	Számos tanulmány támasztja alá ezt az elképzelést.
obey	engedelmeskedik	A sofőröknek engedelmeskedniük kell a tábláknak.
objective	célkitűzés	Célkitűzésünk a hulladék csökkentése.
obligation	kötelesség	A szülőknek kötelességük megvédeni a gyermekeket.
observation	észrevétel	Az észrevétele megváltoztatta a beszélgetést.
observe	megfigyel	A tudósok minden tavasszal megfigyelik a madarakat.
obtain	beszerez	Írásos engedélyt kell beszerezned.
occasionally	alkalmanként	Alkalmanként otthonról dolgozik.
offence	sértés	A megjegyzés komoly sértést okozott.
offend	megbánt	Nem akartam senkit megbántani.
offensive	sértő	A plakát sértő nyelvezetet tartalmazott.
opening	üresedés	Az álláslehetőség sok jelentkezőt vonzott.
operate	működik	A gép automatikusan tud működni.
opponent	ellenfél	Ellenfele kritizálta a politikát.
oppose	ellenez	Sok lakos ellenzi a tervet.
opposed	ellentétes	A csoportoknak ellentétes nézetei voltak.
opposition	ellenállás	A javaslat erős ellenállásba ütközött.
organ	szerv	A szív létfontosságú szerv.
origin	eredet	A tűz eredete ismeretlen.
otherwise	különben	Indulj el most, különben elkésel.
outcome	eredmény	Az eredmény mindenkit meglepett.
outer	külső	A külső fal javításra szorul.
outline	vázol	Kérjük, vázolja fel a fő érvét.
overall	összesített	Az összesített eredmény pozitív volt.
owe	tartozik	Tartozom neked egy bocsánatkéréssel.
pace	tempó	Sétálj egyenletes tempóban.
panel	panel	A panel a klímapolitikáról tárgyalt.
parliament	parlament	A parlament elfogadta az új törvényt.
participant	résztvevő	Minden résztvevő aláírta az űrlapot.
partly	részben	A késés részben a mi hibánk volt.
passage	szövegrész	Válaszadás előtt olvasd el a szövegrészt.
pension1	nyugdíj	A nyugdíja tartja el nyugdíjba vonulása után.
permanent	állandó	Állandó megoldásra van szükségük.
permit	megenged	A szabályok megengedik a rövid látogatásokat.
perspective	nézőpont	Próbáld meg az ő nézőpontját látni.
phase	fázis	A projekt az utolsó fázisába lépett.
phenomenon	jelenség	A jelenség számos kultúrában előfordul.
philosophy	filozófia	Az ő filozófiája a gyakorlati cselekvést értékeli.
pile	halom	Egy halom papír borította az íróasztalt.
pitch	pálya	A csapat gondosan előkészítette a pályát.
plain	világos	Az utasítások világosak és közvetlenek voltak.
pointed	célzott	Tett egy célzott megjegyzést.
popularity	népszerűség	Az énekes népszerűségre tett szert az interneten.
pose	jelent	A kérdés problémát jelenthet.
possess	birtokol	Kevés diák rendelkezik ezzel a képességgel.
potential	potenciál	Az ötletben valódi potenciál van.
praise	dicséret	A tanár őszinte dicséretet adott.
pregnant	terhes	Hat hónapos terhes.
preparation	felkészülés	A jó felkészülés csökkenti a stresszt.
presence	jelenlét	A jelenléte megváltoztatta a hangulatot.
preserve	megőriz	Meg kell őriznünk ezt a történelmi épületet.
prime	fő	A fő ok a rossz tervezés volt.
principle	elv	A döntés egy világos elvet követett.
priority	prioritás	A biztonság az elsődleges prioritásunk.
privacy	magánélet	Az ügyfelek adatvédelmet várnak el az interneten.
procedure	eljárás	Az eljárás harminc percet vesz igénybe.
proof	bizonyíték	Bizonyítékra van szükségünk, mielőtt cselekszünk.
proposal	javaslat	A javaslat több részletet igényel.
propose	javasol	Egy másik megoldást javaslok.
prospect	kilátás	A kudarc kilátása aggasztotta őket.
protection	védelem	A sisak alapvető védelmet nyújt.
psychologist	pszichológus	A pszichológus elmagyarázta a teszteredményeket.
psychology	pszichológia	Pszichológiát tanul az egyetemen.
publication	kiadvány	A kiadvány felkeltette a közvélemény figyelmét.
pupil	tanuló	Minden diák kapott egy új tankönyvet.
purchase	vásárol	Minden hónapban vásárolnak készleteket.
pure	tiszta	A víz tiszta és hideg volt.
pursue	folytat	Orvosi karrierre fog törekedni.
rank	rang	Magas rangot visel.
rapid	gyors	Az ország gyors növekedést tapasztalt.
rapidly	gyorsan	Az árak idén gyorsan emelkedtek.
raw	nyers	A séf nyers zöldségeket készített elő.
realistic	reális	Tűzz ki egy reális határidőt.
reasonable	észszerű	Ez észszerű kérésnek tűnik.
recall	felidéz	Emlékszem a pontos szavaira.
recover	felépül	A kezelés után fel fog épülni.
reduction	csökkentés	A csökkentés pénzt takarított meg.
regard	tekint valaminek	Sokan őszintének tartják őt.
regional	regionális	A regionális iroda ma bezárt.
register	regisztrál	Kérjük, regisztráljon a konferencia előtt.
regret	megbán	Megbántam a korábbi döntésemet.
regulation	szabályozás	Az új szabályozás minden vezetőt érint.
relatively	viszonylag	A vizsga viszonylag könnyű volt.
relevant	releváns	Csak a releváns részleteket válaszd ki.
relief	megkönnyebbülés	A hír nagy megkönnyebbülést hozott.
rely	támaszkodik	A gyerekek a felnőttek támogatására támaszkodnak.
remark	megjegyzés	A megjegyzése véget vetett a vitának.
representative	képviselő	A képviselő találkozott a helyi munkásokkal.
reputation	hírnév	A szállodának jó hírneve van.
requirement	követelmény	A tapasztalat alapvető követelmény.
rescue	megment	Embereket mentenek ki az árvizekből.
reserve	foglalás	Helyeket foglalunk a vendégeknek.
resident	lakos	Minden lakos kapott egy értesítést.
resist	ellenáll	Próbálj meg ellenállni a nyomásnak.
resolve	megold	Békésen oldották meg a vitát.
resort	üdülőhely	A szigeti üdülőhely májusban nyílt meg.
retain	megtart	A vállalat meg akarja tartani a személyzetet.
reveal	felfed	A jelentés fel fogja fedni az igazságot.
revolution	forradalom	A forradalom megváltoztatta az országot.
reward	jutalom	A kemény munka jutalmat érdemel.
rhythm	ritmus	A dalnak egyenletes ritmusa van.
rid	megszabadul	Szabadulj meg azoktól a régi aktáktól.
root	gyökér	A probléma gyökere a pénz.
rub	dörzsöl	Dörzsöld meg a felületet egy ronggyal.
rubber	gumi	A gumitömítés megakadályozza a szivárgást.
rural	vidéki	Sok vidéki iskolának van szüksége támogatásra.
rush	siettet	Ne siettesd ezt a döntést.
satellite	műhold	A műhold új képeket küldött.
satisfied	elégedett	Az ügyfél elégedettnek tűnt.
satisfy	kielégít	A válasz nem elégítette ki.
saving	megtakarítás	Az energiamegtakarítás csökkenti a havi költségeket.
scale	mérték	A kár mértéke hatalmas volt.
scheme	program	A program fiatal munkavállalóknak segít.
scream	kiabál	Sikolyt hallottak kintről.
sector	szektor	A technológiai szektor növekszik.
secure	biztosít	Zárd be az ajtót, hogy biztosítsd.
seek	keres	Szakértőktől keresnek tanácsot.
select	kiválaszt	Válaszd ki a legjobb lehetőséget.
selection	választék	Az üzlet széles választékot kínál.
self	én	Megmutatta az igazi énjét.
senior	rangidős	Egy rangidős orvos megvizsgálta a beteget.
sensitive	érzékeny	Ez a téma nagyon érzékeny.
sequence	sorrend	Kövesse a lépések sorrendjét.
session	foglalkozás	A képzési foglalkozás délben kezdődik.
settle	rendez	Gyorsan rendezik a vitát.
severe	súlyos	A vihar súlyos áradásokat okozott.
shade	árnyék	Ülj az árnyékba.
shadow	árnyék	Egy árnyék suhant át az ablakon.
shallow	sekély	A tó itt sekély.
shame	szégyen	Szégyent érzett, miután hazudott.
shelter	menedék	Az iskola vészhelyzeti menedéket biztosított.
shock	sokk	A döntés sokként hatott.
shocked	döbbent	Megdöbbentnek tűnt a hír hallatán.
shooting	lövöldözés	A lövöldözés az állomás közelében történt.
shot	lövés	A győztes lövés mindenkit meglepett.
significant	jelentős	A felfedezés jelentős volt.
significantly	jelentősen	A költségek jelentősen nőttek tavaly.
silence	csend	A szobára csend borult.
silk	selyem	A ruha selyemből készült.
sincere	őszinte	Kérem, fogadja őszinte köszönetemet.
slave	rabszolga	A törvény minden rabszolgát felszabadított.
slide	csúszik	A gyerek lecsúszott a csúszdán.
