simplified	NO	example_NO
挨	holde ut	Han holdt ut hele natten og ventet til daggry
癌症	kreft	Det er svært viktig å oppdage kreft tidlig
暧昧	tvetydig	Svaret hans var svært tvetydig
爱不释手	ikke klare å legge fra seg	Hun likte boken så godt at hun nesten ikke klarte å legge den fra seg
爱戴	elske og respektere	Denne læreren er dypt elsket og respektert av elevene
安宁	fredelig	Nettene her er veldig fredelige
安详	rolig	Den gamle personens uttrykk var svært rolig
安置	bosette	Regjeringen bosatte menneskene som var rammet av katastrofen
按摩	en massasje	Jeg bestilte en massasje
暗示	antyde	Hun antydet at jeg burde slutte å spørre
案件	en rettssak	Politiet etterforsker denne saken
案例	et eksempeltilfelle	Denne saken er et svært representativt eksempeltilfelle
昂贵	dyrt	Dette utstyret er svært dyrt
凹凸	ujevn	Denne veibanen er ujevn
熬	holde ut	Han holdt ut tre harde arbeidsdager før rapporten var ferdig
奥秘	en gåte	Forskeren vil avdekke denne gåten
巴不得	knapt kunne vente	Jeg kan knapt vente med å dra med en gang
巴结	sleske	Han vil ikke sleske for lederne
扒	klamre seg til	Barnet klamret seg til døren og så ut
疤	et arr	Det er et arr på armen hans
拔苗助长	forhaste noe	Å tvinge et barn til å studere slik vil bare forhaste læringen
把关	kvalitetssikre	Denne kontrakten må kvalitetssikres av en advokat
把手	et håndtak	Dørhåndtaket er ødelagt
罢工	en streik	Arbeiderne bestemte seg for å gå til streik i morgen
霸道	bisk	Han snakker på en bisk måte
掰	brekke	Hun brakk brødet i to
摆脱	kvitte seg med	Han kvittet seg endelig med den dårlige vanen
拜访	besøke	Vi skal besøke læreren denne helgen
拜年	ønske godt nyttår	Under vårfestivalen besøker vi besteforeldrene for å ønske godt nyttår
拜托	stole på deg	Jeg stoler på deg i denne saken
败坏	skade	Slik oppførsel vil skade selskapets omdømme
斑	en flekk	Det er en svart flekk på katten
颁布	kunngjøre	De nye reglene blir kunngjort neste uke
颁发	tildele	Skolen tildelte diplomer til fremragende elever
版本	en utgave	Denne programvaren har en ny utgave
伴侣	en partner	Hun behandler hunden som sin partner
伴随	følge med	Suksess følges ofte av press
半途而废	gi opp halvveis	Man kan ikke gi opp halvveis når man driver forskning
扮演	spille	Han spiller en lege i filmen
榜样	et forbilde	Foreldre er forbilder for barn
