source_headword	UZ	example_UZ
hunt	ov qilmoq	Ular kuzda qo'ziqorin izlaydi.
hurricane	dovul	Dovul ko'p uylarga zarar yetkazdi.
hurry	shoshilish	Bugun shoshilish yo'q.
identity	shaxs	Uning shaxsi sir bo'lib qoldi.
ignore	e'tibor bermaslik	Bu ogohlantirishga e'tibor bermang.
illegal	noqonuniy	Bu yerda mashina qo'yish noqonuniy.
imaginary	xayoliy	Hikoyada xayoliy orol bor.
immediate	darhol kerak	Bizga darhol kerak javob kerak.
immigrant	muhojir	Muhojir ingliz tilini tez o'rgandi.
impact	ta'sir	Yangilik kuchli ta'sir ko'rsatdi.
import	import qilmoq	Mamlakat ko'proq guruch import qiladi.
importance	ahamiyat	U uyquning ahamiyatini tushundi.
impression	taassurot	Uning birinchi taassuroti ijobiy edi.
impressive	ta'sirli	Muzeyning kirish joyi ta'sirli.
improvement	yaxshilanish	Bu oy aniq yaxshilanish bo'ldi.
incredibly	nihoyatda	Test nihoyatda qiyin edi.
indeed	haqiqatan ham	Bu haqiqatan ham g'alati kun edi.
indicate	ko'rsatmoq	Belgi chiqish joyini ko'rsatadi.
indirect	bilvosita	U bilvosita javob berdi.
indoor	ichki	Mehmonxonada ichki basseyn bor.
indoors	ichkarida	Bo'ron paytida biz ichkarida qoldik.
influence	ta'sir	Uning o'qituvchisi kuchli ta'sir ko'rsatdi.
ingredient	masalliq	Un asosiy masalliq.
injure	jarohatlamoq	Beligni jarohatlab olma.
injured	jarohatlangan	Jarohatlangan o'yinchi maydonni tark etdi.
innocent	begunoh	Bola butunlay begunoh ko'rindi.
intelligence	aql	U sinfda katta aql ko'rsatdi.
intend	niyat qilmoq	Men chet elda o'qishni niyat qilaman.
intention	niyat	Uning niyati yordam berish edi.
invest	sarmoya kiritmoq	Ular ta'limga pul sarmoya kiritadi.
investigate	tekshirmoq	Politsiya hodisani tekshiradi.
involved	qatnashgan	Bir necha talaba qatnashgan edi.
iron	temir	Darvoza temirdan qilingan.
issue	masala	Bu jiddiy masala.
IT	axborot texnologiyalari	U axborot texnologiyalari sohasida ishlaydi.
journal	kundalik	U kundalikka yozadi.
judge	sudya	Sudya diqqat bilan tingladi.
keen	qiziqqan	U o'rganishga qiziqqan.
keyboard	klaviatura	Klaviaturam ishlamay qoldi.
kick	tepmoq	To'pni sekin tep.
killing	o'ldirish	O'ldirish qishloqni larzaga soldi.
kind (caring)	mehribon	Bu mehribon ish edi.
kiss	o'pish	U chaqaloqqa o'pich berdi.
label	yorliq	Ishlatishdan oldin yorliqni o'qing.
laboratory	laboratoriya	Laboratoriya bugun yopiq.
lack	kamlik	Uyqu kamligi xotiraga zarar qiladi.
latest	eng so'nggi	Eng so'nggi hisobotni o'qidingizmi?
lay	qo'ymoq	Kitobni stol ustiga qo'ying.
layer	qatlam	Yana bir bo'yoq qatlamini qo'shing.
leading	yetakchi	U yetakchi olima.
leaf	barg	Bir barg paltomga tushdi.
leather	charm	Uning sumkasi charmdan qilingan.
legal	qonuniy	Bizga qonuniy maslahat kerak.
leisure	bo'sh vaqt	O'qish mening sevimli bo'sh vaqt mashg'ulotim.
length	uzunlik	Xonaning uzunligini o'lchang.
lie2 (tell a lie)	yolg'on gapirmoq	Ota-onangga yolg'on gapirma.
limit	chegara	Tezlik chegarasi ellik.
lip	lab	U labini tishladi.
liquid	suyuqlik	Suv tiniq suyuqlik.
literature	adabiyot	U fransuz adabiyotini o'rganadi.
live2	jonli	Guruh kecha tunda jonli ijro etdi.
living	tirik	Tirik o'simliklarga yorug'lik kerak.
locate	topmoq	Faylni topa olasizmi?
located	joylashgan	Ofis shahar markazida joylashgan.
location	joy	Bu yaxshi joy.
lonely	yolg'iz	U ko'chgandan keyin o'zini yolg'iz his qildi.
loss	yo'qotish	Yo'qotish hamma uchun og'ir bo'ldi.
luxury	hashamat	Mehmonxona haqiqiy hashamat taklif qiladi.
mad	jahli chiqqan	Kechikishdan uning jahli chiqdi.
magic	sehr	Tomosha sehrga to'la edi.
mainly	asosan	Guruh asosan talabalardan iborat.
mall	savdo markazi	Biz savdo markazida uchrashdik.
management	boshqaruv	Yaxshi boshqaruv vaqtni tejaydi.
marketing	marketing	Marketing mahsulotni sotishga yordam beradi.
marriage	nikoh	Ularning nikohi o'ttiz yil davom etdi.
meanwhile	shu orada	Shu orada men kechki ovqat pishirdim.
measure	o'lchamoq	Stolni ehtiyotkorlik bilan o'lchang.
medium	o'rtacha	Men o'rtacha pitsa buyurtma qildim.
mental	ruhiy	Stress ruhiy salomatlikka ta'sir qiladi.
mess	tartibsizlik	Bu tartibsizlikni yig'ishtiring.
mild	yumshoq	Sho'rvaning ta'mi yumshoq.
mine (hole in the ground)	shaxta	Shaxta o'tgan yili yopildi.
mix	aralashtirmoq	Tuxumni sut bilan aralashtiring.
mixture	aralashma	Aralashma quyuqlashdi.
mood	kayfiyat	Musiqa uning kayfiyatini o'zgartirdi.
mud	loy	Uning oyoq kiyimlari loyga botgan edi.
murder	qotillik	Qotillik tunda sodir bo'ldi.
muscle	mushak	Mashq mushakni rivojlantiradi.
mystery	sir	Eski uy bir sir.
nail	tirnoq	Tirnog'im sindi.
narrative	hikoya tuzilishi	Romanda aniq hikoya tuzilishi bor.
nation	millat	Butun millat bayram qildi.
native	ona tilidagi	Ispan tili uning ona tili.
naturally	tabiiy ravishda	Bolalar o'yin orqali tabiiy ravishda o'rganadi.
necessarily	albatta	Qimmat ovqat albatta yaxshiroq bo'lmaydi.
needle	igna	Igna juda o'tkir.
neighbourhood	mahalla	Ular tinch mahallada yashaydi.
net	to'r	Baliqchi to'rini tuzatdi.
nor	ham emas	U na kuldi, na gapirdi.
northern	shimoliy	Ular shimoliy qirg'oqqa bordi.
nuclear	yadroga oid	Munozara yadro energiyasi haqida edi.
obvious	aniq	Javob aniq edi.
obviously	aniqki	Aniqki, bizga ko'proq vaqt kerak.
occasion	marosim	Bu maxsus marosim.
occur	sodir bo'lmoq	Baxtsiz hodisalar har joyda sodir bo'lishi mumkin.
odd	g'alati	Bu g'alati savol edi.
official	rasmiy	Rasmiy natija bugun keldi.
old-fashioned	eskicha	Uning telefoni eskicha ko'rinadi.
operation	operatsiya	Operatsiya ikki soat davom etdi.
organized	tartibli	Uning stoli juda tartibli.
organizer	tashkilotchi	Tashkilotchi mehmonlarni kutib oldi.
originally	asli	U asli Kanadadan kelgan.
ought modal	kerak	Siz dam olishingiz kerak.
ours	bizniki	Bu stol bizniki.
outdoor	tashqi	Biz tashqi mebel sotib oldik.
outdoors	tashqarida	Bolalar tashqarida o'ynashi kerak.
package	paket	Paket bugun ertalab keldi.
painful	og'riqli	Kesik og'riqli edi.
pale	oqargan	Uning yuzi oqargan ko'rindi.
pan	tova	Avval tovani qizdiring.
participate	qatnashmoq	Hamma qatnasha oladi.
particularly	ayniqsa	Menga ayniqsa bu qo'shiq yoqadi.
passion	ishtiyoq	Musiqa uning ishtiyoqi.
path	yo'l	Bog' orqali yo'l bo'ylab yuring.
payment	to'lov	To'lov ertaga kerak.
peaceful	tinch	Bog' tinch.
percentage	foiz	Kichik foiz rozi bo'ldi.
perfectly	mukammal	Reja mukammal ishladi.
performance	ijro	Uning ijrosi a'lo edi.
personally	shaxsan	Shaxsan men choyni afzal ko'raman.
persuade	ko'ndirmoq	Uni qo'shilishga ko'ndira olasizmi?
photographer	fotograf	Fotograf ko'p rasm oldi.
photography	fotografiya	Fotografiya uning sevimli hobbisi.
pin	igna	Xaritaga igna qo'ying.
pipe	quvur	Quvur suv olib boradi.
planning	rejalashtirish	Rejalashtirish vaqt oladi.
pleasant	yoqimli	Biz yoqimli oqshom o'tkazdik.
pleasure	mamnuniyat	Siz bilan uchrashish mamnuniyat edi.
plenty	ko'p	Bizda ko'p vaqt bor.
plot	syujet	Syujetni kuzatish oson edi.
plus1	qo'shuv	Ikki qo'shuv uch besh bo'ladi.
poem	she'r	U qisqa she'r yozdi.
poet	shoir	Shoir baland ovozda o'qidi.
poetry	she'riyat	U zamonaviy she'riyatni yoqtiradi.
poison	zahar	Zaharni bolalardan uzoqda saqlang.
poisonous	zaharli	Ba'zi qo'ziqorinlar zaharli.
policy	siyosat	Kompaniya siyosatini o'zgartirdi.
political	siyosiy	Nutq siyosiy edi.
politician	siyosatchi	Siyosatchi savollarga javob berdi.
politics	siyosat	Siyosat murakkab bo'lishi mumkin.
