source_headword	NO	example_NO
ability	en evne; en ferdighet	Hennes evne til å svømme er tydelig.
able	i stand; kunne	Han kan komme i dag.
abroad	i utlandet	Hun vil studere i utlandet.
accept	akseptere; ta imot	Aksepter denne lille gaven.
accident	en ulykke	Ulykken skjedde nær skolen.
according to	ifølge	Ifølge rapporten kommer det regn.
achieve	oppnå	Du kan nå målet ditt.
act	handle; spille teater	Han spiller i et teaterstykke.
active	aktiv	Hun er aktiv hver dag.
actually	faktisk; egentlig	Egentlig trenger jeg mer tid.
advantage	en fordel	Denne planen har en fordel.
adventure	et eventyr	Reisen deres var et eventyr.
advertise	annonsere; reklamere	De annonserer for en ny jobb.
advertisement	en annonse; reklame	Jeg så annonsen.
advertising	reklame; annonsering	Reklame hjelper med å selge mat.
affect	påvirke	Søvn kan påvirke helsen.
against	mot	Ikke len deg mot veggen.
ah	å; aha	Aha, nå forstår jeg.
airline	et flyselskap	Flyselskapet er travelt.
alive	levende; i live	Den lille fisken lever.
all right	ok; i orden	Alt er i orden nå.
allow	tillate	Hunder er tillatt her.
almost	nesten	Vi er nesten klare.
alone	alene	Hun bor alene.
along	langs; med	Gå langs denne veien.
already	allerede	Jeg vet allerede svaret.
alternative	et alternativ	Dette toget er et alternativ.
although	selv om	Selv om det er sent, kan vi bli.
among	blant; mellom	Han sto blant trærne.
amount	en mengde; et beløp	Mengden er for liten.
ancient	gammel; fra oldtiden	Den gamle muren er berømt.
ankle	en ankel	Ankelen min gjør vondt i dag.
anybody	noen; hvem som helst	Kan noen svare på dette?
any more	lenger; mer	Jeg trenger ikke mer.
anyway	uansett	Uansett kan vi begynne nå.
anywhere	hvor som helst; et sted	Sett deg hvor du vil.
app	en app	Denne appen er nyttig.
appear	vises; dukke opp	Navnet hennes dukker opp her.
appearance	et utseende; en opptreden	Utseendet hans er annerledes.
apply	søke; bruke	Søk på jobben i dag.
architect	en arkitekt	Arkitekten har en plan.
architecture	arkitektur	Jeg liker moderne arkitektur.
argue	krangle; argumentere	Ikke krangle med søsteren din.
argument	et argument; en krangel	Krangelen var kort.
army	en hær; militæret	Hæren er stor.
arrange	ordne; arrangere	Vennligst ordne møtet.
arrangement	en avtale; en ordning	Denne avtalen fungerer bra.
asleep	sovende; i søvn	Barnet sover.
assistant	en assistent; en hjelper	Assistenten hjalp meg.
athlete	en idrettsutøver	Idrettsutøveren løper raskt.
attack	et angrep; angripe	Hunden kan angripe.
attend	delta på; være til stede	Jeg deltar på timen i dag.
attention	oppmerksomhet	Vær oppmerksom nå.
attractive	tiltrekkende; attraktiv	Hagen er attraktiv.
audience	et publikum	Publikum var stille.
author	en forfatter	Forfatteren skrev denne boken.
available	tilgjengelig	Maten er tilgjengelig nå.
average	gjennomsnittlig; et gjennomsnitt	Gjennomsnittet var bra.
avoid	unngå	Unngå den travle veien.
award	en pris; tildele	Hun vant en pris.
awful	forferdelig; svært dårlig	Været var forferdelig.
background	en bakgrunn	Bildet har en mørk bakgrunn.
badly	dårlig	Han spilte dårlig i dag.
bar	en bar; en stang	Vi møttes i hotellbaren.
baseball	baseball	Baseball er populært her.
based	basert på	Filmen er basert på en bok.
basketball	basketball	Vi spiller basketball etter skolen.
bean	en bønne	Bønnen er grønn.
bear (animal)	en bjørn	Bjørnen lever i skogen.
beat	slå; beseire	Laget vårt kan beseire dem.
beef	storfekjøtt	Jeg spiste storfekjøtt til middag.
behave	oppføre seg	Oppfør deg pent i klassen.
behaviour	en oppførsel; en atferd	Oppførselen hans var høflig.
belong	tilhøre	Disse skoene tilhører meg.
belt	et belte	Beltet hans er svart.
benefit	en fordel; en nytte	Trening har en virkelig nytte.
billion	en milliard	En milliard er et enormt tall.
bin	en søppelbøtte; en beholder	Legg papiret i søppelbøtten.
biology	biologi	Biologi er mitt beste fag.
birth	en fødsel	Fødselen hennes var i mai.
biscuit	en kjeks	Hun spiser en kjeks.
bit	en bit; litt	Jeg trenger litt mer tid.
blank	tom; et tomrom	Skriv navnet ditt i tomrommet.
blood	blod	Blod er rødt.
blow	blåse	Vinden kan blåse hardt.
board	en tavle; et brett	Skriv det på tavlen.
boil	koke	Kok vannet først.
bone	et bein	Hunden har et bein.
borrow	låne	Kan jeg låne pennen din?
boss	en sjef	Sjefen er vennlig.
bottom	bunnen; nederst	Skriv under nederst.
bowl	en bolle; en skål	Bollen er full.
brain	en hjerne	Hjernen din trenger hvile.
bridge	en bro	Broen er gammel.
bright	lys; smart	Rommet er lyst.
brilliant	strålende; briljant	Denne ideen er strålende.
broken	ødelagt; brukket	Stolen er ødelagt.
brush	en børste; børste	Puss tennene nå.
burn	brenne	Ikke brenn brødet.
businessman	en forretningsmann	Forretningsmannen kom tidlig.
button	en knapp	Trykk på den røde knappen.
camp	en leir; campe	Vi camper nær innsjøen.
camping	camping; det å campe	Camping er gøy om sommeren.
can2	en boks	Åpne boksen forsiktig.
care	omsorg; ta vare på	Ta vare på helsen din.
careful	forsiktig; nøye	Vær forsiktig i trappen.
carefully	forsiktig; nøye	Les spørsmålet nøye.
carpet	et teppe	Teppet er mykt.
cartoon	en tegnefilm; en tegneserie	Denne tegnefilmen er morsom.
case	et etui; en sak	Legg det i etuiet.
cash	kontanter	Jeg betalte kontant.
castle	et slott	Slottet er veldig gammelt.
catch	fange	Ta imot ballen nå.
cause	en årsak; forårsake	Regn kan forårsake problemer.
celebrate	feire	Vi feirer bursdagen min.
celebrity	en kjendis	Kjendisen var veldig hyggelig.
certain	sikker; bestemt	Jeg er sikker på det.
certainly	sikkert; selvfølgelig	Jeg hjelper deg selvfølgelig.
chance	en sjanse	Du har en sjanse.
character	en karakter; en person	Denne karakteren er modig.
