hsk_key	source_word	simplified	KA	example_KA	HY	example_HY
503:爱人	爱人	爱人	მეუღლე; საყვარელი ადამიანი	ჩემი მეუღლე დღეს ზეგანაკვეთურად მუშაობს.	կյանքի ընկեր; սիրելի մարդ	Իմ կյանքի ընկերը այսօր արտաժամյա է աշխատում։
508:班级	班级	班级	კლასი; საკლასო ჯგუფი	ჩვენს კლასში ოცდაათი მოსწავლეა.	դասարան; դասարանի խումբ	Մեր դասարանում երեսուն աշակերտ կա։
509:搬家	搬家	搬家	სახლში გადასვლა	ამ შაბათ-კვირას ჩვენ სახლს ვიცვლით.	տուն փոխել	Այս հանգստյան օրերին մենք տուն ենք փոխում։
510:办	办	办	გაკეთება; მოგვარება	დღეს ნაშუადღევს ბანკში საბანკო ბარათის გასაკეთებლად მივდივარ.	անել; ձևակերպել	Այսօր կեսօրից հետո բանկային քարտ ձևակերպելու համար բանկ եմ գնում։
513:半天	半天	半天	ნახევარი დღე; დიდხანს	მე დიდხანს ველოდი, სანამ ის მოვიდა.	կես օր; երկար ժամանակ	Ես երկար ժամանակ սպասեցի, մինչև նա եկավ։
517:北	北	北	ჩრდილოეთი	სკოლის ჩრდილოეთ მხარეს ერთი პარკია.	հյուսիս	Դպրոցի հյուսիսային կողմում այգի կա։
520:笔记	笔记	笔记	ჩანაწერები	ის გაკვეთილზე ყურადღებით აკეთებს ჩანაწერებს.	գրառումներ	Նա դասի ժամանակ ուշադիր գրառումներ է անում։
526:变	变	变	შეცვლა; შეცვლა	ამინდი გაცივდა.	փոխվել	Եղանակը ցրտել է։
528:变成	变成	变成	გადაქცევა	წვიმა თოვლად გადაიქცა.	դառնալ; վերածվել	Անձրևը ձյան վերածվեց։
531:别的	别的	别的	სხვა	სხვა კითხვები გაქვთ?	ուրիշ; այլ	Ուրիշ հարցեր ունե՞ք։
533:宾馆	宾馆	宾馆	სასტუმრო	ჩვენ აეროპორტთან ახლოს მდებარე სასტუმროში ვრჩებით.	հյուրանոց	Մենք օդանավակայանի մոտ գտնվող հյուրանոցում ենք մնում։
534:冰	冰	冰	ყინული	ჭიქაში ყინულია.	սառույց	Բաժակի մեջ սառույց կա։
537:病人	病人	病人	პაციენტი	ექიმი პაციენტს სინჯავს.	հիվանդ; պացիենտ	Բժիշկը հիվանդին է զննում։
538:不但	不但	不但	არა მხოლოდ	მას არა მხოლოდ ჩინურად, არამედ ინგლისურადაც შეუძლია საუბარი.	ոչ միայն	Նա կարող է խոսել ոչ միայն չինարեն, այլ նաև անգլերեն։
539:不见	不见	不见	არ ნახვა; გაუჩინარება	დიდი ხანია არ მინახიხარ. ბოლო დროს როგორ ხარ?	չտեսնվել; անհետանալ	Երկար ժամանակ չենք տեսնվել։ Վերջերս ինչպե՞ս ես։
540:不用	不用	不用	არ არის საჭირო; არ გამოიყენო	ჩემს ლოდინს საჭირო არ არის.	պետք չէ; չօգտագործել	Ինձ սպասելու կարիք չկա։
541:不同	不同	不同	განსხვავებული	ჩვენ განსხვავებული აზრები გვაქვს.	տարբեր	Մենք տարբեր կարծիքներ ունենք։
542:不久	不久	不久	დიდი ხნის შემდეგ არა; მალე	ცოტა ხნის შემდეგ ის შანხაიში გადავიდა.	շուտով; ոչ երկար հետո	Քիչ անց նա տեղափոխվեց Շանհայ։
