source_headword	HY	example_HY
strengthen	ամրապնդել	Նոր քաղաքականությունը կամրապնդի առցանց անվտանգությունը։
strictly	խստորեն	Տոմսերը խստորեն սահմանափակվում են մեկ անձի համար երկուսով։
striking	տպավորիչ	Նկարն ունի տպավորիչ գույներ։
stroke	վրձնահարված	Նա մեկ վրձնահարված արեց թղթի վրա։
stunning	ապշեցուցիչ	Լեռան տեսարանն ապշեցուցիչ էր։
subsequent	հետագա	Հետագա հանդիպումը հաստատեց բյուջեն։
subsequently	հետագայում	Ճանապարհը փակվեց, հետագայում երթևեկությունը դանդաղեց։
suburb	արվարձան	Նրանք ապրում են հանգիստ արվարձանում։
suffering	տառապանք	Դեղը նվազեցրեց նրա տառապանքը։
sufficient	բավարար	Թիմն ունի բավարար ժամանակ։
sufficiently	բավականաչափ	Սենյակը բավականաչափ տաք է։
super	գեր	Նոր պլանշետը գերարագ է։
surgeon	վիրաբույժ	Վիրաբույժը վերականգնեց վնասված ծունկը։
survival	գոյատևում	Մաքուր ջուրը կենսական նշանակություն ունի գոյատևման համար։
survivor	վերապրող	Վերապրողը նկարագրեց ջրհեղեղը։
suspend	կասեցնել	Դպրոցը կարող է կասեցնել ուղևորությունը։
sustainable	կայուն	Ֆերման օգտագործում է կայուն մեթոդներ։
swallow	կուլ տալ	Կուլ տվեք հաբը ջրով։
sympathetic	կարեկցող	Մենեջերը կարեկցում էր նրա խնդրին։
tackle	լուծել	Մենք պետք է լուծենք բնակարանային խնդիրը։
tag	պիտակ	Պայուսակն ուներ գնապիտակ։
tap	ծորակ	Նա փակեց ծորակը։
technological	տեխնոլոգիական	Տեխնոլոգիական փոփոխությունն ազդում է յուրաքանչյուր աշխատավայրի վրա։
teens	դեռահասներ	Շատ դեռահասներ ամեն օր օգտագործում են սոցիալական լրատվամիջոցներ։
temple	տաճար	Տաճարը կանգնած էր գետի մոտ։
temporarily	ժամանակավորապես	Գրասենյակը ժամանակավորապես փակ է։
tendency	հակում	Նա ուշանալու հակում ունի։
tension	լարվածություն	Քննարկման ժամանակ լարվածությունն աճեց։
terms	պայմաններ	Պայմանագրի պայմանները պարզ էին։
terribly	սարսափելի	Երեխան սարսափելի տխուր էր։
