source_headword	RO	example_RO
abandon	a abandona	Au abandonat planul ieri.
absolute	absolut	Avem nevoie de sinceritate absolută.
acceptable	acceptabil	Răspunsul lui a fost acceptabil.
accompany	a însoți	Fratele ei a însoțit-o acasă.
accurate	precis	Raportul este precis.
accuse	a acuza	L-au acuzat de minciună.
acknowledge	a recunoaște	Te rog să recunoști greșeala.
acquire	a dobândi	Ea a dobândit rapid abilități noi.
actual	real	Costul real a fost mai mic.
adapt	a se adapta	Ne-am adaptat la schimbare.
additional	suplimentar	Ajutor suplimentar a sosit astăzi.
administration	administrație	Administrația a schimbat regulile.
adopt	a adopta	Au adoptat o metodă nouă.
advance	un progres	Am făcut un mic progres.
affair	o afacere	Această afacere a afectat încrederea publică.
afterwards	după aceea	După aceea, toți s-au calmat.
agency	o agenție	Agenția a angajat trei traducători.
agenda	o agendă	Siguranța este pe agendă.
aggressive	agresiv	Tonul lui părea agresiv.
aid	un ajutor	Ajutorul medical a sosit repede.
aircraft	o aeronavă	Aeronava a aterizat în siguranță.
alter	a modifica	Nu modifica contractul.
anger	furia	Furia lui i-a surprins pe toți.
angle	un unghi	Încearcă un alt unghi al camerei.
anniversary	o aniversare	Aniversarea lor este mâine.
annual	anual	Întâlnirea anuală începe luni.
anxious	neliniștit	Ea era neliniștită înainte de operație.
apparent	evident	Dezamăgirea lui era evidentă.
apparently	aparent	Aparent, trenul întârzie.
appeal	un recurs	Decizia poate duce la un recurs.
approach	o abordare	Abordarea ei a rezolvat problema.
appropriate	potrivit	Alege un răspuns potrivit.
approval	o aprobare	Proiectul are nevoie de aprobare.
approve	a aproba	Consiliul a aprobat bugetul.
arise	a apărea	Problemele pot apărea mai târziu.
armed	înarmat	Gardieni înarmați stăteau afară.
arms	arme	Au depus armele.
artificial	artificial	Florile păreau artificiale.
artistic	artistic	Are talent artistic.
ashamed	rușinat	Mai târziu s-a simțit rușinat.
aspect	un aspect	Analizează fiecare aspect cu atenție.
assess	a evalua	Trebuie să evaluăm pagubele.
assessment	o evaluare	Evaluarea a durat două ore.
associate	a asocia	Oamenii asociază fumul cu pericolul.
associated	asociat	Stresul este asociat cu boala.
association	o asociație	Asociația sprijină artiști tineri.
assume	a presupune	Presupun că ești de acord.
attempt	o încercare	Prima lui încercare a eșuat.
bacteria	bacteriile	Bacteriile se pot răspândi repede.
barrier	o barieră	Limba a fost o barieră.
basically	practic	Practic, avem nevoie de mai mult timp.
bear (deal with)	a suporta	Nu pot suporta zgomotul.
beg	a implora	A implorat ajutor.
being	o ființă	Fiecare ființă are nevoie de apă.
bent	îndoit	Bara de metal era îndoită.
bet	a paria	Pariez că știe.
beyond	dincolo	Satul este dincolo de râu.
bitter	amar	Medicamentul avea gust amar.
blame	a învinui	Nu învinui șoferul.
blind	orb	A orbit în tinerețe.
bond	o legătură	Încrederea creează o legătură puternică.
breast	un sân	A simțit durere în sân.
brief	scurt	Păstrează răspunsul scurt.
broad	lat	Râul este lat aici.
broadcast	a transmite	Discursul a fost transmis în direct.
budget	un buget	Bugetul este foarte strâns.
bullet	un glonț	Glonțul a lovit peretele.
bunch	un mănunchi	Ea purta un mănunchi de chei.
bush	un tufiș	Pasărea s-a ascuns în tufiș.
cable	un cablu	Cablul este deteriorat.
calculate	a calcula	Calculează costul total.
cancel	a anula	Au anulat întâlnirea.
cancer	cancerul	Tratamentul cancerului poate fi greu.
capable	capabil	Ea este suficient de capabilă.
capacity	o capacitate	Sala și-a atins capacitatea.
capture	a surprinde	Fotografia a surprins atmosfera.
cast	distribuția	Distribuția este pregătită.
cell	o celulă	Fiecare celulă conține date.
chairman	un președinte	Președintele a deschis ședința.
characteristic	o caracteristică	Răbdarea este o caracteristică importantă.
chief	principal	Motivul principal a fost siguranța.
circumstance	o circumstanță	Fiecare circumstanță contează.
cite	a cita	Studentul a citat trei surse.
citizen	un cetățean	Fiecare cetățean poate vota.
civil	civil	Cazul privea drepturi civile.
classic	clasic	Acesta este un exemplu clasic.
closely	îndeaproape	Au lucrat îndeaproape împreună.
collapse	a se prăbuși	Acoperișul vechi s-a prăbușit.
combination	o combinație	Această combinație funcționează bine.
