simplified	KO	example_KO
啊	동의나 확인을 나타내는 어기조사	좋아요, 우리 지금 가요.
阿姨	이모; 아주머니; 보육 도우미	아주머니는 슈퍼마켓에서 일해요.
矮	낮다; 키가 작다	이 책상은 조금 낮아요.
爱好	취미; 관심사	제 취미는 음악 듣기예요.
安静	조용하다; 평온하다	도서관 안은 아주 조용해요.
把	잡다; 쥐다; 처치구문 조사	문을 닫아 주세요.
搬	옮기다; 이사하다	우리는 내일 이사해요.
班	반; 학급; 팀	우리 반에는 학생이 스무 명 있어요.
办法	방법; 방안	이 방법은 아주 좋아요.
办公室	사무실	매니저는 사무실에 있어요.
半	반; 절반	저는 반 시간 동안 기다렸어요.
帮忙	도와주다; 도움을 주다	도와줄 수 있어요?
包	가방; 싸다; 포장하다	그녀는 새 가방을 샀어요.
饱	배부르다	저는 이미 배불러요.
北方	북쪽; 북부	북쪽의 겨울은 아주 추워요.
被	피동을 나타내는 조사	제 자전거를 친구가 빌려 갔어요.
鼻子	코	그의 코가 조금 빨개요.
比较	비교하다; 비교적	오늘은 비교적 더워요.
比赛	경기; 시합	이 경기는 아주 중요해요.
笔记本	공책; 노트	저는 공책을 책상 위에 놓았어요.
必须	반드시 해야 하다; 꼭 해야 하다	너는 반드시 열심히 복습해야 해요.
变化	변화; 변하다	이 도시는 많이 변했어요.
别人	다른 사람	다른 사람의 물건을 가져가지 마세요.
冰箱	냉장고	과일은 냉장고 안에 있어요.
不但…而且…	…뿐만 아니라 …도	그는 똑똑할 뿐만 아니라 아주 노력도 해요.
菜单	메뉴	메뉴 하나 주세요.
参加	참가하다; 참석하다	저는 이 회의에 참석하고 싶어요.
草	풀; 잔디	강아지가 잔디 위에서 뛰어요.
层	층; 겹	이 건물은 세 층이에요.
差	나쁘다; 부족하다; 차이가 나다	오늘 날씨가 나빠요.
超市	슈퍼마켓	저는 빵을 사러 슈퍼마켓에 가요.
衬衫	셔츠; 블라우스	이 셔츠는 아주 깨끗해요.
城市	도시	베이징은 큰 도시예요.
成绩	성적; 결과	그의 수학 성적은 아주 좋아요.
迟到	지각하다	수업에 지각하지 마세요.
除了	…말고도; …외에	커피 말고 차도 주세요.
船	배; 선박	우리는 배를 타고 그 도시로 가요.
春	봄	봄에는 꽃이 많아요.
词典	사전	이 사전은 아주 유용해요.
聪明	똑똑하다; 영리하다	이 아이는 아주 똑똑해요.
打扫	청소하다; 쓸다	저는 주말에 방을 청소해요.
打算	계획하다; 생각하다; 계획	내일 무슨 계획이 있어요?
带	가지고 오다; 데리고 가다; 지니다	여권을 가지고 오세요.
担心	걱정하다; 걱정	걱정하지 마세요, 제가 도와줄게요.
蛋糕	케이크	이 케이크는 아주 달아요.
当然	물론; 당연히	물론 가능해요.
地	부사어를 만드는 구조조사	그는 기쁘게 웃었어요.
灯	등; 전등	불을 켜 주세요.
地方	곳; 장소	이곳은 아주 조용해요.
地铁	지하철	저는 매일 지하철을 타고 출근해요.
地图	지도	저는 지도에서 학교를 찾아요.
电梯	엘리베이터	엘리베이터는 왼쪽에 있어요.
电子邮件	이메일	저는 선생님께 이메일을 보내요.
东	동쪽	해는 동쪽에서 떠요.
冬	겨울	겨울에 저는 따뜻한 차 마시는 것을 좋아해요.
动物	동물	판다는 중국의 유명한 동물이에요.
短	짧다	이 바지는 너무 짧아요.
段	단락; 부분	이 단락을 읽어 주세요.
锻炼	운동하다; 단련하다	저는 매일 아침 운동해요.
多么	얼마나; 참으로	여기 환경이 얼마나 좋은지요!
饿	배고프다	저는 배가 고파서 빵을 먹고 싶어요.
耳朵	귀	제 귀가 조금 아파요.
发	보내다; 발송하다	저는 저녁에 이메일을 보내요.
发烧	열이 나다	그는 열이 나서 학교에 갈 수 없어요.
发现	발견하다; 알아차리다	저는 이 방법이 좋다는 것을 알았어요.
方便	편리하다	지하철을 타는 것은 편리해요.
放	놓다; 두다; 풀어 주다	책을 책상 위에 놓아 주세요.
放心	안심하다	안심하세요, 제가 제시간에 도착할게요.
分	나누다; 분배하다	케이크를 모두에게 나눠 주세요.
复习	복습하다; 복습	시험 전에 복습해야 해요.
附近	근처; 부근	근처에 음식점이 하나 있어요.
干净	깨끗하다	이 방은 아주 깨끗해요.
感冒	감기에 걸리다; 감기	저는 감기에 걸려서 쉬고 싶어요.
感兴趣	흥미가 있다	저는 중국어에 아주 관심이 있어요.
刚才	방금; 조금 전	방금 누가 당신에게 전화했어요?
个子	키; 체격	그는 키가 커요.
根据	…에 따르면; 근거	지도에 따르면 학교는 동쪽에 있어요.
跟	…와; 따라가다	저는 친구와 공원에 가요.
更	더; 더욱	오늘은 어제보다 더 추워요.
公斤	킬로그램	이 사과들은 일 킬로그램이에요.
公园	공원	아이들이 공원에서 게임을 하고 있어요.
故事	이야기	할아버지가 저에게 이야기를 해 주세요.
刮风	바람이 불다	오늘은 바람이 부니 자전거를 타지 마세요.
关	닫다; 끄다	문을 닫아 주세요.
