source_headword	AZ	example_AZ
clothes	paltar; geyim	Paltarlarım təmizdir.
club	klub	O, musiqi klubuna gedir.
coat	palto	Paltom istidir.
coffee	qəhvə	Səhər qəhvə içirəm.
cold	soyuq; soyuqdəymə	Su soyuqdur.
college	kollec	Bacım kollecdə oxuyur.
colour	rəng	Ən sevdiyim rəng mavidir.
come	gəlmək	Zəhmət olmasa, bura gəl.
common	ümumi; yayğın	Bu ad yayğındır.
company	şirkət	Anam bir şirkətdə işləyir.
compare	müqayisə etmək	Bu iki şəkli müqayisə et.
complete	tam; tamamlamaq	Forma tamdır.
computer	kompüter	Bu kompüter yenidir.
concert	konsert	Bu axşam konsertə gedirik.
conversation	söhbət	Qısa söhbətimiz oldu.
cook	bişirmək; aşpaz	Evdə şam yeməyi bişirirəm.
cooking	yemək bişirmə	Atamla yemək bişirməyi xoşlayıram.
cool	sərin; əla	Otaq sərindir.
correct	düzgün	Cavabın düzgündür.
cost	qiymət; başa gəlmək	Bu nə qədər başa gəlir?
could modal	edə bilərdim	Mən sənə kömək edə bilərdim.
country	ölkə	Kanada böyük ölkədir.
course	kurs	Mən ingilis dili kursuna gedirəm.
cousin	əmiuşağı; xalauşağı	Əmiuşağım yaxınlıqda yaşayır.
cow	inək	İnək ot yeyir.
cream	qaymaq	Qəhvəyə qaymaq əlavə edirəm.
create	yaratmaq	Onlar yeni oyun yaradırlar.
culture	mədəniyyət	Yerli mədəniyyət haqqında öyrənirik.
cup	fincan	Bu fincan boşdur.
customer	müştəri	Müştəri sual verir.
cut	kəsmək	Almanı yarıya kəs.
dad	ata	Atam işdədir.
dance	rəqs etmək; rəqs	Axşam yeməyindən sonra rəqs edirik.
dancer	rəqqas; rəqqasə	Rəqqas sürətlə hərəkət edir.
dancing	rəqs	Rəqs əyləncəlidir.
dangerous	təhlükəli	Bu yol təhlükəlidir.
dark	qaranlıq; tünd	Otaq qaranlıqdır.
date	tarix	Bu gün tarix nədir?
daughter	qız	Onun qızı altı yaşındadır.
day	gün	Günün yaxşı keçsin.
dear	əziz	Əziz dostum, təşəkkür edirəm.
December	dekabr	Ad günüm dekabrdadır.
decide	qərar vermək	Zəhmət olmasa, indi qərar ver.
delicious	dadlı	Bu şorba dadlıdır.
describe	təsvir etmək	Otağını təsvir et.
description	təsvir	Qısa təsviri oxu.
design	dizayn; dizayn etmək	Sadə kart dizayn edirəm.
desk	yazı masası	Kitab yazı masamın üstündədir.
detail	detal	Bir detal çatışmır.
dialogue	dialoq	İndi dialoqu oxu.
dictionary	lüğət	Dərsdə lüğətdən istifadə et.
die	ölmək	Çiçəklər susuz ölür.
diet	qidalanma rasionu	Mənim rasionuma meyvə daxildir.
difference	fərq	Bir fərq var.
different	fərqli	Adlarımız fərqlidir.
