source_headword	RU	example_RU
crawl	ползать	Ребенок начал ползать по ковру.
creator	создатель	Создатель поблагодарил всех за поддержку.
credibility	доверие	Свидетель потерял доверие во время допроса.
credible	убедительный	В отчете были представлены убедительные доказательства.
creep	ползти	Туман начал ползти по долине.
critique	рецензия	Профессор дал подробную рецензию.
crown	корона	Королева носила серебряную корону.
crude	грубый	Рисунок был грубым, но понятным.
crush	раздавить	Тяжелые камни могут раздавить трубу.
crystal	кристалл	Кристалл отражал утренний свет.
cult	секта	Секта изолировала своих членов.
cultivate	выращивать	Фермеры выращивают рис в этом регионе.
curiosity	любопытство	Любопытство привело ее в науку.
custody	опека	Ребенок остался под опекой отца.
cutting	вырезка	Газета опубликовала вырезку о нем.
cynical	циничный	Его циничное замечание расстроило команду.
dam	плотина	Плотина сдерживает речную воду.
damaging	разрушительный	Разрушительная статья навредила кампании.
dawn	рассвет	Мы покинули деревню на рассвете.
debris	обломки	Обломки после шторма заблокировали дорогу.
debut	дебют	Ее дебют привлек внимание всей страны.
decision-making	принятие решений	Хорошее принятие решений требует четкой информации.
decisive	решительный	Ее решительные действия предотвратили дальнейший ущерб.
declaration	заявление	Министр зачитал официальное заявление.
dedicated	преданный	Преданная медсестра работала всю ночь.
dedication	преданность	Его преданность делу вдохновила молодых игроков.
deed	поступок	Смелый поступок спас две жизни.
deem	считать	Суд может признать контракт недействительным.
default	по умолчанию	Пока используйте настройки по умолчанию.
defect	дефект	Инспекторы обнаружили серьезный дефект.
defensive	оборонительный	Его оборонительный тон удивил всех.
deficiency	дефицит	Дефицит железа может повлиять на здоровье.
deficit	дефицит	Дефицит бюджета беспокоил чиновников.
defy	бросать вызов	Протестующие решили проигнорировать запрет.
delegate	делегат	Каждый делегат получил карточку для голосования.
delegation	делегация	Делегация прибыла до полудня.
delicate	хрупкий	Хрупкое стекло легко разбилось.
demon	демон	В истории описывается древний демон.
denial	отрицание	Его отрицание разозлило жертв.
denounce	осуждать	Лидеры осуждают насилие в школах.
dense	густой	Густой лес закрывал солнечный свет.
density	плотность	Плотность населения в центре города высока.
dependence	зависимость	Зависимость страны от нефти снизилась.
depict	изображать	Фреска изображает деревенскую жизнь.
deploy	размещать	Армия разместит дополнительный персонал.
deployment	развертывание	Развертывание войск началось в понедельник.
deprive	лишать	Недостаток сна может лишить студентов внимания.
deputy	заместитель	Заместитель подписал соглашение.
descend	спускаться	Тропа начала резко спускаться.
descent	спуск	Самолет начал снижение.
designate	назначать	Город выделит место для нового парка.
desirable	желательный	В классах желательно хорошее освещение.
desktop	рабочий стол	Файл лежит на моем рабочем столе.
destructive	разрушительный	Шторм имел разрушительную силу.
detain	задерживать	Полиция может задержать подозреваемых на ночь.
detection	обнаружение	Раннее обнаружение улучшает лечение рака.
detention	задержание	Студенты протестовали против условий содержания под стражей.
deteriorate	ухудшаться	Его здоровье начало ухудшаться.
devastate	разрушать	Землетрясение может разрушить прибрежные города.
devil	дьявол	Ребенок нарисовал улыбающегося дьявола.
devise	разрабатывать	Инженеры разрабатывают более безопасные транспортные системы.
diagnose	диагностировать	Врачи диагностируют болезнь по анализам крови.
diagnosis	диагноз	Диагноз объяснил ее симптомы.
dictate	диктовать	Контракт будет диктовать условия оплаты.
dictator	диктатор	Диктатор контролировал СМИ.
differentiate	различать	Можете ли вы отличить факт от мнения?
dignity	достоинство	Каждый заслуживает уважения достоинства на работе.
dilemma	дилемма	Менеджер столкнулся с серьезной дилеммой.
dimension	аспект	Проблема имеет политический аспект.
diminish	уменьшаться	Боль должна постепенно уменьшиться.
dip	погружаться	Температура может опуститься ниже нуля.
diplomat	дипломат	Дипломат встретился с иностранными лидерами.
diplomatic	дипломатический	Дипломатические переговоры продолжались всю ночь.
directory	справочник	Найдите его номер в справочнике.
disastrous	катастрофический	Катастрофическое наводнение разрушило несколько мостов.
discard	выбрасывать	Не выбрасывайте полезные записи.
discharge	выписывать	Больница выпишет его завтра.
disclose	раскрывать	Чиновники отказались раскрыть цифры.
disclosure	раскрытие информации	Это раскрытие информации шокировало правление.
discourse	дискурс	Публичный дискурс стал более вежливым.
discretion	осмотрительность	Проявляйте осмотрительность в деликатных случаях.
discrimination	дискриминация	Закон запрещает дискриминацию при приеме на работу.
dismissal	увольнение	Его увольнение вызвало гнев общественности.
displace	вынудить переселиться	Война может вынудить переселиться тысячи людей.
disposal	утилизация	Утилизация отходов остается местной проблемой.
dispose	утилизировать	Компания должна безопасно утилизировать химикаты.
dispute	спор	Спор длился несколько месяцев.
disrupt	нарушать	Шум может нарушить концентрацию внимания.
disruption	нарушение	Забастовка вызвала серьезные нарушения.
dissolve	растворяться	Сахар растворится в горячем чае.
distinction	различие	Различие между ними важно.
distinctive	характерный	У нее характерный голос.
distort	искажать	Зеркало может исказить ваше отражение.
distress	беспокойство	Звонок вызвал серьезное беспокойство.
disturbing	тревожный	В документальном фильме были показаны тревожные сцены.
divert	перенаправлять	Полиции пришлось перенаправить движение.
divine	божественный	В часовне царит божественная атмосфера.
doctrine	доктрина	Партия отвергла старую доктрину.
documentation	документация	Заполните документацию перед запуском.
domain	домен	Сайт использует безопасный домен.
dominance	господство	Превосходство команды длилось десять лет.
donor	донор	Донор сегодня сдал кровь.
dose	доза	Принимайте одну дозу после завтрака.
drain	стекать	Вода будет стекать в реку.
drift	сносить	Дым начал стлаться через дорогу.
driving	движущий	Дождь был главным фактором задержек.
drown	тонуть	Никогда не плавайте там, где течения могут вас утопить.
dual	двойной	Устройство имеет двойную функцию.
dub	прозвать	Критики называют этот город культурной столицей.
dumb	глупый	Это была глупая ошибка.
duo	дуэт	Комедийный дуэт гастролировал по Европе.
eager	нетерпеливый	Студенты горели желанием начать.
earnings	доходы	Доходы компании резко выросли.
ease	облегчать	Новая дорога облегчит движение транспорта.
echo	отдаваться эхом	Ее голос эхом разнесся по залу.
ecological	экологический	Экологические последствия остаются неопределенными.
educator	педагог	Педагог разработал новый курс.
effectiveness	эффективность	В исследовании измерялась эффективность вакцины.
efficiency	производительность	Лучшее программное обеспечение повысило производительность.
ego	эго	Его эго вызывало проблемы на работе.
elaborate	сложный	На этот сложный костюм ушли недели.
electoral	избирательный	Избирательная система изменилась в прошлом году.
elevate	повышать	Эта награда повысит ее авторитет.
eligible	имеющий право	Только резиденты имеют право на скидки.
elite	элита	Элита обучалась в частной академии.
embark	отправляться	Они отправятся в долгое путешествие.
embarrassment	смущение	Он засмеялся, чтобы скрыть свое смущение.
embassy	посольство	Посольство выпустило новые рекомендации для путешественников.
embed	внедрять	Журналист будет внедрен в подразделение.
embody	воплощать	Кажется, статуя воплощает в себе мужество.
emergence	появление	Появление телефонов изменило повседневную жизнь.
empirical	эмпирический	Статья опирается на эмпирические данные.
empower	расширять возможности	Образование может расширить возможности местных сообществ.
enact	принимать закон	Парламент проголосовал за принятие реформы.
encompass	охватывать	Курс будет охватывать современную историю.
encouragement	поощрение	Ее поддержка помогла ему продолжать.
encouraging	обнадеживающий	Первые результаты выглядят обнадеживающе.
endeavour	усилие	Спасение было трудным делом.
endless	бесконечный	Пустыня казалась бесконечной.
endorse	одобрять	Профсоюз отказался поддержать кандидата.
endorsement	одобрение	Его поддержка дала толчок ее кампании.
endure	выдерживать	Растения могут выдерживать суровые зимы.
enforce	обеспечивать соблюдение	Полиция следит за соблюдением скоростного режима.
enforcement	правоприменение	Более строгий контроль снизил количество незаконных свалок.
engagement	вовлеченность	Вовлеченность студентов улучшилась в этом семестре.
engaging	увлекательный	Оратор выступил с увлекательной речью.
enquire	узнавать	Пожалуйста, узнайте на стойке регистрации.
