source_headword	KM	example_KM
crawl	វា	ទារកបានចាប់ផ្តើមវានៅលើកម្រាលព្រំ។
creator	អ្នកបង្កើត	អ្នកបង្កើតបានថ្លែងអំណរគុណដល់អ្នករាល់គ្នាសម្រាប់ការគាំទ្ររបស់ពួកគេ។
credibility	ភាពគួរឱ្យជឿជាក់	សាក្សីបានបាត់បង់ភាពគួរឱ្យជឿជាក់ក្នុងអំឡុងពេលសួរចម្លើយ។
credible	ដែលគួរឱ្យជឿ	របាយការណ៍នេះបានផ្តល់ភស្តុតាងដែលគួរឱ្យជឿ។
creep	លូនចូល	អ័ព្ទបានចាប់ផ្តើមលូនចូលតាមជ្រលងភ្នំ។
critique	ការរិះគន់	សាស្ត្រាចារ្យបានផ្តល់ការរិះគន់យ៉ាងលម្អិត។
crown	ម្កុដ	ម្ចាស់ក្សត្រីពាក់ម្កុដប្រាក់។
crude	គ្រោតគ្រាត	គំនូរនោះមើលទៅគ្រោតគ្រាតប៉ុន្តែច្បាស់លាស់។
crush	កិនបំបែក	ថ្មធ្ងន់ៗអាចកិនបំបែកបំពង់នោះបាន។
crystal	គ្រីស្តាល់	គ្រីស្តាល់បានចំណាំងពន្លឺព្រះអាទិត្យពេលព្រឹក។
cult	និកាយ	និកាយនោះបានផ្តាច់សមាជិករបស់ខ្លួនឱ្យនៅឯកោ។
cultivate	ដាំដុះ	កសិករដាំដុះស្រូវនៅក្នុងតំបន់នេះ។
curiosity	ការចង់ដឹងចង់ឃើញ	ការចង់ដឹងចង់ឃើញបាននាំនាងចូលទៅក្នុងវិទ្យាសាស្ត្រ។
custody	ការគ្រប់គ្រងថែរក្សា	កុមារនេះនៅតែស្ថិតក្រោមការគ្រប់គ្រងថែរក្សារបស់ឪពុក។
cutting	អត្ថបទកាត់ចេញពីកាសែត	កាសែតបានបោះពុម្ពផ្សាយអត្ថបទកាត់ចេញមួយអំពីគាត់។
cynical	ដែលមានគំនិតទុទិដ្ឋិនិយម	សម្តីទុទិដ្ឋិនិយមរបស់គាត់ធ្វើឱ្យក្រុមខកចិត្ត។
dam	ទំនប់ទឹក	ទំនប់នេះទប់ទឹកទន្លេ។
damaging	ដែលបង្កការខូចខាត	អត្ថបទដែលបង្កការខូចខាតនេះបានធ្វើឱ្យប៉ះពាល់ដល់យុទ្ធនាការ។
dawn	ព្រឹកព្រលឹម	យើងបានចាកចេញពីភូមិនៅពេលព្រឹកព្រលឹម។
debris	កម្ទេចកម្ទី	កម្ទេចកម្ទីពីព្យុះបានបិទផ្លូវ។
debut	ការបង្ហាញខ្លួនជាលើកដំបូង	ការបង្ហាញខ្លួនជាលើកដំបូងរបស់នាងបានទាក់ទាញចំណាប់អារម្មណ៍ថ្នាក់ជាតិ។
decision-making	ការធ្វើសេចក្តីសម្រេចចិត្ត	ការធ្វើសេចក្តីសម្រេចចិត្តល្អទាមទារព័ត៌មានច្បាស់លាស់។
decisive	ដាច់ស្រេច	សកម្មភាពដ៏ដាច់ស្រេចរបស់នាងបានទប់ស្កាត់ការខូចខាតបន្ថែម។
declaration	សេចក្តីប្រកាស	រដ្ឋមន្ត្រីបានអានសេចក្តីប្រកាសជាផ្លូវការមួយ។
dedicated	ដែលប្តូរផ្តាច់	គិលានុបដ្ឋាយិកាដែលប្តូរផ្តាច់បានធ្វើការពេញមួយយប់។
dedication	ការលះបង់	ការលះបង់របស់គាត់បានជំរុញទឹកចិត្តកីឡាករក្មេងៗ។
deed	ទង្វើ	ទង្វើដ៏ក្លាហានបានជួយសង្គ្រោះជីវិតមនុស្សពីរនាក់។
deem	ចាត់ទុក	តុលាការអាចចាត់ទុកកិច្ចសន្យាថាមិនត្រឹមត្រូវ។
default	លំនាំដើម	ប្រើការកំណត់លំនាំដើមសម្រាប់ពេលនេះ។
defect	កំហុសឆ្គង	អធិការបានរកឃើញកំហុសឆ្គងធ្ងន់ធ្ងរ។
defensive	ការពារខ្លួន	សំឡេងការពារខ្លួនរបស់គាត់បានធ្វើឱ្យមនុស្សគ្រប់គ្នាភ្ញាក់ផ្អើល។
deficiency	ភាពកង្វះខាត	ការកង្វះជាតិដែកអាចប៉ះពាល់ដល់សុខភាព។
deficit	ឱនភាព	ឱនភាពថវិកាបានធ្វើឱ្យមន្ត្រីព្រួយបារម្ភ។
defy	ប្រឆាំងនឹង	ក្រុមបាតុករបានជ្រើសរើសប្រឆាំងនឹងការហាមឃាត់នេះ។
delegate	ប្រតិភូ	ប្រតិភូនីមួយៗទទួលបានប័ណ្ណបោះឆ្នោតមួយ។
delegation	គណៈប្រតិភូ	គណៈប្រតិភូបានមកដល់មុនពេលថ្ងៃត្រង់។
delicate	ផុយស្រួយ	កញ្ចក់ដ៏ផុយស្រួយនោះបែកយ៉ាងងាយ។
demon	បិសាច	សាច់រឿងរៀបរាប់ពីបិសាចបុរាណមួយ។
denial	ការបដិសេធ	ការបដិសេធរបស់គាត់ធ្វើឱ្យជនរងគ្រោះខឹងសម្បារ។
denounce	ថ្កោលទោស	មេដឹកនាំបានថ្កោលទោសអំពើហិង្សានៅក្នុងសាលារៀន។
dense	ក្រាស់	ព្រៃក្រាស់បានបាំងពន្លឺព្រះអាទិត្យ។
density	ដង់ស៊ីតេ	ដង់ស៊ីតេប្រជាជននៅទីក្រុងមានកម្រិតខ្ពស់។
dependence	ការពឹងផ្អែក	ការពឹងផ្អែករបស់ប្រទេសនេះលើប្រេងបានធ្លាក់ចុះ។
depict	ពណ៌នា	ផ្ទាំងគំនូរនេះពណ៌នាពីជីវិតនៅភូមិ។
deploy	ពង្រាយ	កងទ័ពនឹងពង្រាយបុគ្គលិកបន្ថែម។
deployment	ការពង្រាយ	ការពង្រាយកងទ័ពបានចាប់ផ្តើមនៅថ្ងៃចន្ទ។
deprive	ដកហូត	ការខ្វះការគេងអាចដកហូតការផ្តោតអារម្មណ៍របស់សិស្ស។
deputy	អនុប្រធាន	អនុប្រធានបានចុះហត្ថលេខាលើកិច្ចព្រមព្រៀងនេះ។
descend	ចុះ	ផ្លូវបានចាប់ផ្តើមចុះចំណោតយ៉ាងខ្លាំង។
descent	ការចុះ	យន្តហោះបានចាប់ផ្តើមចុះចត។
designate	ចាត់តាំង	ទីក្រុងនឹងចាត់តាំងឧទ្យានថ្មីមួយ។
desirable	ដែលគួរឱ្យចង់បាន	ពន្លឺល្អគឺជារឿងដែលគួរឱ្យចង់បាននៅក្នុងថ្នាក់រៀន។
desktop	កុំព្យូទ័រលើតុ	ឯកសារនេះនៅលើអេក្រង់កុំព្យូទ័រលើតុរបស់ខ្ញុំ។
destructive	ដែលបំផ្លិចបំផ្លាញ	ព្យុះនេះមានកម្លាំងបំផ្លិចបំផ្លាញ។
detain	ឃាត់ខ្លួន	ប៉ូលីសអាចឃាត់ខ្លួនជនសង្ស័យពេញមួយយប់។
detection	ការរកឃើញ	ការរកឃើញទាន់ពេលធ្វើឱ្យការព្យាបាលជំងឺមហារីកកាន់តែប្រសើរឡើង។
detention	ការឃុំឃាំង	សិស្សានុសិស្សបានតវ៉ាប្រឆាំងនឹងលក្ខខណ្ឌនៃការឃុំឃាំង។
deteriorate	យ៉ាប់យ៉ឺន	សុខភាពរបស់គាត់បានចាប់ផ្តើមយ៉ាប់យ៉ឺន។
devastate	បំផ្លិចបំផ្លាញ	ការរញ្ជួយដីអាចបំផ្លិចបំផ្លាញទីក្រុងតាមឆ្នេរសមុទ្រ។
devil	អារក្ស	ក្មេងនេះបានគូររូបអារក្សកំពុងញញឹម។
devise	បង្កើតឡើង	វិស្វករបង្កើតប្រព័ន្ធដឹកជញ្ជូនឱ្យកាន់តែមានសុវត្ថិភាព។
diagnose	ធ្វើរោគវិនិច្ឆ័យ	វេជ្ជបណ្ឌិតធ្វើរោគវិនិច្ឆ័យជំងឺនេះដោយការធ្វើតេស្តឈាម។
diagnosis	ការធ្វើរោគវិនិច្ឆ័យ	ការធ្វើរោគវិនិច្ឆ័យបានពន្យល់ពីរោគសញ្ញារបស់នាង។
dictate	កំណត់	កិច្ចសន្យានឹងកំណត់លក្ខខណ្ឌនៃការទូទាត់ប្រាក់។
dictator	ជនផ្តាច់ការ	ជនផ្តាច់ការគ្រប់គ្រងប្រព័ន្ធផ្សព្វផ្សាយ។
differentiate	បែងចែក	តើអ្នកអាចបែងចែកការពិតពីគំនិតបានទេ?
dignity	សេចក្តីថ្លៃថ្នូរ	មនុស្សគ្រប់រូបសមនឹងទទួលបានសេចក្តីថ្លៃថ្នូរនៅកន្លែងធ្វើការ។
dilemma	ភាពស្ទាក់ស្ទើរ	អ្នកគ្រប់គ្រងប្រឈមមុខនឹងភាពស្ទាក់ស្ទើរយ៉ាងខ្លាំង។
dimension	វិមាត្រ	បញ្ហានេះមានវិមាត្រនយោបាយ។
diminish	ថយចុះ	ការឈឺចាប់គួរតែថយចុះបន្តិចម្តងៗ។
dip	ធ្លាក់ចុះ	សីតុណ្ហភាពអាចធ្លាក់ចុះក្រោមកម្រិតត្រជាក់។
diplomat	អ្នកការទូត	អ្នកការទូតបានជួបជាមួយមេដឹកនាំបរទេស។
diplomatic	ខាងការទូត	កិច្ចពិភាក្សាការទូតបានបន្តពេញមួយយប់។
directory	បញ្ជីរាយនាម	ស្វែងរកបញ្ជីរាយនាមសម្រាប់លេខរបស់គាត់។
disastrous	ដែលមហន្តរាយ	ទឹកជំនន់ដ៏មហន្តរាយបានបំផ្លាញស្ពានជាច្រើន។
discard	បោះចោល	កុំបោះចោលកំណត់ត្រាដែលមានប្រយោជន៍។
discharge	អនុញ្ញាតឱ្យចេញពីមន្ទីរពេទ្យ	មន្ទីរពេទ្យនឹងអនុញ្ញាតឱ្យគាត់ចេញនៅថ្ងៃស្អែក។
disclose	បង្ហាញ	មន្ត្រីបានបដិសេធមិនបង្ហាញតួលេខ។
disclosure	ការលាតត្រដាង	ការលាតត្រដាងនោះបានធ្វើឱ្យក្រុមប្រឹក្សាភិបាលភ្ញាក់ផ្អើល។
discourse	សុន្ទរកថា	សុន្ទរកថាសាធារណៈកាន់តែមានភាពគួរសម។
discretion	ការពិចារណា	ប្រើការពិចារណារបស់អ្នកចំពោះករណីរសើប។
discrimination	ការរើសអើង	ច្បាប់ហាមឃាត់ការរើសអើងក្នុងការជួលបុគ្គលិក។
dismissal	ការបណ្តេញចេញ	ការបណ្តេញគាត់ចេញបានធ្វើឱ្យមានការខឹងសម្បារពីសាធារណជន។
displace	ផ្លាស់ទីលំនៅ	សង្រ្គាមអាចផ្លាស់ទីលំនៅមនុស្សរាប់ពាន់នាក់។
disposal	ការបោះចោល	ការបោះចោលកាកសំណល់នៅតែជាបញ្ហាក្នុងតំបន់។
dispose	បោះចោល	ក្រុមហ៊ុនត្រូវបោះចោលសារធាតុគីមីដោយសុវត្ថិភាព។
dispute	ជម្លោះ	ជម្លោះនេះមានរយៈពេលជាច្រើនខែ។
disrupt	រំខាន	សំឡេងរំខានអាចរំខានដល់ការផ្តោតអារម្មណ៍។
disruption	ការរំខាន	កូដកម្មបានបណ្តាលឱ្យមានការរំខានយ៉ាងខ្លាំង។
dissolve	រលាយ	ស្ករនឹងរលាយក្នុងតែហក្តៅ។
distinction	ភាពខុសគ្នា	ភាពខុសគ្នារវាងពួកគេគឺជារឿងសំខាន់។
distinctive	ពិសេស	នាងមានសំឡេងពិសេស។
distort	ធ្វើឱ្យខូចទ្រង់ទ្រាយ	កញ្ចក់អាចធ្វើឱ្យខូចចំណាំងប្លាតរបស់អ្នក។
distress	ទុក្ខព្រួយ	ការហៅទូរសព្ទនោះបណ្តាលឱ្យមានទុក្ខព្រួយយ៉ាងខ្លាំង។
disturbing	ដែលរំខាន	ភាពយន្តឯកសារនោះបានបង្ហាញឈុតឆាកដែលរំខានអារម្មណ៍។
divert	បង្វែរ	ប៉ូលីសត្រូវបង្វែរចរាចរណ៍។
divine	ដ៏ទេវភាព	វិហារមានបរិយាកាសដ៏ទេវភាព។
doctrine	គោលលទ្ធិ	គណបក្សនេះបានច្រានចោលគោលលទ្ធិចាស់។
documentation	ឯកសារ	បំពេញឯកសារមុនពេលចាប់ផ្តើម។
domain	ដែន	គេហទំព័រនេះប្រើដែនសុវត្ថិភាព។
dominance	ភាពលេចធ្លោ	ភាពលេចធ្លោរបស់ក្រុមនេះមានរយៈពេលមួយទសវត្សរ៍។
donor	ម្ចាស់ជំនួយ	អ្នកបរិច្ចាគបានផ្តល់ឈាមនៅថ្ងៃនេះ។
dose	កម្រិតថ្នាំ	លេបមួយកម្រិតបន្ទាប់ពីអាហារពេលព្រឹក។
drain	បង្ហូរ	ទឹកនឹងហូរចូលទៅក្នុងទន្លេ។
drift	អណ្តែត	ផ្សែងចាប់ផ្តើមរសាត់កាត់ផ្លូវ។
driving	ដែលជំរុញ	ភ្លៀងគឺជាកត្តាជំរុញនៅពីក្រោយការពន្យារពេល។
drown	លង់ទឹក	កុំហែលទឹកនៅកន្លែងដែលចរន្តទឹកអាចធ្វើឱ្យអ្នកលង់ទឹកស្លាប់។
dual	ទ្វេ	ឧបករណ៍នេះមានមុខងារទ្វេ។
dub	ដាក់ឈ្មោះ	អ្នករិះគន់ដាក់ឈ្មោះទីក្រុងនេះជារដ្ឋធានីវប្បធម៌។
dumb	ល្ងង់	នោះគឺជាកំហុសដ៏ល្ងង់ខ្លៅមួយ។
duo	អ្នកទាំងពីរ	អ្នកកំប្លែងទាំងពីរបានធ្វើដំណើរជុំវិញអឺរ៉ុប។
eager	អន្ទះសា	សិស្សអន្ទះសាចង់ចាប់ផ្តើម។
earnings	ប្រាក់ចំណូល	ប្រាក់ចំណូលរបស់ក្រុមហ៊ុនបានកើនឡើងយ៉ាងខ្លាំង។
ease	សម្រួល	ផ្លូវថ្មីនឹងជួយសម្រួលដល់ចរាចរណ៍។
echo	បន្ទរ	សំឡេងរបស់នាងបានបន្លឺឡើងនៅក្នុងសាល។
ecological	អេកូឡូស៊ី	ផលប៉ះពាល់ផ្នែកអេកូឡូស៊ីនៅមិនទាន់ច្បាស់លាស់នៅឡើយ។
educator	អ្នកអប់រំ	អ្នកអប់រំបានរៀបចំវគ្គសិក្សាថ្មីមួយ។
effectiveness	ប្រសិទ្ធភាព	ការសិក្សានេះបានវាស់វែងពីប្រសិទ្ធភាពរបស់វ៉ាក់សាំង។
efficiency	ប្រសិទ្ធភាព	កម្មវិធីប្រសើរជាងមុនធ្វើឱ្យប្រសិទ្ធភាពកាន់តែប្រសើរឡើង។
ego	អត្មា	អត្មារបស់គាត់បង្កបញ្ហានៅកន្លែងធ្វើការ។
elaborate	លម្អិត	សម្លៀកបំពាក់ដ៏ប្រណិតចំណាយពេលច្រើនសប្តាហ៍។
electoral	ការបោះឆ្នោត	ប្រព័ន្ធបោះឆ្នោតបានផ្លាស់ប្តូរកាលពីឆ្នាំមុន។
elevate	លើកស្ទួយ	ពានរង្វាន់នេះនឹងលើកកម្ពស់កេរ្តិ៍ឈ្មោះរបស់នាង។
eligible	មានសិទ្ធិ	មានតែអ្នករស់នៅទីនេះទេដែលមានសិទ្ធិទទួលបានការបញ្ចុះតម្លៃ។
elite	វរជន	វរជនបានទទួលការបណ្តុះបណ្តាលនៅសាលាឯកជនមួយ។
embark	ចាប់ផ្តើម	ពួកគេនឹងចាប់ផ្តើមការធ្វើដំណើរដ៏វែងមួយ។
