hsk_key	source_word	simplified	CS	example_CS	SK	example_SK	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
503:爱人	爱人	爱人	manžel; manželka; milovaná osoba	Můj manžel dnes pracuje přesčas.	manžel; manželka; milovaná osoba	Môj manžel dnes pracuje nadčas.	házastárs; szeretett személy	A házastársam ma túlórázik.	soț; soție; persoană iubită	Soțul meu lucrează peste program astăzi.	съпруг; съпруга; любим човек	Съпругът ми днес работи извънредно.	suprug; supruga; voljena osoba	Moj suprug danas radi prekovremeno.
508:班级	班级	班级	třída; třídní skupina	V naší třídě je třicet žáků.	trieda; triedna skupina	V našej triede je tridsať žiakov.	osztály; tanulócsoport	Az osztályunkban harminc diák van.	clasă; grupă de clasă	În clasa noastră sunt treizeci de elevi.	клас; учебна група	В нашия клас има тридесет ученици.	razred; razredna skupina	U našem razredu ima trideset učenika.
509:搬家	搬家	搬家	stěhovat se	Tento víkend se budeme stěhovat.	sťahovať sa	Tento víkend sa budeme sťahovať.	költözni	Ezen a hétvégén költözünk.	a se muta în altă casă	În acest weekend ne mutăm.	местя се; премествам се	Този уикенд ще се местим.	seliti se	Ovog vikenda se selimo.
510:办	办	办	vyřizovat; zařídit	Odpoledne jdu do banky vyřídit bankovní kartu.	vybaviť; zariadiť	Popoludní idem do banky vybaviť bankovú kartu.	intézni; elintézni	Délután bemegyek a bankba bankkártyát intézni.	a rezolva; a face	După-amiază merg la bancă să solicit un card bancar.	уреждам; правя	Следобед отивам в банката да си извадя банкова карта.	obaviti; riješiti	Popodne idem u banku izvaditi bankovnu karticu.
513:半天	半天	半天	půl dne; dlouho	Čekal jsem dlouho, než přišel.	pol dňa; dlho	Čakal som dlho, kým prišiel.	fél nap; sokáig	Sokáig vártam, mire megérkezett.	jumătate de zi; mult timp	Am așteptat mult timp până a venit.	половин ден; дълго време	Чаках дълго, преди да дойде.	pola dana; dugo	Čekao sam dugo prije nego što je došao.
517:北	北	北	sever; severní	Severně od školy je park.	sever; severný	Na sever od školy je park.	észak; északi	Az iskola északi oldalán van egy park.	nord; nordic	La nord de școală este un parc.	север; северен	На север от училището има парк.	sjever; sjeverni	Sjeverno od škole nalazi se park.
520:笔记	笔记	笔记	poznámky	Při hodině si pečlivě dělá poznámky.	poznámky	Na hodine si pozorne robí poznámky.	jegyzetek	Órán gondosan jegyzetel.	notițe	El ia notițe cu atenție la oră.	бележки	Той внимателно си води бележки в час.	bilješke	Na satu pažljivo vodi bilješke.
526:变	变	变	měnit se; změnit se	Počasí se ochladilo.	meniť sa; zmeniť sa	Počasie sa ochladilo.	változni; megváltozni	Az idő hidegebbre változott.	a se schimba	Vremea s-a răcit.	променям се	Времето застудя.	promijeniti se; mijenjati se	Vrijeme je postalo hladno.
528:变成	变成	变成	změnit se v; stát se	Déšť se změnil ve sníh.	zmeniť sa na; stať sa	Dážď sa zmenil na sneh.	valamivé válni; átváltozni	Az eső hóvá változott.	a se transforma în; a deveni	Ploaia s-a transformat în zăpadă.	превръщам се в	Дъждът се превърна в сняг.	pretvoriti se u; postati	Kiša se pretvorila u snijeg.
531:别的	别的	别的	jiný; další	Máš ještě nějaké další otázky?	iný; ďalší	Máš ešte nejaké ďalšie otázky?	más; egyéb	Van még más kérdésed?	alt; diferit	Mai ai alte întrebări?	друг; различен	Имаш ли други въпроси?	drugi; različit	Imaš li još drugih pitanja?
533:宾馆	宾馆	宾馆	hotel; ubytování	Bydlíme v hotelu poblíž letiště.	hotel; ubytovanie	Bývame v hoteli blízko letiska.	szálloda; hotel	A repülőtér közelében lévő szállodában lakunk.	hotel; unitate de cazare	Stăm la un hotel lângă aeroport.	хотел; място за настаняване	Отсядаме в хотел близо до летището.	hotel; smještaj	Odsjeli smo u hotelu blizu zračne luke.
534:冰	冰	冰	led	Ve sklenici je led.	ľad	V pohári je ľad.	jég	A pohárban jég van.	gheață	În pahar este gheață.	лед	В чашата има лед.	led	U čaši ima leda.
537:病人	病人	病人	pacient; nemocný člověk	Lékař právě prohlíží pacienta.	pacient; chorý človek	Lekár práve vyšetruje pacienta.	beteg; páciens	Az orvos éppen egy beteget vizsgál.	pacient; bolnav	Medicul consultă un pacient.	пациент; болен човек	Лекарят преглежда пациент.	pacijent; bolesna osoba	Liječnik upravo pregledava pacijenta.
538:不但	不但	不但	nejen	On umí nejen čínsky, ale také anglicky.	nielen	On vie nielen po čínsky, ale aj po anglicky.	nemcsak	Nemcsak kínaiul, hanem angolul is tud.	nu numai	El vorbește nu numai chineză, ci și engleză.	не само	Той говори не само китайски, но и английски.	ne samo	On govori ne samo kineski nego i engleski.
539:不见	不见	不见	nevidět se; zmizet	Dlouho jsme se neviděli, jak se máš?	nevidieť sa; zmiznúť	Dlho sme sa nevideli, ako sa máš?	nem látni; eltűnni	Rég nem láttalak, hogy vagy mostanában?	a nu vedea; a dispărea	Nu ne-am văzut de mult. Ce mai faci?	не виждам; изчезвам	Отдавна не сме се виждали. Как си напоследък?	ne vidjeti se; nestati	Dugo se nismo vidjeli. Kako si u zadnje vrijeme?
