source_headword	AZ	example_AZ
fridge	soyuducu	Sud soyuducudadır.
frog	qurbağa	Qurbağa gölün yanında oturur.
furniture	mebel	Otaqdakı mebel yenidir.
further	daha uzağa	Biz yol boyunca daha uzağa getdik.
gallery	qalereya	Şəkillər qalereyada asılıb.
gap	boşluq	Divarda kiçik boşluq var.
gas	qaz	Mətbəxdə qaz iyi gəldi.
gate	darvaza	Məktəbin darvazası açıqdır.
general	ümumi	Bu ümumi qaydadır.
gift	hədiyyə	O, anasına hədiyyə verdi.
goal	məqsəd	Onun məqsədi aydındır.
god	Tanrı	O, Tanrıya təşəkkür etdi.
gold	qızıl	Üzük qızıldandır.
golf	qolf	O, bazar günü qolf oynadı.
government	hökumət	Hökumət yeni plan elan etdi.
grass	ot	Yağışdan sonra ot yaşıl oldu.
greet	salamlaşmaq	O, qonaqla salamlaşdı.
ground	yer	Uşaqlar yerdə oturdu.
guest	qonaq	Qonaq erkən gəldi.
guide	bələdçi	Bələdçi şəhər haqqında danışdı.
gun	silah	Polis silahı təhlükəsiz yerə qoydu.
guy	oğlan	Bu oğlan çox mehribandır.
habit	vərdiş	Səhər oxumaq yaxşı vərdişdir.
hall	zal	İclas böyük zalda oldu.
happily	sevinclə	Onlar evə sevinclə qayıtdılar.
headache	baş ağrısı	Bu gün onun başı ağrıyır.
heart	ürək	Onun ürəyi tez döyündü.
heat	istilik	Günorta istilik artdı.
heavy	ağır	Bu qutu çox ağırdır.
height	hündürlük	Binanın hündürlüyü böyükdür.
helpful	faydalı	Bu məsləhət çox faydalıdır.
hero	qəhrəman	Hekayədəki qəhrəman cəsurdur.
hers	onunki	Bu çanta onunkudur.
herself	özü	O, qapını özü açdı.
hide	gizlətmək	O, açarı gizlətdi.
hill	təpə	Ev təpənin üstündədir.
himself	özü	O, yeməyi özü bişirdi.
hit	vurmaq	Top pəncərəyə dəydi.
hockey	xokkey	Onlar axşam xokkey oynadılar.
hold	tutmaq	Zəhmət olmasa, bu ipi tutun.
hole	deşik	Yolda böyük deşik var.
huge	nəhəng	Orada nəhəng ağac var.
human	insan	İnsan susuz yaşaya bilməz.
hurt	ağrıtmaq	Onun sözləri məni ağrıtdı.
ideal	ideal	Bu oxumaq üçün ideal yerdir.
identify	müəyyən etmək	O, quşu müəyyən etməyə çalışdı.
ill	xəstə	Uşaq dünən xəstə idi.
illness	xəstəlik	Bu xəstəlik tez yayılır.
image	şəkil	Ekranda aydın şəkil görünür.
immediately	dərhal	O, dərhal cavab verdi.
impossible	mümkün deyil	Bunu tək etmək mümkün deyil.
included	daxil edilmiş	Vergi qiymətə daxil edilmişdir.
including	daxil olmaqla	Hamı, müəllim daxil olmaqla, gəldi.
increase	artmaq	Bu ay qiymət artdı.
incredible	inanılmaz	Mənzərə inanılmaz idi.
independent	müstəqil	O, müstəqil qərar verdi.
individual	fərdi	Hər şagirdə fərdi kömək lazımdır.
industry	sənaye	Bu şəhərdə böyük sənaye var.
informal	qeyri-rəsmi	Bu qeyri-rəsmi söhbətdir.
injury	zədə	Oyunçu yüngül zədə aldı.
insect	həşərat	Yarpaqda kiçik həşərat var idi.
inside	içində	Uşaqlar evin içində oynayırlar.
instead	əvəzinə	O, çay əvəzinə su içdi.
instruction	təlimat	Zəhmət olmasa, təlimatı diqqətlə oxuyun.
instructor	təlimçi	Təlimçi qaydaları izah etdi.
instrument	alət	O, yeni musiqi aləti aldı.
intelligent	ağıllı	Bu uşaq çox ağıllıdır.
international	beynəlxalq	Bu beynəlxalq konfransdır.
introduction	giriş	Müəllim qısa giriş etdi.
invent	ixtira etmək	Alim yeni cihaz ixtira etdi.
invention	ixtira	Bu ixtira həyatı asanlaşdırdı.
invitation	dəvət	Biz toya dəvət aldıq.
invite	dəvət etmək	O, dostunu evə dəvət etdi.
involve	cəlb etmək	Layihə çox adamı cəlb edir.
item	əşya	Siyahıdakı hər əşyanı yoxlayın.
itself	özü	Maşın özü dayandı.
jam	mürəbbə	O, çörəyə mürəbbə çəkdi.
jazz	caz	O, caz musiqisini sevir.
jewellery	zərgərlik əşyaları	Zərgərlik əşyaları qutudadır.
joke	zarafat	Onun zarafatı hamını güldürdü.
journalist	jurnalist	Jurnalist nazirə sual verdi.
jump	tullanmaq	Uşaq suya tullandı.
kid	uşaq	Uşaq parkda oynayır.
kill	öldürmək	Zəhər bitkini öldürə bilər.
king	kral	Kral sarayda yaşayırdı.
knee	diz	Onun dizi ağrıyır.
knife	bıçaq	Bıçaq masanın üstündədir.
knock	döymək	Kimsə qapını döydü.
knowledge	bilik	Onun bu mövzuda biliyi var.
lab	laboratoriya	Tələbələr laboratoriyada işlədilər.
lady	qadın	Bu qadın avtobusa mindi.
lake	göl	Göl kəndin yanındadır.
lamp	lampa	Masadakı lampa yanır.
laptop	noutbuk	O, noutbukda işləyir.
last1 (taking time)	davam etmək	İclas iki saat davam etdi.
laughter	gülüş	Otaq gülüşlə doldu.
law	qanun	Bu qanun hamıya aiddir.
lawyer	vəkil	Vəkil məhkəmədə danışdı.
lazy	tənbəl	O, bu gün çox tənbəldir.
lead1	rəhbərlik etmək	O, komandaya yaxşı rəhbərlik etdi.
leader	lider	Lider planı izah etdi.
learning	öyrənmə	Öyrənmə hər gün lazımdır.
least	ən az	Bu ən az qiymətdir.
lecture	mühazirə	Mühazirə səhər başladı.
lemon	limon	O, suya limon əlavə etdi.
lend	borc vermək	Zəhmət olmasa, mənə qələm borc verin.
less	az	Bugün adam daha azdır.
level	səviyyə	Onun ingilis dili səviyyəsi yaxşılaşdı.
lifestyle	həyat tərzi	Sağlam həyat tərzi vacibdir.
lift	lift	Lift üçüncü mərtəbədə dayandı.
light	işıq yandırmaq	O, şamı yandırdı.
light (not heavy)	yüngül	Bu çanta yüngüldür.
likely	ehtimal olunan	Bu gün yağış yağması ehtimal olunur.
link	əlaqə	Bu iki fikir arasında əlaqə var.
listener	dinləyici	Dinləyici diqqətlə qulaq asdı.
lock	kilidləmək	Çıxanda qapını kilidləyin.
lorry	yük maşını	Yük maşını malları gətirdi.
lost	itmiş	İtmiş telefon sonra tapıldı.
loud	uca	Musiqi çox uca idi.
loudly	uca səslə	O, uca səslə danışdı.
lovely	gözəl	Bu gözəl gündür.
low	aşağı	Bu gün temperatur aşağıdır.
luck	uğur	Onun yaxşı uğuru var idi.
lucky	uğurlu	O, çox uğurludur.
mail	poçt	Bu gün poçt gec gəldi.
major	əsas	Bu əsas problemdir.
male	erkək	Erkək quş rənglidir.
manage	idarə etmək	O, vaxtını yaxşı idarə etdi.
manager	menecer	Menecer iclas çağırdı.
manner	tərz	Onun danışıq tərzi yumşaqdır.
mark	işarə	Kitabda qırmızı işarə var.
marry	evlənmək	Onlar gələn ay evlənəcəklər.
material	material	Bu material yumşaqdır.
mathematics	riyaziyyat	O, riyaziyyat oxuyur.
maths	riyaziyyat	O, riyaziyyatı sevir.
matter	məsələ	Bu kiçik məsələ deyil.
may modal	ola bilər	O, gec gələ bilər.
media	media	Media xəbəri yayımladı.
medical	tibbi	Ona tibbi yardım lazımdır.
medicine	dərman	Zəhmət olmasa, dərmanı vaxtında için.
memory	xatirə	Bu gün yaxşı xatirədir.
mention	qeyd etmək	O, mənim adımı da qeyd etdi.
metal	metal	Qapı metaldan hazırlanıb.
method	üsul	Bu üsul asandır.
middle	orta	Masa otağın ortasındadır.
might modal	ola bilər	Bu gün yağış yağa bilər.
mind	ağıl	Onun ağlında sual var idi.
mine (belongs to me)	mənimki	Bu kitab mənimkidir.
mirror	güzgü	Güzgü divardan asılıb.
missing	itmiş	İtmiş açar tapıldı.
mobile	mobil telefon	Mobil telefon masanın üstündədir.
monkey	meymun	Meymun ağaca çıxdı.
moon	ay	Gecə ay parlaq idi.
mostly	əsasən	Otaq əsasən boş idi.
motorcycle	motosiklet	Motosiklet sürətlə getdi.
movement	hərəkət	Onun əl hərəkəti sürətli idi.
musical	musiqili	Bu musiqili proqramdır.
musician	musiqiçi	Musiqiçi səhnədə oxudu.
myself	özüm	Mən yeməyi özüm bişirdim.
narrow	dar	Yol çox dardır.
national	milli	Bu milli bayramdır.
nature	təbiət	Təbiət sakitdir.
nearly	demək olar	O, demək olar hazırdır.
necessary	lazımi	Bu lazımi sənəddir.
neck	boyun	Onun boynu ağrıyır.
neither	heç biri	Onların heç biri bu rəngi bəyənmədi.
nervous	həyəcanlı	İmtahandan əvvəl o həyəcanlandı.
network	şəbəkə	Burada telefon şəbəkəsi zəifdir.
noise	səs-küy	Çöldə böyük səs-küy eşidildi.
noisy	səs-küylü	Küçə çox səs-küylüdür.
none	heç nə	Qutuda heç nə yoxdur.
normal	normal	Bu normal vəziyyətdir.
normally	adətən	O, adətən tez gəlir.
notice	fikir vermək	Zəhmət olmasa, dəyişikliyə fikir verin.
novel	roman	O, yeni roman oxuyur.
nowhere	heç yerdə	Açar heç yerdə yoxdur.
nut	qoz	O, bir qoz yedi.
ocean	okean	Okean çox genişdir.
offer	təklif	Onlar kömək təklifi verdilər.
officer	məmur	Məmur sənədi yoxladı.
oil	yağ	O, qazana yağ tökdü.
onto	üstünə	Pişik stulun üstünə tullandı.
opportunity	imkan	Bu yaxşı imkandır.
option	seçim	Bizim başqa seçimimiz var.
ordinary	adi	Bu adi gündür.
organization	təşkilat	Təşkilat uşaqlara kömək edir.
organize	təşkil etmək	Onlar tədbiri təşkil etdilər.
original	orijinal	Bu orijinal şəkildir.
ourselves	özümüz	Biz otağı özümüz təmizlədik.
oven	soba	Çörək sobada qızır.
owner	sahib	Mağazanın sahibi orada idi.
pack	yığmaq	O, çantasını yığdı.
pain	ağrı	Onun ayağında ağrı var.
painter	rəssam	Rəssam divarı rənglədi.
palace	saray	Köhnə saray açıqdır.
pants	şalvar	O, yeni şalvar aldı.
parking	dayanacaq	Burada dayanacaq pulsuzdur.
particular	xüsusi	Onun xüsusi səbəbi var idi.
pass	keçmək	Maşın körpüdən keçdi.
passenger	sərnişin	Sərnişin bileti göstərdi.
patient	səbirli	Müəllim çox səbirli idi.
pattern	naxış	Parçada gözəl naxış var.
peace	sülh	Hamı sülh istəyir.
penny	xırda pul	O, xırda pulu götürdü.
per	hər	Hər adama bir bilet verildi.
per cent	faiz	Qiymət beş faiz düşdü.
perform	ifa etmək	Uşaqlar səhnədə rəqs ifa etdilər.
perhaps	bəlkə	Bəlkə o evdədir.
permission	icazə	Ona getməyə icazə verildi.
personality	şəxsiyyət	Onun şəxsiyyəti mehribandır.
pet	ev heyvanı	Onun ev heyvanı itdir.
petrol	benzin	Maşında benzin azdır.
physical	fiziki	Fiziki məşq sağlamlıq üçün yaxşıdır.
physics	fizika	O, fizika oxuyur.
pick	götürmək	O, yerdən qələmi götürdü.
pilot	pilot	Pilot sərnişinləri qarşıladı.
planet	planet	Yer planetdir.
plastic	plastik	Butulka plastikdən hazırlanıb.
plate	boşqab	Boşqab masaya qoyuldu.
platform	platforma	Qatar üçüncü platformaya gəldi.
pleased	məmnun	O, nəticədən məmnundur.
pocket	cib	O, açarı cibinə qoydu.
polite	nəzakətli	Bu uşaq çox nəzakətlidir.
pollution	çirklənmə	Şəhərdə çirklənmə artır.
pop	pop musiqi	O, pop musiqiyə qulaq asır.
population	əhali	Şəhərin əhalisi çoxdur.
position	mövqe	Onun mövqeyi siyahıda yuxarıdır.
possession	sahiblik	Kitab indi onun sahibliyindədir.
possibility	imkan	Qələbə üçün hələ imkan var.
poster	poster	Poster divara yapışdırıldı.
power	güc	Maşına daha çox güc lazımdır.
predict	proqnozlaşdırmaq	Onlar sabahkı havanı proqnozlaşdırdılar.
president	prezident	Prezident çıxış etdi.
prevent	qarşısını almaq	Yağış oyunun qarşısını aldı.
print	çap etmək	Zəhmət olmasa, bu səhifəni çap edin.
printer	printer	Printer bu gün işləmir.
prison	həbsxana	Oğru həbsxanaya düşdü.
prize	mükafat	O, yarışda mükafat aldı.
process	proses	Bu proses vaxt aparır.
produce	istehsal etmək	Zavod oyuncaqlar istehsal edir.
professional	peşəkar	O, peşəkar oyunçudur.
professor	professor	Professor sualı izah etdi.
profile	profil	O, profilini yenilədi.
program	proqram	Proqram axşam başlayır.
progress	irəliləyiş	Onun oxumasında irəliləyiş var.
promise	söz vermək	O, vaxtında gəlməyə söz verdi.
pronounce	tələffüz etmək	Bu sözü aydın tələffüz edin.
protect	qorumaq	Ağaclar təbiəti qoruyur.
provide	təmin etmək	Məktəb pulsuz yemək təmin edir.
pub	pivə evi	Onlar axşam pivə evində görüşdülər.
public	ictimai	Bu ictimai bağdır.
publish	nəşr etmək	Onlar kitabı gələn il nəşr edəcəklər.
pull	çəkmək	Qapını açmaq üçün dəstəyi çəkin.
purpose	məqsəd	Bu iclasın məqsədi aydındır.
push	itələmək	Qapını açmaq üçün itələyin.
quality	keyfiyyət	Bu köynəyin keyfiyyəti yaxşıdır.
quantity	miqdar	Miqdarı diqqətlə ölçün.
queen	kraliça	Kraliça sarayda yaşayırdı.
quietly	sakitcə	O, otağa sakitcə girdi.
race (competition)	yarış	Yarış səhər başladı.
railway	dəmir yolu	Dəmir yolu stansiyası yaxındır.
raise	qaldırmaq	O, əlini qaldırdı.
rate	qiymət	Otağın qiyməti yüksəkdir.
rather	xeyli	Bu xeyli çətindir.
reach	çatmaq	Biz axşam evə çatdıq.
react	reaksiya vermək	O, xəbərə sakit reaksiya verdi.
realize	başa düşmək	O, səhvini başa düşdü.
receive	almaq	O, məktubu aldı.
recent	son	Son xəbərlər vacibdir.
recently	bu yaxınlarda	O, bu yaxınlarda buraya gəldi.
reception	qəbul masası	Qəbul masasında açarı soruşun.
recipe	resept	Bu resept asandır.
recognize	tanımaq	O, köhnə dostunu tanıdı.
recommend	tövsiyə etmək	Mən bu kitabı tövsiyə edirəm.
record	qeyd etmək	O, məlumatı qeyd etdi.
recording	yazı	Yazı indi başlayır.
recycle	təkrar emal etmək	Biz kağızı təkrar emal edirik.
reduce	azaltmaq	Zəhmət olmasa, səsi azaldın.
refer	istinad etmək	Müəllim köhnə dərsə istinad etdi.
refuse1	rədd etmək	O, köməyi rədd etdi.
region	bölgə	Bu bölgə çox istidir.
regular	müntəzəm	O, müntəzəm məşq edir.
relationship	münasibət	Onların münasibəti güclüdür.
remove	götürmək	Kitabı masadan götürün.
repair	təmir etmək	O, velosipedi təmir etdi.
replace	əvəz etmək	Köhnə lampanı əvəz edin.
reply	cavab	Onun cavabı qısa idi.
reporter	müxbir	Müxbir sual verdi.
request	xahiş	O, kömək üçün xahiş etdi.
research	tədqiqat	O, yeni tədqiqat apardı.
researcher	tədqiqatçı	Tədqiqatçı nəticələri izah etdi.
respond	cavab vermək	O, suala cavab verdi.
response	cavab	Cavab çox tez oldu.
rest (remaining part)	qalan hissə	Qalan hissəni sabah bitirəcəyik.
