source_headword	DE	example_DE
incur	verursachen	Verzögerungen können zusätzliche Kosten verursachen.
indicator	der Indikator	Arbeitslosigkeit ist ein wirtschaftlicher Indikator.
indictment	die Anklageschrift	Die Anklageschrift führte drei Anklagepunkte auf.
indigenous	einheimisch	Einheimische Pflanzen wachsen hier gut.
induce	auslösen	Das Medikament kann Schlaf auslösen.
indulge	nachgeben	Sie frönt keinen teuren Gewohnheiten.
inequality	die Ungleichheit	Einkommensungleichheit bleibt ein großes Problem.
infamous	berüchtigt	Das Gefängnis wurde weltweit berüchtigt.
infant	der Säugling	Der Säugling schlief im Kinderbett.
infect	infizieren	Das Virus kann gesunde Zellen infizieren.
inflict	zufügen	Fügen Sie Tieren keinen Schmerz zu.
influential	einflussreich	Sie ist eine einflussreiche Rechtsgelehrte.
inherent	inhärent	Das Design birgt inhärente Risiken.
inhibit	hemmen	Angst kann eine ehrliche Diskussion hemmen.
initiate	einleiten	Der Manager wird die Überprüfung einleiten.
inject	injizieren	Die Krankenschwester wird den Impfstoff injizieren.
injection	die Injektion	Die Injektion linderte den Schmerz.
injustice	die Ungerechtigkeit	Das Urteil deckte eine klare Ungerechtigkeit auf.
inmate	der Insasse	Der Insasse bat um Rechtsberatung.
insertion	die Einfügung	Das Formular benötigt eine Texteinfügung.
insider	der Insider	Ein Insider hat den Bericht durchsickern lassen.
inspect	inspizieren	Beamte überprüfen die Brücke jährlich.
inspection	die Inspektion	Die Inspektion stellte schwere Schäden fest.
inspiration	die Inspiration	Ihre Rede gab mir Inspiration.
instinct	der Instinkt	Sein erster Instinkt war zu helfen.
institutional	institutionell	Institutionelle Regeln prägten die Entscheidung.
instruct	anweisen	Das Handbuch wird neue Mitarbeiter unterweisen.
instrumental	maßgeblich	Ihr Rat war maßgeblich bei den Verhandlungen.
insufficient	unzureichend	Die Beweise waren für eine Anklage unzureichend.
insult	die Beleidigung	Seine Beleidigung beendete das Gespräch.
intact	intakt	Die alte Mauer blieb intakt.
intake	die Aufnahme	Die Zuckeraufnahme sollte moderat bleiben.
integral	wesentlich	Vertrauen ist ein wesentlicher Bestandteil des Teams.
integrated	integriert	Die Schule bietet integrierte Unterstützung.
integration	die Integration	Die Integration verbesserte das gesamte System.
integrity	die Integrität	Der Richter zeigte große Integrität.
intensify	sich intensivieren	Der Sturm könnte sich über Nacht verstärken.
intensity	die Intensität	Die Intensität des Trainings nahm zu.
intensive	intensiv	Sie absolvierten ein intensives Sprachtraining.
intent	die Absicht	Seine Absicht war schwer zu beweisen.
interactive	interaktiv	Das Museum hat interaktive Ausstellungen.
interface	die Benutzeroberfläche	Die Benutzeroberfläche ist einfach zu navigieren.
interfere	sich einmischen	Mischen Sie sich nicht in die Ermittlungen ein.
interference	die Störung	Signalstörungen unterbrachen den Anruf.
interim	vorläufig	Ein vorläufiger Bericht kommt morgen.
interior	inner	Die Innenwände müssen gestrichen werden.
intermediate	fortgeschritten	Sie hat sich dem Mittelstufenkurs angeschlossen.
intervene	eingreifen	Die Polizei musste schnell eingreifen.
intervention	die Intervention	Ein frühes Eingreifen half dem Patienten.
intimate	intim	Sie hielten eine intime Familienzeremonie ab.
intriguing	faszinierend	Die Daten offenbarten ein faszinierendes Muster.
investigator	der Ermittler	Der Ermittler befragte jeden Zeugen.
invisible	unsichtbar	Das Gas ist unsichtbar und gefährlich.
invoke	sich berufen	Der Anwalt versuchte, sich auf einen Präzedenzfall zu berufen.
involvement	die Beteiligung	Seine Beteiligung blieb unklar.
ironic	ironisch	Der ironische Kommentar brachte alle zum Lachen.
ironically	ironischerweise	Ironischerweise dauerte die Route länger.
irony	die Ironie	Die Ironie war für jeden offensichtlich.
irrelevant	irrelevant	Dieses Detail ist hier irrelevant.
isolation	die Isolation	Isolation kann der psychischen Gesundheit schaden.
judicial	gerichtlich	Die gerichtliche Überprüfung beginnt am Montag.
junction	die Kreuzung	Biegen Sie an der Kreuzung links ab.
jurisdiction	die Zuständigkeit	Das Gericht hat eine begrenzte Zuständigkeit.
just	gerecht	Der Richter traf eine gerechte Entscheidung.
justification	die Rechtfertigung	Wir brauchen eine klare Rechtfertigung für die Ausgaben.
kidnap	entführen	Kriminelle versuchten, den Diplomaten zu entführen.
kidney	die Niere	Ihre Nierenfunktion hat sich verbessert.
kingdom	das Königreich	Das Königreich expandierte unter seiner Herrschaft.
lad	der Junge	Der junge Bursche trug die Taschen.
landlord	der Vermieter	Der Vermieter hat die Heizung repariert.
landmark	das Wahrzeichen	Der Turm wurde zu einem Wahrzeichen der Stadt.
lap	der Schoß	Das Kind saß auf ihrem Schoß.
large-scale	großflächig	Die Stadt plante groß angelegte Reparaturen.
laser	der Laser	Der Laser hat die Entfernung gemessen.
latter	letzterer	Letztere Option erscheint sicherer.
lawn	der Rasen	Die Kinder spielten auf dem Rasen.
lawsuit	die Klage	Das Unternehmen legte den Rechtsstreit bei.
layout	das Layout	Das Seitenlayout sieht übersichtlicher aus.
leak	das Leck	Ein Leck im Rohr überflutete die Küche.
leap	der Sprung	Die Verkäufe machten einen plötzlichen Sprung.
legacy	das Vermächtnis	Ihr Vermächtnis prägte die Universität.
legendary	legendär	Der legendäre Sänger kehrte auf die Bühne zurück.
legislation	die Gesetzgebung	Neue Gesetze schützen Mieter.
legislative	legislativ	Der Legislativausschuss trat heute zusammen.
legislature	die Legislative	Die Legislative genehmigte das Budget.
legitimate	legitim	Sie äußerten berechtigte Bedenken.
lengthy	langwierig	Die langwierige Debatte verzögerte die Abstimmung.
lesbian	lesbisch	Die lesbische Aktivistin sprach auf dem Forum.
lesser	geringer	Wählen Sie das geringere Risiko.
lethal	tödlich	Die Chemikalie kann tödlich sein.
liable	haftbar	Fahrer sind für Schäden haftbar.
liberal	liberal	Er unterstützt liberale Sozialpolitiken.
liberation	die Befreiung	Die Befreiung veränderte die Zukunft des Landes.
liberty	die Freiheit	Das Gesetz schützt die persönliche Freiheit.
license	zulassen	Der Staat kann neue Kliniken lizenzieren.
lifelong	lebenslang	Sie schloss dort lebenslange Freundschaften.
likelihood	die Wahrscheinlichkeit	Die Wahrscheinlichkeit von Regen stieg.
limb	die Gliedmaße	Die verletzte Gliedmaße heilte langsam.
linear	linear	Das Diagramm zeigt einen linearen Trend.
line-up	das Line-up	Das Line-up des Festivals umfasst lokale Bands.
linger	verweilen	Der Geruch kann stundenlang verweilen.
listing	das Inserat	Das Wohnungsinserat wirkte zutreffend.
literacy	die Alphabetisierung	Die Alphabetisierungsprogramme für Erwachsene wurden ausgeweitet.
liver	die Leber	Die Leber filtert schädliche Substanzen.
lobby	die Lobby	Die Lobby war nachmittags überfüllt.
log	das Protokoll	Das System führt ein tägliches Protokoll.
logic	die Logik	Die Logik seines Arguments versagte.
long-standing	langjährig	Sie haben einen langjährigen Streit beigelegt.
long-time	langjährig	Sie ist eine langjährige Freiwillige.
