hsk_key	source_word	simplified	SI	example_SI	TA	example_TA
503:爱人	爱人	爱人	සහකරු; ආදරවන්තයා	මගේ සහකරු අද අතිකාල වැඩ කරයි.	துணைவர்; அன்புக்குரியவர்	என் துணைவர் இன்று கூடுதல் நேரம் வேலை செய்கிறார்.
508:班级	班级	班级	පන්තිය; පන්ති කණ්ඩායම	අපේ පන්තියේ ශිෂ්‍යයන් තිස් දෙනෙක් ඉන්නවා.	வகுப்பு; வகுப்பு குழு	எங்கள் வகுப்பில் முப்பது மாணவர்கள் உள்ளனர்.
509:搬家	搬家	搬家	නිවස මාරු වීම	මෙම සති අන්තයේ අපි නිවස මාරු වෙනවා.	வீடு மாறுதல்	இந்த வார இறுதியில் நாங்கள் வீடு மாறுகிறோம்.
510:办	办	办	කර ගැනීම; සිදු කිරීම	අද දවල් මම බැංකු කාඩ්පතක් කරගන්න බැංකුවට යනවා.	செய்தல்; ஏற்பாடு செய்தல்	இன்று பிற்பகல் வங்கி அட்டை செய்ய வங்கிக்குச் செல்கிறேன்.
513:半天	半天	半天	දිගු වේලාවක්; දින භාගයක්	මම දිගු වේලාවක් බලා සිටියට පස්සේ ඔහු ආවා.	நீண்ட நேரம்; அரை நாள்	நான் நீண்ட நேரம் காத்திருந்த பிறகுதான் அவர் வந்தார்.
517:北	北	北	උතුර	පාසලේ උතුරු පැත්තේ උද්‍යානයක් තියෙනවා.	வடக்கு	பள்ளியின் வடக்குப் பக்கத்தில் ஒரு பூங்கா உள்ளது.
520:笔记	笔记	笔记	සටහන්	ඔහු පන්තියේදී අවධානයෙන් සටහන් ලියයි.	குறிப்புகள்	அவர் வகுப்பில் கவனமாக குறிப்புகள் எழுதுகிறார்.
526:变	变	变	වෙනස් වීම	කාලගුණය සීතල වී ඇත.	மாறுதல்	வானிலை குளிராக மாறியுள்ளது.
528:变成	变成	变成	බවට පත් වීම	වැස්ස හිම බවට පත් විය.	ஆக மாறுதல்	மழை பனியாக மாறியது.
531:别的	别的	别的	වෙනත්	ඔබට වෙනත් ප්‍රශ්න තිබේද?	வேறு; மற்ற	உங்களிடம் வேறு கேள்விகள் உள்ளனவா?
533:宾馆	宾馆	宾馆	හෝටලය	අපි ගුවන් තොටුපළ අසල හෝටලයක නවතිනවා.	விடுதி; ஓட்டல்	நாங்கள் விமான நிலையத்திற்கு அருகிலுள்ள ஓட்டலில் தங்குகிறோம்.
534:冰	冰	冰	අයිස්	කෝප්පයේ අයිස් තියෙනවා.	பனி; ஐஸ்	கோப்பையில் ஐஸ் உள்ளது.
537:病人	病人	病人	රෝගියා	වෛද්‍යවරයා රෝගියෙකු බලමින් සිටී.	நோயாளி	மருத்துவர் ஒரு நோயாளியைப் பார்க்கிறார்.
538:不但	不但	不但	පමණක් නොව	ඔහුට චීන භාෂාව පමණක් නොව ඉංග්‍රීසිත් කතා කළ හැක.	மட்டுமல்ல	அவருக்கு சீனம் மட்டுமல்ல ஆங்கிலமும் பேசத் தெரியும்.
539:不见	不见	不见	නොපෙනීම; කාලයක් නොදැකීම	කාලෙකින් දැක්කේ නැහැ. මෑතකදී කොහොමද?	காணாமல் போதல்; நீண்ட நாட்களாக பார்க்காதது	நீண்ட நாட்களாக பார்க்கவில்லை. சமீபத்தில் எப்படி இருக்கிறாய்?
540:不用	不用	不用	අවශ්‍ය නැහැ; භාවිතා නොකිරීම	ඔබ මාව බලා ඉන්න අවශ්‍ය නැහැ.	தேவையில்லை; பயன்படுத்த வேண்டாம்	நீ என்னைக் காத்திருக்கத் தேவையில்லை.
541:不同	不同	不同	වෙනස්	අපට වෙනස් අදහස් තියෙනවා.	வேறுபட்ட	எங்களுக்கு வேறுபட்ட எண்ணங்கள் உள்ளன.
542:不久	不久	不久	වැඩි කලක් නොගොස්	වැඩි කලක් නොගොස් ඔහු ෂැංහයි වෙත ගියා.	அதிக நாட்களுக்குப் பிறகு அல்ல; விரைவில்	அதிக நாட்கள் ஆகாமல் அவர் ஷாங்காய்க்கு இடம் மாற்றினார்.
543:不行	不行	不行	හරි නැහැ; කළ නොහැක	අද බැහැ. මට පන්තියක් තියෙනවා.	சரி இல்லை; முடியாது	இன்று முடியாது. எனக்கு வகுப்பு உள்ளது.
