source_headword	HR	example_HR
abandon	napustiti	Jučer su napustili plan.
absolute	apsolutan	Trebamo apsolutnu iskrenost.
acceptable	prihvatljiv	Njegov odgovor bio je prihvatljiv.
accompany	pratiti	Njezin brat ju je pratio kući.
accurate	točan	Izvješće je točno.
accuse	optužiti	Optužili su ga za laž.
acknowledge	priznati	Molim te, priznaj pogrešku.
acquire	steći	Brzo je stekla nove vještine.
actual	stvaran	Stvarni trošak bio je niži.
adapt	prilagoditi se	Prilagodili smo se promjeni.
additional	dodatni	Dodatna pomoć stigla je danas.
administration	uprava	Uprava je promijenila pravila.
adopt	usvojiti	Usvojili su novu metodu.
advance	napredak	Postigli smo mali napredak.
affair	afera	Ta je afera narušila javno povjerenje.
afterwards	nakon toga	Nakon toga svi su se smirili.
agency	agencija	Agencija je zaposlila tri prevoditelja.
agenda	dnevni red	Sigurnost je na dnevnom redu.
aggressive	agresivan	Njegov ton zvučao je agresivno.
aid	pomoć	Medicinska pomoć stigla je brzo.
aircraft	zrakoplov	Zrakoplov je sigurno sletio.
alter	promijeniti	Ne mijenjaj ugovor.
anger	ljutnja	Njegova je ljutnja sve iznenadila.
angle	kut	Pokušaj drugi kut kamere.
anniversary	godišnjica	Njihova godišnjica je sutra.
annual	godišnji	Godišnji sastanak počinje u ponedjeljak.
anxious	tjeskoban	Prije operacije bila je tjeskobna.
apparent	očit	Njegovo razočaranje bilo je očito.
apparently	očito	Očito vlak kasni.
appeal	žalba	Odluka može dovesti do žalbe.
approach	pristup	Njezin pristup riješio je problem.
appropriate	prikladan	Odaberi prikladan odgovor.
approval	odobrenje	Projekt treba odobrenje.
approve	odobriti	Vijeće je odobrilo proračun.
arise	nastati	Problemi mogu nastati kasnije.
armed	naoružan	Naoružani čuvari stajali su vani.
arms	oružje	Položili su oružje.
artificial	umjetan	Cvijeće je izgledalo umjetno.
artistic	umjetnički	Ima umjetnički talent.
ashamed	posramljen	Kasnije se osjećao posramljeno.
aspect	aspekt	Pažljivo razmotri svaki aspekt.
assess	procijeniti	Moramo procijeniti štetu.
assessment	procjena	Procjena je trajala dva sata.
associate	povezivati	Ljudi povezuju dim s opasnošću.
associated	povezan	Stres je povezan s bolešću.
association	udruga	Udruga podržava mlade umjetnike.
assume	pretpostaviti	Pretpostavljam da se slažeš.
attempt	pokušaj	Njegov prvi pokušaj nije uspio.
bacteria	bakterije	Bakterije se mogu brzo širiti.
barrier	prepreka	Jezik je bio prepreka.
basically	u osnovi	U osnovi trebamo više vremena.
bear (deal with)	podnijeti	Ne mogu podnijeti tu buku.
