source_headword	TL	example_TL
absorb	unawain	Mabilis na sinisipsip ng tuwalya ang tubig.
abstract	abstrak	Tinalakay sa lektyur ang mga abstraktong ideya.
accent	punto	Madaling intindihin ang kanyang punto.
accidentally	hindi sinasadya	Hindi ko sinasadyang nabura ang file.
accommodate	asikasuhin	Kayang tumanggap ng malalaking pamilya ang hotel.
accomplish	tapusin	Nakamit niya ang kanyang layunin bago mag-Hunyo.
accountant	accountant	Sinuri ng tagatuos ang resibo.
accuracy	katumpakan	Sinusukat ng pagsusulit ang katumpakan sa pagbasa.
accurately	nang tumpak	Tumpak na ipinapakita ng mapa ang ruta.
acid	asido	Sinira ng asido ang ibabaw ng metal.
activate	i-activate	Pindutin ang pindutan para i-activate ang alarma.
addiction	adiksyon	Naapektuhan ng kanyang adiksyon ang kanyang trabaho.
additionally	bilang karagdagan	Bukod pa rito, kailangan natin ng higit pang mga upuan.
adequate	sapat	May sapat na liwanag ang silid.
adequately	nang sapat	Sapat na ipinaliwanag ng ulat ang problema.
adjust	ayusin	Ayusin ang upuan bago magmaneho.
affordable	abot-kaya	Abot-kaya para sa mga estudyante ang apartment.
agriculture	agrikultura	Sinusuportahan ng agrikultura ang maraming pamilya sa kanayunan.
AIDS	AIDS	Ginagamot ng mga doktor ang AIDS gamit ang modernong medisina.
alien	alien	Ipinapakita ng pelikula ang isang alien na planeta.
alongside	katabi	Tumatakbo ang daanan ng bisikleta sa tabi ng ilog.
altogether	sa kabuuan	Sa kabuuan, tumagal ng anim na linggo ang proyekto.
ambulance	ambulansya	Dumating ang ambulansya sa loob ng ilang minuto.
amusing	nakakatuwa	Nakakaaliw at magaan ang kwento.
analyst	analista	Sinuri ng analista ang data ng benta.
ancestor	ninuno	Tumira ang aking ninuno malapit sa nayong ito.
animation	animasyon	Ginawang mas malinaw ng animasyon ang aralin.
annually	taun-taon	Taun-taon ginaganap ang pista.
anticipate	asahan	Inaasahan namin ang matinding trapiko bukas.
anxiety	pagkabalisa	Maaaring pahirapin ng pagkabalisa ang pagtulog.
apology	paumanhin	Nag-alok siya ng taos-pusong paghingi ng tawad.
applicant	aplikante	Nagpadala ng bagong resume ang aplikante.
appropriately	nang naaangkop	Mangyaring manamit nang naaangkop para sa interbyu.
arrow	palaso	Nakaturo ang palaso sa labasan.
artwork	likhang-sining	Ipinakita ng museo ang lokal na likhang-sining.
aside	sa isang tabi	Tumabi siya para paraanin siya.
asset	pag-aari	Isang mahalagang asset ang karanasan.
assign	italaga	Nagtalaga ng takdang-aralin ang guro ngayon.
assistance	tulong	Mangyaring humingi ng tulong sa mga kawani.
assumption	palagay	Maaaring mali ang palagay na iyon.
assure	tiyakin	Tinitiyak ko sa iyo na nakakandado ang pinto.
astonishing	kahanga-hanga	Nakakagulat ang tanawin mula sa bangin.
attachment	kalakip	Kasama sa email ang isang kalakip.
auction	subasta	Naibenta ang pagpipinta sa subasta.
audio	audio	Malinaw pakinggan ang audio recording.
automatic	awtomatiko	May awtomatikong kandado ang pinto.
automatically	nang awtomatiko	Awtomatikong bumubukas ang mga ilaw.
awareness	kamalayan	Nagpapataas ng kamalayan ng publiko ang kampanya.
awkward	alanganin	Nakakaasiwa ang katahimikan.
badge	badge	Dapat magsuot ng badge ang mga bisita.
balanced	balanse	Kasama sa isang balanseng diyeta ang mga gulay.
ballet	ballet	Nag-aaral siya ng ballet pagkatapos ng klase.
balloon	lobo	Lumutang ang lobo sa ibabaw ng mesa.
barely	halos hindi	Halos hindi niya narinig ang anunsyo.
bargain	murang bili	Talagang mura ang jacket na iyon.
basement	silong	Nasa basement ang mga kahon.
basket	basket	Nilagay niya ang mga mansanas sa basket.
bat	paniki	Lumipad ang paniki palabas ng kuweba.
beneficial	kapaki-pakinabang	Kapaki-pakinabang sa kalusugan ang regular na ehersisyo.
beside	sa tabi ng	Nasa tabi ng sofa ang lampara.
besides	bukod pa rito	Bukod sa matematika, nag-aaral siya ng kemistriya.
bias	pagkiling	Nagpakita ng malinaw na pagkiling ang artikulo.
bid	alok	Nagbigay ang kumpanya ng mas mataas na alok.
biological	biyolohikal	Kinumpirma ng biyolohikal na pagsusuri ang resulta.
blanket	kumot	Natulog ang bata sa ilalim ng kumot.
blow	dagok	Binasag ng malakas na hampas ang bintana.
bold	matapang	Gumamit ng makakapal na letra ang ulo ng balita.
bombing	pambobomba	Sira ang ilang gusali dahil sa pagbomba.
booking	booking	Kinumpirma ko ang reserbasyon sa hotel.
boost	palakasin	Pinalakas ng pagkapanalo ang kumpiyansa ng koponan.
bound	nakatali	Nakatali ng pisi ang parsela.
brick	laryo	Gawa sa laryo ang dingding.
briefly	sandali	Nagsalita siya nang panandalian pagkatapos ng tanghalian.
broadcaster	tagapagbalita	Kinapanayam ng broadcaster ang alkalde.
broadly	sa pangkalahatan	Sa pangkalahatan ay magkatulad ang dalawang plano.
bug	bug	Nag-crash ang app dahil sa isang bug.
cabin	kabina	Nanatili kami sa isang maliit na kabina.
canal	kanal	Dahan-dahang gumalaw ang mga bangka sa kanal.
