source_headword	LO	example_LO
incur	ກໍ່ໃຫ້ເກີດ	ການຊັກຊ້າອາດກໍ່ໃຫ້ເກີດຄ່າໃຊ້ຈ່າຍເພີ່ມເຕີມ.
indicator	ຕົວຊີ້ວັດ	ການວ່າງງານແມ່ນຕົວຊີ້ວັດທາງເສດຖະກິດໜຶ່ງ.
indictment	ການຟ້ອງຮ້ອງ	ການຟ້ອງຮ້ອງໄດ້ລະບຸສາມຂໍ້ກ່າວຫາ.
indigenous	ພື້ນເມືອງ	ພືດພື້ນເມືອງເຕີບໃຫຍ່ໄດ້ດີຢູ່ທີ່ນີ້.
induce	ກະຕຸ້ນ	ຢາສາມາດກະຕຸ້ນໃຫ້ຫຼັບໄດ້.
indulge	ປ່ອຍຕົວ	ລາວບໍ່ປ່ອຍຕົວໃຫ້ກັບນິດໄສທີ່ສິ້ນເປືອງ.
inequality	ຄວາມບໍ່ສະເໝີພາບ	ຄວາມບໍ່ສະເໝີພາບທາງລາຍໄດ້ຍັງເປັນບັນຫາໃຫຍ່.
infamous	ເປັນທີ່ຮູ້ຈັກໃນທາງບໍ່ດີ	ຄຸກນັ້ນໄດ້ກາຍເປັນທີ່ຮູ້ຈັກໃນທາງບໍ່ດີໄປທົ່ວໂລກ.
infant	ແອ້ນ້ອຍ	ແອ້ນ້ອຍນອນຫຼັບຢູ່ໃນຕຽງ.
infect	ຕິດເຊື້ອ	ໄວຣັດສາມາດຕິດເຊື້ອໃສ່ເຊລທີ່ແຂງແຮງໄດ້.
inflict	ສ້າງຄວາມເຈັບປວດ	ຢ່າສ້າງຄວາມເຈັບປວດໃຫ້ກັບສັດ.
influential	ທີ່ມີອິດທິພົນ	ລາວເປັນນັກວິຊາການດ້ານກົດໝາຍທີ່ມີອິດທິພົນ.
inherent	ທີ່ມີຢູ່ແລ້ວໃນຕົວ	ການອອກແບບນີ້ມີຄວາມສ່ຽງທີ່ມີຢູ່ແລ້ວໃນຕົວ.
inhibit	ຢັບຢັ້ງ	ຄວາມຢ້ານກົວສາມາດຢັບຢັ້ງການສົນທະນາທີ່ຈິງໃຈ.
initiate	ລິເລີ່ມ	ຜູ້ຈັດການຈະລິເລີ່ມການທົບທວນ.
inject	ສັກ	ພະຍາບານຈະສັກວັກຊີນ.
injection	ການສັກຢາ	ການສັກຢາໄດ້ຫຼຸດຜ່ອນຄວາມເຈັບປວດ.
injustice	ຄວາມບໍ່ຍຸຕິທຳ	ຄຳຕັດສິນໄດ້ເປີດເຜີຍຄວາມບໍ່ຍຸຕິທຳທີ່ຊັດເຈນ.
inmate	ນັກໂທດ	ນັກໂທດໄດ້ຂໍຄຳແນະນຳທາງກົດໝາຍ.
insertion	ການແຊກເຂົ້າໄປ	ແບບຟອມຕ້ອງການການແຊກຂໍ້ຄວາມໜຶ່ງບ່ອນ.
insider	ຄົນພາຍໃນ	ຄົນພາຍໃນໄດ້ປ່ອຍບົດລາຍງານອອກມາ.
inspect	ກວດກາ	ເຈົ້າໜ້າທີ່ກວດກາຂົວທຸກໆປີ.
inspection	ການກວດກາ	ການກວດກາພົບເຫັນຄວາມເສຍຫາຍທີ່ຮ້າຍແຮງ.
inspiration	ແຮງບັນດານໃຈ	ຄຳປາໄສຂອງລາວໄດ້ໃຫ້ແຮງບັນດານໃຈແກ່ຂ້ອຍ.
instinct	ສັນຊາດຕະຍານ	ສັນຊາດຕະຍານທຳອິດຂອງລາວແມ່ນການຊ່ວຍເຫຼືອ.
institutional	ລະດັບສະຖາບັນ	ກົດລະບຽບລະດັບສະຖາບັນໄດ້ກຳນົດການຕັດສິນໃຈ.
instruct	ແນະນຳ	ປຶ້ມຄູ່ມືຈະແນະນຳພະນັກງານໃໝ່.
instrumental	ມີສ່ວນສຳຄັນ	ຄຳແນະນຳຂອງລາວມີສ່ວນສຳຄັນໃນການເຈລະຈາ.
insufficient	ບໍ່ພຽງພໍ	ຫຼັກຖານບໍ່ພຽງພໍສຳລັບການກ່າວຫາ.
insult	ການດູຖູກ	ການດູຖູກຂອງລາວເຮັດໃຫ້ການສົນທະນາສິ້ນສຸດລົງ.
intact	ສົມບູນ	ກຳແພງບູຮານຍັງຄົງສົມບູນ.
intake	ປະລິມານທີ່ຮັບເຂົ້າ	ປະລິມານນ້ຳຕານທີ່ຮັບເຂົ້າຄວນຢູ່ໃນລະດັບປານກາງ.
integral	ເປັນສ່ວນສຳຄັນ	ຄວາມໄວ້ວາງໃຈເປັນສ່ວນສຳຄັນຂອງທີມ.
integrated	ແບບປະສົມປະສານ	ໂຮງຮຽນສະເໜີການຊ່ວຍເຫຼືອແບບປະສົມປະສານ.
integration	ການລວມເຂົ້າກັນ	ການລວມເຂົ້າກັນໄດ້ປັບປຸງລະບົບທັງໝົດ.
integrity	ຄວາມຊື່ສັດ	ຜູ້ພິພາກສາໄດ້ສະແດງຄວາມຊື່ສັດຢ່າງຫຼວງຫຼາຍ.
intensify	ຮຸນແຮງຂຶ້ນ	ພາຍຸອາດຮຸນແຮງຂຶ້ນໃນຕອນກາງຄືນ.
