source_headword	ZH	example_ZH
fridge	冰箱	牛奶在冰箱里。
frog	青蛙	一只青蛙跳进池塘。
furniture	家具	这些家具旧但很结实。
further	进一步的；更多的	我们需要更多信息。
gallery	画廊；美术馆	画廊今天开放。
gap	空隙；差距	墙上有一个空隙。
gas	汽油；燃气	这辆车需要汽油。
gate	大门	请把大门关上。
general	一般的；总体的	这是一般规则。
gift	礼物	她买了一份礼物。
goal	目标	我们的目标很简单。
god	上帝；神	许多人向上帝祈祷。
gold	金；金色的	这枚戒指是金的。
golf	高尔夫球	他今天打高尔夫。
government	政府	政府修改了法律。
grass	草地；草	草地是湿的。
greet	问候；迎接	礼貌地问候每位客人。
ground	地面；土地	坐在地上。
guest	客人	我们的客人早到了。
guide	导游；引导	导游带我们参观博物馆。
gun	枪	警察找到了一把枪。
guy	家伙；男人	那个家伙是我哥哥。
habit	习惯	每天阅读是好习惯。
hall	大厅；走廊	在大厅里等。
happily	快乐地；幸福地	他们幸福地生活在一起。
headache	头痛	我头痛。
heart	心脏；心	她的心跳得很快。
heat	加热；热量	慢慢加热汤。
heavy	重的	这个包很重。
height	高度；身高	量一下桌子的高度。
helpful	有帮助的	你的建议很有帮助。
hero	英雄	他是我的英雄。
hers	她的	那件蓝色外套是她的。
herself	她自己	她自己做了晚饭。
hide	隐藏；躲藏	把钥匙藏在盒子下面。
hill	小山	我们爬上了小山。
himself	他自己	他自己修好了它。
hit	打；撞	不要撞门。
hockey	曲棍球；冰球	我们昨晚看了曲棍球。
hold	握住；拿着	握住我的手。
hole	洞	我的袜子上有一个洞。
huge	巨大的	这个房间很大。
human	人类；人的	每个人都需要水。
hurt	疼；伤害	我的膝盖疼。
ideal	理想的	这个房间很适合学习。
identify	识别；确认	你能认出这只鸟吗？
ill	生病的	她今天感觉不舒服。
illness	疾病	这场病持续了一周。
image	图像；形象	这张图像很清楚。
immediately	立刻；马上	马上到这里来。
impossible	不可能的	这个谜题似乎不可能。
included	包括在内的	早餐包括在内。
including	包括	来了十个人，包括我。
increase	增加；提高	夏天价格会上涨。
incredible	难以置信的；极好的	景色非常棒。
independent	独立的	我姐姐很独立。
individual	个人；单独的	每个人都有一个号码。
industry	工业；行业	当地行业正在发展。
informal	非正式的	这封邮件是非正式的。
injury	受伤；伤口	他的伤不严重。
insect	昆虫	一只昆虫落在杯子上。
inside	在里面；里面	在房子里面等。
instead	代替；反而	改喝水吧。
instruction	指示；说明	仔细阅读每条说明。
instructor	教练；指导员	教练解释了这个练习。
instrument	乐器；仪器	她会演奏一种乐器。
intelligent	聪明的	他是一个聪明的学生。
international	国际的	这是一个国际机场。
introduction	介绍；导言	介绍很短。
invent	发明；创造	孩子们可以发明新游戏。
invention	发明	这项发明节省了时间。
invitation	邀请；请柬	我收到了一份邀请。
invite	邀请	也邀请你的朋友吧。
involve	涉及；包括	这份工作会涉及旅行。
item	物品；项目	选择一件物品。
itself	它自己	机器会自己关掉。
jam	果酱	把果酱抹在面包上。
jazz	爵士乐	今晚爵士乐听起来很棒。
jewellery	珠宝；首饰	她把首饰放在盒子里。
joke	笑话	给我讲个笑话。
journalist	记者	记者提出了问题。
jump	跳	跳过这条线。
kid	孩子；小孩	那个孩子在笑。
kill	杀死	不要杀死那只昆虫。
king	国王	国王住在宫殿里。
knee	膝盖	我的膝盖疼。
knife	刀	用一把锋利的刀。
knock	敲	进门前先敲门。
knowledge	知识	知识随着练习增长。
lab	实验室	实验室关门了。
lady	女士	那位女士对我们笑了。
lake	湖	湖面很平静。
lamp	灯	打开那盏灯。
laptop	笔记本电脑	我的笔记本电脑是新的。
last1 (taking time)	持续	这部电影持续两个小时。
laughter	笑声	我们听见外面的笑声。
law	法律	法律昨天变了。
lawyer	律师	律师给我打了电话。
lazy	懒惰的	不要懒惰。
lead1	带领；领导	好的领导者以身作则。
leader	领导者；队长	她是团队领导。
learning	学习	学习需要时间。
least	最少的；最不	选择最便宜的那个。
lecture	讲座；课	讲座十点开始。
lemon	柠檬	往茶里加柠檬。
lend	借给	你能借给我五美元吗？
less	更少的	少吃糖。
level	水平；级别	这个级别很容易。
lifestyle	生活方式	他有健康的生活方式。
lift	举起；抬起	小心地抬起箱子。
light	点燃	小心地点燃蜡烛。
light (not heavy)	轻的	这个包很轻。
likely	可能的	明天可能下雨。
link	链接	把链接发给我。
listener	听众；倾听者	做一个好的倾听者。
lock	锁上	把门锁上。
lorry	卡车	卡车运着箱子。
lost	迷路的；丢失的	我们迷路了。
loud	响亮的；大声的	音乐很响。
loudly	大声地	请不要大声说话。
lovely	可爱的；美丽的	多么美丽的花园啊！
low	低的	这把椅子很低。
luck	运气	祝你考试好运。
lucky	幸运的	你今天很幸运。
mail	邮件；邮政	我今天早上收到了邮件。
major	主要的；严重的	这是个严重问题。
male	雄性的；男性的	雄鸟颜色鲜艳。
manage	管理；设法做到	你能完成这个任务吗？
manager	经理	经理很忙。
manner	方式；态度	用礼貌的方式说话。
mark	标记；分数	清楚地标出你的答案。
marry	结婚	他们六月结婚。
material	材料	这种材料很软。
mathematics	数学	数学是我最喜欢的科目。
maths	数学	数学对我来说很难。
matter	要紧；有关系	这不要紧。
may modal	可以；可能	你现在可以离开。
media	媒体	媒体报道了这个故事。
medical	医学的；医疗的	她需要医疗帮助。
medicine	药；医学	午饭后吃这药。
memory	记忆；记忆力	我的记忆力很好。
mention	提到	不要提我的名字。
