source_headword	ET	example_ET
fridge	külmkapp	Piim on külmkapis.
frog	konn	Konn hüppas tiiki.
furniture	mööbel	See mööbel on vana, kuid tugev.
further	edasine; lisateave	Me vajame lisateavet.
gallery	galerii	Galerii on täna avatud.
gap	vahe; pragu	Seinas on pragu.
gas	bensiin	Auto vajab bensiini.
gate	värav	Palun sulge värav.
general	üldine	See on üldine reegel.
gift	kingitus	Ta ostis kingituse.
goal	eesmärk	Meie eesmärk on lihtne.
god	Jumal	Paljud inimesed palvetavad Jumala poole.
gold	kuld; kuldne	Sõrmus on kullast.
golf	golf	Ta mängib täna golfi.
government	valitsus	Valitsus muutis seadust.
grass	rohi	Rohi on märg.
greet	tervitama	Tervita iga külalist viisakalt.
ground	maa	Istu maa peale.
guest	külaline	Meie külaline saabus varakult.
guide	giid; juhend	Giid näitas meile muuseumi.
gun	relv	Politsei leidis relva.
guy	tüüp; poiss	See tüüp on mu vend.
habit	harjumus	Igapäevane lugemine on hea harjumus.
hall	esik; saal	Oota esikus.
happily	õnnelikult	Nad elasid õnnelikult koos.
headache	peavalu	Mul on peavalu.
heart	süda	Tema süda lööb kiiresti.
heat	kuumutama; soojus	Kuumuta suppi aeglaselt.
heavy	raske	See kott on raske.
height	kõrgus	Mõõda laua kõrgus.
helpful	abivalmis; kasulik	Sinu nõuanne oli kasulik.
hero	kangelane	Ta on minu kangelane.
hers	tema oma	Sinine mantel on tema oma.
herself	ise	Ta tegi õhtusöögi ise.
hide	peitma	Peida võti kasti alla.
hill	mägi	Me ronisime mäele.
himself	ise	Ta parandas selle ise.
hit	lööma	Ära löö ust.
hockey	hoki	Me vaatasime eile õhtul hokit.
hold	hoidma	Hoia mu kätt.
hole	auk	Mu sokis on auk.
huge	tohutu	Tuba on tohutu.
human	inimene	Iga inimene vajab vett.
hurt	valutama; haiget tegema	Mu põlv valutab.
ideal	ideaalne	See tuba on õppimiseks ideaalne.
identify	tuvastama	Kas sa suudad selle linnu tuvastada?
ill	haige	Ta tunneb end täna haigena.
illness	haigus	Haigus kestis nädala.
image	pilt	Pilt on selge.
immediately	kohe	Tule kohe siia.
impossible	võimatu	See mõistatus tundub võimatu.
included	sisalduv	Hommikusöök on hinna sees.
including	kaasa arvatud	Tuli kümme inimest, kaasa arvatud mina.
increase	suurenema	Hinnad suurenevad suvel.
incredible	uskumatu	Vaade oli uskumatu.
independent	iseseisev	Minu õde on iseseisev.
individual	üksikisik; eraldi	Igal inimesel on number.
industry	tööstus	Kohalik tööstus kasvab.
informal	mitteametlik	See e-kiri on mitteametlik.
injury	vigastus	Tema vigastus ei ole tõsine.
insect	putukas	Putukas maandus tassile.
inside	sees	Oota maja sees.
instead	selle asemel	Joo selle asemel vett.
instruction	juhis	Loe iga juhis hoolikalt läbi.
instructor	juhendaja	Juhendaja selgitas harjutust.
instrument	pill; instrument	Ta mängib pilli.
intelligent	tark	Ta on tark õpilane.
international	rahvusvaheline	See on rahvusvaheline lennujaam.
introduction	sissejuhatus	Sissejuhatus oli lühike.
invent	leiutama	Lapsed võivad leiutada uusi mänge.
invention	leiutis	Leiutis säästis aega.
invitation	kutse	Ma sain kutse.
invite	kutsuma	Kutsu ka oma sõber.
involve	hõlmama; kaasa tooma	Töö hõlmab reisimist.
item	ese	Vali üks ese.
itself	ise	Masin lülitab end ise välja.
jam	moos	Määri leivale moosi.
jazz	džäss	Džäss kõlab täna õhtul hästi.
jewellery	ehted	Ta hoiab ehteid karbis.
joke	nali	Räägi mulle nali.
journalist	ajakirjanik	Ajakirjanik esitas küsimusi.
jump	hüppama	Hüppa üle joone.
kid	laps	Laps naerab.
kill	tapma	Ära tapa putukat.
king	kuningas	Kuningas elas palees.
knee	põlv	Mu põlv valutab.
knife	nuga	Kasuta teravat nuga.
knock	koputama	Koputa enne sisenemist.
knowledge	teadmised	Teadmised kasvavad harjutades.
lab	labor	Labor on suletud.
lady	daam	Daam naeratas meile.
lake	järv	Järv on rahulik.
lamp	lamp	Lülita lamp sisse.
laptop	sülearvuti	Minu sülearvuti on uus.
last1 (taking time)	kestma	Film kestab kaks tundi.
laughter	naer	Me kuulsime õues naeru.
law	seadus	Seadus muutus eile.
lawyer	advokaat	Advokaat helistas mulle.
lazy	laisk	Ära ole laisk.
lead1	juhtima	Head juhid juhivad eeskujuga.
leader	juht	Ta on meeskonna juht.
learning	õppimine	Õppimine võtab aega.
least	kõige vähem	Vali kõige odavam.
lecture	loeng	Loeng algab kell kümme.
lemon	sidrun	Lisa teele sidrunit.
lend	laenama	Kas saad mulle viis dollarit laenata?
less	vähem	Söö vähem suhkrut.
level	tase	See tase on lihtne.
lifestyle	elustiil	Tal on tervislik elustiil.
lift	tõstma	Tõsta kast ettevaatlikult.
light	süütama	Süüta küünal ettevaatlikult.
light (not heavy)	kerge	See kott on kerge.
likely	tõenäoline	Homme on vihm tõenäoline.
link	link; seos	Saada mulle link.
listener	kuulaja	Ole hea kuulaja.
lock	lukustama	Lukusta uks.
lorry	veoauto	Veoauto vedas kaste.
lost	eksinud	Me oleme eksinud.
loud	vali; kõva	Muusika on vali.
loudly	valjusti	Palun ära räägi valjusti.
lovely	armas	Milline armas aed!
low	madal	Tool on madal.
luck	õnn	Palju õnne sinu testiks.
lucky	õnnelik; vedanud	Sul veab täna.
mail	post	Ma sain täna hommikul posti.
major	suur; oluline	See on suur probleem.
male	isane; meessoost	Isane lind on erksavärviline.
manage	hakkama saama; juhtima	Kas saad selle ülesandega hakkama?
manager	juht	Juht on hõivatud.
manner	viis; maneer	Räägi viisakal moel.
mark	märkima	Märgi oma vastus selgelt.
marry	abielluma	Nad abielluvad juunis.
