source_headword	IS	example_IS
strengthen	styrkja	Nýja stefnan mun styrkja öryggi á netinu.
strictly	stranglega	Miðar eru stranglega takmarkaðir við tvo á mann.
striking	sláandi	Málverkið hefur sláandi liti.
stroke	strik	Hún málaði eitt strik þvert yfir pappírinn.
stunning	töfrandi	Útsýnið yfir fjallið var töfrandi.
subsequent	síðari	Síðari fundurinn staðfesti fjárhagsáætlunina.
subsequently	í kjölfarið	Vegurinn var lokaður; í kjölfarið gekk umferðin hægt.
suburb	úthverfi	Þau búa í rólegu úthverfi.
suffering	þjáning	Lyfið dró úr þjáningu hans.
sufficient	nægilegur	Liðið hefur nægilegan tíma.
sufficiently	nægilega	Herbergið er nægilega hlýtt.
super	ofur	Nýja spjaldtölvan er ofurhröð.
surgeon	skurðlæknir	Skurðlæknirinn gerði við skemmda hnéð.
survival	lifun	Hreint vatn er nauðsynlegt fyrir lifun.
survivor	eftirlifandi	Sá eftirlifandi lýsti flóðinu.
suspend	fresta	Skólinn gæti frestað ferðinni.
sustainable	sjálfbær	Bærinn notar sjálfbærar aðferðir.
swallow	kyngja	Kyngdu töflunni með vatni.
sympathetic	samúðarfullur	Framkvæmdastjórinn var samúðarfullur gagnvart vandamáli hennar.
tackle	takast á við	Við þurfum að takast á við húsnæðisvandann.
tag	merki	Taskan var með verðmerki.
tap	krani	Hún skrúfaði fyrir kranann.
technological	tæknilegur	Tæknilegar breytingar hafa áhrif á alla vinnustaði.
teens	unglingar	Margir unglingar nota samfélagsmiðla daglega.
temple	hof	Hofið stóð nálægt ánni.
temporarily	tímabundið	Skrifstofan er tímabundið lokuð.
tendency	tilhneiging	Hann hefur tilhneigingu til að mæta seint.
tension	spenna	Spenna jókst á meðan á umræðunni stóð.
terms	skilmálar	Skilmálar samningsins voru skýrir.
terribly	hræðilega	Barnið var hræðilega í uppnámi.
terrify	skelfa	Hávær hávaði skelfir hundinn.
territory	yfirráðasvæði	Kortið sýnir nýja yfirráðasvæðið.
terror	skelfing	Skelfing breiddist út eftir árásina.
terrorism	hryðjuverk	Hryðjuverk ógna öryggi almennings.
terrorist	hryðjuverkamaður	Lögreglan handtók hryðjuverkamanninn í gær.
testing	prófun	Vöruprófun byrjar á mánudag.
textbook	kennslubók	Hún gleymdi líffræðikennslubókinni sinni.
theft	þjófnaður	Þjófnaður jókst á svæðinu.
therapist	meðferðaraðili	Meðferðaraðilinn hjálpaði honum að takast á við kvíða.
thesis	ritgerð	Ritgerð hennar rannsakar nám á netinu.
thorough	ítarlegur	Ítarleg endurskoðun fann engar villur.
thoroughly	vandlega	Hreinsaðu sárið vandlega.
thumb	þumalfingur	Hann lyfti þumalfingrinum til að sýna samþykki.
timing	tímasetning	Tímasetning símtalsins var fullkomin.
tissue	bréfþurrka	Hún þurrkaði glerið með bréfþurrku.
