source_headword	KA	example_KA
crawl	ხოხვა	ბავშვმა ხალიჩაზე ხოხვა დაიწყო.
creator	შემქმნელი	შემქმნელმა ყველას მადლობა გადაუხადა მხარდაჭერისთვის.
credibility	სანდოობა	მოწმემ დაკითხვის დროს სანდოობა დაკარგა.
credible	სარწმუნო	ანგარიშში წარმოდგენილი იყო სარწმუნო მტკიცებულებები.
creep	შეპარვა	ნისლმა ხეობაში შეპარვა დაიწყო.
critique	კრიტიკა	პროფესორმა დეტალური კრიტიკა წარმოადგინა.
crown	გვირგვინი	დედოფალს ვერცხლის გვირგვინი ეკეთა.
crude	უხეში	ნახატი უხეში, მაგრამ გასაგები იყო.
crush	გაჭყლეტა	მძიმე ქვებს შეუძლიათ მილის გაჭყლეტა.
crystal	კრისტალი	კრისტალმა დილის სინათლე აირეკლა.
cult	კულტი	კულტმა თავისი წევრების იზოლირება მოახდინა.
cultivate	კულტივირება	ფერმერებს ამ რეგიონში ბრინჯი მოჰყავთ.
curiosity	ცნობისმოყვარეობა	ცნობისმოყვარეობამ იგი მეცნიერებამდე მიიყვანა.
custody	მეურვეობა	ბავშვი მამის მეურვეობის ქვეშ დარჩა.
cutting	ამონაჭერი	გაზეთმა გამოაქვეყნა ამონაჭერი მის შესახებ.
cynical	ცინიკური	მისმა ცინიკურმა შენიშვნამ გუნდი გაანაწყენა.
dam	კაშხალი	კაშხალი აკავებს მდინარის წყალს.
damaging	დამაზიანებელი	დამაზიანებელმა სტატიამ კამპანია დააზარალა.
dawn	გარიჟრაჟი	ჩვენ სოფელი გარიჟრაჟზე დავტოვეთ.
debris	ნამსხვრევები	შტორმის ნამსხვრევებმა გზა ჩახერგა.
debut	დებიუტი	მისმა დებიუტმა ეროვნული ყურადღება მიიპყრო.
decision-making	გადაწყვეტილების მიღება	გადაწყვეტილების კარგად მიღებას მკაფიო ინფორმაცია სჭირდება.
decisive	გადამწყვეტი	მისმა გადამწყვეტმა ქმედებამ შემდგომი ზიანი აიცილა თავიდან.
declaration	განცხადება	მინისტრმა ოფიციალური განცხადება წაიკითხა.
dedicated	თავდადებული	თავდადებულმა ექთანმა მთელი ღამე იმუშავა.
dedication	თავდადება	მისმა თავდადებამ ახალგაზრდა მოთამაშეები შთააგონა.
deed	საქციელი	მამაცმა საქციელმა ორი სიცოცხლე გადაარჩინა.
deem	მიჩნევა	სასამართლომ შეიძლება ხელშეკრულება ბათილად მიიჩნიოს.
default	ნაგულისხმევი	ჯერჯერობით ნაგულისხმევი პარამეტრი გამოიყენეთ.
defect	დეფექტი	ინსპექტორებმა სერიოზული დეფექტი აღმოაჩინეს.
defensive	თავდაცვითი	მისმა თავდაცვითმა ტონმა ყველა გააკვირვა.
deficiency	დეფიციტი	რკინის დეფიციტმა შეიძლება ჯანმრთელობაზე იმოქმედოს.
deficit	დეფიციტი	ბიუჯეტის დეფიციტმა მაღალჩინოსნები შეაშფოთა.
defy	არდამორჩილება	მომიტინგეებმა აკრძალვისადმი არდამორჩილება გადაწყვიტეს.
delegate	დელეგატი	თითოეულმა დელეგატმა ხმის მისაცემი ბარათი მიიღო.
delegation	დელეგაცია	დელეგაცია შუადღემდე ჩამოვიდა.
delicate	ფაქიზი	ფაქიზი მინა ადვილად გატყდა.
demon	დემონი	ისტორია ძველ დემონს აღწერს.
denial	უარყოფა	მისმა უარყოფამ მსხვერპლები გააბრაზა.
denounce	დაგმობა	ლიდერები სკოლებში ძალადობას გმობენ.
dense	ხშირი	ხშირმა ტყემ მზის შუქი დაბლოკა.
density	სიმჭიდროვე	ქალაქის ცენტრში მოსახლეობის სიმჭიდროვე მაღალია.
dependence	დამოკიდებულება	ქვეყნის ნავთობზე დამოკიდებულება შემცირდა.
depict	ასახვა	ფრესკა სოფლის ცხოვრებას ასახავს.
deploy	განთავსება	არმია დამატებით პერსონალს განათავსებს.
deployment	განთავსება	ჯარების განთავსება ორშაბათს დაიწყო.
deprive	ჩამორთმევა	ძილის ნაკლებობამ სტუდენტებს შეიძლება ფოკუსირების უნარი წაართვას.
deputy	მოადგილე	მოადგილემ შეთანხმებას ხელი მოაწერა.
descend	დაშვება	ბილიკმა მკვეთრად დაშვება დაიწყო.
descent	დაშვება	თვითმფრინავმა დაშვება დაიწყო.
designate	გამოყოფა	ქალაქი ახალ პარკს გამოყოფს.
desirable	სასურველი	საკლასო ოთახებში კარგი განათება სასურველია.
desktop	ეკრანი	ფაილი ჩემს ეკრანზეა.
destructive	დამანგრეველი	შტორმს დამანგრეველი ძალა ჰქონდა.
detain	დაკავება	პოლიციამ შეიძლება ეჭვმიტანილები მთელი ღამით დააკავოს.
detection	აღმოჩენა	ადრეული აღმოჩენა აუმჯობესებს კიბოს მკურნალობას.
detention	დაკავება	სტუდენტებმა გააპროტესტეს დაკავების პირობები.
deteriorate	გაუარესება	მისი ჯანმრთელობა გაუარესდა.
devastate	განადგურება	მიწისძვრას შეუძლია სანაპირო ქალაქების განადგურება.
devil	ეშმაკი	ბავშვმა მომღიმარი ეშმაკი დახატა.
devise	შემუშავება	ინჟინრები უფრო უსაფრთხო სატრანსპორტო სისტემებს შეიმუშავებენ.
diagnose	დიაგნოზის დასმა	ექიმები დაავადების დიაგნოზს სისხლის ანალიზით სვამენ.
diagnosis	დიაგნოზი	დიაგნოზმა ახსნა მისი სიმპტომები.
dictate	კარნახი	ხელშეკრულება გადახდის პირობებს დაადგენს.
dictator	დიქტატორი	დიქტატორი მედიას აკონტროლებდა.
differentiate	განსახვავება	შეგიძლიათ განასხვავოთ ფაქტი მოსაზრებისგან?
dignity	ღირსება	სამსახურში ყველა იმსახურებს ღირსებას.
dilemma	დილემა	მენეჯერი სერიოზული დილემის წინაშე დადგა.
dimension	განზომილება	პრობლემას პოლიტიკური განზომილება აქვს.
diminish	შემცირება	ტკივილი ნელ-ნელა უნდა შემცირდეს.
dip	დაცემა	ტემპერატურა შეიძლება ნულის ქვემოთ დაეცეს.
diplomat	დიპლომატი	დიპლომატი უცხოელ ლიდერებს შეხვდა.
diplomatic	დიპლომატიური	დიპლომატიური მოლაპარაკებები მთელი ღამე გაგრძელდა.
directory	ცნობარი	მოძებნეთ მისი ნომერი ცნობარში.
disastrous	კატასტროფული	კატასტროფულმა წყალდიდობამ რამდენიმე ხიდი გაანადგურა.
discard	გადაგდება	არ გადააგდოთ სასარგებლო ჩანაწერები.
discharge	გაწერა	საავადმყოფო მას ხვალ გაწერს.
disclose	გამჟღავნება	ოფიციალურმა პირებმა უარი თქვეს ციფრების გამჟღავნებაზე.
disclosure	გამჟღავნება	გამჟღავნებამ საბჭო შოკში ჩააგდო.
discourse	დისკურსი	საჯარო დისკურსი უფრო ზრდილობიანი გახდა.
discretion	შეხედულება	გამოიყენეთ თქვენი შეხედულება სენსიტიური საქმეების დროს.
discrimination	დისკრიმინაცია	კანონი კრძალავს დისკრიმინაციას დაქირავებისას.
dismissal	დათხოვნა	მისმა დათხოვნამ საზოგადოების რისხვა გამოიწვია.
displace	იძულებით გადაადგილება	ომმა შეიძლება ათასობით ადამიანი იძულებით გადააადგილოს.
disposal	განკარგვა	ნარჩენების გადაყრა კვლავ ადგილობრივ პრობლემად რჩება.
dispose	გადაყრა	კომპანიამ ქიმიკატები უსაფრთხოდ უნდა გადაყაროს.
dispute	დავა	დავა თვეების განმავლობაში გაგრძელდა.
disrupt	დარღვევა	ხმაურს შეუძლია კონცენტრაციის დარღვევა.
disruption	შეფერხება	გაფიცვამ სერიოზული შეფერხება გამოიწვია.
dissolve	გახსნა	შაქარი ცხელ ჩაიში გაიხსნება.
distinction	განსხვავება	მათ შორის განსხვავება მნიშვნელოვანია.
distinctive	გამორჩეული	მას გამორჩეული ხმა აქვს.
distort	დამახინჯება	სარკეს შეუძლია თქვენი ანარეკლის დამახინჯება.
distress	წუხილი	ზარმა სერიოზული წუხილი გამოიწვია.
disturbing	შემაშფოთებელი	დოკუმენტურმა ფილმმა შემაშფოთებელი სცენები აჩვენა.
divert	გადამისამართება	პოლიციას მოძრაობის გადამისამართება მოუწია.
divine	ღვთაებრივი	სამლოცველოს ღვთაებრივი ატმოსფერო აქვს.
doctrine	დოქტრინა	პარტიამ უარყო ძველი დოქტრინა.
documentation	დოკუმენტაცია	გაშვებამდე შეავსეთ დოკუმენტაცია.
domain	დომენი	ვებსაიტი უსაფრთხო დომენს იყენებს.
dominance	დომინანტობა	გუნდის დომინანტობა ათი წელი გაგრძელდა.
donor	დონორი	დონორმა დღეს სისხლი გაიღო.
dose	დოზა	საუზმის შემდეგ მიიღეთ ერთი დოზა.
drain	ჩადინება	წყალი მდინარეში ჩაედინება.
drift	გადაადგილება	კვამლმა გზაზე გადაადგილება დაიწყო.
driving	წამყვანი	წვიმა შეფერხებების წამყვანი ფაქტორი იყო.
drown	დახრჩობა	არასდროს იცუროთ იქ, სადაც დინებამ შეიძლება დაგახრჩოთ.
dual	ორმაგი	მოწყობილობას ორმაგი ფუნქცია აქვს.
dub	შერქმევა	კრიტიკოსები ქალაქს კულტურულ დედაქალაქს არქმევენ.
dumb	სულელური	ეგ სულელური შეცდომა იყო.
duo	დუეტი	კომედიურმა დუეტმა ევროპაში იმოგზაურა.
eager	მოწადინებული	სტუდენტები დაწყებას მოწადინებული ელოდნენ.
earnings	შემოსავალი	კომპანიის შემოსავალი მკვეთრად გაიზარდა.
ease	შემსუბუქება	ახალი გზა მოძრაობას შეამსუბუქებს.
echo	ექო	მისმა ხმამ დარბაზში ექო გამოიწვია.
ecological	ეკოლოგიური	ეკოლოგიური ზემოქმედება გაურკვეველი რჩება.
educator	პედაგოგი	პედაგოგმა ახალი კურსი შექმნა.
effectiveness	ეფექტიანობა	კვლევამ ვაქცინის ეფექტიანობა გაზომა.
efficiency	პროდუქტიულობა	უკეთესმა პროგრამამ პროდუქტიულობა გააუმჯობესა.
ego	ეგო	მისმა ეგომ სამსახურში პრობლემები გამოიწვია.
elaborate	დახვეწილი	დახვეწილ კოსტიუმს კვირები დასჭირდა.
electoral	საარჩევნო	საარჩევნო სისტემა გასულ წელს შეიცვალა.
elevate	ამაღლება	ჯილდო მის რეპუტაციას აამაღლებს.
eligible	უფლებამოსილი	ფასდაკლებით მხოლოდ რეზიდენტები არიან უფლებამოსილნი.
elite	ელიტა	ელიტა კერძო აკადემიაში ვარჯიშობდა.
embark	დაწყება	ისინი გრძელ მოგზაურობას დაიწყებენ.
embarrassment	უხერხულობა	მან უხერხულობის დასამალად გაიცინა.
embassy	საელჩო	საელჩომ მოგზაურობის ახალი რჩევა გასცა.
embed	ჩართვა	ჟურნალისტი დანაყოფში ჩაერთვება.
embody	განსახიერება	ქანდაკება თითქოს სიმამაცეს განასახიერებს.
emergence	გამოჩენა	ტელეფონების გამოჩენამ ყოველდღიური ცხოვრება შეცვალა.
empirical	ემპირიული	ნაშრომი ემპირიულ მტკიცებულებებს ეყრდნობა.
empower	გაძლიერება	განათლებას ადგილობრივი თემების გაძლიერება შეუძლია.
enact	მიღება	პარლამენტმა რეფორმის მისაღებად ხმა მისცა.
encompass	მოცვა	კურსი თანამედროვე ისტორიას მოიცავს.
encouragement	წახალისება	მისმა წახალისებამ მას გაგრძელებაში შეუწყო ხელი.
encouraging	დამაიმედებელი	ადრეული შედეგები დამაიმედებლად გამოიყურება.
endeavour	მცდელობა	გადარჩენა რთული მცდელობა იყო.
endless	უსასრულო	უდაბნო უსასრულო ჩანდა.
