simplified	HI	example_HI
啊	सहमति या पुष्टि दिखाने वाला वाक्यांत कण	ठीक है, हम अब चलते हैं।
阿姨	मौसी; चाची; बड़ी उम्र की महिला; आया	आंटी सुपरमार्केट में काम करती हैं।
矮	नीचा; छोटा; छोटी; छोटे	यह मेज़ थोड़ी नीची है।
爱好	शौक; रुचि	मेरा शौक संगीत सुनना है।
安静	शांत	पुस्तकालय में बहुत शांति है।
把	पकड़ना; संभालना; कर्मसूचक कण	कृपया दरवाज़ा बंद कर दीजिए।
搬	स्थानांतरित करना; घर बदलना	हम कल घर बदल रहे हैं।
班	कक्षा; दल; टीम	हमारी कक्षा में बीस विद्यार्थी हैं।
办法	तरीका; उपाय	यह तरीका बहुत अच्छा है।
办公室	कार्यालय; दफ़्तर	प्रबंधक दफ़्तर में है।
半	आधा; आधी; आधे	मैंने आधा घंटा इंतज़ार किया।
帮忙	मदद करना; हाथ बँटाना	क्या आप मदद कर सकते हैं?
包	बैग; लपेटना; समेटना	उसने एक नया बैग खरीदा।
饱	पेट भरा होना; तृप्त	मैं पहले ही खा चुका हूँ, मेरा पेट भर गया है।
北方	उत्तर; उत्तरी भाग	उत्तर में सर्दी बहुत ठंडी होती है।
被	कर्मवाच्य सूचक कण	मेरी साइकिल दोस्त उधार ले गया।
鼻子	नाक	उसकी नाक थोड़ी लाल है।
比较	तुलना करना; अपेक्षाकृत	आज अपेक्षाकृत गरमी है।
比赛	प्रतियोगिता; मैच	यह मैच बहुत महत्वपूर्ण है।
笔记本	कॉपी; नोटबुक	मैंने कॉपी मेज़ पर रख दी।
必须	ज़रूर करना; अनिवार्य होना	तुम्हें ध्यान से दोहराना चाहिए।
变化	बदलाव; बदलना	यह शहर बहुत बदल गया है।
别人	दूसरे लोग; कोई और	दूसरों की चीज़ें मत लो।
冰箱	फ़्रिज	फल फ़्रिज में हैं।
不但…而且…	न केवल… बल्कि… भी	वह न केवल होशियार है, बल्कि बहुत मेहनती भी है।
菜单	मेनू; भोजन सूची	कृपया मुझे एक मेनू दीजिए।
参加	भाग लेना; शामिल होना	मैं इस बैठक में भाग लेना चाहता हूँ।
草	घास	छोटा कुत्ता घास पर दौड़ रहा है।
