source_headword	ID	example_ID
abolish	menghapuskan	Undang-undang akan menghapuskan biaya lama.
abortion	aborsi	Aborsi tetap menjadi masalah medis yang sensitif.
absence	ketidakhadiran	Ketidakhadirannya menunda keputusan akhir.
absent	tidak hadir	Dua anggota tidak hadir di kelas.
absurd	konyol	Klaim tersebut terdengar konyol bagi semua orang.
abundance	kelimpahan	Lembah tersebut memiliki kelimpahan air.
abuse	pelecehan	Laporan tersebut menggambarkan pelecehan di tempat kerja.
academy	akademi	Akademi tersebut melatih musisi muda.
accelerate	mempercepat	Pendanaan baru akan mempercepat penelitian tersebut.
acceptance	penerimaan	Penerimaannya terhadap kritik mengesankan saya.
accessible	dapat diakses	Museum ini dapat diakses oleh pengguna kursi roda.
accomplishment	pencapaian	Menyelesaikan buku tersebut adalah pencapaian yang nyata.
accordance	kesesuaian	Pekerjaan itu dilakukan sesuai dengan kebijakan.
accordingly	semestinya	Bukti berubah, dan kami bertindak semestinya.
accountability	akuntabilitas	Kebijakan ini meningkatkan akuntabilitas bagi manajer.
accountable	bertanggung jawab	Manajer bertanggung jawab atas keselamatan.
accumulate	menumpuk	Debu dapat menumpuk di belakang layar.
accumulation	akumulasi	Akumulasi data membutuhkan waktu berbulan-bulan.
accusation	tuduhan	Tuduhan tersebut mengejutkan panitia.
accused	terdakwa	Terdakwa hadir di pengadilan.
acquisition	akuisisi	Akuisisi tersebut memperluas perusahaan dengan cepat.
acre	ekar	Pertanian tersebut mencakup satu ekar.
activation	aktivasi	Aktivasi kartu membutuhkan waktu beberapa menit.
activist	aktivis	Aktivis tersebut berbicara di rapat umum.
acute	akut	Dia merasakan nyeri akut setelah berlari.
adaptation	adaptasi	Adaptasi tersebut mengubah akhir novel.
adhere	mematuhi	Staf harus mematuhi aturan keselamatan.
adjacent	berdekatan	Hotel tersebut berdekatan dengan stasiun.
adjustment	penyesuaian	Penyesuaian kecil memperbaiki masalah tersebut.
administer	memberikan	Perawat memberikan vaksin dengan hati-hati.
administrative	administratif	Staf administratif menangani formulir.
administrator	administrator	Administrator mengatur ulang kata sandi saya.
admission	tiket masuk	Tiket masuk ke museum ini gratis.
adolescent	remaja	Remaja tersebut membutuhkan dukungan ekstra.
adoption	adopsi	Adopsi memberikan anak itu rumah yang stabil.
adverse	buruk	Obat tersebut menyebabkan efek buruk.
advocate	pendukung	Pendukung tersebut membela hak-hak penyewa.
aesthetic	estetis	Ruangan tersebut memiliki gaya estetika yang tenang.
affection	kasih sayang	Dia menunjukkan kasih sayang kepada keluarganya.
aftermath	dampak	Dampak badai tersebut sangat sulit.
aggression	agresi	Guru menyadari agresi selama waktu istirahat.
agricultural	pertanian	Ekspor pertanian naik tahun ini.
aide	ajudan	Ajudan tersebut mengatur jadwal menteri.
albeit	meskipun	Rencana tersebut berhasil, meskipun perlahan.
alert	waspada	Harap segera peringatkan staf.
align	menyelaraskan	Anak panah sejajar dengan jalan.
alignment	penyelarasan	Penyelarasan roda meningkatkan pengendalian mobil.
alike	mirip	Si kembar berpakaian mirip di akhir pekan.
allegation	dugaan	Dugaan tersebut muncul di surat kabar.
allege	menduga	Mereka menduga bahwa dana tersebut hilang.
allegedly	diduga	Pengemudi tersebut diduga mengabaikan peringatan itu.
alliance	aliansi	Partai-partai tersebut membentuk aliansi sementara.
allocate	mengalokasikan	Kota akan mengalokasikan dana untuk sekolah.
allocation	alokasi	Alokasi kursi tersebut tidak adil.
allowance	uang saku	Uang sakunya menutupi makan siang dan transportasi.
ally	sekutu	Kanada menjadi sekutu dekat.
aluminium	aluminium	Bingkai tersebut terbuat dari aluminium.
amateur	amatir	Seorang fotografer amatir mengambil gambar itu.
ambassador	duta besar	Duta besar tersebut bertemu dengan siswa setempat.
amend	mengubah	Parlemen memilih untuk mengubah undang-undang.
amendment	amandemen	Amandemen tersebut mengubah satu paragraf.
amid	di tengah	Pidato tersebut disampaikan di tengah meningkatnya ketegangan.
analogy	analogi	Guru menggunakan analogi yang sederhana.
anchor	jangkar	Perahu itu membuang jangkar di dekat pulau.
angel	malaikat	Anak itu mengenakan kostum malaikat.
anonymous	anonim	Keluhan tersebut bersifat anonim.
apparatus	aparatus	Aparatus laboratorium tersebut perlu dibersihkan.
appealing	menarik	Tawaran tersebut terlihat menarik bagi para siswa.
appetite	nafsu makan	Olahraga meningkatkan nafsu makannya.
applaud	bertepuk tangan	Penonton mulai bertepuk tangan dengan keras.
applicable	berlaku	Diskon tersebut berlaku hari ini.
appoint	menunjuk	Dewan akan menunjuk seorang direktur.
appreciation	apresiasi	Dia menyatakan apresiasi atas bantuan mereka.
arbitrary	sewenang-wenang	Tenggat waktu tersebut tampak sewenang-wenang bagi staf.
architectural	arsitektur	Kota ini melindungi warisan arsitekturnya.
archive	arsip	Arsip tersebut menyimpan foto-foto lama.
arena	arena	Perdebatan tersebut pindah ke arena publik.
arguably	bisa dibilang	Ini bisa dibilang sebagai novel terbaiknya.
arm	mempersenjatai	Penjaga akan mempersenjatai konvoi tersebut.
array	berbagai	Toko tersebut menawarkan berbagai alat.
articulate	mengartikulasikan	Dia dapat mengartikulasikan ide-ide kompleks dengan jelas.
ash	abu	Abu menutupi mobil setelah kebakaran.
aspiration	aspirasi	Aspirasinya adalah menjadi dokter bedah.
aspire	bercita-cita	Banyak siswa bercita-cita untuk belajar di luar negeri.
assassination	pembunuhan	Pembunuhan tersebut mengubah politik negara.
assault	serangan	Serangan tersebut terjadi di dekat stasiun.
assemble	merakit	Pekerja merakit furnitur tersebut dengan tangan.
assembly	pertemuan	Pertemuan sekolah dimulai pada pukul sembilan.
assert	menegaskan	Dia mencoba menegaskan otoritasnya.
assertion	penegasan	Penegasannya mengejutkan panel.
assurance	jaminan	Manajer memberikan jaminan dukungan.
asylum	suaka	Keluarga tersebut meminta suaka di perbatasan.
atrocity	kekejaman	Film tersebut menggambarkan kekejaman masa perang.
attain	mencapai	Beberapa pelari mencapai kecepatan itu.
attendance	kehadiran	Kehadiran membaik setelah pengumuman tersebut.
attorney	pengacara	Pengacara tersebut menginterogasi saksi.
