source_headword	SK	example_SK
hunt	hľadať	Na jeseň hľadajú huby.
hurricane	hurikán	Hurikán poškodil mnoho domov.
hurry	ponáhľanie	Dnes nie je žiadne ponáhľanie.
identity	identita	Jej identita zostala tajná.
ignore	ignorovať	Neignoruj toto varovanie.
illegal	nelegálny	Parkovať tu je nelegálne.
imaginary	imaginárny	Príbeh má imaginárny ostrov.
immediate	okamžitý	Potrebujeme okamžitú odpoveď.
immigrant	prisťahovalec	Prisťahovalec sa rýchlo naučil po anglicky.
impact	dopad	Správa mala silný dopad.
import	dovážať	Krajina bude dovážať viac ryže.
importance	dôležitosť	Pochopila dôležitosť spánku.
impression	dojem	Jeho prvý dojem bol pozitívny.
impressive	pôsobivý	Múzeum má pôsobivý vchod.
improvement	zlepšenie	Tento mesiac nastalo jasné zlepšenie.
incredibly	neuveriteľne	Test bol neuveriteľne ťažký.
indeed	skutočne	Bol to skutočne zvláštny deň.
indicate	ukázať	Značka ukáže východ.
indirect	nepriamy	Dala nepriamu odpoveď.
indoor	vnútorný	Hotel má vnútorný bazén.
indoors	vnútri	Počas búrky sme zostali vnútri.
influence	vplyv	Jeho učiteľ mal silný vplyv.
ingredient	prísada	Múka je hlavná prísada.
injure	zraniť	Nezraň si chrbát.
injured	zranený	Zranený hráč opustil ihrisko.
innocent	nevinný	Dieťa vyzeralo úplne nevinne.
intelligence	inteligencia	V triede ukázala veľkú inteligenciu.
intend	zamýšľať	Zamýšľam študovať v zahraničí.
intention	zámer	Jeho zámerom bolo pomôcť.
invest	investovať	Investujú peniaze do vzdelania.
investigate	vyšetriť	Polícia vyšetrí nehodu.
involved	zapojený	Niekoľko študentov bolo zapojených.
iron	železo	Brána je vyrobená zo železa.
issue	problém	Toto je vážny problém.
IT	IT	Pracuje v IT.
journal	denník	Píše si denník.
judge	sudca	Sudca pozorne počúval.
keen	dychtivý	Je dychtivá učiť sa.
keyboard	klávesnica	Moja klávesnica prestala fungovať.
kick	kopnúť	Kopni do lopty jemne.
killing	zabitie	Zabitie šokovalo dedinu.
kind (caring)	láskavý	To bola láskavá vec.
kiss	bozk	Dala dieťaťu bozk.
label	štítok	Pred použitím si prečítaj štítok.
laboratory	laboratórium	Laboratórium je dnes zatvorené.
