source_headword	BN	example_BN
abandon	ছেড়ে দেওয়া	গতকাল তারা পরিকল্পনাটি ছেড়ে দিয়েছিল.
absolute	সম্পূর্ণ	এখানে সম্পূর্ণ সততা দরকার.
acceptable	গ্রহণযোগ্য	এই সমাধানটি গ্রহণযোগ্য মনে হয়.
accompany	সঙ্গ দেওয়া	সঙ্গীতটি পুরো দৃশ্যের সঙ্গ দিয়েছিল.
accurate	নির্ভুল	প্রতিবেদনটি নির্ভুল হতে হবে.
accuse	অভিযোগ করা	তারা তার বিরুদ্ধে ভুলের অভিযোগ করেছিল.
acknowledge	স্বীকার করা	সে প্রকাশ্যে সমস্যাটি স্বীকার করেছিল.
acquire	অর্জন করা	কোম্পানিটি নতুন দক্ষতা অর্জন করেছিল.
actual	প্রকৃত	প্রকৃত দাম কম ছিল.
adapt	মানিয়ে নেওয়া	আমাদের দ্রুত মানিয়ে নিতে হয়েছিল.
additional	অতিরিক্ত	অতিরিক্ত তথ্য পরে এসেছিল.
administration	প্রশাসন	প্রশাসন নিয়ম পরিবর্তন করেছিল.
adopt	গ্রহণ করা	তারা নতুন নীতি গ্রহণ করেছিল.
advance	অগ্রসর হওয়া	প্রকল্পটি ধীরে ধীরে অগ্রসর হয়েছিল.
affair	বিষয়	বিষয়টি ব্যক্তিগতই রইল.
afterwards	পরে	পরে সবাই স্বস্তি অনুভব করেছিল.
agency	সংস্থা	সংস্থাটি নতুন প্রতিবেদন প্রকাশ করেছিল.
agenda	সূচি	সূচিটি আগেই পূর্ণ ছিল.
aggressive	আক্রমণাত্মক	তার সুর খুব আক্রমণাত্মক ছিল.
aid	সহায়তা	গ্রামটি দ্রুত সহায়তা পেয়েছিল.
aircraft	বিমান	বিমানটি সন্ধ্যায় নেমেছিল.
alter	পরিবর্তন করা	একটি ছোট বিবরণ ফলাফল বদলে দিল.
anger	রাগ	তার রাগ স্পষ্ট দেখা যাচ্ছিল.
angle	কোণ	ছবিটি নিচু কোণ থেকে তোলা হয়েছিল.
anniversary	বার্ষিকী	তারা বাড়িতে বার্ষিকী উদযাপন করেছিল.
annual	বার্ষিক	বার্ষিক সভা মে মাসে হয়.
anxious	উদ্বিগ্ন	পরীক্ষার আগে সে উদ্বিগ্ন ছিল.
apparent	স্পষ্ট	ভুলটি সঙ্গে সঙ্গে স্পষ্ট ছিল.
apparently	দেখা যাচ্ছে	দেখা যাচ্ছে ট্রেনটি দেরি করেছিল.
appeal	আবেদন	আবেদনটি অনেক মানুষের কাছে পৌঁছেছিল.
approach	পদ্ধতি	এই পদ্ধতিটি ভালো কাজ করেছিল.
appropriate	উপযুক্ত	উপযুক্ত উত্তরটি বেছে নাও.
approval	অনুমোদন	পরিকল্পনাটি ম্যানেজারের অনুমোদন পেয়েছিল.
approve	অনুমোদন করা	কমিটি বাজেট অনুমোদন করেছিল.
arise	উঠে আসা	সভায় একটি প্রশ্ন উঠে এসেছিল.
armed	সশস্ত্র	সশস্ত্র প্রহরী দরজায় ছিল.
arms	অস্ত্র	অস্ত্রগুলো তালাবদ্ধ আলমারিতে রাখা হয়েছিল.
artificial	কৃত্রিম	স্বাদটি খুব কৃত্রিম লাগছিল.
artistic	শিল্পসম্মত	তার শক্তিশালী শিল্পসম্মত দৃষ্টি আছে.
