simplified	NL	example_NL
啊	het modale partikel voor instemming of bevestiging	Oké, laten we nu gaan.
阿姨	de tante; de oppas; de oudere vrouw	De tante werkt in de supermarkt.
矮	laag; klein van stuk	Deze tafel is een beetje laag.
爱好	de hobby; de interesse	Mijn hobby is naar muziek luisteren.
安静	rustig; stil	Het is erg stil in de bibliotheek.
把	vasthouden; het objectpartikel	Doe de deur alstublieft dicht.
搬	verhuizen; verplaatsen	Wij verhuizen morgen.
班	de klas; de groep	In onze klas zitten twintig leerlingen.
办法	de methode; de oplossing	Deze methode is heel goed.
办公室	het kantoor	De leidinggevende is op kantoor.
半	half; de helft	Ik heb een half uur gewacht.
帮忙	helpen; een handje helpen	Kun je helpen?
包	de tas; inpakken; bedekken	Zij heeft een nieuwe tas gekocht.
饱	vol; verzadigd	Ik zit al vol.
北方	het noorden	De winter in het noorden is erg koud.
被	het passiefpartikel; door	Mijn fiets is door een vriend geleend.
鼻子	de neus	Zijn neus is een beetje rood.
比较	vergelijken; vrij; nogal	Vandaag is het vrij warm.
比赛	de wedstrijd	Deze wedstrijd is erg belangrijk.
笔记本	het notitieboek; het schrift	Ik heb het notitieboek op tafel gelegd.
必须	moeten; noodzakelijk zijn	Je moet zorgvuldig herhalen.
变化	de verandering; veranderen	Deze stad is veel veranderd.
别人	andere mensen; de anderen	Pak geen spullen van anderen.
冰箱	de koelkast	Het fruit ligt in de koelkast.
不但…而且…	niet alleen... maar ook...	Hij is niet alleen slim, maar ook ijverig.
菜单	het menu; de menukaart	Geef mij alstublieft een menukaart.
参加	deelnemen; meedoen	Ik wil aan deze vergadering deelnemen.
草	het gras	De puppy rent over het gras.
层	de verdieping; de laag	Dit gebouw heeft drie verdiepingen.
差	slecht; verschillen; ontbreken	Het weer is vandaag slecht.
超市	de supermarkt	Ik ga naar de supermarkt om brood te kopen.
衬衫	het overhemd; de blouse	Dit overhemd is heel schoon.
城市	de stad	Beijing is een grote stad.
成绩	het cijfer; het resultaat	Zijn cijfers voor wiskunde zijn heel goed.
迟到	te laat komen	Kom niet te laat in de les.
除了	behalve; naast	Naast koffie wil ik ook thee.
船	de boot; het schip	Wij gaan met de boot naar die stad.
春	de lente	In de lente zijn er veel bloemen.
词典	het woordenboek	Dit woordenboek is erg nuttig.
聪明	slim; intelligent	Dit kind is heel slim.
打扫	schoonmaken; vegen	In het weekend maak ik de kamer schoon.
打算	van plan zijn; plannen	Welke plannen heb je voor morgen?
带	meebrengen; meenemen	Breng alstublieft je paspoort mee.
担心	zich zorgen maken; bezorgd zijn	Maak je geen zorgen, ik help je.
蛋糕	de taart; de cake	Deze taart is erg zoet.
当然	natuurlijk; uiteraard	Natuurlijk kan dat.
地	het bijwoordelijke partikel	Hij glimlachte blij.
灯	de lamp; het licht	Doe alstublieft het licht aan.
地方	de plaats; het gebied	Deze plaats is erg rustig.
地铁	de metro	Ik neem elke dag de metro naar mijn werk.
地图	de kaart	Ik zoek de school op de kaart.
电梯	de lift	De lift is links.
电子邮件	de e-mail	Ik stuur de leraar een e-mail.
东	het oosten	De zon komt op in het oosten.
冬	de winter	In de winter drink ik graag warme thee.
动物	het dier	De panda is een beroemd dier in China.
短	kort	Deze broek is te kort.
段	de alinea; het gedeelte	Lees alstublieft deze alinea.
锻炼	trainen; aan lichaamsbeweging doen	Ik sport elke ochtend.
多么	hoe; wat	Wat is de omgeving hier goed!
饿	honger hebben; hongerig	Ik heb honger en wil brood eten.
耳朵	het oor	Mijn oor doet een beetje pijn.
发	versturen; uitgeven	's Avonds verstuur ik e-mails.
发烧	koorts hebben	Hij heeft koorts en kan niet naar school.
发现	ontdekken; merken	Ik ontdekte dat deze methode goed is.
方便	handig; gemakkelijk	De metro nemen is handig.
放	leggen; zetten; loslaten	Leg het boek alstublieft op tafel.
放心	gerust zijn; zich geen zorgen maken	Maak je geen zorgen, ik kom op tijd aan.
分	verdelen; scheiden	Verdeel de taart alstublieft onder iedereen.
复习	herhalen; stof doornemen	Ik moet voor het examen herhalen.
附近	in de buurt; de omgeving	Er is een restaurant in de buurt.
干净	schoon; netjes	Deze kamer is heel schoon.
感冒	verkouden zijn; de verkoudheid	Ik ben verkouden en wil rusten.
感兴趣	geïnteresseerd zijn	Ik ben erg geïnteresseerd in Chinees.
刚才	zojuist; net	Wie heeft je zojuist gebeld?
个子	de lengte; het postuur	Hij is lang.
根据	volgens; op basis van	Volgens de kaart ligt de school in het oosten.
跟	met; volgen	Ik ga met een vriend naar het park.
更	meer; nog meer	Vandaag is het nog kouder dan gisteren.
公斤	de kilogram	Deze appels wegen één kilogram.
公园	het park	De kinderen spelen in het park.
故事	het verhaal	Opa vertelt mij een verhaal.
刮风	waaien; winderig zijn	Het waait vandaag; ga niet fietsen.
关	sluiten; uitzetten	Doe de deur alstublieft dicht.
关系	de relatie; de verhouding	Mijn relatie met mijn collega is goed.
关心	geven om; bezorgd zijn om	Moeder geeft veel om mijn gezondheid.
关于	over; betreffende	Dit boek gaat over Chinese cultuur.
国家	het land; de staat	China is een heel groot land.
过	het ervaringspartikel; al eens gedaan hebben	Ik ben in Beijing geweest.
过去	het verleden; vroeger	Vroeger was hier geen metro.
还是	of; nog steeds	Drink je thee of koffie?
害怕	bang zijn	Ik ben niet bang voor het examen.
黑板	het schoolbord	De leraar schrijft karakters op het bord.
后来	later; daarna	Daarna gingen we naar het park.
护照	het paspoort	Breng alstublieft je paspoort mee.
96:花	uitgeven; kosten	Het kopen van de telefoon kostte tweeduizend yuan.
97:花	de bloem	Er staat een bloem op tafel.
画	tekenen; de tekening; het schilderij	Mijn jongere zus tekent graag panda's.
坏	slecht; kapot	Mijn computer is kapot.
欢迎	welkomen; welkom	Welkom bij mij thuis.
环境	de omgeving; het milieu	De omgeving van deze school is heel goed.
还	teruggeven; terugkomen	Geef mijn boek morgen alstublieft terug.
换	ruilen; wisselen	Ik wil een overhemd ruilen.
黄河	de Gele Rivier	De Gele Rivier is erg lang.
回答	antwoorden; het antwoord	Beantwoord alstublieft mijn vraag.
会议	de vergadering; de conferentie	De vergadering begint om negen uur.
或者	of; misschien	Je kunt de metro of de bus nemen.
几乎	bijna	Hij sport bijna elke dag.
机会	de kans; de gelegenheid	Dit is een goede kans.
极	extreem; heel	Zij is extreem blij.
季节	het seizoen	De herfst is mijn favoriete seizoen.
记得	zich herinneren; eraan denken	Heb je eraan gedacht de creditcard mee te nemen?
检查	controleren; onderzoeken	De dokter onderzoekt mij.
简单	eenvoudig; simpel	Deze zin is heel eenvoudig.
健康	de gezondheid; gezond	Sporten is goed voor de gezondheid.
见面	elkaar ontmoeten; afspreken	Wij ontmoeten elkaar morgen op school.
讲	uitleggen; spreken	De leraar legt heel duidelijk uit.
教	onderwijzen; leren	Hij leert mij Chinese karakters schrijven.
脚	de voet; het been	Mijn voet doet een beetje pijn.
角	de hoek; de hoekmaat	De winkel is op de straathoek.
接	ophalen; ontvangen; opnemen	Ik ga naar de luchthaven om een vriend op te halen.
街道	de straat	Deze straat is erg schoon.
结婚	trouwen	Zij gaan volgend jaar trouwen.
结束	eindigen; beëindigen	De wedstrijd is al afgelopen.
节目	het programma; de show	Dit televisieprogramma is erg goed.
