simplified	LV	example_LV
挨	izturēt	Viņš izturēja visu nakti un beidzot sagaidīja rītausmu.
癌症	vēzis	Agrīni atklāt vēzi ir ļoti svarīgi.
暧昧	divdomīgs	Viņa atbilde bija ļoti divdomīga.
爱不释手	nevarēt nolikt malā	Šī grāmata viņai tik ļoti patika, ka viņa gandrīz nevarēja to nolikt malā.
爱戴	mīlēt un cienīt	Šo skolotāju skolēni ļoti mīl un ciena.
安宁	mierīgs	Naktis šeit ir ļoti mierīgas.
安详	rāms	Vecā cilvēka sejas izteiksme bija ļoti rāma.
安置	izmitināt	Valdība izmitināja katastrofā cietušos cilvēkus.
按摩	masāža	Es pierakstījos uz masāžu.
暗示	dot mājienu	Viņa deva mājienu, ka man vairs nevajadzētu jautāt.
案件	lieta	Policija izmeklē šo lietu.
案例	gadījums	Šis gadījums ir ļoti raksturīgs.
昂贵	dārgs	Šī iekārta ir ļoti dārga.
凹凸	nelīdzens	Šī ceļa virsma ir nelīdzena.
熬	izturēt	Viņš izturēja trīs smagas dienas un tikai tad pabeidza ziņojumu.
奥秘	noslēpums	Zinātnieks vēlas atklāt šo noslēpumu.
巴不得	nevarēt sagaidīt	Es nevaru sagaidīt, kad tūlīt dosimies ceļā.
巴结	pielabināties	Viņš nevēlas pielabināties vadītājiem.
扒	turēties pie	Bērns turējās pie durvīm un skatījās ārā.
疤	rēta	Uz viņa rokas ir rēta.
拔苗助长	sasteigt un kaitēt	Šādi piespiežot bērnu mācīties, var tikai kaitēt ar sasteigšanu.
把关	pārbaudīt	Šis līgums jāpārbauda juristam.
把手	rokturis	Durvju rokturis ir salūzis.
罢工	streiks	Strādnieki nolēma rīt streikot.
霸道	valdonīgs	Viņš runā pārāk valdonīgi.
掰	pārlauzt	Viņa pārlauza maizi divās daļās.
摆脱	atbrīvoties	Viņš beidzot atbrīvojās no sliktā ieraduma.
拜访	apciemot	Nedēļas nogalē mēs apciemosim skolotāju.
拜年	apsveikt Jaunajā gadā	Pavasara svētkos mēs apciemojam vecvecākus un apsveicam viņus Jaunajā gadā.
拜托	lūgt palīdzību	Šajā lietā es paļaujos uz tavu palīdzību.
败坏	sabojāt	Šāda rīcība sabojās uzņēmuma reputāciju.
斑	plankums	Uz kaķa ir melns plankums.
颁布	izsludināt	Jaunie noteikumi tiks izsludināti nākamnedēļ.
颁发	piešķirt	Skola piešķīra sertifikātus izciliem skolēniem.
版本	versija	Šai programmatūrai ir jauna versija.
伴侣	partneris	Viņa uzskata suni par savu partneri.
伴随	pavadīt	Panākumus bieži pavada spiediens.
半途而废	pamest pusceļā	Pētniecībā nedrīkst pamest darbu pusceļā.
扮演	tēlot	Filmā viņš tēlo ārstu.
榜样	paraugs	Vecāki ir paraugs bērniem.
绑架	nolaupīt	Policija novērsa nolaupīšanas lietu.
磅	mārciņa	Šī kaste sver divdesmit mārciņas.
包庇	piesegt	Neviens nedrīkst piesegt noziegumu.
包袱	nasta	Nolicis nastu, viņš jutās daudz brīvāk.
包围	aplenkt	Žurnālisti aplenca aktieri.
包装	iepakojums	Šīs dāvanas iepakojums ir ļoti skaists.
保管	glabāt	Šos dokumentus glabāju es.
保密	turēt slepenībā	Sanāksmes saturs jātur slepenībā.
保姆	aukle	Viņi nolīga aukli.
保守	konservatīvs	Viņa uzskati ir diezgan konservatīvi.
保卫	aizstāvēt	Karavīri aizstāv robežu.
保养	uzturēt	Šī automašīna regulāri jāuztur kārtībā.
保障	garantēt	Likums garantē pilsoņu tiesības.
保重	saudzēt sevi	Lūdzu, saudzē sevi, kamēr esi prom.
饱和	piesātinājums	Šis tirgus jau ir tuvu piesātinājumam.
饱经沧桑	daudz pieredzējis	Šis vecais cilvēks ir pieredzējis daudz grūtību un pārmaiņu.
报酬	atlīdzība	Viņš saņēma saprātīgu atlīdzību.
报仇	atriebties	Viņš nevēlas atriebties, tikai sākt no jauna.
报答	atlīdzināt	Es atlīdzināšu tev par palīdzību ar saviem darbiem.
报复	atriebība	Atriebība tikai padziļinās konfliktu.
报警	ziņot policijai	Pēc ugunsgrēka pamanīšanas nekavējoties jāziņo policijai.
报销	atlīdzināt izdevumus	Komandējuma izdevumus var atlīdzināt.
抱负	ambīcija	Jau kopš bērnības viņam ir lielas ambīcijas.
暴力	vardarbība	Mēs iebilstam pret jebkāda veida vardarbību.
暴露	atklāties	Šī problēma pakāpeniski atklājās.
曝光	publicēšana	Pēc šī foto publicēšanas tas piesaistīja uzmanību.
爆发	izvirst	Vulkāns pēkšņi izvirdās.
爆炸	sprādziens	Laboratorijā notika sprādziens.
卑鄙	zemisks	Šāda zemiska rīcība izraisa dusmas.
悲哀	skumjš	Izdzirdējis ziņu, viņš jutās ļoti skumjš.
悲惨	traģisks	Tas bija traģisks vēstures posms.
北极	Arktika	Zinātnieki veic pētījumus Arktikā.
备份	rezerves kopija	Lūdzu, vispirms izveido svarīgo failu rezerves kopiju.
备忘录	piezīmju lapa	Viņa piezīmju lapā pierakstīja galvenos punktus.
背叛	nodevība	Viņš nespēja pieņemt drauga nodevību.
背诵	deklamēt no galvas	Skolēni deklamē tekstu no galvas.
被动	pasīvs	Sarunās mēs nedrīkstam būt pārāk pasīvi.
被告	apsūdzētais	Apsūdzētais noliedza visas apsūdzības.
贝壳	gliemežvāks	Bērns pie jūras vāca gliemežvākus.
奔波	skraidīt darīšanās	Viņš darba dēļ visur skraida darīšanās.
奔驰	traukties	Automašīna traucās pa šoseju.
本能	instinkts	Aizsargāt bērnus ir vecāku instinkts.
本钱	kapitāls	Biznesa sākšanai vajadzīgs kapitāls.
本人	es pats	Es pats esmu gatavs uzņemties atbildību.
本身	pats par sevi	Pašā plānā nav problēmu.
本事	spēja	Viņš ir ļoti spējīgs.
笨拙	neveikls	Viņa kustības ir nedaudz neveiklas.
崩溃	sabrukt	Sistēma pēkšņi sabruka.
甭	nevajag	Par šo lietu nevajag uztraukties.
蹦	lēkāt	Kucēns lēkāja pa zāli.
迸发	uzliesmot	No pūļa uzliesmoja aplausi.
逼迫	piespiest	Viņi piespieda viņu parakstīt līgumu.
鼻涕	iesnas	Bērns ir saaukstējies, un viņam visu laiku tek deguns.
比方	piemērs	Piemēram, vispirms varam pamēģināt vienu mēnesi.
比喻	metafora	Šī metafora ir ļoti tēlaina.
比重	īpatsvars	Pakalpojumu nozares īpatsvars kļūst arvien lielāks.
鄙视	noniecināt	Nenoniecini citu cilvēku pūles.
弊病	trūkums	Šai sistēmai ir diezgan daudz trūkumu.
弊端	nepilnība	Jaunais plāns novērsa vecās sistēmas nepilnības.
臂	roka	Viņa labā roka bija ievainota.
闭塞	noslēgts	Agrāk šis kalnu ciems bija ļoti noslēgts.
编织	adīt	Vecmāmiņa ada džemperi.
边疆	pierobeža	Daudzi karavīri sargā valsts pierobežu.
边界	robeža	Abas valstis no jauna noteica robežu.
边境	pierobeža	Pierobežas rajonos pastiprināja drošības pārbaudes.
边缘	mala	Krūze stāv uz galda malas.
鞭策	mudināt	Skolotāja vārdi mani vienmēr mudināja turpināt.
扁	plakans	Šī kaste ir plata un plakana.
贬低	noniecināt	Nevajag viegli noniecināt citu cilvēku pūles.
贬义	nievājoša nozīme	Šim vārdam šeit ir nievājoša nozīme.
便利	ērts	Metro padara pārvietošanos ērtāku.
便条	zīmīte	Viņš uz galda atstāja zīmīti.
便于	ērts	Šis dizains ir ērts vecākiem cilvēkiem.
变故	negaidīts notikums	Ģimenē pēkšņi notika negaidīts nelaimes gadījums.
变迁	pārmaiņas	Pilsētas pārmaiņas viņu dziļi aizkustināja.
