source_headword	DE	example_DE
crawl	krabbeln	Das Baby begann über den Teppich zu krabbeln.
creator	der Schöpfer	Der Schöpfer dankte allen für ihre Unterstützung.
credibility	die Glaubwürdigkeit	Der Zeuge verlor während der Befragung an Glaubwürdigkeit.
credible	glaubwürdig	Der Bericht lieferte glaubwürdige Beweise.
creep	kriechen	Nebel begann durch das Tal zu kriechen.
critique	die Kritik	Der Professor gab eine detaillierte Kritik ab.
crown	die Krone	Die Königin trug eine silberne Krone.
crude	grob	Die Zeichnung war grob, aber deutlich.
crush	zerdrücken	Schwere Steine können das Rohr zerdrücken.
crystal	der Kristall	Der Kristall reflektierte das Morgenlicht.
cult	die Sekte	Die Sekte isolierte ihre Mitglieder.
cultivate	anbauen	Bauern bauen in dieser Region Reis an.
curiosity	die Neugier	Neugier führte sie zur Wissenschaft.
custody	das Sorgerecht	Das Kind blieb in der Obhut seines Vaters.
cutting	der Ausschnitt	Die Zeitung veröffentlichte einen Ausschnitt über ihn.
cynical	zynisch	Seine zynische Bemerkung regte das Team auf.
dam	der Staudamm	Der Staudamm hält das Flusswasser zurück.
damaging	schädlich	Der schädliche Artikel schadete der Kampagne.
dawn	die Morgendämmerung	Wir verließen das Dorf im Morgengrauen.
debris	die Trümmer	Sturmtrümmer blockierten die Straße.
debut	das Debüt	Ihr Debüt erregte nationale Aufmerksamkeit.
decision-making	die Entscheidungsfindung	Gute Entscheidungsfindung erfordert klare Informationen.
decisive	entschlossen	Ihr entschlossenes Handeln verhinderte weitere Schäden.
declaration	die Erklärung	Der Minister verlas eine formelle Erklärung.
dedicated	engagiert	Die engagierte Krankenschwester arbeitete über Nacht.
dedication	die Hingabe	Seine Hingabe inspirierte jüngere Spieler.
deed	die Tat	Die mutige Tat rettete zwei Leben.
deem	erachten	Das Gericht kann den Vertrag als ungültig erachten.
default	der Standard	Verwenden Sie vorerst die Standardeinstellung.
defect	der Defekt	Die Inspektoren fanden einen schweren Defekt.
defensive	defensiv	Sein defensiver Ton überraschte alle.
deficiency	der Mangel	Eisenmangel kann die Gesundheit beeinträchtigen.
deficit	das Defizit	Das Haushaltsdefizit beunruhigte die Beamten.
defy	sich widersetzen	Die Demonstranten beschlossen, sich dem Verbot zu widersetzen.
delegate	der Delegierte	Jeder Delegierte erhielt eine Stimmkarte.
delegation	die Delegation	Die Delegation traf vor dem Mittag ein.
delicate	empfindlich	Das empfindliche Glas zerbrach leicht.
demon	der Dämon	Die Geschichte beschreibt einen alten Dämon.
denial	die Leugnung	Seine Leugnung verärgerte die Opfer.
denounce	verurteilen	Führer verurteilen die Gewalt an Schulen.
dense	dicht	Der dichte Wald blockierte das Sonnenlicht.
density	die Dichte	Die Bevölkerungsdichte in der Innenstadt ist hoch.
dependence	die Abhängigkeit	Die Abhängigkeit des Landes vom Öl ging zurück.
depict	darstellen	Das Wandbild stellt das Dorfleben dar.
deploy	einsetzen	Die Armee wird zusätzliches Personal einsetzen.
deployment	der Einsatz	Der Einsatz der Truppen begann am Montag.
deprive	berauben	Schlafmangel kann Schülern die Konzentration entziehen.
deputy	der Stellvertreter	Der Stellvertreter unterzeichnete die Vereinbarung.
descend	hinabsteigen	Der Pfad begann steil abzufallen.
descent	der Sinkflug	Das Flugzeug begann seinen Sinkflug.
designate	ausweisen	Die Stadt wird einen neuen Park ausweisen.
desirable	wünschenswert	Gute Beleuchtung ist in Klassenzimmern wünschenswert.
desktop	der Desktop	Die Datei befindet sich auf meinem Desktop.
destructive	zerstörerisch	Der Sturm hatte eine zerstörerische Kraft.
detain	festhalten	Die Polizei kann Verdächtige über Nacht in Gewahrsam nehmen.
detection	die Erkennung	Eine frühe Erkennung verbessert die Krebsbehandlung.
detention	die Inhaftierung	Die Studenten protestierten gegen die Haftbedingungen.
deteriorate	sich verschlechtern	Seine Gesundheit begann sich zu verschlechtern.
devastate	verwüsten	Das Erdbeben kann Küstenstädte verwüsten.
devil	der Teufel	Das Kind malte einen lächelnden Teufel.
devise	entwickeln	Ingenieure entwickeln sicherere Transportsysteme.
diagnose	diagnostizieren	Ärzte diagnostizieren die Krankheit mit Bluttests.
diagnosis	die Diagnose	Die Diagnose erklärte ihre Symptome.
dictate	diktieren	Der Vertrag wird die Zahlungsbedingungen diktieren.
dictator	der Diktator	Der Diktator kontrollierte die Medien.
differentiate	unterscheiden	Können Sie Fakten von Meinungen unterscheiden?
dignity	die Würde	Jeder verdient Würde am Arbeitsplatz.
dilemma	das Dilemma	Der Manager stand vor einem ernsten Dilemma.
dimension	die Dimension	Das Problem hat eine politische Dimension.
diminish	nachlassen	Der Schmerz sollte langsam nachlassen.
dip	sinken	Die Temperaturen können unter den Gefrierpunkt sinken.
diplomat	der Diplomat	Der Diplomat traf ausländische Führer.
diplomatic	diplomatisch	Die diplomatischen Gespräche dauerten die ganze Nacht an.
directory	das Verzeichnis	Suchen Sie im Verzeichnis nach seiner Nummer.
disastrous	katastrophal	Die katastrophale Flut zerstörte mehrere Brücken.
discard	wegwerfen	Werfen Sie nützliche Aufzeichnungen nicht weg.
discharge	entlassen	Das Krankenhaus wird ihn morgen entlassen.
disclose	offenlegen	Die Beamten weigerten sich, die Zahlen offenzulegen.
disclosure	die Enthüllung	Die Enthüllung schockierte den Vorstand.
discourse	der Diskurs	Der öffentliche Diskurs wurde höflicher.
discretion	die Diskretion	Lassen Sie bei sensiblen Fällen Diskretion walten.
discrimination	die Diskriminierung	Das Gesetz verbietet Diskriminierung bei der Einstellung.
dismissal	die Entlassung	Seine Entlassung löste öffentlichen Zorn aus.
displace	vertreiben	Der Krieg könnte Tausende vertreiben.
disposal	die Entsorgung	Die Abfallentsorgung bleibt ein lokales Problem.
dispose	entsorgen	Das Unternehmen muss Chemikalien sicher entsorgen.
dispute	der Streit	Der Streit dauerte Monate.
disrupt	stören	Lärm kann die Konzentration stören.
disruption	die Störung	Der Streik verursachte eine erhebliche Störung.
dissolve	sich auflösen	Zucker wird sich in heißem Tee auflösen.
distinction	der Unterschied	Der Unterschied zwischen ihnen ist wichtig.
distinctive	unverwechselbar	Sie hat eine unverwechselbare Stimme.
distort	verzerren	Der Spiegel kann dein Spiegelbild verzerren.
distress	die Not	Der Anruf verursachte große Not.
disturbing	verstörend	Der Dokumentarfilm zeigte verstörende Szenen.
divert	umleiten	Die Polizei musste den Verkehr umleiten.
divine	göttlich	Die Kapelle hat eine göttliche Atmosphäre.
doctrine	die Doktrin	Die Partei lehnte die alte Doktrin ab.
documentation	die Dokumentation	Füllen Sie die Dokumentation vor dem Start aus.
domain	die Domain	Die Website verwendet eine sichere Domain.
dominance	die Dominanz	Die Dominanz des Teams dauerte ein Jahrzehnt.
donor	der Spender	Der Spender hat heute Blut gespendet.
dose	die Dosis	Nehmen Sie eine Dosis nach dem Frühstück.
drain	abfließen	Das Wasser wird in den Fluss abfließen.
drift	treiben	Rauch begann über die Straße zu treiben.
driving	ausschlaggebend	Regen war der ausschlaggebende Faktor für die Verspätungen.
drown	ertrinken	Schwimmen Sie niemals dort, wo Strömungen Sie ertrinken lassen können.
dual	doppelt	Das Gerät hat eine doppelte Funktion.
dub	bezeichnen als	Kritiker bezeichnen die Stadt als Kulturhauptstadt.
dumb	dumm	Das war ein dummer Fehler.
duo	das Duo	Das Comedy-Duo tourte durch Europa.
eager	eifrig	Die Studenten waren eifrig darauf, zu beginnen.
earnings	die Einnahmen	Die Einnahmen des Unternehmens stiegen stark an.
ease	entlasten	Die neue Straße wird den Verkehr entlasten.
echo	widerhallen	Ihre Stimme hallte im Flur wider.
ecological	ökologisch	Die ökologischen Auswirkungen bleiben ungewiss.
educator	der Pädagoge	Der Pädagoge hat einen neuen Kurs entworfen.
effectiveness	die Wirksamkeit	Die Studie maß die Wirksamkeit des Impfstoffs.
efficiency	die Effizienz	Bessere Software verbesserte die Effizienz.
ego	das Ego	Sein Ego verursachte Probleme bei der Arbeit.
elaborate	aufwendig	Das aufwendige Kostüm dauerte Wochen.
electoral	elektoral	Das Wahlsystem hat sich letztes Jahr geändert.
elevate	aufwerten	Die Auszeichnung wird ihr Profil aufwerten.
eligible	berechtigt	Nur Einwohner sind für Rabatte berechtigt.
elite	die Elite	Die Elite trainierte an einer privaten Akademie.
embark	antreten	Sie werden eine lange Reise antreten.
embarrassment	die Verlegenheit	Er lachte, um seine Verlegenheit zu verbergen.
embassy	die Botschaft	Die Botschaft gab neue Reisehinweise heraus.
embed	einbetten	Der Journalist wird in die Einheit eingebettet.
embody	verkörpern	Die Statue scheint Mut zu verkörpern.
emergence	das Aufkommen	Das Aufkommen von Telefonen veränderte das tägliche Leben.
empirical	empirisch	Das Papier stützt sich auf empirische Beweise.
empower	stärken	Bildung kann lokale Gemeinschaften stärken.
enact	erlassen	Das Parlament stimmte für den Erlass der Reform.
encompass	umfassen	Der Kurs wird die moderne Geschichte umfassen.
encouragement	die Ermutigung	Ihre Ermutigung half ihm weiterzumachen.
encouraging	ermutigend	Die frühen Ergebnisse sehen ermutigend aus.
endeavour	das Unterfangen	Die Rettung war ein schwieriges Unterfangen.
endless	endlos	Die Wüste schien endlos.
endorse	unterstützen	Die Gewerkschaft weigerte sich, den Kandidaten zu unterstützen.
endorsement	die Unterstützung	Seine Unterstützung beflügelte ihre Kampagne.
endure	überstehen	Pflanzen können harte Winter überstehen.
enforce	durchsetzen	Die Polizei setzt das Tempolimit durch.
enforcement	die Durchsetzung	Eine stärkere Durchsetzung reduzierte illegale Müllablagerungen.
engagement	das Engagement	Das Engagement der Studenten hat sich in diesem Semester verbessert.
engaging	fesselnd	Der Redner hielt einen fesselnden Vortrag.
enquire	sich erkundigen	Bitte erkundigen Sie sich an der Rezeption.
enrich	bereichern	Reisen kann Ihr Verständnis bereichern.
enrol	sich einschreiben	Studenten müssen sich vor September einschreiben.
ensue	folgen	Nach der Ankündigung könnte Chaos folgen.
enterprise	das Unternehmen	Das Unternehmen beschäftigt lokale Künstler.
enthusiast	der Enthusiast	Jeder Radsport-Enthusiast kennt diese Route.
entitle	berechtigen	Das Ticket berechtigt Sie zum Eintritt.
entity	die Entität	Das Unternehmen ist eine eigenständige juristische Person.
epidemic	die Epidemie	Die Epidemie breitete sich über mehrere Regionen aus.
equality	die Gleichberechtigung	Die Bewegung kämpfte für Gleichberechtigung.
equation	die Gleichung	Die Gleichung enthält zwei Unbekannte.
erect	errichten	Die Arbeiter werden einen neuen Zaun errichten.
escalate	eskalieren	Der Konflikt könnte schnell eskalieren.
essence	das Wesen	Das Gedicht fängt das Wesen der Kindheit ein.
establishment	das Establishment	Das Establishment lehnte die Reform ab.
eternal	ewig	Sie versprachen ewige Freundschaft.
evacuate	evakuieren	Die Feuerwehrleute halfen den Bewohnern, sicher zu evakuieren.
evoke	wecken	Das Lied kann starke Erinnerungen wecken.
evolutionary	evolutionär	Das Fossil zeigt eine evolutionäre Veränderung.
exaggerate	übertreiben	Übertreiben Sie Ihre Erfahrung nicht.
excellence	die Exzellenz	Die Schule belohnt akademische Exzellenz.
exceptional	außergewöhnlich	Sie zeigte außergewöhnliches Können.
excess	das Übermaß	Das überschüssige Wasser überschwemmte den Keller.
exclusion	die Ausgrenzung	Soziale Ausgrenzung schadet jungen Menschen.
exclusive	exklusiv	Der Club bietet exklusiven Zugang.
exclusively	ausschließlich	Dieser Raum wird ausschließlich von Mitarbeitern genutzt.
execute	ausführen	Das Team wird den Plan sorgfältig ausführen.
execution	die Ausführung	Die Ausführung der Strategie dauerte Monate.
exert	ausüben	Sie müssen mehr Druck ausüben.
exile	das Exil	Der Schriftsteller lebte im Exil.
expenditure	die Ausgabe	Die öffentlichen Ausgaben sind letztes Jahr gestiegen.
experimental	experimentell	Die Behandlung ist noch experimentell.
expire	ablaufen	Mein Pass wird bald ablaufen.
explicit	ausdrücklich	Die Anweisungen waren ausdrücklich.
explicitly	ausdrücklich	Die Regeln verbieten ausdrücklich das Rauchen.
exploitation	die Ausbeutung	Der Bericht deckte die Ausbeutung von Arbeitern auf.
explosive	explosiv	Der Sprengkörper wurde sicher entfernt.
extremist	der Extremist	Die extremistische Gruppe verlor an Unterstützung.
facilitate	erleichtern	Die App wird das Fernlernen erleichtern.
faction	die Fraktion	Eine Fraktion stellte sich gegen den Führer.
faculty	das Kollegium	Das Kollegium stimmte dem Vorschlag zu.
fade	verblassen	Die Farbe wird im Sonnenlicht verblassen.
fairness	die Fairness	Fairness ist in jedem Wettbewerb wichtig.
fatal	tödlich	Der Unfall verursachte tödliche Verletzungen.
fate	das Schicksal	Niemand kannte sein Schicksal.
favourable	günstig	Die Bewertung war günstig.
feat	die Meisterleistung	Diesen Gipfel zu besteigen war eine Meisterleistung.
feminist	feministisch	Die feministische Bewegung veränderte die öffentliche Debatte.
fibre	der Ballaststoff	Dieses Brot enthält extra Ballaststoffe.
fierce	heftig	Der heftige Sturm beschädigte Dächer.
film-maker	der Filmemacher	Der Filmemacher beantwortete danach Fragen.
filter	der Filter	Der Filter entfernt Staub aus der Luft.
fine	das Bußgeld	Das Unternehmen hat ein Bußgeld bezahlt.
firearm	die Schusswaffe	Der Beamte stellte eine gestohlene Schusswaffe sicher.
fit	die Passform	Die neuen Schuhe haben eine perfekte Passform.
fixture	das Inventar	Die Lampe ist ein festes Inventar.
flaw	der Fehler	Das Design hat einen schwerwiegenden Fehler.
flawed	fehlerhaft	Die fehlerhafte Studie lieferte falsche Ergebnisse.
flee	fliehen	Familien mussten vor den Kämpfen fliehen.
fleet	die Flotte	Die Fluggesellschaft erneuerte ihre Flotte.
flesh	das Fleisch	Der Dorn durchbohrte sein Fleisch.
flexibility	die Flexibilität	Fernarbeit bietet mehr Flexibilität.
flourish	florieren	Kleine Unternehmen können hier florieren.
fluid	die Flüssigkeit	Trinken Sie nach dem Training viel Flüssigkeit.
footage	das Filmmaterial	Das Filmmaterial zeigte den Absturz.
foreigner	der Ausländer	Auf dem Formular wird gefragt, ob Sie ein Ausländer sind.
forge	schmieden	Sie versuchten, eine neue Allianz zu schmieden.
formula	die Formel	Die Formel löste das Problem.
formulate	formulieren	Wissenschaftler formulieren eine neue Theorie.
forth	hervor	Der Fluss trug das Boot vorwärts.
forthcoming	kommend	Der kommende Bericht wird alles erklären.
foster	fördern	Das Programm hilft, die Unabhängigkeit zu fördern.
fragile	zerbrechlich	Die zerbrechliche Vase erfordert eine vorsichtige Handhabung.
franchise	das Franchise	Das Restaurant wurde zu einem weltweiten Franchise.
frankly	ehrlich gesagt	Ehrlich gesagt brauchen wir mehr Zeit.
frustrated	frustriert	Die Arbeiter waren von der Verzögerung frustriert.
frustrating	frustrierend	Die langsame Verbindung war frustrierend.
frustration	die Frustration	Die Frustration wuchs während des Treffens.
functional	funktional	Die alte Küche ist noch funktional.
fundraising	das Spendensammeln	Das Spendensammeln beginnt nächste Woche.
funeral	die Beerdigung	Die Beerdigung fand am Freitag statt.
gallon	die Gallone	Der Tank fasst eine Gallone.
