source_headword	KN	example_KN
hunt	ಹುಡುಕುವುದು	ಅವರು ಶರತ್ಕಾಲದಲ್ಲಿ ಅಣಬೆಗಳನ್ನು ಹುಡುಕುತ್ತಾರೆ.
hurricane	ಚಂಡಮಾರುತ	ಚಂಡಮಾರುತವು ಅನೇಕ ಮನೆಗಳನ್ನು ಹಾನಿಗೊಳಿಸಿತು.
hurry	ಅವಸರ	ಇಂದು ಯಾವುದೇ ಅವಸರ ಇಲ್ಲ.
identity	ಗುರುತು	ಅವಳ ಗುರುತು ರಹಸ್ಯವಾಗಿಯೇ ಉಳಿಯಿತು.
ignore	ನಿರ್ಲಕ್ಷಿಸು	ಈ ಎಚ್ಚರಿಕೆಯನ್ನು ನಿರ್ಲಕ್ಷಿಸಬೇಡ.
illegal	ಕಾನೂನುಬಾಹಿರ	ಇಲ್ಲಿ ವಾಹನ ನಿಲ್ಲಿಸುವುದು ಕಾನೂನುಬಾಹಿರ.
imaginary	ಕಲ್ಪಿತ	ಕಥೆಯಲ್ಲಿ ಕಲ್ಪಿತ ದ್ವೀಪವಿದೆ.
immediate	ತಕ್ಷಣದ	ನಮಗೆ ತಕ್ಷಣದ ಉತ್ತರ ಬೇಕು.
immigrant	ವಲಸಿಗ	ವಲಸಿಗನು ಬೇಗ ಆಂಗ್ಲವನ್ನು ಕಲಿತನು.
impact	ಪರಿಣಾಮ	ಸುದ್ದಿಗೆ ಬಲವಾದ ಪರಿಣಾಮವಿತ್ತು.
import	ಆಮದುಮಾಡು	ದೇಶವು ಇನ್ನಷ್ಟು ಅಕ್ಕಿಯನ್ನು ಆಮದುಮಾಡುತ್ತದೆ.
importance	ಮಹತ್ವ	ಅವಳು ನಿದ್ರೆಯ ಮಹತ್ವವನ್ನು ಅರ್ಥ ಮಾಡಿಕೊಂಡಳು.
impression	ಅಭಿಪ್ರಾಯ	ಅವನ ಮೊದಲ ಅಭಿಪ್ರಾಯ ಸಕಾರಾತ್ಮಕವಾಗಿತ್ತು.
impressive	ಆಕರ್ಷಕ	ಸಂಗ್ರಹಾಲಯಕ್ಕೆ ಆಕರ್ಷಕ ಪ್ರವೇಶದ್ವಾರವಿದೆ.
improvement	ಸುಧಾರಣೆ	ಈ ತಿಂಗಳು ಸ್ಪಷ್ಟ ಸುಧಾರಣೆ ಇತ್ತು.
incredibly	ಅತಿಯಾಗಿ	ಪರೀಕ್ಷೆ ಅತಿಯಾಗಿ ಕಷ್ಟವಾಗಿತ್ತು.
indeed	ನಿಜವಾಗಿಯೂ	ಅದು ನಿಜವಾಗಿಯೂ ವಿಚಿತ್ರ ದಿನವಾಗಿತ್ತು.
indicate	ಸೂಚಿಸು	ಚಿಹ್ನೆ ನಿರ್ಗಮನವನ್ನು ಸೂಚಿಸುತ್ತದೆ.
indirect	ಪರೋಕ್ಷ	ಅವಳು ಪರೋಕ್ಷ ಉತ್ತರ ನೀಡಿದಳು.
indoor	ಒಳಾಂಗಣ	ಹೋಟೆಲ್‌ಗೆ ಒಳಾಂಗಣ ಈಜುಕೊಳವಿದೆ.
indoors	ಒಳಗೆ	ಚಂಡಮಾರುತದ ವೇಳೆ ನಾವು ಒಳಗೆ ಇದ್ದೆವು.
influence	ಪ್ರಭಾವ	ಅವನ ಶಿಕ್ಷಕರಿಗೆ ಬಲವಾದ ಪ್ರಭಾವವಿತ್ತು.
ingredient	ಪದಾರ್ಥ	ಹಿಟ್ಟು ಮುಖ್ಯ ಪದಾರ್ಥ.
injure	ಗಾಯಗೊಳಿಸು	ನಿನ್ನ ಬೆನ್ನನ್ನು ಗಾಯಗೊಳಿಸಬೇಡ.
injured	ಗಾಯಗೊಂಡ	ಗಾಯಗೊಂಡ ಆಟಗಾರ ಮೈದಾನ ಬಿಟ್ಟನು.
innocent	ನಿರ್ದೋಷಿ	ಮಗು ಸಂಪೂರ್ಣ ನಿರ್ದೋಷಿಯಂತೆ ಕಂಡಿತು.
intelligence	ಬುದ್ಧಿಮತ್ತೆ	ಅವಳು ತರಗತಿಯಲ್ಲಿ ದೊಡ್ಡ ಬುದ್ಧಿಮತ್ತೆ ತೋರಿಸಿದಳು.
intend	ಉದ್ದೇಶಿಸು	ನಾನು ವಿದೇಶದಲ್ಲಿ ಓದಲು ಉದ್ದೇಶಿಸುತ್ತೇನೆ.
intention	ಉದ್ದೇಶ	ಅವನ ಉದ್ದೇಶ ಸಹಾಯ ಮಾಡುವುದು.
invest	ಹೂಡಿಕೆಮಾಡು	ಅವರು ಶಿಕ್ಷಣದಲ್ಲಿ ಹಣ ಹೂಡಿಕೆಮಾಡುತ್ತಾರೆ.
investigate	ತನಿಖೆಮಾಡು	ಪೊಲೀಸರು ಅಪಘಾತವನ್ನು ತನಿಖೆಮಾಡುತ್ತಾರೆ.
involved	ಸಂಬಂಧಿಸಿದ	ಹಲವು ವಿದ್ಯಾರ್ಥಿಗಳು ಸಂಬಂಧಿಸಿದ್ದರು.
iron	ಕಬ್ಬಿಣ	ಗೇಟ್ ಕಬ್ಬಿಣದಿಂದ ಮಾಡಲಾಗಿದೆ.
issue	ಸಮಸ್ಯೆ	ಇದು ಗಂಭೀರ ಸಮಸ್ಯೆ.
IT	ಮಾಹಿತಿ ತಂತ್ರಜ್ಞಾನ	ಅವಳು ಮಾಹಿತಿ ತಂತ್ರಜ್ಞಾನದಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಾಳೆ.
journal	ದಿನಚರಿ	ಅವನು ದಿನಚರಿಯಲ್ಲಿ ಬರೆಯುತ್ತಾನೆ.
judge	ನ್ಯಾಯಾಧೀಶ	ನ್ಯಾಯಾಧೀಶರು ಗಮನದಿಂದ ಕೇಳಿದರು.
keen	ಆಸಕ್ತಿಯುಳ್ಳ	ಅವಳು ಕಲಿಯಲು ಆಸಕ್ತಿಯುಳ್ಳವಳು.
keyboard	ಕೀಲಿಮಣೆ	ನನ್ನ ಕೀಲಿಮಣೆ ಕೆಲಸ ನಿಲ್ಲಿಸಿತು.
kick	ಲಾತಿಹೊಡೆ	ಚೆಂಡನ್ನು ಮೃದುವಾಗಿ ಲಾತಿಹೊಡೆ.
killing	ಕೊಲೆ	ಕೊಲೆ ಗ್ರಾಮವನ್ನು ಬೆಚ್ಚಿಬೀಳಿಸಿತು.
kind (caring)	ದಯಾಳು	ಅದು ದಯಾಳು ಕೆಲಸವಾಗಿತ್ತು.
kiss	ಮುತ್ತು	ಅವಳು ಮಗುವಿಗೆ ಮುತ್ತು ಕೊಟ್ಟಳು.
label	ಲೇಬಲ್	ಬಳಸುವ ಮೊದಲು ಲೇಬಲ್ ಓದಿ.
laboratory	ಪ್ರಯೋಗಾಲಯ	ಪ್ರಯೋಗಾಲಯ ಇಂದು ಮುಚ್ಚಿದೆ.
lack	ಕೊರತೆ	ನಿದ್ರೆಯ ಕೊರತೆ ನೆನಪಿಗೆ ಹಾನಿ ಮಾಡುತ್ತದೆ.
latest	ಇತ್ತೀಚಿನ	ನೀನು ಇತ್ತೀಚಿನ ವರದಿ ಓದಿದ್ದೀಯಾ?
lay	ಇಡು	ಪುಸ್ತಕವನ್ನು ಮೇಜಿನ ಮೇಲೆ ಇಡು.
layer	ಪದರ	ಇನ್ನೊಂದು ಬಣ್ಣದ ಪದರ ಸೇರಿಸು.
leading	ಪ್ರಮುಖ	ಅವಳು ಪ್ರಮುಖ ವಿಜ್ಞಾನಿ.
leaf	ಎಲೆ	ಒಂದು ಎಲೆ ನನ್ನ ಕೋಟಿನ ಮೇಲೆ ಬಿತ್ತು.
leather	ಚರ್ಮ	ಅವನ ಚೀಲ ಚರ್ಮದಿಂದ ಮಾಡಲಾಗಿದೆ.
legal	ಕಾನೂನುಬದ್ಧ	ನಮಗೆ ಕಾನೂನುಬದ್ಧ ಸಲಹೆ ಬೇಕು.
leisure	ವಿರಾಮ	ಓದುವುದು ನನ್ನ ಇಷ್ಟದ ವಿರಾಮ ಚಟುವಟಿಕೆ.
