source_headword	VI	example_VI
prey	con mồi	Cú săn mồi vào ban đêm.
privatization	tư nhân hóa	Việc tư nhân hóa đã thay đổi hệ thống đường sắt.
privilege	đặc quyền	Giáo dục không nên là một đặc quyền.
probe	cuộc điều tra	Cuộc điều tra đã tiết lộ những lỗi nghiêm trọng.
problematic	có vấn đề	Thỏa thuận này vẫn còn nhiều vấn đề.
proceedings	thủ tục (tố tụng)	Quá trình tố tụng tại tòa đã bắt đầu vào thứ Hai.
proceeds	tiền thu được	Tiền thu được sẽ hỗ trợ các trường học địa phương.
processing	sự xử lý	Quá trình xử lý hình ảnh cần có thời gian.
processor	bộ xử lý	Bộ xử lý đã bị lỗi trong quá trình thử nghiệm.
proclaim	tuyên bố	Các nhà lãnh đạo tuyên bố chiến thắng quá sớm.
productive	có hiệu quả	Cuộc họp đã diễn ra rất hiệu quả.
productivity	năng suất	Năng suất đã được cải thiện sau khóa đào tạo.
profitable	có lãi	Cửa hàng đã bắt đầu có lãi trong năm nay.
profound	sâu sắc	Bài phát biểu đã có một tác động sâu sắc.
projection	sự dự báo	Bản dự báo cho thấy sự tăng trưởng ổn định.
prominent	xuất chúng	Cô ấy đã trở thành một nhà khoa học xuất chúng.
pronounced	rõ rệt	Giọng của anh ấy trở nên rõ rệt hơn.
propaganda	sự tuyên truyền	Chiến dịch đã sử dụng sự tuyên truyền trên mạng.
proposition	lời đề nghị	Lời đề nghị này là một vấn đề rủi ro.
prosecute	khởi tố	Các quan chức khởi tố những vụ gian lận nghiêm trọng.
prosecution	bên khởi tố	Bên khởi tố đã đưa ra bằng chứng mới.
prosecutor	công tố viên	Công tố viên đã thẩm vấn nhân chứng.
prospective	tiềm năng	Các sinh viên tương lai đã đi tham quan khuôn viên trường.
prosperity	sự thịnh vượng	Thương mại đã mang lại sự thịnh vượng cho khu vực.
protective	bảo vệ	Cô ấy đã đeo găng tay bảo hộ.
protocol	quy tắc	Quy tắc yêu cầu phải có văn bản chấp thuận.
province	tỉnh	Tỉnh đã đầu tư vào giao thông.
provincial	cấp tỉnh	Các quan chức cấp tỉnh đã công bố kế hoạch.
provision	điều khoản	Hợp đồng bao gồm một điều khoản an toàn.
provoke	gây ra	Bài phát biểu có thể gây ra những phản ứng mạnh mẽ.
psychiatric	thuộc tâm thần học	Bệnh viện đã mở một khoa tâm thần.
pulse	mạch	Y tá đã kiểm tra mạch của anh ấy.
pump	máy bơm	Máy bơm đẩy nước lên cao.
punch	cú đấm	Anh ta tung một cú đấm trong lúc tức giận.
query	câu hỏi	Hãy gửi thắc mắc của bạn cho bộ phận hỗ trợ.
quest	sự tìm kiếm	Cuộc tìm kiếm công lý của họ vẫn tiếp tục.
quota	chỉ tiêu	Nhóm đã đạt được chỉ tiêu doanh số.
radar	ra đa	Cơn bão đã xuất hiện trên ra đa.
radical	triệt để	Nhóm đã đề xuất những cải cách triệt để.
rage	cơn thịnh nộ	Cơn thịnh nộ của anh ấy nhanh chóng nguôi ngoai.
raid	cuộc đột kích	Cảnh sát đã tiến hành một cuộc đột kích lúc rạng sáng.
rally	cuộc biểu tình	Những người ủng hộ đã tham gia cuộc biểu tình ở trung tâm thành phố.
ranking	thứ hạng	Trường đại học đã cải thiện thứ hạng của mình.
rape	tội hiếp dâm	Các vụ hiếp dâm đòi hỏi phải điều tra cẩn thận.
ratio	tỷ lệ	Lớp học có tỷ lệ giáo viên thấp.
rational	hợp lý	Quyết định của cô ấy rất hợp lý.
ray	tia	Một tia nắng chiếu vào.
readily	sẵn lòng	Anh ấy đã sẵn sàng chấp nhận lời đề nghị.
realization	sự nhận thức	Sự nhận thức đó đã làm thay đổi kế hoạch của cô ấy.
realm	lĩnh vực	Câu hỏi này thuộc về một lĩnh vực khác.
