source_headword	SR	example_SR
institute	институт	Институт је отворио нови истраживачки програм.
institution	институција	Институција је променила своја правила о пријему.
insurance	осигурање	Њено осигурање је покрило болничке трошкове.
intended	намераван	Порука је стигла до своје циљне публике.
intense	интензиван	Расправа је врло брзо постала интензивна.
internal	унутрашњи	Компанија је започела интерну ревизију.
interpret	протумачити	Молимо вас да пажљиво протумачите резултате.
interrupt	прекинути	Немојте сада прекидати говорника.
investigation	истрага	Истрага је открила озбиљне грешке.
investment	инвестиција	Инвестиција је створила многа локална радна места.
joy	радост	Њихов успех је донео велику радост.
judgement	процена	Његово расуђивање се побољшало са искуством.
junior	млађи	Придружила се тиму као млађи аналитичар.
justice	правда	Породица је тражила правду након суђења.
justify	оправдати	Морате јасно оправдати ту одлуку.
labour	радна снага	Пројекат захтева квалификовану радну снагу.
landscape	пејзаж	Пејзаж се променио након олује.
largely	углавном	План је углавном био успешан.
launch	лансирати	Сутра ће лансирати производ.
leadership	вођство	Снажно вођство је помогло тиму да се опорави.
league	лига	Наш клуб се придружио регионалној лиги.
lean	наслонити се	Немојте се наслањати на мокар зид.
licence	дозвола	Дозвола истиче следећег месеца.
limited	ограничен	Данас имамо ограничено време.
lively	живахан	Састанак је постао живахан након ручка.
load	терет	Камион је носио тежак терет.
loan	кредит	Банка је одобрила кредит.
logical	логичан	Њен аргумент је био јасан и логичан.
long-term	дугорочан	Ово је дугорочно решење.
loose	лабав	Ручка је лабава.
lord	господар	Господар је поседовао неколико села.
lower	снизити	Они снижавају цене током зиме.
lung	плућа	Пушење може оштетити плућа.
maintain	одржавати	Одржавамо редован контакт.
majority	већина	Већина је подржала предлог.
mass	маса	Маса облака је прекрила небо.
massive	огроман	Земљотрес је изазвао огромну штету.
master	мајстор	Постала је мајстор преговарања.
matching	усклађен	Носио је усклађене ципеле и каиш.
maximum	максималан	Соба је достигла максималан капацитет.
means	средство	Имејл је наше главно средство контакта.
measurement	мерење	Мерење је било мало погрешно.
melt	отопити се	Снег ће се отопити до поднева.
military	војни	Војна база је затворена прошле године.
mineral	минерал	Гвожђе је важан минерал.
minimum	минималан	Минимална старост је осамнаест година.
minister	министар	Министар је одговорио на тешка питања.
minor	мањи	Несрећа је изазвала мању штету.
minority	мањина	Мањина се успротивила новом правилу.
mission	мисија	Њихова мисија се безбедно завршила.
mixed	мешовит	Вест је наишла на мешовите реакције.
modify	изменити	Касније можемо изменити дизајн.
monitor	пратити	Медицинска сестра ће пратити његово стање.
moral	морални	Прича има моралну поуку.
motor	мотор	Мотор се зауставио без упозорења.
mount	поставити	Они постављају камере близу улаза.
multiple	вишеструк	Вишеструки фактори су изазвали кашњење.
multiply	помножити	Помножите број са десет.
mysterious	тајанствен	Напољу се појавило тајанствено светло.
neat	уредан	Њен сто је увек уредан.
nerve	живац	Повреда је оштетила живац.
nevertheless	ипак	Задатак је био тежак; ипак, завршили смо.
nightmare	ноћна мора	Путовање је постало ноћна мора.
notion	замисао	Одбаците замисао да је промена немогућа.
numerous	бројни	Бројне студије подржавају ову идеју.
obey	поштовати	Возачи морају поштовати знакове.
objective	циљ	Наш циљ је да смањимо отпад.
obligation	обавеза	Родитељи имају обавезу да заштите децу.
observation	запажање	Његово запажање је променило расправу.
observe	посматрати	Научници посматрају птице сваког пролећа.
obtain	добити	Морате добити писмену дозволу.
occasionally	повремено	Она повремено ради од куће.
offence	увреда	Коментар је изазвао озбиљну увреду.
offend	увредити	Нисам намеравао никога да увредим.
offensive	увредљив	Плакат је садржавао увредљив језик.
opening	слободно радно место	Слободно радно место је привукло много кандидата.
operate	радити	Машина може да ради аутоматски.
opponent	противник	Њен противник је критиковао политику.
oppose	противити се	Многи становници се противе плану.
opposed	супротстављен	Групе су имале супротстављене ставове.
opposition	противљење	Предлог је наишао на снажно противљење.
organ	орган	Срце је виталан орган.
origin	порекло	Порекло пожара је непознато.
otherwise	иначе	Крените сада; иначе ћете закаснити.
outcome	исход	Исход је све изненадио.
outer	спољни	Спољни зид треба поправити.
outline	изложити	Молим вас, изложите свој главни аргумент.
overall	укупан	Укупан резултат је био позитиван.
owe	дуговати	Дугујем ти извињење.
pace	темпо	Ходајте уједначеним темпом.
panel	одбор	Одбор је расправљао о климатској политици.
parliament	парламент	Парламент је одобрио нови закон.
participant	учесник	Сваки учесник је потписао образац.
partly	делимично	Кашњење је делимично била наша грешка.
passage	одломак	Прочитајте одломак пре одговарања.
pension1	пензија	Његова пензија га издржава након пензионисања.
permanent	трајан	Потребно им је трајно решење.
permit	дозволити	Правила дозвољавају кратке посете.
perspective	перспектива	Покушајте да видите њену перспективу.
phase	фаза	Пројекат је ушао у своју завршну фазу.
phenomenon	феномен	Овај феномен се јавља у многим културама.
philosophy	филозофија	Њена филозофија цени практично деловање.
pile	гомила	Гомила папира је прекрила сто.
pitch	терен	Тим је пажљиво припремио терен.
plain	јасан	Упутства су била јасна и директна.
pointed	оштар	Дао је оштру примедбу.
popularity	популарност	Певач је стекао популарност на интернету.
pose	представљати	Питање би могло представљати проблем.
possess	поседовати	Мало ученика поседује ту вештину.
potential	потенцијал	Идеја има прави потенцијал.
praise	похвала	Учитељ је дао искрену похвалу.
pregnant	трудна	Она је у шестом месецу трудноће.
preparation	припрема	Добра припрема смањује стрес.
presence	присуство	Његово присуство је променило расположење.
preserve	очувати	Морамо очувати ову историјску зграду.
prime	главни	Главни узрок је било лоше планирање.
principle	принцип	Одлука је следила јасан принцип.
priority	приоритет	Безбедност нам је први приоритет.
privacy	приватност	Купци очекују приватност на интернету.
procedure	процедура	Процедура траје тридесет минута.
proof	доказ	Треба нам доказ пре деловања.
proposal	предлог	Предлог треба више детаља.
propose	предложити	Предлажем другачије решење.
prospect	перспектива	Перспектива неуспеха их је забринула.
protection	заштита	Кацига пружа основну заштиту.
psychologist	психолог	Психолог је објаснио резултате теста.
psychology	психологија	Она студира психологију на универзитету.
publication	публикација	Публикација је привукла пажњу јавности.
pupil	ученик	Сваки ученик је добио нови уџбеник.
purchase	куповати	Они купују залихе сваког месеца.
pure	чист	Вода је била чиста и хладна.
pursue	наставити	Он ће наставити медицинску каријеру.
rank	чин	Она има високи чин.
rapid	брз	Земља је забележила брз раст.
rapidly	брзо	Цене су ове године брзо расле.
raw	сиров	Кувар је припремио сирово поврће.
realistic	реалистичан	Поставите реалистичан рок.
reasonable	разуман	То се чини као разуман захтев.
recall	сећати се	Сећам се његових тачних речи.
recover	опоравити се	Опоравиће се након лечења.
reduction	смањење	Смањење је уштедело новац.
regard	сматрати	Многи људи је сматрају поштеном.
regional	регионалан	Регионална канцеларија се данас затворила.
register	регистровати се	Молимо региструјте се пре конференције.
regret	жалити	Жалим због своје раније одлуке.
regulation	пропис	Нови пропис утиче на све возаче.
relatively	релативно	Испит је био релативно лак.
relevant	релевантан	Изаберите само релевантне детаље.
relief	олакшање	Вест је донела велико олакшање.
rely	ослањати се	Деца се ослањају на подршку одраслих.
remark	примедба	Његова примедба је завршила расправу.
representative	представник	Представник се састао са локалним радницима.
reputation	углед	Хотел има добар углед.
requirement	услов	Искуство је основни услов.
rescue	спасити	Они спасавају људе од поплава.
reserve	резервисати	Резервишемо места за госте.
resident	становник	Сваки становник је примио обавештење.
resist	одолети	Покушајте да одолите притиску.
resolve	решити	Мирно су решили спор.
resort	одмаралиште	Острвско одмаралиште отворено је у мају.
retain	задржати	Компанија жели да задржи особље.
reveal	открити	Извештај ће открити истину.
revolution	револуција	Револуција је променила земљу.
reward	награда	Напоран рад заслужује награду.
rhythm	ритам	Песма има сталан ритам.
rid	решити се	Решите се тих старих фајлова.
root	корен	Корен проблема је новац.
rub	трљати	Трљајте површину крпом.
rubber	гума	Гумена заптивка спречава цурење.
rural	рурални	Многим руралним школама је потребна подршка.
rush	журити	Немојте журити са овом одлуком.
satellite	сателит	Сателит је послао нове слике.
satisfied	задовољан	Купац је деловао задовољно.
satisfy	задовољити	Одговор га није задовољио.
saving	штедња	Штедња енергије смањује месечне трошкове.
scale	размера	Размера штете је била огромна.
scheme	шема	Шема помаже младим радницима.
scream	врисак	Чули су врисак напољу.
sector	сектор	Технолошки сектор расте.
secure	осигурати	Закључајте врата да бисте их осигурали.
seek	тражити	Они траже савет од стручњака.
select	одабрати	Одаберите најбољу опцију.
selection	избор	Продавница нуди широк избор.
self	ја	Показала је своје право ја.
senior	старији	Старији лекар је прегледао пацијента.
sensitive	осетљив	Ова тема је веома осетљива.
sequence	редослед	Пратите редослед корака.
session	сесија	Тренинг сесија почиње у подне.
settle	решити	Брзо су решили свађу.
severe	озбиљан	Олуја је изазвала озбиљне поплаве.
shade	хладовина	Седите у хладовину.
shadow	сенка	Сенка је прешла преко прозора.
shallow	плитак	Језеро је овде плитко.
shame	срамота	Осећао је срамоту након лагања.
shelter	склониште	Школа је обезбедила хитно склониште.
shock	шок	Одлука је била шок.
shocked	шокиран	Изгледала је шокирано вешћу.
shooting	пуцњава	Пуцњава се догодила у близини станице.
shot	хитац	Победнички хитац је изненадио све.
significant	значајан	Откриће је било значајно.
significantly	значајно	Трошкови су се значајно повећали прошле године.
silence	тишина	Соба је утонула у тишину.
silk	свила	Хаљина је била од свиле.
sincere	искрен	Молим вас, примите моју искрену захвалност.
slave	роб	Закон је ослободио сваког роба.
slide	клизити	Дете се спустило низ тобоган.
slight	незнатан	Дошло је до незнатног кашњења.
slip	оклизнути се	Немојте се оклизнути на мокром поду.
slope	падина	Стаза прати стрму падину.
solar	соларни	Кућа користи соларну енергију.
somewhat	донекле	Упутства су била донекле збуњујућа.
soul	душа	Музика јој је уздигла душу.
specialist	специјалиста	Специјалиста је прегледао пацијента.
species	врста	Ова врста живи близу река.
spiritual	духован	Описала је духовно искуство.
split	поделити	Поделили су рачун на једнаке делове.
sponsor	спонзорисати	Компанија ће спонзорисати догађај.
stable	стабилан	Пацијент је стабилан.
stare	буљити	Немојте буљити у странце.
status	статус	Његов статус се променио преко ноћи.
steady	постојан	Одржавајте постојану брзину.
steel	челик	Мост је направљен од челика.
steep	стрм	Брдо је стрмо.
sticky	лепљив	Под је лепљив.
stiff	укочен	Раме му је било укочено.
stock	залиха	Продавница више нема залиха.
stream	поток	Мали поток пресеца поље.
stretch	растегнути	Протегните ноге након лета.
strict	строг	Школа има строга правила.
strike	штрајковати	Радници би сутра могли да штрајкују.
struggle	мучити се	Многе породице се муче са киријом.
submit	предати	Предајте образац до петка.
sum	износ	Износ је био већи од очекиваног.
surgery	операција	Операција је трајала два сата.
surround	окруживати	Високо дрвеће окружује кућу.
surrounding	околни	Околно подручје је тихо.
suspect	сумњичити	Полиција сумњичи локалног мушкарца.
swear	псовати	Немојте псовати на часу.
sweep	помести	Пометите под пре него што гости стигну.
sympathy	саосећање	Изразила је саосећање са жртвама.
tale	прича	Бака је испричала чудну причу.
tank	резервоар	Резервоар садржи чисту воду.
tear1	поцепати	Немојте поцепати документ.
tear2	суза	Суза јој се скотрљала низ образ.
temporary	привремен	Канцеларија је привремено склониште.
therapy	терапија	Физикална терапија је помогла његовом опоравку.
threat	претња	Порука је садржавала претњу.
threaten	угрозити	Олуја би могла да угрози усеве.
thus	стога	Пут је био затворен; стога смо чекали.
tone	тон	Његов тон је звучао мирно.
tough	тежак	Интервју је био тежак.
transfer	преносити	Они преносе податке сваке ноћи.
transform	трансформисати	Нова политика ће трансформисати услуге.
transition	транзиција	Прелаз је трајао неколико месеци.
trial	суђење	Суђење почиње следеће недеље.
tropical	тропски	Тропске олује су овде честе.
truly	заиста	Заиста ценим вашу помоћ.
trust	поверење	За изградњу поверења је потребно време.
tune	мелодија	Бенд је свирао веселу мелодију.
tunnel	тунел	Тунел пролази испод реке.
ultimately	на крају	На крају је план успео.
unconscious	без свести	Пацијент је остао без свести.
unexpected	неочекиван	Кашњење је било неочекивано.
unique	јединствен	Сваки дизајн је јединствен.
universe	свемир	Свемир се шири.
unknown	непознат	Име остаје непознато.
upper	горњи	Горња полица је празна.
upwards	нагоре	Дим се кретао нагоре.
