source_headword	SV	example_SV
stranger	en främling	En främling frågade om vägen.
strength	en styrka	Hennes styrka hjälpte laget.
string	ett snöre	Knyt ihop lådan med ett snöre.
strongly	starkt	Jag är starkt emot den idén.
studio	en studio	Konstnären arbetar i en liten studio.
stuff	saker	Lägg dina grejer på hyllan.
substance	ett ämne	Polisen hittade ett konstigt ämne.
successfully	framgångsrikt	De avslutade projektet framgångsrikt.
sudden	plötslig	Ett plötsligt ljud väckte oss.
suffer	lida	Många växter lider i torrt väder.
suitable	lämplig	Den här jackan är lämplig för skolan.
summarize	sammanfatta	Kan du sammanfatta artikeln?
summary	en sammanfattning	Skriv en kort sammanfattning ikväll.
supply	en försörjning	Staden behöver en ren vattenförsörjning.
supporter	en supporter	Varje supporter jublade högt.
surely	säkert	Vi kan säkert lösa detta.
surface	en yta	Ytan kändes kall och slät.
survive	överleva	Dessa djur överlever kalla vintrar.
switch	stänga av	Släck kökslampan.
symptom	ett symtom	En hosta kan vara ett symtom.
tail	en svans	Hunden har en lång svans.
talent	en talang	Hon har en talang för musik.
talented	talangfull	Han är en talangfull ung skådespelare.
tape	tejp	Använd tejp för att stänga lådan.
tax	en skatt	Alla måste betala denna skatt.
technical	teknisk	Vi hade ett tekniskt problem.
technique	en teknik	Denna teknik sparar tid.
tend	tendera	Barn tenderar att lära sig snabbt.
tent	ett tält	Vi sov i ett litet tält.
theirs	deras	De blå cyklarna är deras.
theme	ett tema	Festen hade ett strandtema.
theory	en teori	Hans teori förklarar problemet.
therefore	därför	Det regnade, därför stannade vi inne.
though	fastän	Fastän hon var trött, fortsatte hon att arbeta.
throat	en hals	Jag har ont i halsen i morse.
throughout	under hela	Folk dansade under hela kvällen.
tight	trång	Dessa skor känns för trånga.
till	tills	Vänta här tills jag kommer tillbaka.
tin	en burk	Öppna en burk bönor.
tiny	pytteliten	En mycket liten fågel landade i närheten.
toe	en tå	Jag skadade min tå igår.
tongue	en tunga	Hon brände sin tunga på te.
total	total	Den totala kostnaden var låg.
totally	helt	Jag förstår helt din oro.
trade	en handel	Internationell handel skapar jobb.
translate	översätta	Vänligen översätt denna mening.
translation	en översättning	Översättningen låter naturlig.
treat	behandla	Behandla alla med respekt.
treatment	en behandling	Patienten behöver behandling idag.
trend	en trend	Denna trend växer över hela världen.
trick	ett trick	Det där korttricket överraskade mig.
truth	sanningen	Vänligen berätta sanningen.
tube	en tub	Kläm försiktigt på tuben.
typically	vanligtvis	Studenter anländer vanligtvis före nio.
tyre	ett däck	Bilen behöver ett nytt däck.
ugly	ful	Den där väggfärgen ser ful ut.
unable	oförmögen	Han kunde inte svara.
uncomfortable	obekväm	Den här stolen är obekväm.
underwear	underkläder	Packa rena underkläder för resan.
unemployed	arbetslös	Hon var arbetslös i två månader.
unemployment	arbetslöshet	Arbetslösheten steg under vintern.
unfair	orättvis	Beslutet verkade orättvist.
union	ett fackförbund	Facket bad om ett säkrare arbete.
unless	om inte	Gå inte om jag inte ringer.
unlike	till skillnad från	Till skillnad från Tom älskar Ana vintern.
unlikely	osannolik	Snö är osannolikt den här veckan.
unnecessary	onödig	Extra väskor är onödiga.
unpleasant	obehaglig	Rummet hade en obehaglig lukt.
update	uppdatera	Jag behöver uppdatera min telefon.
upon	på	Det var en gång en kung.
upset	upprörd	Hon kände sig upprörd efter samtalet.
used1	använd	Det här rummet används för möten.
used2	van vid	Jag är van vid tidiga morgnar.
valuable	värdefull	Den här klockan är värdefull.
value	ett värde	Huset förlorade i värde förra året.
various	olika	Vi provade olika lokala rätter.
version	en version	Den här versionen fungerar bättre.
victim	ett offer	Offret ringde polisen.
viewer	en tittare	En tittare ställde en fråga.
violent	våldsam	Filmen var för våldsam.
volunteer	en volontär	Jag är volontär på biblioteket.
vote	rösta	Kom ihåg att rösta imorgon.
warn	varna	Jag försökte varna honom.
warning	en varning	Varningen dök upp på skärmen.
waste	slösa	Slösa inte rent vatten.
weapon	ett vapen	Kniven blev ett vapen.
weigh	väga	Väg mjölet noga.
western	västerländsk	De tittade på en westernfilm.
whatever	vad som helst	Välj vad du vill.
whenever	när som helst	Ring när som helst du behöver hjälp.
whether	om	Jag vet inte om hon håller med.
wing	en vinge	Fågeln skadade en vinge.
within	inom	Vänligen svara inom två dagar.
wonder	undra	Jag undrar vad som hände.
wool	ull	Den här kappan är gjord av ull.
worldwide	över hela världen	Låten blev populär över hela världen.
worth	värd	Den här boken är värd att läsa.
written	skriftlig	Vänligen skicka skriftliga instruktioner.
yard	en gård	Barnen lekte på gården.
youth	en ungdom	Ungdomsgårdar stöder lokala tonåringar.
