source_headword	KA	example_KA
prey	მსხვერპლი	ბუები მსხვერპლზე ღამით ნადირობენ.
privatization	პრივატიზაცია	პრივატიზაციამ შეცვალა სარკინიგზო სისტემა.
privilege	პრივილეგია	განათლება არ უნდა იყოს პრივილეგია.
probe	გამოძიება	გამოძიებამ სერიოზული შეცდომები გამოავლინა.
problematic	პრობლემური	შეთანხმება პრობლემური რჩება.
proceedings	საქმის წარმოება	სასამართლო პროცესი ორშაბათს დაიწყო.
proceeds	შემოსავალი	შემოსავალი ადგილობრივ სკოლებს მოხმარდება.
processing	დამუშავება	სურათის დამუშავებას დრო სჭირდება.
processor	პროცესორი	ტესტირებისას პროცესორი გამოვიდა მწყობრიდან.
proclaim	გამოცხადება	ლიდერები გამარჯვებას ძალიან ადრე აცხადებენ.
productive	პროდუქტიული	შეხვედრა პროდუქტიული იყო.
productivity	პროდუქტიულობა	ტრენინგის შემდეგ პროდუქტიულობა გაუმჯობესდა.
profitable	მომგებიანი	მაღაზია წელს მომგებიანი გახდა.
profound	ღრმა	სიტყვამ ღრმა გავლენა მოახდინა.
projection	პროგნოზი	პროგნოზი სტაბილურ ზრდას აჩვენებს.
prominent	გამოჩენილი	ის გამოჩენილი მეცნიერი გახდა.
pronounced	შესამჩნევი	მისი აქცენტი უფრო შესამჩნევი გახდა.
propaganda	პროპაგანდა	კამპანია ონლაინ პროპაგანდას იყენებდა.
proposition	წინადადება	ეს წინადადება სარისკო იდეაა.
prosecute	სისხლისსამართლებრივი დევნა	ოფიციალური პირები სერიოზული თაღლითობის საქმეებს იძიებენ.
prosecution	ბრალდება	ბრალდებამ ახალი მტკიცებულებები წარმოადგინა.
prosecutor	პროკურორი	პროკურორმა მოწმე დაკითხა.
prospective	პოტენციური	პოტენციურმა სტუდენტებმა კამპუსი დაათვალიერეს.
prosperity	კეთილდღეობა	ვაჭრობამ რეგიონს კეთილდღეობა მოუტანა.
protective	დამცავი	მას დამცავი ხელთათმანები ეკეთა.
protocol	პროტოკოლი	პროტოკოლი წერილობით დასტურს მოითხოვს.
province	პროვინცია	პროვინციამ ტრანსპორტში ინვესტიცია ჩადო.
provincial	პროვინციული	პროვინციის ოფიციალურმა პირებმა გეგმა გამოაცხადეს.
provision	დებულება	კონტრაქტი უსაფრთხოების დებულებას მოიცავს.
provoke	პროვოცირება	სიტყვამ შეიძლება ძლიერი რეაქციები გამოიწვიოს.
psychiatric	ფსიქიატრიული	საავადმყოფომ ფსიქიატრიული განყოფილება გახსნა.
pulse	პულსი	ექთანმა მისი პულსი შეამოწმა.
pump	ტუმბო	ტუმბოს წყალი ზევით ამოაქვს.
punch	მუშტი	მან გაბრაზებულმა მუშტი დაარტყა.
query	შეკითხვა	გაგზავნეთ თქვენი შეკითხვა მხარდაჭერის გუნდთან.
quest	ძიება	სამართლიანობისთვის მათი ძიება გაგრძელდა.
quota	კვოტა	გუნდმა გაყიდვების კვოტა შეასრულა.
radar	რადარი	ქარიშხალი რადარზე გამოჩნდა.
radical	რადიკალური	ჯგუფმა რადიკალური რეფორმები შესთავაზა.
rage	მრისხანება	მისი მრისხანება მალე გაქრა.
raid	რეიდი	პოლიციამ გამთენიისას რეიდი ჩაატარა.
rally	მიტინგი	მხარდამჭერები ქალაქის ცენტრში მიტინგს შეუერთდნენ.
ranking	რეიტინგი	უნივერსიტეტმა თავისი რეიტინგი გააუმჯობესა.
rape	გაუპატიურება	გაუპატიურების საქმეები ფრთხილ გამოძიებას მოითხოვს.
ratio	თანაფარდობა	კლასს მასწავლებლების დაბალი თანაფარდობა აქვს.
rational	რაციონალური	მისი გადაწყვეტილება რაციონალური იყო.
ray	სხივი	მზის სხივი შემოიჭრა.
readily	მზადყოფნით	მან შეთავაზება მზადყოფნით მიიღო.
realization	გაცნობიერება	ამის გაცნობიერებამ მისი გეგმები შეცვალა.
realm	სფერო	ეს საკითხი სხვა სფეროს განეკუთვნება.
rear	უკანა	დღეს უკანა შესასვლელი გამოიყენეთ.
reasoning	მსჯელობა	მისი მსჯელობა ნათელი იყო.
reassure	დამშვიდება	ექიმი მის დამშვიდებას ცდილობდა.
rebel	მეამბოხე	მეამბოხეთა ლიდერი დაჭერას გადაურჩა.
rebellion	აჯანყება	აჯანყება მოლაპარაკებების შემდეგ დასრულდა.
recipient	მიმღები	მიმღებმა ფორმას ხელი მოაწერა.
reconstruction	რეკონსტრუქცია	წყალდიდობის შემდეგ რეკონსტრუქცია დაიწყო.
recount1	მოყოლა	მას მოვლენების ნათლად მოყოლა შეუძლია.
referendum	რეფერენდუმი	რეფერენდუმმა ქვეყანა დაყო.
reflection	განსჯა	ესეს უფრო ღრმა განსჯა სჭირდებოდა.
reform	რეფორმა	რეფორმამ საჯარო სერვისები გააუმჯობესა.
refuge	თავშესაფარი	ოჯახმა თავშესაფარი საზღვარგარეთ ითხოვა.
refusal	უარი	მისმა უარმა კომიტეტი გააკვირვა.
regain	დაბრუნება	მან ბევრი იშრომა ნდობის დასაბრუნებლად.
regardless	მიუხედავად	მათ განაგრძეს კრიტიკის მიუხედავად.
regime	რეჟიმი	რეჟიმმა თავისუფალი სიტყვა შეზღუდა.
regulator	მარეგულირებელი	მარეგულირებელმა კომპანია დააჯარიმა.
regulatory	მარეგულირებელი	მარეგულირებლის დასტურს თვეები დასჭირდა.
rehabilitation	რეაბილიტაცია	რეაბილიტაცია მას ხელახლა სიარულში დაეხმარა.
reign	მმართველობა	მეფის მმართველობა ათწლეულები გაგრძელდა.
rejection	უარყოფა	უარყოფამ მისი თავდაჯერებულობა შელახა.
relevance	რელევანტურობა	მონაცემებს შეზღუდული რელევანტურობა აქვს.
reliability	საიმედოობა	საგანგებო სისტემებში საიმედოობას მნიშვნელობა აქვს.
reluctant	უხალისო	მას საუბარი არ სურდა.
remainder	ნარჩენი	ნარჩენი ქველმოქმედებას მოხმარდა.
remains	ნაშთები	ნაშთები ფრთხილად გამოიკვლიეს.
remedy	გამოსავალი	კანონი თავაზობს გამოსავალს.
reminder	შეხსენება	ელფოსტა გამოსადეგი შეხსენება იყო.
removal	მოხსნა	ბარიერების მოხსნა ვაჭრობას დაეხმარა.
render	გახდომა	შეცდომამ კონტრაქტი ბათილად აქცია.
renew	განახლება	მალე განაახლეთ თქვენი პასპორტი.
renowned	ცნობილი	ის თავისი კვლევებითაა ცნობილი.
rental	გაქირავება	გაქირავება დაზღვევას მოიცავს.
replacement	შემცვლელი	შემცვლელი ნაწილი დღეს ჩამოვიდა.
reportedly	როგორც იუწყებიან	როგორც იუწყებიან, მინისტრმა გუშინ თანამდებობა დატოვა.
representation	წარმომადგენლობა	სამართლიანი წარმომადგენლობა მნიშვნელოვანი რჩება.
reproduce	გამრავლება	ეს მცენარეები სწრაფად მრავლდებიან.
reproduction	რეპროდუქცია	ციფრულმა რეპროდუქციამ წვდომა გააუმჯობესა.
republic	რესპუბლიკა	რესპუბლიკამ არჩევნები ჩაატარა.
resemble	მსგავსება	ეს ორი დიზაინი ერთმანეთს ძალიან ჰგავს.
reside	ცხოვრება	ისინი საზღვართან ცხოვრობენ.
residence	რეზიდენცია	მისი ოფიციალური რეზიდენცია დაცულია.
residential	საცხოვრებელი	ტერიტორია ძირითადად საცხოვრებელია.
residue	ნარჩენი	საწმენდმა წებოვანი ნარჩენი დატოვა.
resignation	გადადგომა	მისმა გადადგომამ საბჭო შოკში ჩააგდო.
resistance	წინააღმდეგობა	ცვლილებების მიმართ წინააღმდეგობა ძლიერი იყო.
respective	შესაბამისი	ისინი თავიანთ შესაბამის ოფისებში დაბრუნდნენ.
respectively	შესაბამისად	ქულები 80 და 90 იყო, შესაბამისად.
restoration	რესტავრაცია	შენობის რესტავრაციას წლები დასჭირდა.
restraint	თავშეკავება	პოლიციამ თავშეკავება გამოიჩინა.
resume	განახლება	გაკვეთილები მომავალ კვირას განახლდება.
retreat	უკან დახევა	ჯარმა უკან დახევა დაიწყო.
retrieve	ამოღება	მან ფაილი ამოიღო.
revelation	აღმოჩენა	ამ აღმოჩენამ მის რეპუტაციას ზიანი მიაყენა.
revenge	შურისძიება	მას შეურაცხყოფისთვის შურისძიება სურდა.
reverse	გაუქმება	სასამართლომ გადაწყვეტილება შეცვალა.
revival	აღორძინება	ქალაქმა ეკონომიკური აღორძინება განიცადა.
revive	აღორძინება	ფესტივალი ადგილობრივი ტრადიციების აღორძინებაში დაეხმარა.
revolutionary	რევოლუციური	გამოგონება რევოლუციური იყო.
rhetoric	რიტორიკა	მისი რიტორიკა აგრესიულად ჟღერდა.
rifle	შაშხანა	შაშხანა უსაფრთხოდ ინახებოდა.
