source_headword	TH	example_TH
incur	ก่อให้เกิด	ความล่าช้าอาจก่อให้เกิดค่าใช้จ่ายเพิ่มเติม.
indicator	ตัวชี้วัด	การว่างงานเป็นตัวชี้วัดทางเศรษฐกิจอย่างหนึ่ง.
indictment	คำฟ้อง	คำฟ้องระบุข้อกล่าวหาสามข้อ.
indigenous	พื้นเมือง	พืชพื้นเมืองเจริญเติบโตได้ดีที่นี่.
induce	ทำให้เกิด	ยาอาจทำให้เกิดอาการง่วงนอนได้.
indulge	ตามใจ	เธอไม่ทำตามใจกับนิสัยที่สิ้นเปลือง.
inequality	ความไม่เท่าเทียม	ความไม่เท่าเทียมกันทางรายได้ยังคงเป็นปัญหาสำคัญ.
infamous	ฉาวโฉ่	เรือนจำแห่งนี้กลายเป็นที่ฉาวโฉ่ไปทั่วโลก.
infant	ทารก	ทารกนอนหลับอยู่ในเปล.
infect	ทำให้ติดเชื้อ	ไวรัสสามารถทำให้เซลล์ที่แข็งแรงติดเชื้อได้.
inflict	ก่อให้เกิด	อย่าก่อให้เกิดความเจ็บปวดแก่สัตว์.
influential	มีอิทธิพล	เธอเป็นนักวิชาการด้านกฎหมายที่มีอิทธิพล.
inherent	ที่มีอยู่เป็นปกติ	การออกแบบมีความเสี่ยงที่มีอยู่เป็นปกติ.
inhibit	ยับยั้ง	ความกลัวอาจยับยั้งการสนทนาอย่างตรงไปตรงมาได้.
initiate	ริเริ่ม	ผู้จัดการจะเริ่มต้นการทบทวน.
inject	ฉีด	พยาบาลจะฉีดวัคซีน.
injection	การฉีดยา	การฉีดยาช่วยลดอาการปวดได้.
injustice	ความไม่ยุติธรรม	คำตัดสินเผยให้เห็นถึงความไม่ยุติธรรมที่ชัดเจน.
inmate	นักโทษ	นักโทษขอคำปรึกษาทางกฎหมาย.
insertion	การแทรก	แบบฟอร์มนี้ต้องการการแทรกข้อความหนึ่งจุด.
insider	คนวงใน	คนวงในเป็นผู้ปล่อยรายงานนี้หลุดออกไป.
inspect	ตรวจสอบ	เจ้าหน้าที่ตรวจสอบสะพานเป็นประจำทุกปี.
inspection	การตรวจสอบ	การตรวจสอบพบความเสียหายร้ายแรง.
inspiration	แรงบันดาลใจ	สุนทรพจน์ของเธอให้แรงบันดาลใจแก่ฉัน.
instinct	สัญชาตญาณ	สัญชาตญาณแรกของเขาคือการช่วยเหลือ.
institutional	เกี่ยวกับสถาบัน	กฎเกณฑ์ของสถาบันเป็นตัวกำหนดการตัดสินใจ.
instruct	แนะนำ	คู่มือนี้จะแนะนำพนักงานใหม่.
instrumental	มีส่วนสำคัญ	คำแนะนำของเธอมีส่วนสำคัญในการเจรจา.
insufficient	ไม่เพียงพอ	หลักฐานไม่เพียงพอสำหรับการตั้งข้อหา.
insult	คำดูถูก	คำดูถูกของเขาทำให้การสนทนาจบลง.
intact	ไม่บุบสลาย	กำแพงโบราณยังคงไม่บุบสลาย.
intake	ปริมาณที่บริโภค	ปริมาณการบริโภคน้ำตาลควรอยู่ในระดับปานกลาง.
integral	เป็นส่วนสำคัญ	ความไว้วางใจเป็นส่วนสำคัญของทีม.
integrated	บูรณาการ	โรงเรียนให้การสนับสนุนแบบบูรณาการ.
integration	การบูรณาการ	การบูรณาการช่วยปรับปรุงระบบทั้งหมด.
integrity	ความซื่อสัตย์สุจริต	ผู้พิพากษาแสดงความซื่อสัตย์สุจริตอย่างมาก.
intensify	รุนแรงขึ้น	พายุอาจรุนแรงขึ้นในช่วงข้ามคืน.
intensity	ความเข้มข้น	ความเข้มข้นของการฝึกฝนเพิ่มขึ้น.
intensive	เข้มข้น	พวกเขาสำเร็จการฝึกอบรมภาษาอย่างเข้มข้น.
intent	เจตนา	เจตนาของเขาพิสูจน์ได้ยาก.
interactive	เชิงโต้ตอบ	พิพิธภัณฑ์มีการจัดแสดงเชิงโต้ตอบ.
interface	อินเทอร์เฟซ	อินเทอร์เฟซนี้ใช้งานง่าย.
interfere	แทรกแซง	อย่าแทรกแซงการสืบสวน.
interference	การรบกวน	การรบกวนสัญญาณทำให้สายหลุด.
interim	ชั่วคราว	รายงานชั่วคราวจะมาถึงในวันพรุ่งนี้.
