source_headword	PL	example_PL
hunt	polować; szukać	Oni szukają grzybów jesienią.
hurricane	huragan	Huragan zniszczył wiele domów.
hurry	pośpiech	Dzisiaj nie ma pośpiechu.
identity	tożsamość	Jej tożsamość pozostała tajemnicą.
ignore	ignorować	Nie ignoruj tego ostrzeżenia.
illegal	nielegalny	Parkowanie tutaj jest nielegalne.
imaginary	wyobrażony	Ta historia ma wyobrażoną wyspę.
immediate	natychmiastowy	Potrzebujemy natychmiastowej odpowiedzi.
immigrant	imigrant	Imigrant szybko nauczył się angielskiego.
impact	wpływ	Ta wiadomość miała silny wpływ.
import	importować	Kraj będzie importować więcej ryżu.
importance	znaczenie	Ona zrozumiała znaczenie snu.
impression	wrażenie	Jego pierwsze wrażenie było pozytywne.
impressive	imponujący	Muzeum ma imponujące wejście.
improvement	poprawa	W tym miesiącu była wyraźna poprawa.
incredibly	niesamowicie	Test był niesamowicie trudny.
indeed	rzeczywiście	To był rzeczywiście dziwny dzień.
indicate	wskazywać	Znak wskaże wyjście.
indirect	pośredni	Ona dała pośrednią odpowiedź.
indoor	wewnętrzny	Hotel ma wewnętrzny basen.
indoors	w pomieszczeniu	Zostaliśmy w pomieszczeniu podczas burzy.
influence	wpływ	Jego nauczyciel miał silny wpływ.
ingredient	składnik	Mąka jest głównym składnikiem.
injure	zranić	Nie zrań sobie pleców.
injured	ranny	Ranny zawodnik opuścił boisko.
innocent	niewinny	Dziecko wyglądało zupełnie niewinnie.
intelligence	inteligencja	Ona pokazała dużą inteligencję w klasie.
intend	zamierzać	Zamierzam studiować za granicą.
intention	intencja	Jego intencją było pomóc.
invest	inwestować	Oni inwestują pieniądze w edukację.
investigate	badać	Policja zbada wypadek.
involved	zaangażowany	Kilku uczniów było zaangażowanych.
iron	żelazo	Brama jest zrobiona z żelaza.
issue	kwestia	To jest poważna kwestia.
IT	informatyka	Ona pracuje w informatyce.
journal	dziennik	On pisze w dzienniku.
judge	sędzia	Sędzia słuchał uważnie.
keen	chętny	Ona chętnie się uczy.
keyboard	klawiatura	Moja klawiatura przestała działać.
kick	kopać	Kop piłkę delikatnie.
killing	zabójstwo	Zabójstwo wstrząsnęło wioską.
kind (caring)	życzliwy	To był życzliwy gest.
kiss	pocałunek	Ona dała dziecku pocałunek.
label	etykieta	Przeczytaj etykietę przed użyciem.
laboratory	laboratorium	Laboratorium jest dziś zamknięte.
lack	brak	Brak snu szkodzi pamięci.
latest	najnowszy	Czy czytałeś najnowszy raport.
lay	kłaść	Połóż książkę na stole.
layer	warstwa	Dodaj kolejną warstwę farby.
leading	wiodący	Ona jest wiodącą naukowczynią.
leaf	liść	Liść spadł na mój płaszcz.
leather	skóra	Jego torba jest zrobiona ze skóry.
legal	prawny; legalny	Potrzebujemy porady prawnej.
leisure	czas wolny	Czytanie to moja ulubiona aktywność w czasie wolnym.
length	długość	Zmierz długość pokoju.
lie2 (tell a lie)	kłamać	Nie kłam rodzicom.
limit	limit	Limit prędkości wynosi pięćdziesiąt.
lip	warga	Ona ugryzła się w wargę.
liquid	płyn	Woda jest przezroczystym płynem.
literature	literatura	Ona studiuje literaturę francuską.
live2	na żywo	Zespół grał na żywo zeszłej nocy.
living	żywy	Żywe rośliny potrzebują światła.
locate	zlokalizować	Czy możesz zlokalizować plik.
located	położony	Biuro jest położone w centrum.
location	lokalizacja	To jest dobra lokalizacja.
lonely	samotny	On czuł się samotny po przeprowadzce.
loss	strata	Strata była trudna dla wszystkich.
luxury	luksus	Hotel oferuje prawdziwy luksus.
mad	wściekły	Ona była wściekła z powodu opóźnienia.
magic	magia	Pokaz był pełen magii.
mainly	głównie	Grupa to głównie uczniowie.
mall	centrum handlowe	Spotkaliśmy się w centrum handlowym.
management	zarządzanie	Dobre zarządzanie oszczędza czas.
marketing	marketing	Marketing pomaga sprzedawać produkt.
marriage	małżeństwo	Ich małżeństwo trwało trzydzieści lat.
meanwhile	tymczasem	Tymczasem gotowałem kolację.
measure	mierzyć	Zmierz stół uważnie.
medium	średni	Zamówiłem średnią pizzę.
mental	psychiczny	Stres wpływa na zdrowie psychiczne.
mess	bałagan	Posprzątaj ten bałagan.
mild	łagodny	Zupa ma łagodny smak.
mine (hole in the ground)	kopalnia	Kopalnia zamknęła się w zeszłym roku.
mix	mieszać	Wymieszaj jajka z mlekiem.
mixture	mieszanka	Mieszanka stała się gęsta.
mood	nastrój	Muzyka zmieniła jej nastrój.
mud	błoto	Jego buty były pokryte błotem.
murder	morderstwo	Morderstwo wydarzyło się w nocy.
muscle	mięsień	Ćwiczenia budują mięśnie.
mystery	tajemnica	Stary dom jest tajemnicą.
nail	paznokieć	Złamałem paznokieć.
narrative	narracja	Powieść ma jasną narrację.
nation	naród	Cały naród świętował.
native	ojczysty	Hiszpański jest jej językiem ojczystym.
naturally	naturalnie	Dzieci uczą się naturalnie przez zabawę.
necessarily	koniecznie	Drogie jedzenie nie jest koniecznie lepsze.
needle	igła	Igła jest bardzo ostra.
neighbourhood	okolica	Oni mieszkają w spokojnej okolicy.
net	sieć	Rybak naprawił swoją sieć.
nor	ani	On ani się nie uśmiechnął, ani nie odezwał.
northern	północny	Oni odwiedzili północne wybrzeże.
nuclear	jądrowy	Debata dotyczyła energii jądrowej.
obvious	oczywisty	Odpowiedź była oczywista.
obviously	oczywiście	Oczywiście potrzebujemy więcej czasu.
occasion	okazja	To jest wyjątkowa okazja.
occur	wystąpić	Wypadki mogą wystąpić wszędzie.
odd	dziwny	To było dziwne pytanie.
official	oficjalny	Oficjalny wynik przyszedł dziś.
old-fashioned	staroświecki	Jej telefon wygląda staroświecko.
operation	operacja	Operacja trwała dwie godziny.
organized	zorganizowany	Jej biurko jest bardzo zorganizowane.
organizer	organizator	Organizator powitał gości.
originally	początkowo	Ona początkowo pochodziła z Kanady.
ought modal	powinien	Powinieneś odpocząć.
ours	nasz	Ten stół jest nasz.
outdoor	zewnętrzny	Kupiliśmy meble zewnętrzne.
outdoors	na dworze	Dzieci powinny bawić się na dworze.
package	paczka	Paczka przyszła dziś rano.
painful	bolesny	Skaleczenie było bolesne.
pale	blady	Jego twarz wyglądała blado.
pan	patelnia	Najpierw rozgrzej patelnię.
participate	uczestniczyć	Każdy może uczestniczyć.
particularly	szczególnie	Szczególnie lubię tę piosenkę.
passion	pasja	Muzyka jest jej pasją.
path	ścieżka	Idź ścieżką przez park.
payment	płatność	Płatność jest wymagana jutro.
peaceful	spokojny	Ogród jest spokojny.
percentage	procent	Mały procent się zgodził.
perfectly	doskonale	Plan zadziałał doskonale.
performance	występ	Jej występ był doskonały.
personally	osobiście	Osobiście wolę herbatę.
persuade	przekonać	Czy możesz przekonać go do dołączenia.
photographer	fotograf	Fotograf zrobił wiele zdjęć.
photography	fotografia	Fotografia jest jego ulubionym hobby.
pin	szpilka	Umieść szpilkę na mapie.
pipe	rura	Rura przenosi wodę.
planning	planowanie	Planowanie zajmuje czas.
pleasant	przyjemny	Mieliśmy przyjemny wieczór.
pleasure	przyjemność	Miło było cię poznać.
plenty	dużo	Mamy dużo czasu.
plot	fabuła	Fabuła była łatwa do śledzenia.
plus1	plus	Dwa plus trzy to pięć.
poem	wiersz	Ona napisała krótki wiersz.
poet	poeta	Poeta czytał na głos.
poetry	poezja	On lubi nowoczesną poezję.
poison	trucizna	Trzymaj truciznę z dala od dzieci.
poisonous	trujący	Niektóre grzyby są trujące.
policy	polityka	Firma zmieniła swoją politykę.
political	polityczny	Przemówienie było polityczne.
politician	polityk	Polityk odpowiadał na pytania.
politics	polityka	Polityka może być skomplikowana.
port	port	Statek wpłynął do portu.
portrait	portret	Portret wisi w holu.
possibly	możliwie	Ona możliwie przyjedzie późno.
pot	doniczka; garnek	Roślina potrzebuje większej doniczki.
pour	nalewać	Nalewaj mleko powoli.
poverty	ubóstwo	Wiele rodzin żyje w ubóstwie.
powder	proszek	Dodaj proszek do wody.
powerful	potężny	Silnik jest potężny.
practical	praktyczny	To jest praktyczne rozwiązanie.
pray	modlić się	Oni modlą się każdego ranka.
prayer	modlitwa	Ona odmówiła cichą modlitwę.
prediction	przewidywanie	Jego przewidywanie było poprawne.
prepared	przygotowany	Jestem przygotowany do egzaminu.
presentation	prezentacja	Jej prezentacja była jasna.
press	nacisnąć	Naciśnij przycisk raz.
pressure	presja	Presja może wpływać na zdrowie.
pretend	udawać	Nie udawaj, że śpisz.
previous	poprzedni	Poprzednia lekcja była łatwiejsza.
previously	wcześniej	Wcześniej mieszkaliśmy w Rzymie.
priest	ksiądz	Ksiądz mówił cicho.
primary	główny	Zdrowie jest naszym głównym zmartwieniem.
prince	książę	Książę odwiedził szkołę.
princess	księżniczka	Księżniczka miała niebieską sukienkę.
printing	drukowanie	Drukowanie raportu zajęło kilka minut.
prisoner	więzień	Więzień uciekł w nocy.
private	prywatny	To jest prywatna rozmowa.
producer	producent	Producent polubił film.
production	produkcja	Produkcja zaczyna się w przyszłym tygodniu.
profession	zawód	Nauczanie jest szanowanym zawodem.
profit	zysk	Sklep osiągnął zysk.
promote	promować	Oni promują zdrowe jedzenie.
proper	odpowiedni	Załóż odpowiednie buty na wędrówkę.
properly	prawidłowo	Zamknij drzwi prawidłowo.
property	własność	Oni kupili własność blisko rzeki.
protest	protest	Protest zakończył się spokojnie.
proud	dumny	Ona była dumna ze swojego syna.
prove	udowodnić	Czy możesz udowodnić swoją odpowiedź.
punish	ukarać	Nauczyciel go nie ukarał.
punishment	kara	Kara wydawała się sprawiedliwa.
qualification	kwalifikacja	Potrzebujesz kwalifikacji do tej pracy.
qualified	wykwalifikowany	Ona jest wykwalifikowaną pielęgniarką.
qualify	zakwalifikować się	Nasz zespół może się zakwalifikować.
queue	kolejka	Czekaliśmy w długiej kolejce.
quit	rzucić	On postanowił rzucić palenie.
quotation	cytat	Esej zaczyna się cytatem.
quote	cytować	Czy mogę zacytować twoje słowa.
race (people)	rasa	Formularz pyta o rasę.
racing	wyścigi	Wyścigi konne są tam popularne.
range	zakres	Sklep sprzedaje szeroki zakres towarów.
rare	rzadki	Ten ptak jest rzadki.
rarely	rzadko	Rzadko jemy poza domem.
reaction	reakcja	Jej reakcja mnie zaskoczyła.
reality	rzeczywistość	Rzeczywistość różniła się od jego snu.
receipt	paragon	Zachowaj paragon.
recommendation	rekomendacja	Dziękuję za rekomendację.
reference	odniesienie	Dodaj odniesienie na końcu.
reflect	odbijać	Lustro może odbijać światło.
regularly	regularnie	Ona regularnie ćwiczy.
reject	odrzucić	Oni mogą odrzucić ofertę.
relate	odnosić się	Mogę odnieść się do tej historii.
related	powiązany	Te dwa problemy są powiązane.
relation	relacja	Istnieje relacja między nimi.
relative	względny	Prędkość jest względna.
relaxed	zrelaksowany	On czuł się zrelaksowany po kolacji.
relaxing	relaksujący	Muzyka była relaksująca.
release	wypuścić	Oni wkrótce wypuszczą film.
reliable	niezawodny	Ten autobus jest zwykle niezawodny.
religion	religia	Religia jest dla niej ważna.
religious	religijny	Oni odwiedzili budynek religijny.
remain	pozostać	Proszę pozostać spokojnym.
remind	przypomnieć	Przypomnij mi jutro.
remote	odległy	Oni mieszkają w odległej wiosce.
rent	czynsz	Czynsz jest należny dzisiaj.
repeated	powtarzany	Powtarzane błędy spowolniły pracę.
represent	reprezentować	Gwiazda reprezentuje nadzieję.
