source_headword	RO	example_RO
fridge	un frigider	Laptele este în frigider.
frog	o broască	O broască a sărit în iaz.
furniture	mobilă	Această mobilă este veche, dar rezistentă.
further	suplimentar; mai departe	Avem nevoie de informații suplimentare.
gallery	o galerie	Galeria este deschisă azi.
gap	un gol; un spațiu	Există un gol în perete.
gas	benzină; gaz	Mașina are nevoie de benzină.
gate	o poartă	Închide poarta, te rog.
general	general	Aceasta este o regulă generală.
gift	un cadou	Ea a cumpărat un cadou.
goal	un scop; un obiectiv	Scopul nostru este simplu.
god	Dumnezeu; un zeu	Mulți oameni se roagă lui Dumnezeu.
gold	aur	Inelul este de aur.
golf	golf	El joacă golf azi.
government	un guvern	Guvernul a schimbat legea.
grass	iarbă	Iarba este udă.
greet	a saluta	Salută fiecare oaspete politicos.
ground	pământ	Stai jos pe pământ.
guest	un oaspete	Oaspetele nostru a sosit devreme.
guide	un ghid	Ghidul ne-a arătat muzeul.
gun	o armă	Poliția a găsit o armă.
guy	un tip	Tipul acela este fratele meu.
habit	un obicei	Cititul zilnic este un obicei bun.
hall	un hol	Așteaptă în hol.
happily	fericit	Ei au trăit fericiți împreună.
headache	o durere de cap	Am o durere de cap.
heart	o inimă	Inima ei bate repede.
heat	a încălzi; căldură	Încălzește supa încet.
heavy	greu	Această geantă este grea.
height	o înălțime	Măsoară înălțimea mesei.
helpful	util	Sfatul tău a fost util.
hero	un erou	El este eroul meu.
hers	al ei; a ei	Paltonul albastru este al ei.
herself	ea însăși	Ea însăși a făcut cina.
hide	a ascunde	Ascunde cheia sub cutie.
hill	un deal	Am urcat dealul.
himself	el însuși	El însuși a reparat asta.
hit	a lovi	Nu lovi ușa.
hockey	hochei	Am urmărit hochei aseară.
hold	a ține	Ține-mă de mână.
hole	o gaură	Este o gaură în șoseta mea.
huge	uriaș; imens	Camera este uriașă.
human	un om; uman	Fiecare om are nevoie de apă.
hurt	a durea	Mă doare genunchiul.
ideal	ideal	Această cameră este ideală pentru studiu.
identify	a identifica	Poți identifica această pasăre?
ill	bolnav	Ea se simte bolnavă azi.
illness	o boală	Boala a durat o săptămână.
image	o imagine	Imaginea este clară.
immediately	imediat	Vino aici imediat.
impossible	imposibil	Acest puzzle pare imposibil.
included	inclus	Micul dejun este inclus.
including	inclusiv	Au venit zece oameni, inclusiv eu.
increase	a crește	Prețurile cresc vara.
incredible	incredibil	Priveliștea a fost incredibilă.
independent	independent	Sora mea este independentă.
individual	un individ	Fiecare individ are un număr.
industry	o industrie	Industria locală crește.
informal	informal	Acest e-mail este informal.
injury	o rană; o accidentare	Accidentarea lui nu este gravă.
insect	o insectă	O insectă a aterizat pe cană.
inside	înăuntru	Așteaptă înăuntru, în casă.
instead	în schimb	Bea apă în schimb.
instruction	o instrucțiune	Citește fiecare instrucțiune cu atenție.
instructor	un instructor	Instructorul a explicat exercițiul.
instrument	un instrument	Ea cântă la un instrument.
intelligent	inteligent	El este un student inteligent.
international	internațional	Acesta este un aeroport internațional.
introduction	o introducere	Introducerea a fost scurtă.
invent	a inventa	Copiii pot inventa jocuri noi.
invention	o invenție	Invenția a economisit timp.
invitation	o invitație	Am primit o invitație.
invite	a invita	Invită și prietenul tău.
involve	a implica	Jobul va implica deplasări.
item	un obiect	Alege un obiect.
itself	însuși; singur	Aparatul se oprește singur.
jam	gem	Pune gem pe pâine.
jazz	jazz	Jazzul sună minunat diseară.
jewellery	bijuterii	Ea ține bijuteriile într-o cutie.
joke	o glumă	Spune-mi o glumă.
journalist	un jurnalist	Jurnalistul a pus întrebări.
jump	a sări	Sari peste linie.
kid	un copil	Copilul râde.
kill	a ucide; a omorî	Nu omorî insecta.
king	un rege	Regele a trăit într-un palat.
knee	un genunchi	Mă doare genunchiul.
knife	un cuțit	Folosește un cuțit ascuțit.
knock	a bate	Bate înainte să intri.
knowledge	cunoștințe	Cunoștințele cresc prin practică.
lab	un laborator	Laboratorul este închis.
lady	o doamnă	Doamna ne-a zâmbit.
lake	un lac	Lacul este calm.
lamp	o lampă	Aprinde lampa.
laptop	un laptop	Laptopul meu este nou.
last1 (taking time)	a dura	Filmul durează două ore.
laughter	râs	Am auzit râs afară.
law	o lege	Legea s-a schimbat ieri.
lawyer	un avocat	Avocatul m-a sunat.
lazy	leneș	Nu fi leneș.
lead1	a conduce	Liderii buni conduc prin exemplu.
leader	un lider; un conducător	Ea este liderul echipei.
learning	învățare	Învățarea cere timp.
least	cel mai puțin	Alege-l pe cel mai puțin scump.
lecture	o prelegere; un curs	Prelegerea începe la zece.
lemon	o lămâie	Adaugă lămâie în ceai.
lend	a împrumuta	Poți să-mi împrumuți cinci dolari?
less	mai puțin	Mănâncă mai puțin zahăr.
level	un nivel	Acest nivel este ușor.
lifestyle	un stil de viață	El are un stil de viață sănătos.
lift	a ridica	Ridică cutia cu grijă.
light	a aprinde	Aprinde lumânarea cu grijă.
light (not heavy)	ușor	Această geantă este ușoară.
likely	probabil	Probabil va ploua mâine.
link	un link	Trimite-mi linkul.
listener	un ascultător	Fii un bun ascultător.
lock	a încuia	Încuie ușa.
lorry	un camion	Camionul a transportat cutii.
lost	pierdut	Suntem pierduți.
loud	tare; zgomotos	Muzica este tare.
loudly	tare; cu voce tare	Te rog, nu vorbi tare.
lovely	minunat	Ce grădină minunată!
low	scăzut; jos	Scaunul este jos.
luck	noroc	Mult noroc la test.
lucky	norocos	Azi ești norocos.
mail	poștă	Am primit poștă în această dimineață.
major	major; important	Aceasta este o problemă majoră.
male	mascul; masculin	Pasărea mascul este viu colorată.
manage	a gestiona; a reuși	Poți gestiona această sarcină?
manager	un manager	Managerul este ocupat.
manner	un mod; o manieră	Vorbește într-un mod politicos.
mark	a marca; un semn	Marchează răspunsul clar.
marry	a se căsători	Ei se vor căsători în iunie.
material	un material	Acest material se simte moale.
mathematics	matematică	Matematica este materia mea preferată.
maths	mate	Mate este greu pentru mine.
matter	a conta	Nu contează.
may modal	a putea	Poți pleca acum.
media	mass-media	Mass-media a prezentat povestea.
medical	medical	Ea are nevoie de ajutor medical.
medicine	un medicament	Ia acest medicament după prânz.
memory	o memorie; o amintire	Am o memorie bună.
mention	a menționa	Nu menționa numele meu.
metal	metal	Poarta este din metal.
method	o metodă	Această metodă funcționează bine.
middle	mijloc	Stai în mijloc.
might modal	s-ar putea	S-ar putea să plouă mai târziu.
mind	o minte; o opinie	Mi-am schimbat părerea.
mine (belongs to me)	al meu; a mea	Această carte este a mea.
mirror	o oglindă	Uită-te în oglindă.
missing	lipsă; dispărut	Cheile mele lipsesc.
mobile	un mobil; telefon mobil	Mobilul meu este pe masă.
monkey	o maimuță	Maimuța s-a cățărat în copac.
moon	luna	Luna este luminoasă.
mostly	în mare parte	Clasa este în mare parte liniștită.
motorcycle	o motocicletă	El merge cu motocicleta.
movement	o mișcare	Am văzut o mișcare printre copaci.
musical	muzical	Acesta este un film muzical.
musician	un muzician	Muzicianul a cântat la chitară.
myself	eu însumi	Am făcut asta eu însumi.
narrow	îngust	Drumul este îngust.
national	național	Este o sărbătoare națională.
nature	natură	Iubesc natura.
nearly	aproape	Suntem aproape acolo.
necessary	necesar	Este necesar?
neck	un gât	Mă doare gâtul.
neither	niciunul	Niciun răspuns nu este corect.
nervous	nervos	Ea se simte nervoasă.
network	o rețea	Rețeaua nu funcționează.
noise	un zgomot	Am auzit un zgomot puternic.
noisy	zgomotos	Strada este zgomotoasă.
none	niciunul	Niciunul dintre ei nu a venit.
normal	normal	Asta este normal.
normally	de obicei	De obicei mă trezesc devreme.
notice	a observa	Ai observat semnul?
novel	un roman	Ea a scris un roman.
nowhere	nicăieri	Nu este nicăieri loc de stat.
nut	o nucă	Nuca este tare.
ocean	un ocean	Oceanul este adânc.
offer	o ofertă	Am acceptat oferta.
officer	un ofițer	Ofițerul mi-a verificat biletul.
oil	ulei	Adaugă ulei în tigaie.
onto	pe	Pune-l pe raft.
opportunity	o oportunitate; o ocazie	Aceasta este o ocazie bună.
option	o opțiune	Alege cea mai bună opțiune.
ordinary	obișnuit	A fost o zi obișnuită.
organization	o organizație	Organizația ajută studenții.
organize	a organiza	Te rog, organizează fișierele.
original	original	Păstrează bonul original.
ourselves	noi înșine	Noi înșine am gătit cina.
oven	un cuptor	Cuptorul este fierbinte.
owner	un proprietar	Proprietarul a deschis magazinul.
pack	a împacheta	Împachetează-ți geanta acum.
pain	o durere	Simt durere în spate.
painter	un pictor; un zugrav	Zugravul a terminat peretele.
palace	un palat	Palatul este vechi.
pants	pantaloni	Acești pantaloni sunt prea lungi.
parking	parcare	Parcarea este dificilă aici.
particular	anumit; special	Am nevoie de o carte anume.
pass	a da; a trece	Dă-mi sarea.
passenger	un pasager	Fiecare pasager are nevoie de bilet.
patient	răbdător	Fii răbdător cu copiii.
pattern	un model	Acest model este simplu.
peace	pace	Toți vrem pace.
penny	un penny	Am găsit un penny.
per	pe	Biletele costă zece dolari pe persoană.
per cent	un procent	Cinci procente sunt puține.
perform	a interpreta; a cânta	Trupa va cânta diseară.
perhaps	poate	Poate că ea este acasă.
permission	permisiune	Cere permisiune mai întâi.
personality	o personalitate	El are o personalitate prietenoasă.
pet	un animal de companie	Animalul meu de companie este o pisică.
petrol	benzină	Mașina are nevoie de benzină.
physical	fizic	Exercițiul fizic ajută sănătatea.
physics	fizică	Fizica este dificilă.
pick	a alege	Alege o carte.
pilot	un pilot	Pilotul a vorbit clar.
planet	o planetă	Pământul este o planetă.
plastic	plastic	Această sticlă este din plastic.
plate	o farfurie	Pune mâncarea pe farfurie.
platform	un peron	Așteaptă pe peronul doi.
pleased	încântat	Încântat să te cunosc.
pocket	un buzunar	Biletul este în buzunarul meu.
polite	politicos	Fii politicos cu toată lumea.
pollution	poluare	Poluarea dăunează oceanului.
pop	pop	Îmi place muzica pop.
population	o populație	Populația crește.
position	o poziție	Schimbă-ți poziția.
possession	o posesie	Acest inel este posesia mea.
possibility	o posibilitate	Există o posibilitate de ploaie.
poster	un afiș	Pune afișul pe perete.
power	putere; curent	Computerul are nevoie de curent.
predict	a prezice	Nu putem prezice vremea.
president	un președinte	Președintele a ținut un discurs.
prevent	a preveni	Spală-te pe mâini pentru a preveni boala.
print	a tipări	Tipărește documentul.
printer	o imprimantă	Imprimanta este stricată.
prison	o închisoare	A ajuns la închisoare.
prize	un premiu	Ea a câștigat un premiu.
process	un proces	Procesul durează.
produce	a produce	Fermele produc hrană.
professional	profesionist	Ea este o dansatoare profesionistă.
professor	un profesor	Profesorul a răspuns la întrebări.
profile	un profil	Actualizează-ți profilul.
program	un program	Programul începe acum.
progress	progres	Am făcut progres azi.
promise	o promisiune	Ține-ți promisiunea.
pronounce	a pronunța	Te rog, pronunță acest cuvânt.
protect	a proteja	Protejează-ți ochii.
provide	a oferi; a furniza	Ei oferă apă gratuită.
pub	un pub	Ne-am întâlnit la pub.
public	public	Parcul este public.
publish	a publica	Ei publică o revistă.
pull	a trage	Trage ușa.
purpose	un scop	Care este scopul?
push	a împinge; a apăsa	Apasă butonul.
quality	o calitate	Calitatea este ridicată.
quantity	o cantitate	Verifică cantitatea.
queen	o regină	Regina a făcut cu mâna.
quietly	încet; în liniște	Vorbește încet.
race (competition)	o cursă	Cursa începe curând.
railway	o cale ferată	Calea ferată este închisă.
raise	a ridica	Ridică mâna.
rate	un tarif	Tariful hotelului este mare.
rather	destul	Sunt destul de obosit.
reach	a ajunge	Poți ajunge la raft?
react	a reacționa	Cum a reacționat?
realize	a-și da seama	Mi-am dat seama de greșeală.
receive	a primi	Ai primit mesajul meu?
recent	recent	Aceasta este o fotografie recentă.
recently	recent; de curând	M-am mutat aici de curând.
reception	o recepție	Recepția este luni.
recipe	o rețetă	Această rețetă este ușoară.
recognize	a recunoaște	Recunosc cântecul acela.
recommend	a recomanda	Recomand această carte.
record	o evidență	Ține o evidență a plăților.
recording	o înregistrare	Înregistrarea sună clar.
recycle	a recicla	Reciclează hârtia și plasticul.
reduce	a reduce	Redu căldura.
refer	a se referi; a consulta	Consultă pagina a doua.
refuse1	a refuza	Refuz să mint.
region	o regiune	Această regiune este rece.
regular	regulat; obișnuit	El este un client obișnuit.
relationship	o relație	Relația lor este puternică.
remove	a scoate; a îndepărta	Scoate-ți pantofii.
repair	a repara	Repară bicicleta azi.
replace	a înlocui	Înlocuiește bateria veche.
reply	a răspunde	Te rog, răspunde curând.
reporter	un reporter	Reporterul a luat notițe.
request	o cerere	Am făcut o cerere.
research	a cerceta; cercetare	Cercetăm istoria locală.
researcher	un cercetător	Cercetătorul a verificat datele.
respond	a răspunde	Te rog, răspunde azi.
response	un răspuns	Răspunsul ei a fost rapid.
rest (remaining part)	restul	Mănâncă restul mai târziu.
rest (sleep/relax)	a se odihni	Trebuie să te odihnești.
review	a recapitula; a revizui	Recapitulează-ți notițele diseară.
ring1	un inel	Ea purta un inel de aur.
ring2	a suna	Sună-mă după prânz.
rise	a crește	Prețurile cresc în fiecare an.
rock (stone)	o piatră	Piatra este grea.
