source_headword	TR	example_TR
heal	iyileşmek	Dinlenmek vücudun iyileşmesine yardımcı olur.
healthcare	sağlık hizmetleri	Sağlık hizmetleri maliyetleri bu yıl arttı.
helmet	kask	Bisiklette kask takın.
hence	bu nedenle	Bu nedenle programı değiştirdik.
herb	bitki	Fesleğen faydalı bir bitkidir.
hidden	gizli	Anahtar paspasın altına gizliydi.
highway	otoyol	Otoyol kardan sonra kapatıldı.
hilarious	çok komik	Film çok komikti.
hip	kalça	Antrenman sırasında kalçasını incitti.
historian	tarihçi	Tarihçi eski mektupları inceledi.
homeless	evsiz	Barınak evsiz ailelere yardım ediyor.
honesty	dürüstlük	Dürüstlük güven inşa eder.
hook	kanca	Paltoyu kancaya asın.
hopefully	umarım	Umarım tren yakında gelir.
hunger	açlık	Açlık konsantrasyonu etkileyebilir.
hypothesis	hipotez	Deney hipotezi test etti.
icon	simge	Uygulama simgesi bugün değişti.
ID	kimlik	Kimliğinizi resepsiyonda gösterin.
identical	tamamen aynı	İkizler tamamen aynı ceketleri giydiler.
illusion	yanılsama	Ayna bir yanılsama yaratır.
immigration	göçmenlik	Göçmenlik politikası geçen yıl değişti.
immune	bağışık	Aşılama insanları bağışık hale getirebilir.
implement	uygulamak	Okul politikayı uygulayacak.
implication	çıkarım	Çıkarım açıktı.
incentive	teşvik	Bonus işçilere bir teşvik verdi.
incorporate	dahil etmek	Yemeklere daha fazla sebze dahil edin.
incorrect	yanlış	Cevap yanlıştı.
independence	bağımsızlık	Ülke bağımsızlığı kutladı.
index	dizin	Konu için dizini kontrol edin.
indication	belirti	Gülümseme bir rahatlama belirtisiydi.
inevitable	kaçınılmaz	Biraz gecikme kaçınılmazdı.
inevitably	kaçınılmaz olarak	Kıtlıkların ardından fiyatlar kaçınılmaz olarak arttı.
infer	çıkarım yapmak	Cevabı bağlamdan çıkarabiliriz.
inflation	enflasyon	Enflasyon gıda fiyatlarını artırdı.
info	bilgi	Web sitesi faydalı bilgileri listeliyor.
infrastructure	altyapı	Fırtına yerel altyapıya zarar verdi.
inhabitant	sakin	Her sakin temiz su aldı.
inherit	miras almak	Aile evini miras alacak.
ink	mürekkep	Yazıcının siyah mürekkebe ihtiyacı var.
innovation	yenilik	Yenilik sektörü ileriye taşır.
innovative	yenilikçi	Şirket yenilikçi bir ürün piyasaya sürdü.
input	girdi	Yönetici fikir istedi.
insert	yerleştirmek	Kartı makineye yerleştirin.
inspector	müfettiş	Müfettiş binayı kontrol etti.
installation	kurulum	Kurulum iki saat sürdü.
instant	anında	Uygulama anında cevap gönderdi.
instantly	anında	Ekran anında açıldı.
integrate	entegre etmek	Yazılım yeni araçları entegre edebilir.
intellectual	entelektüel	Tartışma entelektüel ama dostçaydı.
interact	etkileşimde bulunmak	Öğrenciler grup çalışması sırasında etkileşimde bulunurlar.
interaction	etkileşim	Etkileşim kibarcaydı.
interpretation	yorum	Şiir yorumu orijinaldi.
interval	ara	Perdeler arasında kısa bir ara vardı.
invade	işgal etmek	Ordu adayı işgal etmeye çalıştı.
invasion	işgal	İşgal birçok kasabaya zarar verdi.
investor	yatırımcı	Yatırımcı yeni bir girişimi finanse etti.
isolate	izole etmek	Doktorlar ciddi enfeksiyonu olan hastaları izole eder.
isolated	izole	Köy kar nedeniyle izole olmuştu.
jail	hapishane	Hırsız hapishaneye girdi.
jet	jet	Jet öğlen indi.
joint	ortak	Ortak bir proje duyurdular.
journalism	gazetecilik	Gazetecilik doğru gerçekler gerektirir.
jury	jüri	Jüri bir karara vardı.
kit	set	Tamir seti vidaları içerir.
ladder	merdiven	Merdiven duvara yaslandı.
landing	iniş	Uçak sorunsuz bir iniş yaptı.
lane	şerit	Sağ şeritte kalın.
lately	son zamanlarda	Son zamanlarda kötü uyuyorum.
leaflet	broşür	Broşür hizmeti açıklıyor.
legend	efsane	Efsane gizli bir şehirden bahseder.
lens	lens	Kamera lensini dikkatlice temizleyin.
