source_headword	SI	example_SI
fridge	ශීතකරණය	කිරි ශීතකරණයේ ඇත.
frog	ගෙම්බා	ගෙම්බෙක් පොකුණට පැන්නා.
furniture	ගෘහභාණ්ඩ	මෙම ගෘහභාණ්ඩ පැරණි නමුත් ශක්තිමත්ය.
further	තවත්;තව දුරට	අපට තවත් තොරතුරු අවශ්‍යයි.
gallery	ගැලරිය	ගැලරිය අද විවෘතය.
gap	හිඩැස	බිත්තියේ හිඩැසක් ඇත.
gas	ගෑස්	මෝටර් රථයට ගෑස් අවශ්‍යයි.
gate	ගේට්ටුව	කරුණාකර ගේට්ටුව වසන්න.
general	සාමාන්‍ය	මෙය සාමාන්‍ය නීතියකි.
gift	තෑග්ග	ඇය තෑග්ගක් මිලදී ගත්තා.
goal	ඉලක්කය	අපගේ ඉලක්කය සරලය.
god	දෙවියන්	බොහෝ අය දෙවියන්ට යාච්ඤා කරති.
gold	රත්තරන්;රන්	මුද්ද රන් පැහැතිය.
golf	ගොල්ෆ්	ඔහු අද ගොල්ෆ් ක්‍රීඩා කරයි.
government	රජය	රජය නීතිය වෙනස් කළේය.
grass	තණකොළ	තණකොළ තෙතය.
greet	ආචාර කරන්න	සෑම අමුත්තෙකුටම ආචාර කරන්න.
ground	බිම	බිම මත වාඩි වන්න.
guest	අමුත්තා	අපගේ අමුත්තා කලින් පැමිණියා.
guide	මාර්ගෝපදේශකයා;මඟ පෙන්වන්න	මාර්ගෝපදේශකයා අපට කෞතුකාගාරය පෙන්නුවේය.
gun	තුවක්කුව	පොලිසිය තුවක්කුවක් සොයා ගත්තා.
guy	මනුස්සයා	ඒ මනුස්සයා මගේ සහෝදරයාය.
habit	පුරුද්ද	දිනපතා කියවීම හොඳ පුරුද්දකි.
hall	ශාලාව	ශාලාවේ රැඳී සිටින්න.
happily	සතුටින්	ඔවුහු එකට සතුටින් ජීවත් වූහ.
headache	හිසරදය	මට හිසරදයක් ඇත.
heart	හදවත	ඇගේ හදවත වේගයෙන් ගැහෙයි.
heat	උණුසුම;රත් කරන්න	සුප් එක සෙමින් රත් කරන්න.
heavy	බර	මෙම බෑගය බරය.
height	උස	මේසයේ උස මනින්න.
helpful	උදව්කාරී	ඔබේ උපදෙස් උදව්කාරීය.
hero	වීරයා	ඔහු මගේ වීරයාය.
hers	ඇයගේ එක	නිල් කබාය ඇයගේ එකයි.
herself	ඇයම	ඇයම රාත්‍රී ආහාරය සකස් කළා.
hide	සඟවන්න	යතුර පෙට්ටිය යට සඟවන්න.
hill	කන්ද	අපි කන්දට නැග්ගෙමු.
himself	ඔහුම	ඔහුම එය අලුත්වැඩියා කළේය.
hit	ගහන්න;පහර	දොරට ගහන්න එපා.
hockey	හොකී	අපි ඊයේ රාත්‍රියේ හොකී බැලුවෙමු.
hold	අල්ලන්න;රඳවා ගන්න	මගේ අත අල්ලන්න.
hole	සිදුර	මගේ මේස් එකේ සිදුරක් ඇත.
huge	විශාල	කාමරය විශාලය.
human	මනුෂ්‍යයා;මිනිස්	සෑම මනුෂ්‍යයෙකුටම ජලය අවශ්‍යයි.
hurt	රිදෙන්න;තුවාල කරන්න	මගේ දණහිස රිදෙයි.
ideal	අනුරූප;හොඳම	මෙම කාමරය ඉගෙනීමට අනුරූපය.
identify	හඳුනා ගන්න	ඔබට මෙම කුරුල්ලා හඳුනා ගත හැකිද?
ill	අසනීප	ඇයට අද අසනීප බවක් දැනෙයි.
illness	රෝගය	රෝගය සතියක් පැවතිණි.
image	රූපය	රූපය පැහැදිලිය.
immediately	වහාම	වහාම මෙහි එන්න.
impossible	අසම්භව	මෙම ප්‍රහේලිකාව අසම්භව ලෙස පෙනේ.
included	ඇතුළත්	උදේ ආහාරය ඇතුළත්ය.
including	ඇතුළුව	මා ඇතුළුව දස දෙනෙක් පැමිණියහ.
increase	වැඩි වීම;වැඩි කරන්න	ගිම්හානයේ මිල වැඩි වේ.
incredible	අදහාගත නොහැකි	දර්ශනය අදහාගත නොහැකිය.
independent	ස්වාධීන	මගේ සහෝදරිය ස්වාධීනය.
individual	පුද්ගලයා;තනි	සෑම පුද්ගලයෙකුටම අංකයක් ඇත.
industry	කර්මාන්තය	දේශීය කර්මාන්තය වර්ධනය වෙමින් පවතී.
informal	අවිධිමත්	මෙම විද්‍යුත් ලිපිය අවිධිමත්ය.
injury	තුවාලය	ඔහුගේ තුවාලය බරපතළ නැත.
insect	කෘමියා	කෘමියෙක් කෝප්පය මත වැසුවේය.
inside	ඇතුළත	ගෙදර ඇතුළත රැඳී සිටින්න.
instead	ඒ වෙනුවට	ඒ වෙනුවට ජලය බොන්න.
instruction	උපදෙස	සෑම උපදෙසක්ම හොඳින් කියවන්න.
instructor	උපදේශකයා	උපදේශකයා ව්‍යායාමය පැහැදිලි කළේය.
instrument	වාද්‍ය භාණ්ඩය	ඇය වාද්‍ය භාණ්ඩයක් වාදනය කරයි.
intelligent	බුද්ධිමත්	ඔහු බුද්ධිමත් ශිෂ්‍යයෙකි.
international	ජාත්‍යන්තර	මෙය ජාත්‍යන්තර ගුවන් තොටුපළකි.
introduction	හැඳින්වීම	හැඳින්වීම කෙටි විය.
invent	නිර්මාණය කරන්න	දරුවන්ට නව ක්‍රීඩා නිර්මාණය කළ හැකිය.
invention	නව නිපැයුම	නව නිපැයුම කාලය ඉතිරි කළේය.
invitation	ආරාධනය	මට ආරාධනයක් ලැබුණි.
invite	ආරාධනා කරන්න	ඔබේ මිතුරාටත් ආරාධනා කරන්න.
involve	ඇතුළත් වන්න	මෙම රැකියාවට සංචාරය ඇතුළත් වේ.
item	අයිතමය	එක් අයිතමයක් තෝරන්න.
itself	එයම	යන්ත්‍රය එයම නිවෙයි.
jam	ජෑම්	පාන් මත ජෑම් දමන්න.
jazz	ජෑස්	අද රාත්‍රියේ ජෑස් හොඳින් ඇසේ.
jewellery	ආභරණ	ඇය ආභරණ පෙට්ටියක තබයි.
joke	විහිළුව	මට විහිළුවක් කියන්න.
journalist	මාධ්‍යවේදියා	මාධ්‍යවේදියා ප්‍රශ්න ඇසුවේය.
jump	පනින්න	රේඛාව උඩින් පනින්න.
kid	ළමයා	ළමයා හිනාවෙයි.
kill	මරන්න	කෘමියා මරන්න එපා.
king	රජු	රජු මාලිගාවක ජීවත් විය.
knee	දණහිස	මගේ දණහිස රිදෙයි.
knife	පිහිය	තියුණු පිහියක් භාවිත කරන්න.
knock	තට්ටු කරන්න	ඇතුළු වීමට පෙර තට්ටු කරන්න.
knowledge	දැනුම	අභ්‍යාසයෙන් දැනුම වැඩි වේ.
lab	විද්‍යාගාරය	විද්‍යාගාරය වසා ඇත.
lady	කාන්තාව	කාන්තාව අපට සිනාසුණා.
lake	වැව	වැව සන්සුනය.
lamp	ලාම්පුව	ලාම්පුව දල්වන්න.
laptop	ලැප්ටොප් පරිගණකය	මගේ ලැප්ටොප් පරිගණකය නවය.
last1 (taking time)	පැවතීම	චිත්‍රපටය පැය දෙකක් පවතී.
laughter	සිනා හඬ	අපට පිටත සිනා හඬ ඇසුණි.
law	නීතිය	නීතිය ඊයේ වෙනස් විය.
lawyer	නීතිඥයා	නීතිඥයා මට ඇමතුවේය.
lazy	කම්මැලි	කම්මැලි නොවන්න.
lead1	නායකත්වය දෙන්න	හොඳ නායකයෝ ආදර්ශයෙන් නායකත්වය දෙති.
leader	නායකයා	ඇය කණ්ඩායමේ නායකයාය.
learning	ඉගෙනීම	ඉගෙනීමට කාලය ගත වේ.
least	අවම	අවම මිල ඇති එක තෝරන්න.
lecture	දේශනය	දේශනය දහයට ආරම්භ වේ.
lemon	ලෙමන්	තේට ලෙමන් එකතු කරන්න.
lend	ණයට දෙන්න	මට ඩොලර් පහක් ණයට දිය හැකිද?
less	අඩු	සීනි අඩුවෙන් කන්න.
level	මට්ටම	මෙම මට්ටම පහසුය.
lifestyle	ජීවන රටාව	ඔහුට සෞඛ්‍යමත් ජීවන රටාවක් ඇත.
lift	ඔසවන්න	පෙට්ටිය පරිස්සමින් ඔසවන්න.
light	දල්වන්න	ඉටිපන්දම පරිස්සමින් දල්වන්න.
light (not heavy)	සැහැල්ලු	මෙම බෑගය සැහැල්ලුය.
likely	විය හැකි	හෙට වැසි විය හැකිය.
link	සබැඳිය	මට සබැඳිය යවන්න.
listener	අසන්නා	හොඳ අසන්නෙකු වන්න.
lock	අගුළු දමන්න	දොර අගුළු දමන්න.
lorry	ලොරිය	ලොරිය පෙට්ටි ගෙන ගියේය.
lost	මඟ හැරුණු	අපි මඟ හැරී සිටිමු.
loud	ඝෝෂාකාරී	සංගීතය ඝෝෂාකාරීය.
loudly	ඝෝෂාකාරීව	කරුණාකර ඝෝෂාකාරීව කතා නොකරන්න.
lovely	ලස්සන	කොතරම් ලස්සන උයනක්ද!
low	අඩු	පුටුව අඩුය.
luck	වාසනාව	ඔබේ පරීක්ෂණයට සුබ වාසනාව.
lucky	වාසනාවන්ත	ඔබ අද වාසනාවන්තය.
mail	තැපෑල	මට අද උදෑසන තැපෑල ලැබුණි.
major	ප්‍රධාන	මෙය ප්‍රධාන ගැටලුවකි.
male	පිරිමි	පිරිමි කුරුල්ලා දීප්තිමත්ය.
manage	කළමනාකරණය කරන්න	ඔබට මෙම කාර්යය කළමනාකරණය කළ හැකිද?
manager	කළමනාකරු	කළමනාකරු කාර්යබහුලය.
manner	ආකාරය	විනීත ආකාරයෙන් කතා කරන්න.
mark	ලකුණු කරන්න	ඔබේ පිළිතුර පැහැදිලිව ලකුණු කරන්න.
marry	විවාහ වන්න	ඔවුහු ජුනි මාසයේ විවාහ වෙති.
material	ද්‍රව්‍යය	මෙම ද්‍රව්‍යය මෘදු ලෙස දැනෙයි.
mathematics	ගණිතය	ගණිතය මගේ ප්‍රියතම විෂයයයි.
maths	ගණිතය	මට ගණිතය අමාරුය.
matter	වැදගත් වීම;කාරණය	එය වැදගත් නොවේ.
may modal	හැක	ඔබට දැන් යා හැකිය.
media	මාධ්‍ය	මාධ්‍ය කතාව ආවරණය කළේය.
medical	වෛද්‍ය	ඇයට වෛද්‍ය උදව් අවශ්‍යයි.
medicine	ඖෂධය	දිවා ආහාරයෙන් පසු මෙම ඖෂධය ගන්න.
memory	මතකය	මගේ මතකය හොඳය.
mention	සඳහන් කරන්න	මගේ නම සඳහන් නොකරන්න.
metal	ලෝහය	ගේට්ටුව ලෝහයෙන් සාදා ඇත.
method	ක්‍රමය	මෙම ක්‍රමය හොඳින් ක්‍රියා කරයි.
middle	මැද	මැද සිටින්න.
might modal	විය හැක	පසුව වැසි විය හැකිය.
mind	මනස	මම මගේ මනස වෙනස් කළෙමි.
mine (belongs to me)	මගේ එක	මෙම පොත මගේ එකයි.
mirror	කැඩපත	කැඩපත දෙස බලන්න.
missing	නැතිවූ	මගේ යතුරු නැතිවී ඇත.
mobile	ජංගම දුරකථනය	මගේ ජංගම දුරකථනය මේසය මත ඇත.
monkey	වඳුරා	වඳුරා ගසට නැග්ගා.
moon	සඳ	සඳ දීප්තිමත්ය.
mostly	බොහෝ විට	පන්තිය බොහෝ විට නිහඬය.
motorcycle	මෝටර්සයිකලය	ඔහු මෝටර්සයිකලයක් පදවයි.
movement	චලනය	මට ගස් අතර චලනයක් පෙනුණි.
musical	සංගීතමය	මෙය සංගීතමය චිත්‍රපටයකි.
