source_headword	KK	example_KK
take	алу; алып кету	Билетті алыңыз.
talk	сөйлесу; әңгіме	Біз сабақтан кейін сөйлесеміз.
tall	биік; ұзын	Менің мұғалімім ұзын бойлы.
taxi	такси	Такси сыртта тұр.
tea	шай	Бұл шай ыстық.
teach	оқыту; үйрету	Мен ағылшын тілін оқытамын.
teacher	мұғалім	Мұғалім күлімсірейді.
team	команда; топ	Біздің команда бүгін жеңеді.
teenager	жасөспірім	Жасөспірім кітап оқиды.
telephone	телефон; телефон шалу	Телефон үстелдің үстінде.
television	теледидар	Теледидар жаңа.
tell	айту	Атыңызды маған айтыңыз.
ten	он	Менде он кітап бар.
tennis	теннис	Біз бүгін теннис ойнаймыз.
terrible	өте жаман; қорқынышты	Ауа райы өте жаман.
test	сынақ; тест; тексеру	Сынақ қазір басталады.
text	хабарлама; мәтін	Қысқа хабарлама жіберіңіз.
than	қарағанда	Он екіден көп.
thank	рақмет айту	Мұғаліміңізге рақмет айтыңыз.
thanks	рақмет	Көмегіңіз үшін рақмет.
that	ол; ана	Ана кітап менікі.
the	ағылшын тіліндегі белгілі артикль	Шай жылы.
theatre	театр	Театр бекетке жақын.
their	олардың	Олардың үйі үлкен.
them	оларды; оларға	Мен оларды білемін.
then	содан кейін; онда	Тамақтаныңыз, содан кейін оқыңыз.
there	онда; сол жерде	Онда орындық бар.
they	олар	Олар мектепте.
thing	зат; нәрсе	Бұл зат пайдалы.
think	ойлау	Мен үй туралы ойлаймын.
third	үшінші	Бұл үшінші сабақ.
thirsty	шөлдеген	Мен шөлдедім.
thirteen	он үш	Ол он үш жаста.
thirty	отыз	Әпкем отыз жаста.
this	бұл	Бұл билет жаңа.
thousand	мың	Мың адам келді.
three	үш	Мен үш құсты көріп тұрмын.
through	арқылы; ішінен	Біз саябақ арқылы жүреміз.
Thursday	бейсенбі	Біз бейсенбі күні кездесеміз.
ticket	билет	Маған билет керек.
time	уақыт; мезгіл	Сағат неше?
tired	шаршаған	Мен шаршадым.
title	тақырып	Тақырыпты оқыңыз.
to	ға; қарай; үшін	Мен сабаққа барамын.
today	бүгін	Бүгін күн ашық.
together	бірге	Біз бірге тамақтанамыз.
toilet	дәретхана	Дәретхана таза.
tomato	қызанақ	Бұл қызанақ қызыл.
tomorrow	ертең	Ертең көрісеміз.
